rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,76,8,0.01,0.0001,0.25,none,70.2192001343,0,70.2192001343,70.2192001343,69.730255127,0,69.730255127,69.730255127,1
2,77,8,0.01,0.0001,0.5,none,69.9759063721,0,69.9759063721,69.9759063721,69.6806488037,0,69.6806488037,69.6806488037,1
3,43,4,0.01,0.001,0.25,none,69.9711837769,0,69.9711837769,69.9711837769,69.6877365112,0,69.6877365112,69.6877365112,1
4,41,4,0.01,0.0001,0.5,none,69.9263000488,0,69.9263000488,69.9263000488,69.62159729,0,69.62159729,69.62159729,1
5,40,4,0.01,0.0001,0.25,none,69.683013916,0,69.683013916,69.683013916,69.6027069092,0,69.6027069092,69.6027069092,1
6,73,8,0.01,0,0.25,none,69.683013916,0,69.683013916,69.683013916,69.4113769531,0,69.4113769531,69.4113769531,1
7,74,8,0.01,0,0.5,none,69.6286849976,0,69.6286849976,69.6286849976,69.4302749634,0,69.4302749634,69.4302749634,1
8,79,8,0.01,0.001,0.25,none,69.5294799805,0,69.5294799805,69.5294799805,69.3405151367,0,69.3405151367,69.3405151367,1
9,44,4,0.01,0.001,0.5,none,69.5153045654,0,69.5153045654,69.5153045654,69.1137542725,0,69.1137542725,69.1137542725,1
10,75,8,0.01,0,0.75,none,69.5082168579,0,69.5082168579,69.5082168579,69.2767410278,0,69.2767410278,69.2767410278,1
11,39,4,0.01,0,0.75,none,69.4964141846,0,69.4964141846,69.4964141846,69.2224121094,0,69.2224121094,69.2224121094,1
12,38,4,0.01,0,0.5,none,69.4775161743,0,69.4775161743,69.4775161743,69.4090118408,0,69.4090118408,69.4090118408,1
13,37,4,0.01,0,0.25,none,69.4349975586,0,69.4349975586,69.4349975586,69.2531204224,0,69.2531204224,69.2531204224,1
14,52,4,0.001,0.0001,0.25,none,69.4066543579,0,69.4066543579,69.4066543579,69.1680831909,0,69.1680831909,69.1680831909,1
15,49,4,0.001,0,0.25,none,69.3995666504,0,69.3995666504,69.3995666504,68.9956512451,0,68.9956512451,68.9956512451,1
16,78,8,0.01,0.0001,0.75,none,69.3664932251,0,69.3664932251,69.3664932251,69.0877761841,0,69.0877761841,69.0877761841,1
17,42,4,0.01,0.0001,0.75,none,69.2696533203,0,69.2696533203,69.2696533203,69.1468200684,0,69.1468200684,69.1468200684,1
18,5,2,0.01,0.0001,0.5,none,69.2153244019,0,69.2153244019,69.2153244019,68.927154541,0,68.927154541,68.927154541,1
19,80,8,0.01,0.001,0.5,none,69.1302871704,0,69.1302871704,69.1302871704,68.9673156738,0,68.9673156738,68.9673156738,1
20,85,8,0.001,0,0.25,none,69.1137542725,0,69.1137542725,69.1137542725,68.8137741089,0,68.8137741089,68.8137741089,1
21,50,4,0.001,0,0.5,none,69.0759658813,0,69.0759658813,69.0759658813,68.7476425171,0,68.7476425171,68.7476425171,1
