rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,46,4,0.01,0.01,0.25,none,51.4230728149,0,51.4230728149,51.4230728149,50.7986907959,0,50.7986907959,50.7986907959,1
2,58,4,0.001,0.01,0.25,none,50.9755973816,0,50.9755973816,50.9755973816,50.3460121155,0,50.3460121155,50.3460121155,1
3,47,4,0.01,0.01,0.5,none,50.9651908875,0,50.9651908875,50.9651908875,50.4032440186,0,50.4032440186,50.4032440186,1
4,59,4,0.001,0.01,0.5,none,50.9027557373,0,50.9027557373,50.9027557373,50.0858535767,0,50.0858535767,50.0858535767,1
5,94,8,0.001,0.01,0.25,none,50.6477966309,0,50.6477966309,50.6477966309,50.5437316895,0,50.5437316895,50.5437316895,1
6,56,4,0.001,0.001,0.5,none,50.585357666,0,50.585357666,50.585357666,50.0025978088,0,50.0025978088,50.0025978088,1
7,54,4,0.001,0.0001,0.75,none,50.091053009,0,50.091053009,50.091053009,49.6019554138,0,49.6019554138,49.6019554138,1
8,95,8,0.001,0.01,0.5,none,49.9141464233,0,49.9141464233,49.9141464233,49.5811424255,0,49.5811424255,49.5811424255,1
9,50,4,0.001,0,0.5,none,49.8465042114,0,49.8465042114,49.8465042114,49.4510612488,0,49.4510612488,49.4510612488,1
10,60,4,0.001,0.01,0.75,none,49.815284729,0,49.815284729,49.815284729,49.5343132019,0,49.5343132019,49.5343132019,1
11,53,4,0.001,0.0001,0.5,none,49.7996788025,0,49.7996788025,49.7996788025,49.3209838867,0,49.3209838867,49.3209838867,1
12,11,2,0.01,0.01,0.5,none,49.7164230347,0,49.7164230347,49.7164230347,49.3365936279,0,49.3365936279,49.3365936279,1
13,51,4,0.001,0,0.75,none,49.6852073669,0,49.6852073669,49.6852073669,49.1544799805,0,49.1544799805,49.1544799805,1
14,82,8,0.01,0.01,0.25,none,49.6019554138,0,49.6019554138,49.6019554138,48.7330245972,0,48.7330245972,48.7330245972,1
15,52,4,0.001,0.0001,0.25,none,49.4406585693,0,49.4406585693,49.4406585693,48.8943214417,0,48.8943214417,48.8943214417,1
