rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,81,8,0.01,0.001,0.75,none,77.6087799072,0,77.6087799072,77.6087799072,78.4366531372,0,78.4366531372,78.4366531372,1
2,80,8,0.01,0.001,0.5,none,77.435508728,0,77.435508728,77.435508728,78.263381958,0,78.263381958,78.263381958,1
3,45,4,0.01,0.001,0.75,none,77.3103561401,0,77.3103561401,77.3103561401,77.9745864868,0,77.9745864868,77.9745864868,1
4,92,8,0.001,0.001,0.5,none,77.2814788818,0,77.2814788818,77.2814788818,77.9553375244,0,77.9553375244,77.9553375244,1
5,93,8,0.001,0.001,0.75,none,77.2429733276,0,77.2429733276,77.2429733276,78.1382369995,0,78.1382369995,78.1382369995,1
6,57,4,0.001,0.001,0.75,none,77.2237167358,0,77.2237167358,77.2237167358,77.9553375244,0,77.9553375244,77.9553375244,1
7,79,8,0.01,0.001,0.25,none,77.0985794067,0,77.0985794067,77.0985794067,77.319984436,0,77.319984436,77.319984436,1
8,44,4,0.01,0.001,0.5,none,77.0889434814,0,77.0889434814,77.0889434814,77.7820587158,0,77.7820587158,77.7820587158,1
9,90,8,0.001,0.0001,0.75,none,77.0311889648,0,77.0311889648,77.0311889648,77.435508728,0,77.435508728,77.435508728,1
10,78,8,0.01,0.0001,0.75,none,77.0023117065,0,77.0023117065,77.0023117065,78.0708465576,0,78.0708465576,78.0708465576,1
11,87,8,0.001,0,0.75,none,77.0023117065,0,77.0023117065,77.0023117065,77.4162445068,0,77.4162445068,77.4162445068,1
12,91,8,0.001,0.001,0.25,none,76.8964157104,0,76.8964157104,76.8964157104,77.3873672485,0,77.3873672485,77.3873672485,1
13,46,4,0.01,0.01,0.25,none,76.877166748,0,76.877166748,76.877166748,77.3103561401,0,77.3103561401,77.3103561401,1
14,75,8,0.01,0,0.75,none,76.8675384521,0,76.8675384521,76.8675384521,77.5991516113,0,77.5991516113,77.5991516113,1
15,42,4,0.01,0.0001,0.75,none,76.8001556396,0,76.8001556396,76.8001556396,77.5510177612,0,77.5510177612,77.5510177612,1
16,56,4,0.001,0.001,0.5,none,76.8001556396,0,76.8001556396,76.8001556396,77.4258728027,0,77.4258728027,77.4258728027,1
17,43,4,0.01,0.001,0.25,none,76.7231369019,0,76.7231369019,76.7231369019,76.9541778564,0,76.9541778564,76.9541778564,1
18,39,4,0.01,0,0.75,none,76.6653823853,0,76.6653823853,76.6653823853,77.5317687988,0,77.5317687988,77.5317687988,1
19,54,4,0.001,0.0001,0.75,none,76.6461334229,0,76.6461334229,76.6461334229,77.069694519,0,77.069694519,77.069694519,1
20,89,8,0.001,0.0001,0.5,none,76.5691146851,0,76.5691146851,76.5691146851,76.9926834106,0,76.9926834106,76.9926834106,1
21,51,4,0.001,0,0.75,none,76.5306091309,0,76.5306091309,76.5306091309,76.9541778564,0,76.9541778564,76.9541778564,1
22,47,4,0.01,0.01,0.5,none,76.4921035767,0,76.4921035767,76.4921035767,77.0023117065,0,77.0023117065,77.0023117065,1
23,55,4,0.001,0.001,0.25,none,76.4824829102,0,76.4824829102,76.4824829102,76.8386611938,0,76.8386611938,76.8386611938,1
24,77,8,0.01,0.0001,0.5,none,76.4632263184,0,76.4632263184,76.4632263184,77.1370849609,0,77.1370849609,77.1370849609,1
25,60,4,0.001,0.01,0.75,none,76.3188323975,0,76.3188323975,76.3188323975,76.9445571899,0,76.9445571899,76.9445571899,1
26,59,4,0.001,0.01,0.5,none,76.2995758057,0,76.2995758057,76.2995758057,76.7327651978,0,76.7327651978,76.7327651978,1
27,113,16,0.01,0.0001,0.5,none,76.2610702515,0,76.2610702515,76.2610702515,77.1563339233,0,77.1563339233,77.1563339233,1
28,86,8,0.001,0,0.5,none,76.2321853638,0,76.2321853638,76.2321853638,76.7809066772,0,76.7809066772,76.7809066772,1
29,58,4,0.001,0.01,0.25,none,76.2129364014,0,76.2129364014,76.2129364014,76.8867874146,0,76.8867874146,76.8867874146,1
30,9,2,0.01,0.001,0.75,none,76.135925293,0,76.135925293,76.135925293,76.8482894897,0,76.8482894897,76.8482894897,1
31,112,16,0.01,0.0001,0.25,none,76.1263046265,0,76.1263046265,76.1263046265,76.9156723022,0,76.9156723022,76.9156723022,1
32,117,16,0.01,0.001,0.75,none,76.1263046265,0,76.1263046265,76.1263046265,76.7135162354,0,76.7135162354,76.7135162354,1
33,115,16,0.01,0.001,0.25,none,76.1166763306,0,76.1166763306,76.1166763306,76.4824829102,0,76.4824829102,76.4824829102,1
34,82,8,0.01,0.01,0.25,none,76.078163147,0,76.078163147,76.078163147,76.8675384521,0,76.8675384521,76.8675384521,1
35,83,8,0.01,0.01,0.5,none,76.0685348511,0,76.0685348511,76.0685348511,76.8001556396,0,76.8001556396,76.8001556396,1
36,128,16,0.001,0.001,0.5,none,76.0492858887,0,76.0492858887,76.0492858887,76.5883712769,0,76.5883712769,76.5883712769,1
37,116,16,0.01,0.001,0.5,none,76.0011520386,0,76.0011520386,76.0011520386,76.7327651978,0,76.7327651978,76.7327651978,1
38,48,4,0.01,0.01,0.75,none,75.9722747803,0,75.9722747803,75.9722747803,76.578742981,0,76.578742981,76.578742981,1
39,10,2,0.01,0.01,0.25,none,75.943397522,0,75.943397522,75.943397522,76.4536056519,0,76.4536056519,76.4536056519,1
40,11,2,0.01,0.01,0.5,none,75.9337692261,0,75.9337692261,75.9337692261,76.2803268433,0,76.2803268433,76.2803268433,1
41,129,16,0.001,0.001,0.75,none,75.885635376,0,75.885635376,75.885635376,76.4343490601,0,76.4343490601,76.4343490601,1
42,125,16,0.001,0.0001,0.5,none,75.8375015259,0,75.8375015259,75.8375015259,76.2899551392,0,76.2899551392,76.2899551392,1
