rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,1,2,0.01,0,0.25,none,70.6969528198,0,70.6969528198,70.6969528198,71.7558746338,0,71.7558746338,71.7558746338,1
2,8,2,0.01,0.001,0.5,none,70.542930603,0,70.542930603,70.542930603,71.6211013794,0,71.6211013794,71.6211013794,1
3,7,2,0.01,0.001,0.25,none,70.5333023071,0,70.5333023071,70.5333023071,71.4670791626,0,71.4670791626,71.4670791626,1
4,5,2,0.01,0.0001,0.5,none,70.3215255737,0,70.3215255737,70.3215255737,71.4574508667,0,71.4574508667,71.4574508667,1
5,4,2,0.01,0.0001,0.25,none,70.3118972778,0,70.3118972778,70.3118972778,71.4767074585,0,71.4767074585,71.4767074585,1
6,2,2,0.01,0,0.5,none,70.1867523193,0,70.1867523193,70.1867523193,71.4382019043,0,71.4382019043,71.4382019043,1
7,11,2,0.01,0.01,0.5,none,70.0808639526,0,70.0808639526,70.0808639526,71.0916442871,0,71.0916442871,71.0916442871,1
8,10,2,0.01,0.01,0.25,none,69.5321502686,0,69.5321502686,69.5321502686,70.157875061,0,70.157875061,70.157875061,1
9,9,2,0.01,0.001,0.75,none,68.4828643799,0,68.4828643799,68.4828643799,69.9172134399,0,69.9172134399,69.9172134399,1
10,6,2,0.01,0.0001,0.75,none,68.473236084,0,68.473236084,68.473236084,69.8305740356,0,69.8305740356,69.8305740356,1
11,12,2,0.01,0.01,0.75,none,68.2518310547,0,68.2518310547,68.2518310547,69.3877563477,0,69.3877563477,69.3877563477,1
12,3,2,0.01,0,0.75,none,67.8763961792,0,67.8763961792,67.8763961792,69.2626113892,0,69.2626113892,69.2626113892,1
13,94,8,0.001,0.01,0.25,none,67.7705078125,0,67.7705078125,67.7705078125,67.8667678833,0,67.8667678833,67.8667678833,1
14,92,8,0.001,0.001,0.5,none,67.6068572998,0,67.6068572998,67.6068572998,68.2036972046,0,68.2036972046,68.2036972046,1
15,212,64,0.0001,0.001,0.5,none,67.4239501953,0,67.4239501953,67.4239501953,67.587600708,0,67.587600708,67.587600708,1
16,206,64,0.0001,0,0.5,none,67.3854446411,0,67.3854446411,67.3854446411,67.6164779663,0,67.6164779663,67.6164779663,1
17,59,4,0.001,0.01,0.5,none,67.3565597534,0,67.3565597534,67.3565597534,67.7705078125,0,67.7705078125,67.7705078125,1
18,209,64,0.0001,0.0001,0.5,none,67.3469390869,0,67.3469390869,67.3469390869,67.5779724121,0,67.5779724121,67.5779724121,1
19,50,4,0.001,0,0.5,none,67.337310791,0,67.337310791,67.337310791,67.3276824951,0,67.3276824951,67.3276824951,1
20,215,64,0.0001,0.01,0.5,none,67.337310791,0,67.337310791,67.337310791,67.6742401123,0,67.6742401123,67.6742401123,1
