rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,48,4,0.01,0.01,0.75,none,70.6730804443,0,70.6730804443,70.6730804443,69.3509674072,0,69.3509674072,69.3509674072,1
2,84,8,0.01,0.01,0.75,none,70.5528869629,0,70.5528869629,70.5528869629,70.0721206665,0,70.0721206665,70.0721206665,1
3,12,2,0.01,0.01,0.75,none,70.1923141479,0,70.1923141479,70.1923141479,69.4711532593,0,69.4711532593,69.4711532593,1
4,120,16,0.01,0.01,0.75,none,69.9519271851,0,69.9519271851,69.9519271851,69.5913467407,0,69.5913467407,69.5913467407,1
5,168,32,0.001,0.01,0.75,none,69.5913467407,0,69.5913467407,69.5913467407,69.2307739258,0,69.2307739258,69.2307739258,1
6,131,16,0.001,0.01,0.5,none,69.2307739258,0,69.2307739258,69.2307739258,68.2692337036,0,68.2692337036,68.2692337036,1
7,132,16,0.001,0.01,0.75,none,69.2307739258,0,69.2307739258,69.2307739258,69.1105804443,0,69.1105804443,69.1105804443,1
8,156,32,0.01,0.01,0.75,none,69.1105804443,0,69.1105804443,69.1105804443,70.0721206665,0,70.0721206665,70.0721206665,1
9,60,4,0.001,0.01,0.75,none,68.9903869629,0,68.9903869629,68.9903869629,67.7884674072,0,67.7884674072,67.7884674072,1
10,47,4,0.01,0.01,0.5,none,68.75,0,68.75,68.75,67.9086532593,0,67.9086532593,67.9086532593,1
11,95,8,0.001,0.01,0.5,none,68.75,0,68.75,68.75,68.75,0,68.75,68.75,1
12,166,32,0.001,0.01,0.25,none,68.75,0,68.75,68.75,68.3894271851,0,68.3894271851,68.3894271851,1
13,167,32,0.001,0.01,0.5,none,68.75,0,68.75,68.75,68.9903869629,0,68.9903869629,68.9903869629,1
14,189,64,0.01,0.001,0.75,none,68.75,0,68.75,68.75,69.1105804443,0,69.1105804443,69.1105804443,1
15,118,16,0.01,0.01,0.25,none,68.6298141479,0,68.6298141479,68.6298141479,68.9903869629,0,68.9903869629,68.9903869629,1
16,117,16,0.01,0.001,0.75,none,68.5096206665,0,68.5096206665,68.5096206665,67.7884674072,0,67.7884674072,67.7884674072,1
17,130,16,0.001,0.01,0.25,none,68.3894271851,0,68.3894271851,68.3894271851,67.3076934814,0,67.3076934814,67.3076934814,1
18,150,32,0.01,0.0001,0.75,none,68.3894271851,0,68.3894271851,68.3894271851,68.75,0,68.75,68.75,1
19,153,32,0.01,0.001,0.75,none,68.3894271851,0,68.3894271851,68.3894271851,68.6298141479,0,68.6298141479,68.6298141479,1
20,147,32,0.01,0,0.75,none,68.2692337036,0,68.2692337036,68.2692337036,68.0288467407,0,68.0288467407,68.0288467407,1
21,96,8,0.001,0.01,0.75,none,68.1490402222,0,68.1490402222,68.1490402222,67.3076934814,0,67.3076934814,67.3076934814,1
22,114,16,0.01,0.0001,0.75,none,68.1490402222,0,68.1490402222,68.1490402222,67.6682739258,0,67.6682739258,67.6682739258,1
23,204,64,0.001,0.01,0.75,none,68.1490402222,0,68.1490402222,68.1490402222,68.75,0,68.75,68.75,1
24,111,16,0.01,0,0.75,none,68.0288467407,0,68.0288467407,68.0288467407,67.5480804443,0,67.5480804443,67.5480804443,1
25,192,64,0.01,0.01,0.75,none,68.0288467407,0,68.0288467407,68.0288467407,68.9903869629,0,68.9903869629,68.9903869629,1
26,203,64,0.001,0.01,0.5,none,68.0288467407,0,68.0288467407,68.0288467407,68.6298141479,0,68.6298141479,68.6298141479,1
27,83,8,0.01,0.01,0.5,none,67.9086532593,0,67.9086532593,67.9086532593,67.0673065186,0,67.0673065186,67.0673065186,1
28,11,2,0.01,0.01,0.5,none,67.7884674072,0,67.7884674072,67.7884674072,67.4278869629,0,67.4278869629,67.4278869629,1
29,82,8,0.01,0.01,0.25,none,67.7884674072,0,67.7884674072,67.7884674072,67.1875,0,67.1875,67.1875,1
30,94,8,0.001,0.01,0.25,none,67.7884674072,0,67.7884674072,67.7884674072,67.1875,0,67.1875,67.1875,1
31,202,64,0.001,0.01,0.25,none,67.7884674072,0,67.7884674072,67.7884674072,68.2692337036,0,68.2692337036,68.2692337036,1
32,59,4,0.001,0.01,0.5,none,67.6682739258,0,67.6682739258,67.6682739258,65.8653869629,0,65.8653869629,65.8653869629,1
33,188,64,0.01,0.001,0.5,none,67.6682739258,0,67.6682739258,67.6682739258,67.3076934814,0,67.3076934814,67.3076934814,1
34,58,4,0.001,0.01,0.25,none,67.5480804443,0,67.5480804443,67.5480804443,66.1057739258,0,66.1057739258,66.1057739258,1
35,119,16,0.01,0.01,0.5,none,67.5480804443,0,67.5480804443,67.5480804443,67.1875,0,67.1875,67.1875,1
36,24,2,0.001,0.01,0.75,none,67.4278869629,0,67.4278869629,67.4278869629,66.4663467407,0,66.4663467407,66.4663467407,1
37,183,64,0.01,0,0.75,none,67.3076934814,0,67.3076934814,67.3076934814,67.6682739258,0,67.6682739258,67.6682739258,1
38,186,64,0.01,0.0001,0.75,none,67.3076934814,0,67.3076934814,67.3076934814,67.7884674072,0,67.7884674072,67.7884674072,1
39,93,8,0.001,0.001,0.75,none,66.9471206665,0,66.9471206665,66.9471206665,66.9471206665,0,66.9471206665,66.9471206665,1
40,165,32,0.001,0.001,0.75,none,66.9471206665,0,66.9471206665,66.9471206665,67.1875,0,67.1875,67.1875,1
41,190,64,0.01,0.01,0.25,none,66.9471206665,0,66.9471206665,66.9471206665,67.9086532593,0,67.9086532593,67.9086532593,1
42,87,8,0.001,0,0.75,none,66.8269271851,0,66.8269271851,66.8269271851,66.9471206665,0,66.9471206665,66.9471206665,1
43,90,8,0.001,0.0001,0.75,none,66.8269271851,0,66.8269271851,66.8269271851,66.9471206665,0,66.9471206665,66.9471206665,1
44,126,16,0.001,0.0001,0.75,none,66.8269271851,0,66.8269271851,66.8269271851,67.4278869629,0,67.4278869629,67.4278869629,1
45,129,16,0.001,0.001,0.75,none,66.8269271851,0,66.8269271851,66.8269271851,67.6682739258,0,67.6682739258,67.6682739258,1
46,155,32,0.01,0.01,0.5,none,66.8269271851,0,66.8269271851,66.8269271851,67.7884674072,0,67.7884674072,67.7884674072,1
47,123,16,0.001,0,0.75,none,66.7067337036,0,66.7067337036,66.7067337036,67.4278869629,0,67.4278869629,67.4278869629,1
48,162,32,0.001,0.0001,0.75,none,66.7067337036,0,66.7067337036,66.7067337036,67.1875,0,67.1875,67.1875,1
49,159,32,0.001,0,0.75,none,66.5865402222,0,66.5865402222,66.5865402222,67.1875,0,67.1875,67.1875,1
50,21,2,0.001,0.001,0.75,none,66.2259674072,0,66.2259674072,66.2259674072,64.6634674072,0,64.6634674072,64.6634674072,1
51,23,2,0.001,0.01,0.5,none,66.2259674072,0,66.2259674072,66.2259674072,64.3028869629,0,64.3028869629,64.3028869629,1
52,51,4,0.001,0,0.75,none,66.1057739258,0,66.1057739258,66.1057739258,64.6634674072,0,64.6634674072,64.6634674072,1
53,54,4,0.001,0.0001,0.75,none,66.1057739258,0,66.1057739258,66.1057739258,64.6634674072,0,64.6634674072,64.6634674072,1
54,57,4,0.001,0.001,0.75,none,66.1057739258,0,66.1057739258,66.1057739258,64.6634674072,0,64.6634674072,64.6634674072,1
55,25,2,0.0001,0,0.25,none,65.9855804443,0,65.9855804443,65.9855804443,62.6201934814,0,62.6201934814,62.6201934814,1
56,27,2,0.0001,0,0.75,none,65.9855804443,0,65.9855804443,65.9855804443,63.1009635925,0,63.1009635925,63.1009635925,1
57,28,2,0.0001,0.0001,0.25,none,65.9855804443,0,65.9855804443,65.9855804443,62.6201934814,0,62.6201934814,62.6201934814,1
58,30,2,0.0001,0.0001,0.75,none,65.9855804443,0,65.9855804443,65.9855804443,63.1009635925,0,63.1009635925,63.1009635925,1
59,31,2,0.0001,0.001,0.25,none,65.9855804443,0,65.9855804443,65.9855804443,62.7403869629,0,62.7403869629,62.7403869629,1
60,70,4,0.0001,0.01,0.25,none,65.9855804443,0,65.9855804443,65.9855804443,64.4230804443,0,64.4230804443,64.4230804443,1
61,201,64,0.001,0.001,0.75,none,65.9855804443,0,65.9855804443,65.9855804443,67.4278869629,0,67.4278869629,67.4278869629,1
62,33,2,0.0001,0.001,0.75,none,65.8653869629,0,65.8653869629,65.8653869629,63.1009635925,0,63.1009635925,63.1009635925,1
63,61,4,0.0001,0,0.25,none,65.8653869629,0,65.8653869629,65.8653869629,63.5817337036,0,63.5817337036,63.5817337036,1
64,64,4,0.0001,0.0001,0.25,none,65.8653869629,0,65.8653869629,65.8653869629,63.5817337036,0,63.5817337036,63.5817337036,1
65,67,4,0.0001,0.001,0.25,none,65.8653869629,0,65.8653869629,65.8653869629,63.5817337036,0,63.5817337036,63.5817337036,1
66,154,32,0.01,0.01,0.25,none,65.8653869629,0,65.8653869629,65.8653869629,65.1442337036,0,65.1442337036,65.1442337036,1
67,195,64,0.001,0,0.75,none,65.8653869629,0,65.8653869629,65.8653869629,67.5480804443,0,67.5480804443,67.5480804443,1
68,198,64,0.001,0.0001,0.75,none,65.8653869629,0,65.8653869629,65.8653869629,67.5480804443,0,67.5480804443,67.5480804443,1
69,15,2,0.001,0,0.75,none,65.7451934814,0,65.7451934814,65.7451934814,63.3413505554,0,63.3413505554,63.3413505554,1
70,18,2,0.001,0.0001,0.75,none,65.7451934814,0,65.7451934814,65.7451934814,63.3413505554,0,63.3413505554,63.3413505554,1
71,34,2,0.0001,0.01,0.25,none,65.7451934814,0,65.7451934814,65.7451934814,62.9807701111,0,62.9807701111,62.9807701111,1
72,35,2,0.0001,0.01,0.5,none,65.7451934814,0,65.7451934814,65.7451934814,63.1009635925,0,63.1009635925,63.1009635925,1
73,36,2,0.0001,0.01,0.75,none,65.7451934814,0,65.7451934814,65.7451934814,63.3413505554,0,63.3413505554,63.3413505554,1
74,49,4,0.001,0,0.25,none,65.7451934814,0,65.7451934814,65.7451934814,63.1009635925,0,63.1009635925,63.1009635925,1
75,52,4,0.001,0.0001,0.25,none,65.7451934814,0,65.7451934814,65.7451934814,63.1009635925,0,63.1009635925,63.1009635925,1
76,55,4,0.001,0.001,0.25,none,65.7451934814,0,65.7451934814,65.7451934814,63.1009635925,0,63.1009635925,63.1009635925,1
77,32,2,0.0001,0.001,0.5,none,65.625,0,65.625,65.625,62.5,0,62.5,62.5,1
78,71,4,0.0001,0.01,0.5,none,65.625,0,65.625,65.625,63.5817337036,0,63.5817337036,63.5817337036,1
79,22,2,0.001,0.01,0.25,none,65.5048065186,0,65.5048065186,65.5048065186,62.6201934814,0,62.6201934814,62.6201934814,1
