rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,120,16,0.01,0.01,0.75,none,69.5913467407,0,69.5913467407,69.5913467407,67.9086532593,0,67.9086532593,67.9086532593,1
2,12,2,0.01,0.01,0.75,none,69.1105804443,0,69.1105804443,69.1105804443,66.7067337036,0,66.7067337036,66.7067337036,1
3,48,4,0.01,0.01,0.75,none,69.1105804443,0,69.1105804443,69.1105804443,67.4278869629,0,67.4278869629,67.4278869629,1
4,84,8,0.01,0.01,0.75,none,68.9903869629,0,68.9903869629,68.9903869629,67.9086532593,0,67.9086532593,67.9086532593,1
5,156,32,0.01,0.01,0.75,none,68.5096206665,0,68.5096206665,68.5096206665,68.9903869629,0,68.9903869629,68.9903869629,1
6,191,64,0.01,0.01,0.5,none,68.5096206665,0,68.5096206665,68.5096206665,67.1875,0,67.1875,67.1875,1
7,155,32,0.01,0.01,0.5,none,68.3894271851,0,68.3894271851,68.3894271851,67.1875,0,67.1875,67.1875,1
8,204,64,0.001,0.01,0.75,none,68.3894271851,0,68.3894271851,68.3894271851,68.75,0,68.75,68.75,1
9,168,32,0.001,0.01,0.75,none,68.0288467407,0,68.0288467407,68.0288467407,67.9086532593,0,67.9086532593,67.9086532593,1
10,83,8,0.01,0.01,0.5,none,67.9086532593,0,67.9086532593,67.9086532593,64.7836532593,0,64.7836532593,64.7836532593,1
11,132,16,0.001,0.01,0.75,none,67.9086532593,0,67.9086532593,67.9086532593,65.625,0,65.625,65.625,1
12,192,64,0.01,0.01,0.75,none,67.9086532593,0,67.9086532593,67.9086532593,68.6298141479,0,68.6298141479,68.6298141479,1
13,165,32,0.001,0.001,0.75,none,67.7884674072,0,67.7884674072,67.7884674072,66.7067337036,0,66.7067337036,66.7067337036,1
14,201,64,0.001,0.001,0.75,none,67.7884674072,0,67.7884674072,67.7884674072,67.1875,0,67.1875,67.1875,1
15,6,2,0.01,0.0001,0.75,none,67.6682739258,0,67.6682739258,67.6682739258,62.5,0,62.5,62.5,1
16,47,4,0.01,0.01,0.5,none,67.5480804443,0,67.5480804443,67.5480804443,65.3846206665,0,65.3846206665,65.3846206665,1
17,119,16,0.01,0.01,0.5,none,67.5480804443,0,67.5480804443,67.5480804443,64.6634674072,0,64.6634674072,64.6634674072,1
18,154,32,0.01,0.01,0.25,none,67.3076934814,0,67.3076934814,67.3076934814,64.1826934814,0,64.1826934814,64.1826934814,1
19,3,2,0.01,0,0.75,none,67.1875,0,67.1875,67.1875,63.8221206665,0,63.8221206665,63.8221206665,1
20,39,4,0.01,0,0.75,none,67.0673065186,0,67.0673065186,67.0673065186,65.0240402222,0,65.0240402222,65.0240402222,1
21,42,4,0.01,0.0001,0.75,none,67.0673065186,0,67.0673065186,67.0673065186,65.0240402222,0,65.0240402222,65.0240402222,1
22,111,16,0.01,0,0.75,none,67.0673065186,0,67.0673065186,67.0673065186,68.1490402222,0,68.1490402222,68.1490402222,1
23,114,16,0.01,0.0001,0.75,none,67.0673065186,0,67.0673065186,67.0673065186,67.0673065186,0,67.0673065186,67.0673065186,1
24,117,16,0.01,0.001,0.75,none,66.9471206665,0,66.9471206665,66.9471206665,67.0673065186,0,67.0673065186,67.0673065186,1
25,198,64,0.001,0.0001,0.75,none,66.9471206665,0,66.9471206665,66.9471206665,65.5048065186,0,65.5048065186,65.5048065186,1
26,159,32,0.001,0,0.75,none,66.8269271851,0,66.8269271851,66.8269271851,66.2259674072,0,66.2259674072,66.2259674072,1
27,9,2,0.01,0.001,0.75,none,66.7067337036,0,66.7067337036,66.7067337036,63.8221206665,0,63.8221206665,63.8221206665,1
28,82,8,0.01,0.01,0.25,none,66.7067337036,0,66.7067337036,66.7067337036,63.1009635925,0,63.1009635925,63.1009635925,1
29,129,16,0.001,0.001,0.75,none,66.5865402222,0,66.5865402222,66.5865402222,65.625,0,65.625,65.625,1
30,150,32,0.01,0.0001,0.75,none,66.5865402222,0,66.5865402222,66.5865402222,66.8269271851,0,66.8269271851,66.8269271851,1
31,162,32,0.001,0.0001,0.75,none,66.5865402222,0,66.5865402222,66.5865402222,65.5048065186,0,65.5048065186,65.5048065186,1
32,195,64,0.001,0,0.75,none,66.4663467407,0,66.4663467407,66.4663467407,64.9038467407,0,64.9038467407,64.9038467407,1
33,24,2,0.001,0.01,0.75,none,66.3461532593,0,66.3461532593,66.3461532593,64.3028869629,0,64.3028869629,64.3028869629,1
34,75,8,0.01,0,0.75,none,66.3461532593,0,66.3461532593,66.3461532593,66.2259674072,0,66.2259674072,66.2259674072,1
35,81,8,0.01,0.001,0.75,none,66.3461532593,0,66.3461532593,66.3461532593,66.3461532593,0,66.3461532593,66.3461532593,1
36,147,32,0.01,0,0.75,none,66.3461532593,0,66.3461532593,66.3461532593,66.7067337036,0,66.7067337036,66.7067337036,1
37,190,64,0.01,0.01,0.25,none,66.3461532593,0,66.3461532593,66.3461532593,64.4230804443,0,64.4230804443,64.4230804443,1
38,153,32,0.01,0.001,0.75,none,66.2259674072,0,66.2259674072,66.2259674072,66.4663467407,0,66.4663467407,66.4663467407,1
39,45,4,0.01,0.001,0.75,none,66.1057739258,0,66.1057739258,66.1057739258,64.6634674072,0,64.6634674072,64.6634674072,1
40,78,8,0.01,0.0001,0.75,none,66.1057739258,0,66.1057739258,66.1057739258,64.7836532593,0,64.7836532593,64.7836532593,1
41,118,16,0.01,0.01,0.25,none,65.9855804443,0,65.9855804443,65.9855804443,62.5,0,62.5,62.5,1
42,123,16,0.001,0,0.75,none,65.7451934814,0,65.7451934814,65.7451934814,62.3798065186,0,62.3798065186,62.3798065186,1
43,126,16,0.001,0.0001,0.75,none,65.625,0,65.625,65.625,62.0192337036,0,62.0192337036,62.0192337036,1
44,188,64,0.01,0.001,0.5,none,65.625,0,65.625,65.625,63.9423065186,0,63.9423065186,63.9423065186,1
45,189,64,0.01,0.001,0.75,none,65.3846206665,0,65.3846206665,65.3846206665,65.1442337036,0,65.1442337036,65.1442337036,1
46,183,64,0.01,0,0.75,none,65.2644271851,0,65.2644271851,65.2644271851,65.5048065186,0,65.5048065186,65.5048065186,1
47,46,4,0.01,0.01,0.25,none,65.1442337036,0,65.1442337036,65.1442337036,60.4567337036,0,60.4567337036,60.4567337036,1
48,10,2,0.01,0.01,0.25,none,64.9038467407,0,64.9038467407,64.9038467407,61.658657074,0,61.658657074,61.658657074,1
49,186,64,0.01,0.0001,0.75,none,64.9038467407,0,64.9038467407,64.9038467407,63.9423065186,0,63.9423065186,63.9423065186,1
50,108,8,0.0001,0.01,0.75,none,64.6634674072,0,64.6634674072,64.6634674072,62.5,0,62.5,62.5,1
51,135,16,0.0001,0,0.75,none,64.5432739258,0,64.5432739258,64.5432739258,62.8605766296,0,62.8605766296,62.8605766296,1
52,138,16,0.0001,0.0001,0.75,none,64.5432739258,0,64.5432739258,64.5432739258,62.7403869629,0,62.7403869629,62.7403869629,1
53,141,16,0.0001,0.001,0.75,none,64.5432739258,0,64.5432739258,64.5432739258,62.7403869629,0,62.7403869629,62.7403869629,1
54,144,16,0.0001,0.01,0.75,none,64.5432739258,0,64.5432739258,64.5432739258,62.6201934814,0,62.6201934814,62.6201934814,1
55,99,8,0.0001,0,0.75,none,64.3028869629,0,64.3028869629,64.3028869629,61.7788505554,0,61.7788505554,61.7788505554,1
56,102,8,0.0001,0.0001,0.75,none,64.3028869629,0,64.3028869629,64.3028869629,61.7788505554,0,61.7788505554,61.7788505554,1
57,105,8,0.0001,0.001,0.75,none,64.3028869629,0,64.3028869629,64.3028869629,61.7788505554,0,61.7788505554,61.7788505554,1
58,179,32,0.0001,0.01,0.5,none,64.3028869629,0,64.3028869629,64.3028869629,62.6201934814,0,62.6201934814,62.6201934814,1
59,170,32,0.0001,0,0.5,none,64.0625,0,64.0625,64.0625,62.5,0,62.5,62.5,1
60,173,32,0.0001,0.0001,0.5,none,64.0625,0,64.0625,64.0625,62.5,0,62.5,62.5,1
61,176,32,0.0001,0.001,0.5,none,64.0625,0,64.0625,64.0625,62.6201934814,0,62.6201934814,62.6201934814,1
62,171,32,0.0001,0,0.75,none,63.8221206665,0,63.8221206665,63.8221206665,61.5384635925,0,61.5384635925,61.5384635925,1
63,174,32,0.0001,0.0001,0.75,none,63.8221206665,0,63.8221206665,63.8221206665,61.5384635925,0,61.5384635925,61.5384635925,1
64,177,32,0.0001,0.001,0.75,none,63.8221206665,0,63.8221206665,63.8221206665,61.5384635925,0,61.5384635925,61.5384635925,1
65,180,32,0.0001,0.01,0.75,none,63.8221206665,0,63.8221206665,63.8221206665,61.5384635925,0,61.5384635925,61.5384635925,1
66,98,8,0.0001,0,0.5,none,63.4615402222,0,63.4615402222,63.4615402222,61.658657074,0,61.658657074,61.658657074,1
67,101,8,0.0001,0.0001,0.5,none,63.4615402222,0,63.4615402222,63.4615402222,61.658657074,0,61.658657074,61.658657074,1
68,104,8,0.0001,0.001,0.5,none,63.4615402222,0,63.4615402222,63.4615402222,61.4182701111,0,61.4182701111,61.4182701111,1
69,107,8,0.0001,0.01,0.5,none,63.4615402222,0,63.4615402222,63.4615402222,61.4182701111,0,61.4182701111,61.4182701111,1
70,143,16,0.0001,0.01,0.5,none,63.4615402222,0,63.4615402222,63.4615402222,61.658657074,0,61.658657074,61.658657074,1
71,63,4,0.0001,0,0.75,none,63.3413505554,0,63.3413505554,63.3413505554,61.5384635925,0,61.5384635925,61.5384635925,1
72,66,4,0.0001,0.0001,0.75,none,63.3413505554,0,63.3413505554,63.3413505554,61.5384635925,0,61.5384635925,61.5384635925,1
73,69,4,0.0001,0.001,0.75,none,63.3413505554,0,63.3413505554,63.3413505554,61.5384635925,0,61.5384635925,61.5384635925,1
74,72,4,0.0001,0.01,0.75,none,63.3413505554,0,63.3413505554,63.3413505554,61.5384635925,0,61.5384635925,61.5384635925,1
75,169,32,0.0001,0,0.25,none,63.3413505554,0,63.3413505554,63.3413505554,61.1778869629,0,61.1778869629,61.1778869629,1
76,172,32,0.0001,0.0001,0.25,none,63.3413505554,0,63.3413505554,63.3413505554,61.1778869629,0,61.1778869629,61.1778869629,1
77,178,32,0.0001,0.01,0.25,none,63.3413505554,0,63.3413505554,63.3413505554,61.1778869629,0,61.1778869629,61.1778869629,1
78,207,64,0.0001,0,0.75,none,63.3413505554,0,63.3413505554,63.3413505554,62.8605766296,0,62.8605766296,62.8605766296,1
79,210,64,0.0001,0.0001,0.75,none,63.3413505554,0,63.3413505554,63.3413505554,62.3798065186,0,62.3798065186,62.3798065186,1
80,213,64,0.0001,0.001,0.75,none,63.3413505554,0,63.3413505554,63.3413505554,62.8605766296,0,62.8605766296,62.8605766296,1
81,134,16,0.0001,0,0.5,none,63.221157074,0,63.221157074,63.221157074,61.2980766296,0,61.2980766296,61.2980766296,1
82,137,16,0.0001,0.0001,0.5,none,63.221157074,0,63.221157074,63.221157074,61.2980766296,0,61.2980766296,61.2980766296,1
83,140,16,0.0001,0.001,0.5,none,63.221157074,0,63.221157074,63.221157074,61.2980766296,0,61.2980766296,61.2980766296,1
84,175,32,0.0001,0.001,0.25,none,63.221157074,0,63.221157074,63.221157074,61.1778869629,0,61.1778869629,61.1778869629,1
85,216,64,0.0001,0.01,0.75,none,63.221157074,0,63.221157074,63.221157074,62.3798065186,0,62.3798065186,62.3798065186,1
86,97,8,0.0001,0,0.25,none,63.1009635925,0,63.1009635925,63.1009635925,60.9375,0,60.9375,60.9375,1
87,100,8,0.0001,0.0001,0.25,none,63.1009635925,0,63.1009635925,63.1009635925,60.9375,0,60.9375,60.9375,1
88,103,8,0.0001,0.001,0.25,none,63.1009635925,0,63.1009635925,63.1009635925,60.9375,0,60.9375,60.9375,1
89,106,8,0.0001,0.01,0.25,none,63.1009635925,0,63.1009635925,63.1009635925,60.9375,0,60.9375,60.9375,1
90,206,64,0.0001,0,0.5,none,63.1009635925,0,63.1009635925,63.1009635925,61.5384635925,0,61.5384635925,61.5384635925,1
91,209,64,0.0001,0.0001,0.5,none,63.1009635925,0,63.1009635925,63.1009635925,61.5384635925,0,61.5384635925,61.5384635925,1
92,212,64,0.0001,0.001,0.5,none,63.1009635925,0,63.1009635925,63.1009635925,61.5384635925,0,61.5384635925,61.5384635925,1
93,215,64,0.0001,0.01,0.5,none,63.1009635925,0,63.1009635925,63.1009635925,61.5384635925,0,61.5384635925,61.5384635925,1
94,142,16,0.0001,0.01,0.25,none,62.9807701111,0,62.9807701111,62.9807701111,61.0576934814,0,61.0576934814,61.0576934814,1
95,214,64,0.0001,0.01,0.25,none,62.9807701111,0,62.9807701111,62.9807701111,61.7788505554,0,61.7788505554,61.7788505554,1
96,133,16,0.0001,0,0.25,none,62.8605766296,0,62.8605766296,62.8605766296,60.5769271851,0,60.5769271851,60.5769271851,1
97,136,16,0.0001,0.0001,0.25,none,62.8605766296,0,62.8605766296,62.8605766296,60.5769271851,0,60.5769271851,60.5769271851,1
98,139,16,0.0001,0.001,0.25,none,62.8605766296,0,62.8605766296,62.8605766296,60.5769271851,0,60.5769271851,60.5769271851,1
99,205,64,0.0001,0,0.25,none,62.8605766296,0,62.8605766296,62.8605766296,62.1394271851,0,62.1394271851,62.1394271851,1
100,208,64,0.0001,0.0001,0.25,none,62.8605766296,0,62.8605766296,62.8605766296,62.1394271851,0,62.1394271851,62.1394271851,1
101,211,64,0.0001,0.001,0.25,none,62.8605766296,0,62.8605766296,62.8605766296,62.1394271851,0,62.1394271851,62.1394271851,1
102,62,4,0.0001,0,0.5,none,62.1394271851,0,62.1394271851,62.1394271851,60.096157074,0,60.096157074,60.096157074,1
103,65,4,0.0001,0.0001,0.5,none,62.1394271851,0,62.1394271851,62.1394271851,60.096157074,0,60.096157074,60.096157074,1
104,68,4,0.0001,0.001,0.5,none,62.1394271851,0,62.1394271851,62.1394271851,60.096157074,0,60.096157074,60.096157074,1
105,71,4,0.0001,0.01,0.5,none,62.1394271851,0,62.1394271851,62.1394271851,60.096157074,0,60.096157074,60.096157074,1
106,36,2,0.0001,0.01,0.75,none,61.658657074,0,61.658657074,61.658657074,60.2163505554,0,60.2163505554,60.2163505554,1
107,61,4,0.0001,0,0.25,none,61.658657074,0,61.658657074,61.658657074,58.4134635925,0,58.4134635925,58.4134635925,1
108,64,4,0.0001,0.0001,0.25,none,61.658657074,0,61.658657074,61.658657074,58.4134635925,0,58.4134635925,58.4134635925,1
109,67,4,0.0001,0.001,0.25,none,61.658657074,0,61.658657074,61.658657074,58.4134635925,0,58.4134635925,58.4134635925,1
110,70,4,0.0001,0.01,0.25,none,61.658657074,0,61.658657074,61.658657074,58.2932701111,0,58.2932701111,58.2932701111,1
111,127,16,0.001,0.001,0.25,none,61.658657074,0,61.658657074,61.658657074,61.2980766296,0,61.2980766296,61.2980766296,1
112,130,16,0.001,0.01,0.25,none,61.658657074,0,61.658657074,61.658657074,61.4182701111,0,61.4182701111,61.4182701111,1
113,121,16,0.001,0,0.25,none,61.5384635925,0,61.5384635925,61.5384635925,61.2980766296,0,61.2980766296,61.2980766296,1
114,124,16,0.001,0.0001,0.25,none,61.5384635925,0,61.5384635925,61.5384635925,61.2980766296,0,61.2980766296,61.2980766296,1
115,27,2,0.0001,0,0.75,none,61.4182701111,0,61.4182701111,61.4182701111,60.2163505554,0,60.2163505554,60.2163505554,1
116,30,2,0.0001,0.0001,0.75,none,61.4182701111,0,61.4182701111,61.4182701111,60.2163505554,0,60.2163505554,60.2163505554,1
117,33,2,0.0001,0.001,0.75,none,61.4182701111,0,61.4182701111,61.4182701111,60.2163505554,0,60.2163505554,60.2163505554,1
118,85,8,0.001,0,0.25,none,61.2980766296,0,61.2980766296,61.2980766296,60.6971206665,0,60.6971206665,60.6971206665,1
119,88,8,0.001,0.0001,0.25,none,61.2980766296,0,61.2980766296,61.2980766296,60.6971206665,0,60.6971206665,60.6971206665,1
120,91,8,0.001,0.001,0.25,none,61.2980766296,0,61.2980766296,61.2980766296,60.6971206665,0,60.6971206665,60.6971206665,1
121,94,8,0.001,0.01,0.25,none,61.2980766296,0,61.2980766296,61.2980766296,60.8173065186,0,60.8173065186,60.8173065186,1
122,95,8,0.001,0.01,0.5,none,61.2980766296,0,61.2980766296,61.2980766296,59.2548065186,0,59.2548065186,59.2548065186,1
123,122,16,0.001,0,0.5,none,61.2980766296,0,61.2980766296,61.2980766296,60.9375,0,60.9375,60.9375,1
124,125,16,0.001,0.0001,0.5,none,61.2980766296,0,61.2980766296,61.2980766296,60.9375,0,60.9375,60.9375,1
125,128,16,0.001,0.001,0.5,none,61.2980766296,0,61.2980766296,61.2980766296,60.9375,0,60.9375,60.9375,1
126,131,16,0.001,0.01,0.5,none,61.2980766296,0,61.2980766296,61.2980766296,60.9375,0,60.9375,60.9375,1
127,193,64,0.001,0,0.25,none,61.2980766296,0,61.2980766296,61.2980766296,61.8990402222,0,61.8990402222,61.8990402222,1
128,196,64,0.001,0.0001,0.25,none,61.2980766296,0,61.2980766296,61.2980766296,61.8990402222,0,61.8990402222,61.8990402222,1
129,199,64,0.001,0.001,0.25,none,61.2980766296,0,61.2980766296,61.2980766296,61.8990402222,0,61.8990402222,61.8990402222,1
130,202,64,0.001,0.01,0.25,none,61.2980766296,0,61.2980766296,61.2980766296,62.0192337036,0,62.0192337036,62.0192337036,1
131,86,8,0.001,0,0.5,none,61.0576934814,0,61.0576934814,61.0576934814,59.2548065186,0,59.2548065186,59.2548065186,1
132,89,8,0.001,0.0001,0.5,none,61.0576934814,0,61.0576934814,61.0576934814,59.2548065186,0,59.2548065186,59.2548065186,1
133,92,8,0.001,0.001,0.5,none,61.0576934814,0,61.0576934814,61.0576934814,59.1346206665,0,59.1346206665,59.1346206665,1
134,166,32,0.001,0.01,0.25,none,60.8173065186,0,60.8173065186,60.8173065186,61.0576934814,0,61.0576934814,61.0576934814,1
135,157,32,0.001,0,0.25,none,60.6971206665,0,60.6971206665,60.6971206665,60.8173065186,0,60.8173065186,60.8173065186,1
136,160,32,0.001,0.0001,0.25,none,60.6971206665,0,60.6971206665,60.6971206665,60.8173065186,0,60.8173065186,60.8173065186,1
137,163,32,0.001,0.001,0.25,none,60.6971206665,0,60.6971206665,60.6971206665,61.0576934814,0,61.0576934814,61.0576934814,1
138,158,32,0.001,0,0.5,none,60.5769271851,0,60.5769271851,60.5769271851,60.9375,0,60.9375,60.9375,1
139,161,32,0.001,0.0001,0.5,none,60.5769271851,0,60.5769271851,60.5769271851,60.9375,0,60.9375,60.9375,1
140,164,32,0.001,0.001,0.5,none,60.4567337036,0,60.4567337036,60.4567337036,60.9375,0,60.9375,60.9375,1
141,167,32,0.001,0.01,0.5,none,60.4567337036,0,60.4567337036,60.4567337036,60.8173065186,0,60.8173065186,60.8173065186,1
142,60,4,0.001,0.01,0.75,none,60.2163505554,0,60.2163505554,60.2163505554,58.2932701111,0,58.2932701111,58.2932701111,1
143,49,4,0.001,0,0.25,none,60.096157074,0,60.096157074,60.096157074,57.3317337036,0,57.3317337036,57.3317337036,1
144,51,4,0.001,0,0.75,none,60.096157074,0,60.096157074,60.096157074,58.4134635925,0,58.4134635925,58.4134635925,1
145,52,4,0.001,0.0001,0.25,none,60.096157074,0,60.096157074,60.096157074,57.4519271851,0,57.4519271851,57.4519271851,1
146,54,4,0.001,0.0001,0.75,none,60.096157074,0,60.096157074,60.096157074,58.4134635925,0,58.4134635925,58.4134635925,1
147,55,4,0.001,0.001,0.25,none,60.096157074,0,60.096157074,60.096157074,57.4519271851,0,57.4519271851,57.4519271851,1
148,57,4,0.001,0.001,0.75,none,60.096157074,0,60.096157074,60.096157074,58.4134635925,0,58.4134635925,58.4134635925,1
149,58,4,0.001,0.01,0.25,none,60.096157074,0,60.096157074,60.096157074,57.3317337036,0,57.3317337036,57.3317337036,1
150,50,4,0.001,0,0.5,none,59.9759635925,0,59.9759635925,59.9759635925,57.8125,0,57.8125,57.8125,1
151,53,4,0.001,0.0001,0.5,none,59.9759635925,0,59.9759635925,59.9759635925,57.8125,0,57.8125,57.8125,1
152,56,4,0.001,0.001,0.5,none,59.9759635925,0,59.9759635925,59.9759635925,57.8125,0,57.8125,57.8125,1
