rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,46,4,0.01,0.01,0.25,none,80.9711990356,0,80.9711990356,80.9711990356,79.954826355,0,79.954826355,79.954826355,1
2,37,4,0.01,0,0.25,none,80.9147338867,0,80.9147338867,80.9147338867,79.954826355,0,79.954826355,79.954826355,1
3,40,4,0.01,0.0001,0.25,none,80.9147338867,0,80.9147338867,80.9147338867,79.954826355,0,79.954826355,79.954826355,1
4,43,4,0.01,0.001,0.25,none,80.9147338867,0,80.9147338867,80.9147338867,79.954826355,0,79.954826355,79.954826355,1
5,169,32,0.0001,0,0.25,none,80.5759429932,0,80.5759429932,80.5759429932,79.0513839722,0,79.0513839722,79.0513839722,1
6,133,16,0.0001,0,0.25,none,80.2371520996,0,80.2371520996,80.2371520996,77.9785385132,0,77.9785385132,77.9785385132,1
7,178,32,0.0001,0.01,0.25,none,80.2371520996,0,80.2371520996,80.2371520996,79.2207794189,0,79.2207794189,79.2207794189,1
8,172,32,0.0001,0.0001,0.25,none,80.1806869507,0,80.1806869507,80.1806869507,78.430267334,0,78.430267334,78.430267334,1
9,139,16,0.0001,0.001,0.25,none,80.1242218018,0,80.1242218018,80.1242218018,77.9220733643,0,77.9220733643,77.9220733643,1
10,142,16,0.0001,0.01,0.25,none,80.1242218018,0,80.1242218018,80.1242218018,77.9785385132,0,77.9785385132,77.9785385132,1
11,175,32,0.0001,0.001,0.25,none,80.1242218018,0,80.1242218018,80.1242218018,77.5832824707,0,77.5832824707,77.5832824707,1
12,136,16,0.0001,0.0001,0.25,none,80.0677566528,0,80.0677566528,80.0677566528,77.8656158447,0,77.8656158447,77.8656158447,1
13,179,32,0.0001,0.01,0.5,none,79.7854309082,0,79.7854309082,79.7854309082,77.4703598022,0,77.4703598022,77.4703598022,1
14,205,64,0.0001,0,0.25,none,79.7854309082,0,79.7854309082,79.7854309082,76.7363052368,0,76.7363052368,76.7363052368,1
15,170,32,0.0001,0,0.5,none,79.6725006104,0,79.6725006104,79.6725006104,78.6561279297,0,78.6561279297,78.6561279297,1
16,10,2,0.01,0.01,0.25,none,79.5595703125,0,79.5595703125,79.5595703125,77.9220733643,0,77.9220733643,77.9220733643,1
17,173,32,0.0001,0.0001,0.5,none,79.5595703125,0,79.5595703125,79.5595703125,78.2608718872,0,78.2608718872,78.2608718872,1
18,208,64,0.0001,0.0001,0.25,none,79.4466400146,0,79.4466400146,79.4466400146,76.3410491943,0,76.3410491943,76.3410491943,1
19,211,64,0.0001,0.001,0.25,none,79.2772445679,0,79.2772445679,79.2772445679,76.1716537476,0,76.1716537476,76.1716537476,1
20,4,2,0.01,0.0001,0.25,none,79.2207794189,0,79.2207794189,79.2207794189,76.9057006836,0,76.9057006836,76.9057006836,1
21,214,64,0.0001,0.01,0.25,none,79.16431427,0,79.16431427,79.16431427,76.2845840454,0,76.2845840454,76.2845840454,1
22,176,32,0.0001,0.001,0.5,none,79.0513839722,0,79.0513839722,79.0513839722,77.6962127686,0,77.6962127686,77.6962127686,1
23,134,16,0.0001,0,0.5,none,78.9949188232,0,78.9949188232,78.9949188232,76.6798400879,0,76.6798400879,76.6798400879,1
24,137,16,0.0001,0.0001,0.5,none,78.9949188232,0,78.9949188232,78.9949188232,76.5104446411,0,76.5104446411,76.5104446411,1
25,140,16,0.0001,0.001,0.5,none,78.8819885254,0,78.8819885254,78.8819885254,76.7363052368,0,76.7363052368,76.7363052368,1
26,143,16,0.0001,0.01,0.5,none,78.8819885254,0,78.8819885254,78.8819885254,76.9057006836,0,76.9057006836,76.9057006836,1
27,58,4,0.001,0.01,0.25,none,78.7690582275,0,78.7690582275,78.7690582275,77.1315612793,0,77.1315612793,77.1315612793,1
28,49,4,0.001,0,0.25,none,78.7125854492,0,78.7125854492,78.7125854492,77.3009567261,0,77.3009567261,77.3009567261,1
29,52,4,0.001,0.0001,0.25,none,78.7125854492,0,78.7125854492,78.7125854492,77.3009567261,0,77.3009567261,77.3009567261,1
30,55,4,0.001,0.001,0.25,none,78.7125854492,0,78.7125854492,78.7125854492,77.3009567261,0,77.3009567261,77.3009567261,1
31,50,4,0.001,0,0.5,none,78.14793396,0,78.14793396,78.14793396,76.1716537476,0,76.1716537476,76.1716537476,1
32,53,4,0.001,0.0001,0.5,none,78.14793396,0,78.14793396,78.14793396,76.1716537476,0,76.1716537476,76.1716537476,1
33,56,4,0.001,0.001,0.5,none,78.14793396,0,78.14793396,78.14793396,76.1716537476,0,76.1716537476,76.1716537476,1
34,59,4,0.001,0.01,0.5,none,78.14793396,0,78.14793396,78.14793396,76.1716537476,0,76.1716537476,76.1716537476,1
35,1,2,0.01,0,0.25,none,77.7526779175,0,77.7526779175,77.7526779175,75.4376068115,0,75.4376068115,75.4376068115,1
36,7,2,0.01,0.001,0.25,none,77.7526779175,0,77.7526779175,77.7526779175,75.2682113647,0,75.2682113647,75.2682113647,1
37,13,2,0.001,0,0.25,none,76.623374939,0,76.623374939,76.623374939,74.8164901733,0,74.8164901733,74.8164901733,1
38,16,2,0.001,0.0001,0.25,none,76.623374939,0,76.623374939,76.623374939,74.8164901733,0,74.8164901733,74.8164901733,1
39,19,2,0.001,0.001,0.25,none,76.623374939,0,76.623374939,76.623374939,74.8164901733,0,74.8164901733,74.8164901733,1
40,22,2,0.001,0.01,0.25,none,76.623374939,0,76.623374939,76.623374939,75.042350769,0,75.042350769,75.042350769,1
41,107,8,0.0001,0.01,0.5,none,76.56690979,0,76.56690979,76.56690979,73.2919235229,0,73.2919235229,73.2919235229,1
42,104,8,0.0001,0.001,0.5,none,76.2281188965,0,76.2281188965,76.2281188965,73.0660629272,0,73.0660629272,73.0660629272,1
43,101,8,0.0001,0.0001,0.5,none,76.1716537476,0,76.1716537476,76.1716537476,73.4048538208,0,73.4048538208,73.4048538208,1
44,14,2,0.001,0,0.5,none,76.0022583008,0,76.0022583008,76.0022583008,75.3246688843,0,75.3246688843,75.3246688843,1
45,17,2,0.001,0.0001,0.5,none,76.0022583008,0,76.0022583008,76.0022583008,75.3246688843,0,75.3246688843,75.3246688843,1
46,20,2,0.001,0.001,0.5,none,76.0022583008,0,76.0022583008,76.0022583008,75.3246688843,0,75.3246688843,75.3246688843,1
47,23,2,0.001,0.01,0.5,none,76.0022583008,0,76.0022583008,76.0022583008,75.3246688843,0,75.3246688843,75.3246688843,1
48,98,8,0.0001,0,0.5,none,75.55052948,0,75.55052948,75.55052948,72.2190856934,0,72.2190856934,72.2190856934,1
49,38,4,0.01,0,0.5,none,75.4376068115,0,75.4376068115,75.4376068115,72.7837371826,0,72.7837371826,72.7837371826,1
50,41,4,0.01,0.0001,0.5,none,75.4376068115,0,75.4376068115,75.4376068115,72.7837371826,0,72.7837371826,72.7837371826,1
51,44,4,0.01,0.001,0.5,none,75.4376068115,0,75.4376068115,75.4376068115,72.7837371826,0,72.7837371826,72.7837371826,1
52,47,4,0.01,0.01,0.5,none,75.4376068115,0,75.4376068115,75.4376068115,72.8402023315,0,72.8402023315,72.8402023315,1
53,85,8,0.001,0,0.25,none,74.9294128418,0,74.9294128418,74.9294128418,73.6871871948,0,73.6871871948,73.6871871948,1
54,88,8,0.001,0.0001,0.25,none,74.9294128418,0,74.9294128418,74.9294128418,73.6871871948,0,73.6871871948,73.6871871948,1
