rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,76,8,0.01,0.0001,0.25,none,70.1648712158,0,70.1648712158,70.1648712158,69.9640960693,0,69.9640960693,69.9640960693,1
2,74,8,0.01,0,0.5,none,70.1152648926,0,70.1152648926,70.1152648926,69.7940292358,0,69.7940292358,69.7940292358,1
3,77,8,0.01,0.0001,0.5,none,70.0562210083,0,70.0562210083,70.0562210083,69.8011169434,0,69.8011169434,69.8011169434,1
4,73,8,0.01,0,0.25,none,69.9806365967,0,69.9806365967,69.9806365967,69.7160873413,0,69.7160873413,69.7160873413,1
5,75,8,0.01,0,0.75,none,69.7444229126,0,69.7444229126,69.7444229126,69.5625457764,0,69.5625457764,69.5625457764,1
6,78,8,0.01,0.0001,0.75,none,69.550743103,0,69.550743103,69.550743103,69.2956390381,0,69.2956390381,69.2956390381,1
7,41,4,0.01,0.0001,0.5,none,69.3381576538,0,69.3381576538,69.3381576538,69.2720184326,0,69.2720184326,69.2720184326,1
8,109,16,0.01,0,0.25,none,69.3192520142,0,69.3192520142,69.3192520142,69.1704483032,0,69.1704483032,69.1704483032,1
9,43,4,0.01,0.001,0.25,none,69.1987915039,0,69.1987915039,69.1987915039,68.9106216431,0,68.9106216431,68.9106216431,1
10,38,4,0.01,0,0.5,none,69.135017395,0,69.135017395,69.135017395,69.0121917725,0,69.0121917725,69.0121917725,1
11,79,8,0.01,0.001,0.25,none,69.1019439697,0,69.1019439697,69.1019439697,68.7169342041,0,68.7169342041,68.7169342041,1
12,110,16,0.01,0,0.5,none,69.0570678711,0,69.0570678711,69.0570678711,68.7665328979,0,68.7665328979,68.7665328979,1
13,112,16,0.01,0.0001,0.25,none,68.8208618164,0,68.8208618164,68.8208618164,68.5586776733,0,68.5586776733,68.5586776733,1
14,39,4,0.01,0,0.75,none,68.794883728,0,68.794883728,68.794883728,68.4736404419,0,68.4736404419,68.4736404419,1
15,44,4,0.01,0.001,0.5,none,68.7830657959,0,68.7830657959,68.7830657959,68.4783630371,0,68.4783630371,68.4783630371,1
16,40,4,0.01,0.0001,0.25,none,68.780708313,0,68.780708313,68.780708313,68.8846435547,0,68.8846435547,68.8846435547,1
17,113,16,0.01,0.0001,0.5,none,68.6295394897,0,68.6295394897,68.6295394897,68.4760055542,0,68.4760055542,68.4760055542,1
18,80,8,0.01,0.001,0.5,none,68.603553772,0,68.603553772,68.603553772,68.1925506592,0,68.1925506592,68.1925506592,1
19,42,4,0.01,0.0001,0.75,none,68.572845459,0,68.572845459,68.572845459,68.2397994995,0,68.2397994995,68.2397994995,1
20,111,16,0.01,0,0.75,none,68.572845459,0,68.572845459,68.572845459,68.3626251221,0,68.3626251221,68.3626251221,1
21,37,4,0.01,0,0.25,none,68.3248291016,0,68.3248291016,68.3248291016,68.3012161255,0,68.3012161255,68.3012161255,1
22,114,16,0.01,0.0001,0.75,none,67.6587295532,0,67.6587295532,67.6587295532,67.4532318115,0,67.4532318115,67.4532318115,1
23,49,4,0.001,0,0.25,none,67.4296112061,0,67.4296112061,67.4296112061,67.1910476685,0,67.1910476685,67.1910476685,1
24,45,4,0.01,0.001,0.75,none,67.4248886108,0,67.4248886108,67.4248886108,67.1414413452,0,67.1414413452,67.1414413452,1
25,52,4,0.001,0.0001,0.25,none,67.3847351074,0,67.3847351074,67.3847351074,67.2193908691,0,67.2193908691,67.2193908691,1
26,81,8,0.01,0.001,0.75,none,67.2477340698,0,67.2477340698,67.2477340698,66.8887023926,0,66.8887023926,66.8887023926,1
27,50,4,0.001,0,0.5,none,67.2170257568,0,67.2170257568,67.2170257568,67.0493164062,0,67.0493164062,67.0493164062,1
28,53,4,0.001,0.0001,0.5,none,67.1036453247,0,67.1036453247,67.1036453247,67.0115280151,0,67.0115280151,67.0115280151,1
29,85,8,0.001,0,0.25,none,67.0942001343,0,67.0942001343,67.0942001343,66.8367385864,0,66.8367385864,66.8367385864,1
30,88,8,0.001,0.0001,0.25,none,67.0068054199,0,67.0068054199,67.0068054199,66.76587677,0,66.76587677,66.76587677,1
31,86,8,0.001,0,0.5,none,66.9548416138,0,66.9548416138,66.9548416138,66.6477737427,0,66.6477737427,66.6477737427,1
32,145,32,0.01,0,0.25,none,66.9383087158,0,66.9383087158,66.9383087158,66.8532714844,0,66.8532714844,66.8532714844,1
33,89,8,0.001,0.0001,0.5,none,66.8320083618,0,66.8320083618,66.8320083618,66.5887145996,0,66.5887145996,66.5887145996,1
34,5,2,0.01,0.0001,0.5,none,66.7328033447,0,66.7328033447,66.7328033447,66.7280807495,0,66.7280807495,66.7280807495,1
35,2,2,0.01,0,0.5,none,66.605255127,0,66.605255127,66.605255127,66.6666717529,0,66.6666717529,66.6666717529,1
36,3,2,0.01,0,0.75,none,66.5485610962,0,66.5485610962,66.5485610962,66.2698440552,0,66.2698440552,66.2698440552,1
37,7,2,0.01,0.001,0.25,none,66.3997497559,0,66.3997497559,66.3997497559,66.2438583374,0,66.2438583374,66.2438583374,1
38,55,4,0.001,0.001,0.25,none,66.3595962524,0,66.3595962524,66.3595962524,66.3595962524,0,66.3595962524,66.3595962524,1
39,6,2,0.01,0.0001,0.75,none,66.3430633545,0,66.3430633545,66.3430633545,66.1918945312,0,66.1918945312,66.1918945312,1
40,146,32,0.01,0,0.5,none,66.3265304565,0,66.3265304565,66.3265304565,66.2013397217,0,66.2013397217,66.2013397217,1
41,8,2,0.01,0.001,0.5,none,66.3123626709,0,66.3123626709,66.3123626709,66.0761566162,0,66.0761566162,66.0761566162,1
42,115,16,0.01,0.001,0.25,none,66.0903244019,0,66.0903244019,66.0903244019,65.7974319458,0,65.7974319458,65.7974319458,1
43,56,4,0.001,0.001,0.5,none,65.99584198,0,65.99584198,65.99584198,65.9297027588,0,65.9297027588,65.9297027588,1
44,51,4,0.001,0,0.75,none,65.9769439697,0,65.9769439697,65.9769439697,65.7903442383,0,65.7903442383,65.7903442383,1
45,87,8,0.001,0,0.75,none,65.9131698608,0,65.9131698608,65.9131698608,65.639175415,0,65.639175415,65.639175415,1
46,54,4,0.001,0.0001,0.75,none,65.8848266602,0,65.8848266602,65.8848266602,65.6273574829,0,65.6273574829,65.6273574829,1
47,90,8,0.001,0.0001,0.75,none,65.7312927246,0,65.7312927246,65.7312927246,65.5163497925,0,65.5163497925,65.5163497925,1
48,116,16,0.01,0.001,0.5,none,65.5517730713,0,65.5517730713,65.5517730713,65.3321075439,0,65.3321075439,65.3321075439,1
49,4,2,0.01,0.0001,0.25,none,65.5376052856,0,65.5376052856,65.5376052856,65.7360229492,0,65.7360229492,65.7360229492,1
50,148,32,0.01,0.0001,0.25,none,65.5163497925,0,65.5163497925,65.5163497925,65.284866333,0,65.284866333,65.284866333,1
51,147,32,0.01,0,0.75,none,65.4242248535,0,65.4242248535,65.4242248535,65.2258148193,0,65.2258148193,65.2258148193,1
52,91,8,0.001,0.001,0.25,none,65.4029693604,0,65.4029693604,65.4029693604,65.1832962036,0,65.1832962036,65.1832962036,1
53,92,8,0.001,0.001,0.5,none,65.1667633057,0,65.1667633057,65.1667633057,64.9589004517,0,64.9589004517,64.9589004517,1
54,1,2,0.01,0,0.25,none,65.0840911865,0,65.0840911865,65.0840911865,65.3439178467,0,65.3439178467,65.3439178467,1
55,9,2,0.01,0.001,0.75,none,64.9990539551,0,64.9990539551,64.9990539551,64.8951263428,0,64.8951263428,64.8951263428,1
56,149,32,0.01,0.0001,0.5,none,64.7888336182,0,64.7888336182,64.7888336182,64.7321472168,0,64.7321472168,64.7321472168,1
57,14,2,0.001,0,0.5,none,64.7722930908,0,64.7722930908,64.7722930908,64.7085266113,0,64.7085266113,64.7085266113,1
58,17,2,0.001,0.0001,0.5,none,64.7439575195,0,64.7439575195,64.7439575195,64.7085266113,0,64.7085266113,64.7085266113,1
59,13,2,0.001,0,0.25,none,64.5927810669,0,64.5927810669,64.5927810669,64.4605102539,0,64.4605102539,64.4605102539,1
60,16,2,0.001,0.0001,0.25,none,64.5833282471,0,64.5833282471,64.5833282471,64.4935760498,0,64.4935760498,64.4935760498,1
61,57,4,0.001,0.001,0.75,none,64.5762481689,0,64.5762481689,64.5762481689,64.3612976074,0,64.3612976074,64.3612976074,1
62,117,16,0.01,0.001,0.75,none,64.2809906006,0,64.2809906006,64.2809906006,64.2124862671,0,64.2124862671,64.2124862671,1
63,19,2,0.001,0.001,0.25,none,64.1865081787,0,64.1865081787,64.1865081787,64.2266616821,0,64.2266616821,64.2266616821,1
64,93,8,0.001,0.001,0.75,none,63.9668388367,0,63.9668388367,63.9668388367,63.8321990967,0,63.8321990967,63.8321990967,1
65,150,32,0.01,0.0001,0.75,none,63.9314041138,0,63.9314041138,63.9314041138,64.0660476685,0,64.0660476685,64.0660476685,1
66,121,16,0.001,0,0.25,none,63.8699951172,0,63.8699951172,63.8699951172,63.9337654114,0,63.9337654114,63.9337654114,1
67,20,2,0.001,0.001,0.5,none,63.8487319946,0,63.8487319946,63.8487319946,63.8699951172,0,63.8699951172,63.8699951172,1
68,124,16,0.001,0.0001,0.25,none,63.7825965881,0,63.7825965881,63.7825965881,63.8369255066,0,63.8369255066,63.8369255066,1
69,122,16,0.001,0,0.5,none,63.626701355,0,63.626701355,63.626701355,63.7164611816,0,63.7164611816,63.7164611816,1
70,15,2,0.001,0,0.75,none,63.5629234314,0,63.5629234314,63.5629234314,63.5298538208,0,63.5298538208,63.5298538208,1
71,125,16,0.001,0.0001,0.5,none,63.4637184143,0,63.4637184143,63.4637184143,63.5912704468,0,63.5912704468,63.5912704468,1
72,18,2,0.001,0.0001,0.75,none,63.4212036133,0,63.4212036133,63.4212036133,63.3952217102,0,63.3952217102,63.3952217102,1
73,181,64,0.01,0,0.25,none,62.4031524658,0,62.4031524658,62.4031524658,62.544883728,0,62.544883728,62.544883728,1
74,21,2,0.001,0.001,0.75,none,62.3653640747,0,62.3653640747,62.3653640747,62.2826919556,0,62.2826919556,62.2826919556,1
75,123,16,0.001,0,0.75,none,62.3204841614,0,62.3204841614,62.3204841614,62.4102401733,0,62.4102401733,62.4102401733,1
76,126,16,0.001,0.0001,0.75,none,62.2496261597,0,62.2496261597,62.2496261597,62.2378120422,0,62.2378120422,62.2378120422,1
77,182,64,0.01,0,0.5,none,61.5504570007,0,61.5504570007,61.5504570007,61.6142272949,0,61.6142272949,61.6142272949,1
78,151,32,0.01,0.001,0.25,none,61.2386627197,0,61.2386627197,61.2386627197,61.2315788269,0,61.2315788269,61.2315788269,1
79,127,16,0.001,0.001,0.25,none,61.1725273132,0,61.1725273132,61.1725273132,61.0898551941,0,61.0898551941,61.0898551941,1
80,183,64,0.01,0,0.75,none,61.0544204712,0,61.0544204712,61.0544204712,61.1465454102,0,61.1465454102,61.1465454102,1
81,128,16,0.001,0.001,0.5,none,60.8040466309,0,60.8040466309,60.8040466309,60.7969589233,0,60.7969589233,60.7969589233,1
82,152,32,0.01,0.001,0.5,none,60.7709770203,0,60.7709770203,60.7709770203,60.7473564148,0,60.7473564148,60.7473564148,1
83,46,4,0.01,0.01,0.25,none,59.8615837097,0,59.8615837097,59.8615837097,59.6135673523,0,59.6135673523,59.6135673523,1
84,129,16,0.001,0.001,0.75,none,59.4647598267,0,59.4647598267,59.4647598267,59.5308952332,0,59.5308952332,59.5308952332,1
85,47,4,0.01,0.01,0.5,none,59.1907615662,0,59.1907615662,59.1907615662,58.8978652954,0,58.8978652954,58.8978652954,1
86,10,2,0.01,0.01,0.25,none,59.0868301392,0,59.0868301392,59.0868301392,58.9592819214,0,58.9592819214,58.9592819214,1
87,153,32,0.01,0.001,0.75,none,58.9073104858,0,58.9073104858,58.9073104858,58.6026077271,0,58.6026077271,58.6026077271,1
88,11,2,0.01,0.01,0.5,none,58.2624740601,0,58.2624740601,58.2624740601,58.1042175293,0,58.1042175293,58.1042175293,1
89,184,64,0.01,0.0001,0.25,none,57.6743202209,0,57.6743202209,57.6743202209,57.4357528687,0,57.4357528687,57.4357528687,1
90,48,4,0.01,0.01,0.75,none,56.8287086487,0,56.8287086487,56.8287086487,56.7483978271,0,56.7483978271,56.7483978271,1
91,82,8,0.01,0.01,0.25,none,56.7720184326,0,56.7720184326,56.7720184326,56.6680831909,0,56.6680831909,56.6680831909,1
92,58,4,0.001,0.01,0.25,none,56.5830535889,0,56.5830535889,56.5830535889,56.4295158386,0,56.4295158386,56.4295158386,1
93,22,2,0.001,0.01,0.25,none,56.3184967041,0,56.3184967041,56.3184967041,56.3303108215,0,56.3303108215,56.3303108215,1
94,185,64,0.01,0.0001,0.5,none,56.1413459778,0,56.1413459778,56.1413459778,56.0445022583,0,56.0445022583,56.0445022583,1
95,83,8,0.01,0.01,0.5,none,55.9051399231,0,55.9051399231,55.9051399231,55.8815193176,0,55.8815193176,55.8815193176,1
96,59,4,0.001,0.01,0.5,none,55.6854667664,0,55.6854667664,55.6854667664,55.5295753479,0,55.5295753479,55.5295753479,1
97,12,2,0.01,0.01,0.75,none,55.539024353,0,55.539024353,55.539024353,55.4067497253,0,55.4067497253,55.4067497253,1
98,23,2,0.001,0.01,0.5,none,55.5224914551,0,55.5224914551,55.5224914551,55.5673675537,0,55.5673675537,55.5673675537,1
99,60,4,0.001,0.01,0.75,none,53.6517372131,0,53.6517372131,53.6517372131,53.3706550598,0,53.3706550598,53.3706550598,1
100,84,8,0.01,0.01,0.75,none,53.5430831909,0,53.5430831909,53.5430831909,53.4273452759,0,53.4273452759,53.4273452759,1
101,186,64,0.01,0.0001,0.75,none,53.2667236328,0,53.2667236328,53.2667236328,52.9360351562,0,52.9360351562,52.9360351562,1
102,157,32,0.001,0,0.25,none,53.2549133301,0,53.2549133301,53.2549133301,53.1604309082,0,53.1604309082,53.1604309082,1
103,24,2,0.001,0.01,0.75,none,53.198223114,0,53.198223114,53.198223114,53.2501869202,0,53.2501869202,53.2501869202,1
