rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,95,8,0.001,0.01,0.5,none,69.7538757324,0,69.7538757324,69.7538757324,69.7491531372,0,69.7491531372,69.7491531372,1
2,83,8,0.01,0.01,0.5,none,69.6712036133,0,69.6712036133,69.6712036133,69.5719985962,0,69.5719985962,69.5719985962,1
3,124,16,0.001,0.0001,0.25,none,69.6027069092,0,69.6027069092,69.6027069092,69.5767211914,0,69.5767211914,69.5767211914,1
4,130,16,0.001,0.01,0.25,none,69.5696334839,0,69.5696334839,69.5696334839,69.4373626709,0,69.4373626709,69.4373626709,1
5,125,16,0.001,0.0001,0.5,none,69.5601882935,0,69.5601882935,69.5601882935,69.3476028442,0,69.3476028442,69.3476028442,1
6,131,16,0.001,0.01,0.5,none,69.475151062,0,69.475151062,69.475151062,69.2058792114,0,69.2058792114,69.2058792114,1
7,128,16,0.001,0.001,0.5,none,69.4727935791,0,69.4727935791,69.4727935791,69.3216171265,0,69.3216171265,69.3216171265,1
8,122,16,0.001,0,0.5,none,69.4680633545,0,69.4680633545,69.4680633545,69.3145370483,0,69.3145370483,69.3145370483,1
9,127,16,0.001,0.001,0.25,none,69.4657058716,0,69.4657058716,69.4657058716,69.4562530518,0,69.4562530518,69.4562530518,1
10,121,16,0.001,0,0.25,none,69.4586181641,0,69.4586181641,69.4586181641,69.4869613647,0,69.4869613647,69.4869613647,1
11,82,8,0.01,0.01,0.25,none,69.4468078613,0,69.4468078613,69.4468078613,69.5649108887,0,69.5649108887,69.5649108887,1
12,96,8,0.001,0.01,0.75,none,69.4444503784,0,69.4444503784,69.4444503784,69.3924789429,0,69.3924789429,69.3924789429,1
13,89,8,0.001,0.0001,0.5,none,69.4397201538,0,69.4397201538,69.4397201538,69.5271224976,0,69.5271224976,69.5271224976,1
14,92,8,0.001,0.001,0.5,none,69.4326324463,0,69.4326324463,69.4326324463,69.49168396,0,69.49168396,69.49168396,1
15,86,8,0.001,0,0.5,none,69.4066543579,0,69.4066543579,69.4066543579,69.6357727051,0,69.6357727051,69.6357727051,1
16,94,8,0.001,0.01,0.25,none,69.3546905518,0,69.3546905518,69.3546905518,69.3074493408,0,69.3074493408,69.3074493408,1
17,93,8,0.001,0.001,0.75,none,69.3381576538,0,69.3381576538,69.3381576538,69.1775360107,0,69.1775360107,69.1775360107,1
18,87,8,0.001,0,0.75,none,69.1940689087,0,69.1940689087,69.1940689087,69.1279296875,0,69.1279296875,69.1279296875,1
19,90,8,0.001,0.0001,0.75,none,69.151550293,0,69.151550293,69.151550293,69.2861862183,0,69.2861862183,69.2861862183,1
20,123,16,0.001,0,0.75,none,69.1137542725,0,69.1137542725,69.1137542725,68.7712631226,0,68.7712631226,68.7712631226,1
21,126,16,0.001,0.0001,0.75,none,68.9318771362,0,68.9318771362,68.9318771362,68.6980361938,0,68.6980361938,68.6980361938,1
22,129,16,0.001,0.001,0.75,none,68.8799133301,0,68.8799133301,68.8799133301,68.6295394897,0,68.6295394897,68.6295394897,1
23,85,8,0.001,0,0.25,none,68.6295394897,0,68.6295394897,68.6295394897,68.6460723877,0,68.6460723877,68.6460723877,1
24,88,8,0.001,0.0001,0.25,none,68.603553772,0,68.603553772,68.603553772,68.6177215576,0,68.6177215576,68.6177215576,1
25,132,16,0.001,0.01,0.75,none,68.556312561,0,68.556312561,68.556312561,68.3673477173,0,68.3673477173,68.3673477173,1
26,91,8,0.001,0.001,0.25,none,68.5539474487,0,68.5539474487,68.5539474487,68.6248092651,0,68.6248092651,68.6248092651,1
27,47,4,0.01,0.01,0.5,none,68.039024353,0,68.039024353,68.039024353,68.0531921387,0,68.0531921387,68.0531921387,1
28,80,8,0.01,0.001,0.5,none,67.8429718018,0,67.8429718018,67.8429718018,67.7012481689,0,67.7012481689,67.7012481689,1
29,84,8,0.01,0.01,0.75,none,67.6327438354,0,67.6327438354,67.6327438354,67.5571594238,0,67.5571594238,67.5571594238,1
30,46,4,0.01,0.01,0.25,none,67.5973205566,0,67.5973205566,67.5973205566,67.491027832,0,67.491027832,67.491027832,1
31,118,16,0.01,0.01,0.25,none,67.4343338013,0,67.4343338013,67.4343338013,67.268989563,0,67.268989563,67.268989563,1
32,59,4,0.001,0.01,0.5,none,67.3185958862,0,67.3185958862,67.3185958862,67.4036254883,0,67.4036254883,67.4036254883,1
33,119,16,0.01,0.01,0.5,none,67.2949752808,0,67.2949752808,67.2949752808,67.1319885254,0,67.1319885254,67.1319885254,1
34,60,4,0.001,0.01,0.75,none,67.2264785767,0,67.2264785767,67.2264785767,67.2099380493,0,67.2099380493,67.2099380493,1
35,157,32,0.001,0,0.25,none,67.13671875,0,67.13671875,67.13671875,67.1201858521,0,67.1201858521,67.1201858521,1
36,160,32,0.001,0.0001,0.25,none,67.0162506104,0,67.0162506104,67.0162506104,66.8343734741,0,66.8343734741,66.8343734741,1
37,57,4,0.001,0.001,0.75,none,67.0138931274,0,67.0138931274,67.0138931274,66.8154754639,0,66.8154754639,66.8154754639,1
38,54,4,0.001,0.0001,0.75,none,67.0044403076,0,67.0044403076,67.0044403076,66.8225631714,0,66.8225631714,66.8225631714,1
39,163,32,0.001,0.001,0.25,none,66.9831848145,0,66.9831848145,66.9831848145,66.9312210083,0,66.9312210083,66.9312210083,1
40,53,4,0.001,0.0001,0.5,none,66.9784622192,0,66.9784622192,66.9784622192,66.8957901001,0,66.8957901001,66.8957901001,1
41,48,4,0.01,0.01,0.75,none,66.9595565796,0,66.9595565796,66.9595565796,67.0020828247,0,67.0020828247,67.0020828247,1
42,79,8,0.01,0.001,0.25,none,66.9312210083,0,66.9312210083,66.9312210083,66.7800521851,0,66.7800521851,66.7800521851,1
43,50,4,0.001,0,0.5,none,66.8934249878,0,66.8934249878,66.8934249878,67.1886825562,0,67.1886825562,67.1886825562,1
44,51,4,0.001,0,0.75,none,66.8816146851,0,66.8816146851,66.8816146851,66.9477539062,0,66.9477539062,66.9477539062,1
45,74,8,0.01,0,0.5,none,66.8650817871,0,66.8650817871,66.8650817871,66.7115478516,0,66.7115478516,66.7115478516,1
46,116,16,0.01,0.001,0.5,none,66.8627166748,0,66.8627166748,66.8627166748,66.8390960693,0,66.8390960693,66.8390960693,1
47,77,8,0.01,0.0001,0.5,none,66.8178405762,0,66.8178405762,66.8178405762,66.7328033447,0,66.7328033447,66.7328033447,1
48,56,4,0.001,0.001,0.5,none,66.7705917358,0,66.7705917358,66.7705917358,66.9383087158,0,66.9383087158,66.9383087158,1
49,158,32,0.001,0,0.5,none,66.7540588379,0,66.7540588379,66.7540588379,66.6194229126,0,66.6194229126,66.6194229126,1
50,166,32,0.001,0.01,0.25,none,66.6855621338,0,66.6855621338,66.6855621338,66.5721817017,0,66.5721817017,66.5721817017,1
51,161,32,0.001,0.0001,0.5,none,66.6832046509,0,66.6832046509,66.6832046509,66.6879272461,0,66.6879272461,66.6879272461,1
52,164,32,0.001,0.001,0.5,none,66.6288757324,0,66.6288757324,66.6288757324,66.7115478516,0,66.7115478516,66.7115478516,1
53,115,16,0.01,0.001,0.25,none,66.5958023071,0,66.5958023071,66.5958023071,66.3359832764,0,66.3359832764,66.3359832764,1
54,58,4,0.001,0.01,0.25,none,66.3619613647,0,66.3619613647,66.3619613647,66.2910995483,0,66.2910995483,66.2910995483,1
55,167,32,0.001,0.01,0.5,none,66.3619613647,0,66.3619613647,66.3619613647,66.3359832764,0,66.3359832764,66.3359832764,1
56,109,16,0.01,0,0.25,none,66.1517410278,0,66.1517410278,66.1517410278,65.8068771362,0,65.8068771362,65.8068771362,1
57,76,8,0.01,0.0001,0.25,none,65.8092422485,0,65.8092422485,65.8092422485,65.6509780884,0,65.6509780884,65.6509780884,1
58,165,32,0.001,0.001,0.75,none,65.8068771362,0,65.8068771362,65.8068771362,65.7832565308,0,65.7832565308,65.7832565308,1
59,120,16,0.01,0.01,0.75,none,65.7974319458,0,65.7974319458,65.7974319458,65.4218597412,0,65.4218597412,65.4218597412,1
60,159,32,0.001,0,0.75,none,65.7832565308,0,65.7832565308,65.7832565308,65.7738113403,0,65.7738113403,65.7738113403,1
61,162,32,0.001,0.0001,0.75,none,65.7431030273,0,65.7431030273,65.7431030273,65.669883728,0,65.669883728,65.669883728,1
62,81,8,0.01,0.001,0.75,none,65.7383804321,0,65.7383804321,65.7383804321,65.5588607788,0,65.5588607788,65.5588607788,1
63,73,8,0.01,0,0.25,none,65.7242050171,0,65.7242050171,65.7242050171,65.5210723877,0,65.5210723877,65.5210723877,1
64,113,16,0.01,0.0001,0.5,none,65.625,0,65.625,65.625,65.4691009521,0,65.4691009521,65.4691009521,1
65,11,2,0.01,0.01,0.5,none,65.5068969727,0,65.5068969727,65.5068969727,65.2754211426,0,65.2754211426,65.2754211426,1
66,168,32,0.001,0.01,0.75,none,65.5045394897,0,65.5045394897,65.5045394897,65.478553772,0,65.478553772,65.478553772,1
67,45,4,0.01,0.001,0.75,none,65.3604507446,0,65.3604507446,65.3604507446,65.3462753296,0,65.3462753296,65.3462753296,1
68,52,4,0.001,0.0001,0.25,none,65.2943115234,0,65.2943115234,65.2943115234,65.3793487549,0,65.3793487549,65.3793487549,1
69,49,4,0.001,0,0.25,none,65.2919540405,0,65.2919540405,65.2919540405,65.4431228638,0,65.4431228638,65.4431228638,1
