rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,40,2,0.01,0.0001,0.25,none,35.4753112793,0,35.4753112793,35.4753112793,35.9696121216,0,35.9696121216,35.9696121216,1
2,47,2,0.01,0.01,0.5,none,35.4024658203,0,35.4024658203,35.4024658203,35.1891326904,0,35.1891326904,35.1891326904,1
3,41,2,0.01,0.0001,0.5,none,35.2775917053,0,35.2775917053,35.2775917053,35.1631202698,0,35.1631202698,35.1631202698,1
4,46,2,0.01,0.01,0.25,none,35.2411651611,0,35.2411651611,35.2411651611,34.7312545776,0,34.7312545776,34.7312545776,1
5,44,2,0.01,0.001,0.5,none,35.0538520813,0,35.0538520813,35.0538520813,35.0746650696,0,35.0746650696,35.0746650696,1
6,43,2,0.01,0.001,0.25,none,34.960193634,0,34.960193634,34.960193634,34.9445838928,0,34.9445838928,34.9445838928,1
7,38,2,0.01,0,0.5,none,34.6271896362,0,34.6271896362,34.6271896362,34.8093032837,0,34.8093032837,34.8093032837,1
8,113,8,0.01,0.0001,0.5,none,34.1901245117,0,34.1901245117,34.1901245117,34.0184173584,0,34.0184173584,34.0184173584,1
9,110,8,0.01,0,0.5,none,34.1432952881,0,34.1432952881,34.1432952881,33.8467140198,0,33.8467140198,33.8467140198,1
10,116,8,0.01,0.001,0.5,none,34.1328887939,0,34.1328887939,34.1328887939,33.8675270081,0,33.8675270081,33.8675270081,1
11,119,8,0.01,0.01,0.5,none,34.1016693115,0,34.1016693115,34.1016693115,33.6541938782,0,33.6541938782,33.6541938782,1
12,37,2,0.01,0,0.25,none,33.8935432434,0,33.8935432434,33.8935432434,33.9663848877,0,33.9663848877,33.9663848877,1
13,155,16,0.01,0.01,0.5,none,33.5969581604,0,33.5969581604,33.5969581604,33.4616775513,0,33.4616775513,33.4616775513,1
14,149,16,0.01,0.0001,0.5,none,33.4668807983,0,33.4668807983,33.4668807983,33.6698074341,0,33.6698074341,33.6698074341,1
15,120,8,0.01,0.01,0.75,none,33.4200515747,0,33.4200515747,33.4200515747,33.1286735535,0,33.1286735535,33.1286735535,1
16,111,8,0.01,0,0.75,none,33.3888320923,0,33.3888320923,33.3888320923,33.0194091797,0,33.0194091797,33.0194091797,1
17,117,8,0.01,0.001,0.75,none,33.3680229187,0,33.3680229187,33.3680229187,33.1442832947,0,33.1442832947,33.1442832947,1
18,166,16,0.001,0.01,0.25,none,33.3367996216,0,33.3367996216,33.3367996216,33.3367996216,0,33.3367996216,33.3367996216,1
19,114,8,0.01,0.0001,0.75,none,33.3263969421,0,33.3263969421,33.3263969421,33.2067222595,0,33.2067222595,33.2067222595,1
20,146,16,0.01,0,0.5,none,33.315990448,0,33.315990448,33.315990448,33.4044418335,0,33.4044418335,33.4044418335,1
21,160,16,0.001,0.0001,0.25,none,33.3107872009,0,33.3107872009,33.3107872009,33.2899703979,0,33.2899703979,33.2899703979,1
22,153,16,0.01,0.001,0.75,none,33.2119255066,0,33.2119255066,33.2119255066,33.2171287537,0,33.2171287537,33.2171287537,1
23,197,32,0.001,0.0001,0.5,none,33.1859092712,0,33.1859092712,33.1859092712,33.1182670593,0,33.1182670593,33.1182670593,1
24,163,16,0.001,0.001,0.25,none,33.165096283,0,33.165096283,33.165096283,33.3836326599,0,33.3836326599,33.3836326599,1
25,157,16,0.001,0,0.25,none,33.1598930359,0,33.1598930359,33.1598930359,33.315990448,0,33.315990448,33.315990448,1
26,185,32,0.01,0.0001,0.5,none,33.1494865417,0,33.1494865417,33.1494865417,32.9517669678,0,32.9517669678,32.9517669678,1
27,150,16,0.01,0.0001,0.75,none,33.1234741211,0,33.1234741211,33.1234741211,33.1286735535,0,33.1286735535,33.1286735535,1
28,156,16,0.01,0.01,0.75,none,33.1130638123,0,33.1130638123,33.1130638123,33.0506248474,0,33.0506248474,33.0506248474,1
29,182,32,0.01,0,0.5,none,33.0870475769,0,33.0870475769,33.0870475769,32.967376709,0,32.967376709,32.967376709,1
30,188,32,0.01,0.001,0.5,none,33.0870475769,0,33.0870475769,33.0870475769,32.9777793884,0,32.9777793884,32.9777793884,1
