rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,82,4,0.01,0.01,0.25,none,47.4426345825,0,47.4426345825,47.4426345825,47.1044273376,0,47.1044273376,47.1044273376,1
2,94,4,0.001,0.01,0.25,none,47.4322280884,0,47.4322280884,47.4322280884,47.3385696411,0,47.3385696411,47.3385696411,1
3,79,4,0.01,0.001,0.25,none,47.1408500671,0,47.1408500671,47.1408500671,46.9691467285,0,46.9691467285,46.9691467285,1
4,58,2,0.001,0.01,0.25,none,46.9171142578,0,46.9171142578,46.9171142578,46.5216712952,0,46.5216712952,46.5216712952,1
5,76,4,0.01,0.0001,0.25,none,46.7974395752,0,46.7974395752,46.7974395752,46.8130493164,0,46.8130493164,46.8130493164,1
6,91,4,0.001,0.001,0.25,none,46.7610168457,0,46.7610168457,46.7610168457,46.6673583984,0,46.6673583984,46.6673583984,1
7,92,4,0.001,0.001,0.5,none,46.7506103516,0,46.7506103516,46.7506103516,46.5268745422,0,46.5268745422,46.5268745422,1
8,86,4,0.001,0,0.5,none,46.6829681396,0,46.6829681396,46.6829681396,46.4904518127,0,46.4904518127,46.4904518127,1
9,89,4,0.001,0.0001,0.5,none,46.6673583984,0,46.6673583984,46.6673583984,46.438419342,0,46.438419342,46.438419342,1
10,73,4,0.01,0,0.25,none,46.6309356689,0,46.6309356689,46.6309356689,46.6777648926,0,46.6777648926,46.6777648926,1
11,95,4,0.001,0.01,0.5,none,46.4904518127,0,46.4904518127,46.4904518127,46.3239479065,0,46.3239479065,46.3239479065,1
12,118,8,0.01,0.01,0.25,none,46.4280128479,0,46.4280128479,46.4280128479,46.3031387329,0,46.3031387329,46.3031387329,1
13,88,4,0.001,0.0001,0.25,none,46.4072036743,0,46.4072036743,46.4072036743,46.3967933655,0,46.3967933655,46.3967933655,1
14,85,4,0.001,0,0.25,none,46.360370636,0,46.360370636,46.360370636,46.3031387329,0,46.3031387329,46.3031387329,1
15,56,2,0.001,0.001,0.5,none,46.2406997681,0,46.2406997681,46.2406997681,45.7463951111,0,45.7463951111,45.7463951111,1
16,83,4,0.01,0.01,0.5,none,46.2302932739,0,46.2302932739,46.2302932739,45.6007080078,0,45.6007080078,45.6007080078,1
17,130,8,0.001,0.01,0.25,none,46.1054153442,0,46.1054153442,46.1054153442,45.6891593933,0,45.6891593933,45.6891593933,1
18,55,2,0.001,0.001,0.25,none,45.9389152527,0,45.9389152527,45.9389152527,45.6683502197,0,45.6683502197,45.6683502197,1
19,49,2,0.001,0,0.25,none,45.9337120056,0,45.9337120056,45.9337120056,45.7880210876,0,45.7880210876,45.7880210876,1
20,46,2,0.01,0.01,0.25,none,45.9285087585,0,45.9285087585,45.9285087585,44.8618545532,0,44.8618545532,44.8618545532,1
21,52,2,0.001,0.0001,0.25,none,45.9181022644,0,45.9181022644,45.9181022644,45.7724113464,0,45.7724113464,45.7724113464,1
22,50,2,0.001,0,0.5,none,45.8504600525,0,45.8504600525,45.8504600525,45.6527366638,0,45.6527366638,45.6527366638,1
23,53,2,0.001,0.0001,0.5,none,45.8296470642,0,45.8296470642,45.8296470642,45.6319274902,0,45.6319274902,45.6319274902,1
24,115,8,0.01,0.001,0.25,none,45.7776145935,0,45.7776145935,45.7776145935,45.3769721985,0,45.3769721985,45.3769721985,1
25,43,2,0.01,0.001,0.25,none,45.7151756287,0,45.7151756287,45.7151756287,44.846244812,0,44.846244812,44.846244812,1
26,59,2,0.001,0.01,0.5,none,45.7151756287,0,45.7151756287,45.7151756287,45.4133911133,0,45.4133911133,45.4133911133,1
27,37,2,0.01,0,0.25,none,45.6787567139,0,45.6787567139,45.6787567139,44.8826675415,0,44.8826675415,44.8826675415,1
28,112,8,0.01,0.0001,0.25,none,45.6267242432,0,45.6267242432,45.6267242432,45.0907936096,0,45.0907936096,45.0907936096,1
29,74,4,0.01,0,0.5,none,45.5955047607,0,45.5955047607,45.5955047607,45.0075454712,0,45.0075454712,45.0075454712,1
30,109,8,0.01,0,0.25,none,45.5850944519,0,45.5850944519,45.5850944519,45.2625007629,0,45.2625007629,45.2625007629,1
31,80,4,0.01,0.001,0.5,none,45.5798950195,0,45.5798950195,45.5798950195,44.9555130005,0,44.9555130005,44.9555130005,1
32,77,4,0.01,0.0001,0.5,none,45.5694885254,0,45.5694885254,45.5694885254,44.9242935181,0,44.9242935181,44.9242935181,1
33,40,2,0.01,0.0001,0.25,none,45.5226593018,0,45.5226593018,45.5226593018,44.9347000122,0,44.9347000122,44.9347000122,1
34,90,4,0.001,0.0001,0.75,none,45.0803871155,0,45.0803871155,45.0803871155,44.7317733765,0,44.7317733765,44.7317733765,1
35,87,4,0.001,0,0.75,none,45.064781189,0,45.064781189,45.064781189,44.6068954468,0,44.6068954468,44.6068954468,1
36,131,8,0.001,0.01,0.5,none,45.0543746948,0,45.0543746948,45.0543746948,44.7057609558,0,44.7057609558,44.7057609558,1
37,119,8,0.01,0.01,0.5,none,45.0231513977,0,45.0231513977,45.0231513977,44.7213668823,0,44.7213668823,44.7213668823,1
38,93,4,0.001,0.001,0.75,none,45.0023422241,0,45.0023422241,45.0023422241,44.6173057556,0,44.6173057556,44.6173057556,1
39,96,4,0.001,0.01,0.75,none,44.7890090942,0,44.7890090942,44.7890090942,44.221862793,0,44.221862793,44.221862793,1
40,84,4,0.01,0.01,0.75,none,44.4560050964,0,44.4560050964,44.4560050964,43.8524360657,0,43.8524360657,43.8524360657,1
41,47,2,0.01,0.01,0.5,none,44.294708252,0,44.294708252,44.294708252,44.1230010986,0,44.1230010986,44.1230010986,1
42,125,8,0.001,0.0001,0.5,none,44.1230010986,0,44.1230010986,44.1230010986,43.6859321594,0,43.6859321594,43.6859321594,1
43,122,8,0.001,0,0.5,none,44.1125946045,0,44.1125946045,44.1125946045,43.7847938538,0,43.7847938538,43.7847938538,1
44,128,8,0.001,0.001,0.5,none,44.0969848633,0,44.0969848633,44.0969848633,43.8108100891,0,43.8108100891,43.8108100891,1
45,54,2,0.001,0.0001,0.75,none,43.9200782776,0,43.9200782776,43.9200782776,43.5350418091,0,43.5350418091,43.5350418091,1
46,113,8,0.01,0.0001,0.5,none,43.8992652893,0,43.8992652893,43.8992652893,43.602684021,0,43.602684021,43.602684021,1
47,110,8,0.01,0,0.5,none,43.8888587952,0,43.8888587952,43.8888587952,43.5454483032,0,43.5454483032,43.5454483032,1
48,116,8,0.01,0.001,0.5,none,43.8472328186,0,43.8472328186,43.8472328186,43.5402450562,0,43.5402450562,43.5402450562,1
49,57,2,0.001,0.001,0.75,none,43.805606842,0,43.805606842,43.805606842,43.4622001648,0,43.4622001648,43.4622001648,1
50,127,8,0.001,0.001,0.25,none,43.800403595,0,43.800403595,43.800403595,42.9626922607,0,42.9626922607,42.9626922607,1
51,51,2,0.001,0,0.75,none,43.7691879272,0,43.7691879272,43.7691879272,43.6078872681,0,43.6078872681,43.6078872681,1
52,44,2,0.01,0.001,0.5,none,43.7639846802,0,43.7639846802,43.7639846802,43.6963424683,0,43.6963424683,43.6963424683,1
53,38,2,0.01,0,0.5,none,43.7275619507,0,43.7275619507,43.7275619507,43.6182937622,0,43.6182937622,43.6182937622,1
54,41,2,0.01,0.0001,0.5,none,43.7015457153,0,43.7015457153,43.7015457153,43.5870742798,0,43.5870742798,43.5870742798,1
55,60,2,0.001,0.01,0.75,none,43.6182937622,0,43.6182937622,43.6182937622,43.4413833618,0,43.4413833618,43.4413833618,1
56,121,8,0.001,0,0.25,none,43.5974807739,0,43.5974807739,43.5974807739,42.8690338135,0,42.8690338135,42.8690338135,1
57,124,8,0.001,0.0001,0.25,none,43.5818710327,0,43.5818710327,43.5818710327,42.8170013428,0,42.8170013428,42.8170013428,1
58,126,8,0.001,0.0001,0.75,none,43.4413833618,0,43.4413833618,43.4413833618,43.0095214844,0,43.0095214844,43.0095214844,1
59,123,8,0.001,0,0.75,none,43.1448059082,0,43.1448059082,43.1448059082,42.6921272278,0,42.6921272278,42.6921272278,1
60,132,8,0.001,0.01,0.75,none,43.056350708,0,43.056350708,43.056350708,42.6765174866,0,42.6765174866,42.6765174866,1
61,129,8,0.001,0.001,0.75,none,43.0303344727,0,43.0303344727,43.0303344727,42.5256271362,0,42.5256271362,42.5256271362,1
62,120,8,0.01,0.01,0.75,none,42.4059524536,0,42.4059524536,42.4059524536,42.5412368774,0,42.5412368774,42.5412368774,1
63,48,2,0.01,0.01,0.75,none,42.35912323,0,42.35912323,42.35912323,42.4111557007,0,42.4111557007,42.4111557007,1
64,75,4,0.01,0,0.75,none,41.9948997498,0,41.9948997498,41.9948997498,41.7815704346,0,41.7815704346,41.7815704346,1
65,81,4,0.01,0.001,0.75,none,41.8231964111,0,41.8231964111,41.8231964111,41.7451477051,0,41.7451477051,41.7451477051,1
66,78,4,0.01,0.0001,0.75,none,41.812789917,0,41.812789917,41.812789917,41.5630378723,0,41.5630378723,41.5630378723,1
67,42,2,0.01,0.0001,0.75,none,41.4849891663,0,41.4849891663,41.4849891663,41.193611145,0,41.193611145,41.193611145,1
