rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,145,16,0.01,0,0.25,none,67.9919128418,0,67.9919128418,67.9919128418,68.6465148926,0,68.6465148926,68.6465148926,1
2,148,16,0.01,0.0001,0.25,none,67.9919128418,0,67.9919128418,67.9919128418,68.6465148926,0,68.6465148926,68.6465148926,1
3,151,16,0.01,0.001,0.25,none,67.9919128418,0,67.9919128418,67.9919128418,68.6465148926,0,68.6465148926,68.6465148926,1
4,154,16,0.01,0.01,0.25,none,67.9919128418,0,67.9919128418,67.9919128418,68.6465148926,0,68.6465148926,68.6465148926,1
5,109,8,0.01,0,0.25,none,66.8174819946,0,66.8174819946,66.8174819946,67.7512512207,0,67.7512512207,67.7512512207,1
6,112,8,0.01,0.0001,0.25,none,66.8174819946,0,66.8174819946,66.8174819946,67.7512512207,0,67.7512512207,67.7512512207,1
7,115,8,0.01,0.001,0.25,none,66.8174819946,0,66.8174819946,66.8174819946,67.7512512207,0,67.7512512207,67.7512512207,1
8,118,8,0.01,0.01,0.25,none,66.8174819946,0,66.8174819946,66.8174819946,67.7512512207,0,67.7512512207,67.7512512207,1
9,110,8,0.01,0,0.5,none,62.9283790588,0,62.9283790588,62.9283790588,63.688873291,0,63.688873291,63.688873291,1
10,113,8,0.01,0.0001,0.5,none,62.9283790588,0,62.9283790588,62.9283790588,63.688873291,0,63.688873291,63.688873291,1
11,116,8,0.01,0.001,0.5,none,62.9283790588,0,62.9283790588,62.9283790588,63.688873291,0,63.688873291,63.688873291,1
12,119,8,0.01,0.01,0.5,none,62.9283790588,0,62.9283790588,62.9283790588,63.688873291,0,63.688873291,63.688873291,1
13,181,32,0.01,0,0.25,none,61.7443199158,0,61.7443199158,61.7443199158,62.524066925,0,62.524066925,62.524066925,1
14,184,32,0.01,0.0001,0.25,none,61.7443199158,0,61.7443199158,61.7443199158,62.524066925,0,62.524066925,62.524066925,1
15,187,32,0.01,0.001,0.25,none,61.7443199158,0,61.7443199158,61.7443199158,62.524066925,0,62.524066925,62.524066925,1
16,190,32,0.01,0.01,0.25,none,61.7346954346,0,61.7346954346,61.7346954346,62.524066925,0,62.524066925,62.524066925,1
17,73,4,0.01,0,0.25,none,61.6095466614,0,61.6095466614,61.6095466614,62.3315353394,0,62.3315353394,62.3315353394,1
18,76,4,0.01,0.0001,0.25,none,61.6095466614,0,61.6095466614,61.6095466614,62.3315353394,0,62.3315353394,62.3315353394,1
19,79,4,0.01,0.001,0.25,none,61.6095466614,0,61.6095466614,61.6095466614,62.3315353394,0,62.3315353394,62.3315353394,1
20,82,4,0.01,0.01,0.25,none,61.6095466614,0,61.6095466614,61.6095466614,62.3315353394,0,62.3315353394,62.3315353394,1
21,4,0,0.01,0.0001,0.25,none,60.6468963623,0,60.6468963623,60.6468963623,61.5710449219,0,61.5710449219,61.5710449219,1
22,1,0,0.01,0,0.25,none,60.5121307373,0,60.5121307373,60.5121307373,61.4170188904,0,61.4170188904,61.4170188904,1
23,130,8,0.001,0.01,0.25,none,60.2329597473,0,60.2329597473,60.2329597473,61.1859855652,0,61.1859855652,61.1859855652,1
24,121,8,0.001,0,0.25,none,60.2233352661,0,60.2233352661,60.2233352661,61.1859855652,0,61.1859855652,61.1859855652,1
25,124,8,0.001,0.0001,0.25,none,60.2233352661,0,60.2233352661,60.2233352661,61.1859855652,0,61.1859855652,61.1859855652,1
26,127,8,0.001,0.001,0.25,none,60.2233352661,0,60.2233352661,60.2233352661,61.1859855652,0,61.1859855652,61.1859855652,1
27,146,16,0.01,0,0.5,none,60.0596847534,0,60.0596847534,60.0596847534,60.8298072815,0,60.8298072815,60.8298072815,1
28,149,16,0.01,0.0001,0.5,none,60.0596847534,0,60.0596847534,60.0596847534,60.8298072815,0,60.8298072815,60.8298072815,1
29,152,16,0.01,0.001,0.5,none,60.0596847534,0,60.0596847534,60.0596847534,60.8298072815,0,60.8298072815,60.8298072815,1
30,155,16,0.01,0.01,0.5,none,60.0596847534,0,60.0596847534,60.0596847534,60.8298072815,0,60.8298072815,60.8298072815,1
31,7,0,0.01,0.001,0.25,none,59.8767814636,0,59.8767814636,59.8767814636,60.2907180786,0,60.2907180786,60.2907180786,1
32,10,0,0.01,0.01,0.25,none,59.7131309509,0,59.7131309509,59.7131309509,60.5987663269,0,60.5987663269,60.5987663269,1
33,157,16,0.001,0,0.25,none,59.6650009155,0,59.6650009155,59.6650009155,60.6083946228,0,60.6083946228,60.6083946228,1
34,160,16,0.001,0.0001,0.25,none,59.6650009155,0,59.6650009155,59.6650009155,60.6083946228,0,60.6083946228,60.6083946228,1
35,163,16,0.001,0.001,0.25,none,59.6650009155,0,59.6650009155,59.6650009155,60.6083946228,0,60.6083946228,60.6083946228,1
36,166,16,0.001,0.01,0.25,none,59.6650009155,0,59.6650009155,59.6650009155,60.6083946228,0,60.6083946228,60.6083946228,1
37,94,4,0.001,0.01,0.25,none,59.4435882568,0,59.4435882568,59.4435882568,60.3292274475,0,60.3292274475,60.3292274475,1
38,85,4,0.001,0,0.25,none,59.4339599609,0,59.4339599609,59.4339599609,60.3195953369,0,60.3195953369,60.3195953369,1
39,88,4,0.001,0.0001,0.25,none,59.4339599609,0,59.4339599609,59.4339599609,60.3195953369,0,60.3195953369,60.3195953369,1
40,91,4,0.001,0.001,0.25,none,59.4339599609,0,59.4339599609,59.4339599609,60.3195953369,0,60.3195953369,60.3195953369,1
41,74,4,0.01,0,0.5,none,59.039276123,0,59.039276123,59.039276123,59.9056587219,0,59.9056587219,59.9056587219,1
42,77,4,0.01,0.0001,0.5,none,59.039276123,0,59.039276123,59.039276123,59.9056587219,0,59.9056587219,59.9056587219,1
43,80,4,0.01,0.001,0.5,none,59.039276123,0,59.039276123,59.039276123,59.9056587219,0,59.9056587219,59.9056587219,1
44,83,4,0.01,0.01,0.5,none,59.039276123,0,59.039276123,59.039276123,59.9056587219,0,59.9056587219,59.9056587219,1
45,182,32,0.01,0,0.5,none,59.0200233459,0,59.0200233459,59.0200233459,59.8479042053,0,59.8479042053,59.8479042053,1
46,185,32,0.01,0.0001,0.5,none,59.0200233459,0,59.0200233459,59.0200233459,59.8479042053,0,59.8479042053,59.8479042053,1
47,188,32,0.01,0.001,0.5,none,59.0200233459,0,59.0200233459,59.0200233459,59.8479042053,0,59.8479042053,59.8479042053,1
48,191,32,0.01,0.01,0.5,none,59.0200233459,0,59.0200233459,59.0200233459,59.8479042053,0,59.8479042053,59.8479042053,1
49,46,2,0.01,0.01,0.25,none,58.8756256104,0,58.8756256104,58.8756256104,59.4147071838,0,59.4147071838,59.4147071838,1
50,37,2,0.01,0,0.25,none,58.8178710938,0,58.8178710938,58.8178710938,58.4231796265,0,58.4231796265,58.4231796265,1
