rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,118,8,0.01,0.01,0.25,none,78.0901031494,0,78.0901031494,78.0901031494,79.2837905884,0,79.2837905884,79.2837905884,1
2,155,16,0.01,0.01,0.5,none,78.0515975952,0,78.0515975952,78.0515975952,78.956489563,0,78.956489563,78.956489563,1
3,119,8,0.01,0.01,0.5,none,78.0034637451,0,78.0034637451,78.0034637451,79.5340805054,0,79.5340805054,79.5340805054,1
4,154,16,0.01,0.01,0.25,none,78.0034637451,0,78.0034637451,78.0034637451,78.8794784546,0,78.8794784546,78.8794784546,1
5,151,16,0.01,0.001,0.25,none,77.9553375244,0,77.9553375244,77.9553375244,79.20677948,0,79.20677948,79.20677948,1
6,128,8,0.001,0.001,0.5,none,77.8590698242,0,77.8590698242,77.8590698242,78.6869430542,0,78.6869430542,78.6869430542,1
7,131,8,0.001,0.01,0.5,none,77.7242965698,0,77.7242965698,77.7242965698,78.6099395752,0,78.6099395752,78.6099395752,1
8,122,8,0.001,0,0.5,none,77.5991516113,0,77.5991516113,77.5991516113,78.455909729,0,78.455909729,78.455909729,1
9,120,8,0.01,0.01,0.75,none,77.5606460571,0,77.5606460571,77.5606460571,78.5617980957,0,78.5617980957,78.5617980957,1
10,125,8,0.001,0.0001,0.5,none,77.5606460571,0,77.5606460571,77.5606460571,78.4655380249,0,78.4655380249,78.4655380249,1
11,148,16,0.01,0.0001,0.25,none,77.512512207,0,77.512512207,77.512512207,78.8794784546,0,78.8794784546,78.8794784546,1
12,130,8,0.001,0.01,0.25,none,77.4740066528,0,77.4740066528,77.4740066528,78.5906829834,0,78.5906829834,78.5906829834,1
13,116,8,0.01,0.001,0.5,none,77.4547576904,0,77.4547576904,77.4547576904,78.9276046753,0,78.9276046753,78.9276046753,1
14,82,4,0.01,0.01,0.25,none,77.3296127319,0,77.3296127319,77.3296127319,78.2826385498,0,78.2826385498,78.2826385498,1
15,167,16,0.001,0.01,0.5,none,77.3007354736,0,77.3007354736,77.3007354736,78.4847946167,0,78.4847946167,78.4847946167,1
16,115,8,0.01,0.001,0.25,none,77.2814788818,0,77.2814788818,77.2814788818,78.9468612671,0,78.9468612671,78.9468612671,1
17,145,16,0.01,0,0.25,none,77.2718582153,0,77.2718582153,77.2718582153,78.6484451294,0,78.6484451294,78.6484451294,1
18,156,16,0.01,0.01,0.75,none,77.2718582153,0,77.2718582153,77.2718582153,78.3788986206,0,78.3788986206,78.3788986206,1
19,112,8,0.01,0.0001,0.25,none,77.2333450317,0,77.2333450317,77.2333450317,79.2645339966,0,79.2645339966,79.2645339966,1
20,165,16,0.001,0.001,0.75,none,77.2044677734,0,77.2044677734,77.2044677734,78.3403930664,0,78.3403930664,78.3403930664,1
21,83,4,0.01,0.01,0.5,none,77.1948394775,0,77.1948394775,77.1948394775,78.2826385498,0,78.2826385498,78.2826385498,1
22,162,16,0.001,0.0001,0.75,none,77.1852111816,0,77.1852111816,77.1852111816,78.2537536621,0,78.2537536621,78.2537536621,1
23,110,8,0.01,0,0.5,none,77.1755905151,0,77.1755905151,77.1755905151,78.8602218628,0,78.8602218628,78.8602218628,1
24,159,16,0.001,0,0.75,none,77.1659622192,0,77.1659622192,77.1659622192,78.3403930664,0,78.3403930664,78.3403930664,1
25,109,8,0.01,0,0.25,none,77.1467056274,0,77.1467056274,77.1467056274,78.9372329712,0,78.9372329712,78.9372329712,1
26,113,8,0.01,0.0001,0.5,none,77.1370849609,0,77.1370849609,77.1370849609,78.8602218628,0,78.8602218628,78.8602218628,1
27,166,16,0.001,0.01,0.25,none,77.1082077026,0,77.1082077026,77.1082077026,78.2152481079,0,78.2152481079,78.2152481079,1
