rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,41,2,0.01,0.0001,0.5,none,55.5288505554,0,55.5288505554,55.5288505554,55.0480766296,0,55.0480766296,55.0480766296,1
2,47,2,0.01,0.01,0.5,none,55.5288505554,0,55.5288505554,55.5288505554,55.7692337036,0,55.7692337036,55.7692337036,1
3,100,4,0.0001,0.0001,0.25,none,55.2884635925,0,55.2884635925,55.2884635925,52.1634635925,0,52.1634635925,52.1634635925,1
4,103,4,0.0001,0.001,0.25,none,55.1682701111,0,55.1682701111,55.1682701111,51.4423065186,0,51.4423065186,51.4423065186,1
5,97,4,0.0001,0,0.25,none,55.0480766296,0,55.0480766296,55.0480766296,51.5625,0,51.5625,51.5625,1
6,106,4,0.0001,0.01,0.25,none,55.0480766296,0,55.0480766296,55.0480766296,52.6442337036,0,52.6442337036,52.6442337036,1
7,136,8,0.0001,0.0001,0.25,none,54.8076934814,0,54.8076934814,54.8076934814,52.1634635925,0,52.1634635925,52.1634635925,1
8,142,8,0.0001,0.01,0.25,none,54.4471130371,0,54.4471130371,54.4471130371,52.5240402222,0,52.5240402222,52.5240402222,1
9,133,8,0.0001,0,0.25,none,54.3269271851,0,54.3269271851,54.3269271851,51.9230766296,0,51.9230766296,51.9230766296,1
10,139,8,0.0001,0.001,0.25,none,54.3269271851,0,54.3269271851,54.3269271851,53.9663505554,0,53.9663505554,53.9663505554,1
11,38,2,0.01,0,0.5,none,53.6057701111,0,53.6057701111,53.6057701111,54.0865402222,0,54.0865402222,54.0865402222,1
12,56,2,0.001,0.001,0.5,none,53.4855766296,0,53.4855766296,53.4855766296,50.1201934814,0,50.1201934814,50.1201934814,1
13,59,2,0.001,0.01,0.5,none,53.3653869629,0,53.3653869629,53.3653869629,50.2403869629,0,50.2403869629,50.2403869629,1
14,50,2,0.001,0,0.5,none,53.125,0,53.125,53.125,51.2019271851,0,51.2019271851,51.2019271851,1
15,53,2,0.001,0.0001,0.5,none,53.0048065186,0,53.0048065186,53.0048065186,51.5625,0,51.5625,51.5625,1
16,107,4,0.0001,0.01,0.5,none,53.0048065186,0,53.0048065186,53.0048065186,49.158657074,0,49.158657074,49.158657074,1
17,104,4,0.0001,0.001,0.5,none,52.8846130371,0,52.8846130371,52.8846130371,48.9182701111,0,48.9182701111,48.9182701111,1
18,70,2,0.0001,0.01,0.25,none,52.7644271851,0,52.7644271851,52.7644271851,49.0384635925,0,49.0384635925,49.0384635925,1
19,98,4,0.0001,0,0.5,none,52.7644271851,0,52.7644271851,52.7644271851,49.5192337036,0,49.5192337036,49.5192337036,1
20,101,4,0.0001,0.0001,0.5,none,52.7644271851,0,52.7644271851,52.7644271851,49.3990402222,0,49.3990402222,49.3990402222,1
21,67,2,0.0001,0.001,0.25,none,52.6442337036,0,52.6442337036,52.6442337036,49.158657074,0,49.158657074,49.158657074,1
22,64,2,0.0001,0.0001,0.25,none,52.4038505554,0,52.4038505554,52.4038505554,48.7980766296,0,48.7980766296,48.7980766296,1
23,88,4,0.001,0.0001,0.25,none,52.4038505554,0,52.4038505554,52.4038505554,50.721157074,0,50.721157074,50.721157074,1
24,61,2,0.0001,0,0.25,none,52.283657074,0,52.283657074,52.283657074,49.7596168518,0,49.7596168518,49.7596168518,1
25,91,4,0.001,0.001,0.25,none,52.283657074,0,52.283657074,52.283657074,50.4807701111,0,50.4807701111,50.4807701111,1
26,94,4,0.001,0.01,0.25,none,52.283657074,0,52.283657074,52.283657074,50.4807701111,0,50.4807701111,50.4807701111,1
27,85,4,0.001,0,0.25,none,52.1634635925,0,52.1634635925,52.1634635925,51.5625,0,51.5625,51.5625,1
28,121,8,0.001,0,0.25,none,52.0432701111,0,52.0432701111,52.0432701111,49.8798103333,0,49.8798103333,49.8798103333,1
29,122,8,0.001,0,0.5,none,51.8028869629,0,51.8028869629,51.8028869629,50.9615402222,0,50.9615402222,50.9615402222,1
30,44,2,0.01,0.001,0.5,none,51.6826934814,0,51.6826934814,51.6826934814,50.6009635925,0,50.6009635925,50.6009635925,1
31,125,8,0.001,0.0001,0.5,none,51.4423065186,0,51.4423065186,51.4423065186,51.5625,0,51.5625,51.5625,1
32,128,8,0.001,0.001,0.5,none,51.4423065186,0,51.4423065186,51.4423065186,51.4423065186,0,51.4423065186,51.4423065186,1
33,131,8,0.001,0.01,0.5,none,51.4423065186,0,51.4423065186,51.4423065186,51.4423065186,0,51.4423065186,51.4423065186,1
34,157,16,0.001,0,0.25,none,51.3221130371,0,51.3221130371,51.3221130371,50.1201934814,0,50.1201934814,50.1201934814,1
35,163,16,0.001,0.001,0.25,none,51.3221130371,0,51.3221130371,51.3221130371,51.8028869629,0,51.8028869629,51.8028869629,1
36,166,16,0.001,0.01,0.25,none,51.3221130371,0,51.3221130371,51.3221130371,51.9230766296,0,51.9230766296,51.9230766296,1
37,65,2,0.0001,0.0001,0.5,none,51.2019271851,0,51.2019271851,51.2019271851,46.7548103333,0,46.7548103333,46.7548103333,1
