rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,247,64,0.0001,0.001,0.25,none,62.5,0,62.5,62.5,61.1778869629,0,61.1778869629,61.1778869629,1
2,211,32,0.0001,0.001,0.25,none,62.3798065186,0,62.3798065186,62.3798065186,59.4951934814,0,59.4951934814,59.4951934814,1
3,216,32,0.0001,0.01,0.75,none,62.3798065186,0,62.3798065186,62.3798065186,61.1778869629,0,61.1778869629,61.1778869629,1
4,244,64,0.0001,0.0001,0.25,none,62.2596206665,0,62.2596206665,62.2596206665,61.2980766296,0,61.2980766296,61.2980766296,1
5,250,64,0.0001,0.01,0.25,none,62.2596206665,0,62.2596206665,62.2596206665,61.4182701111,0,61.4182701111,61.4182701111,1
6,205,32,0.0001,0,0.25,none,62.1394271851,0,62.1394271851,62.1394271851,59.9759635925,0,59.9759635925,59.9759635925,1
7,208,32,0.0001,0.0001,0.25,none,62.1394271851,0,62.1394271851,62.1394271851,59.8557701111,0,59.8557701111,59.8557701111,1
8,214,32,0.0001,0.01,0.25,none,62.1394271851,0,62.1394271851,62.1394271851,60.096157074,0,60.096157074,60.096157074,1
9,241,64,0.0001,0,0.25,none,62.1394271851,0,62.1394271851,62.1394271851,60.8173065186,0,60.8173065186,60.8173065186,1
10,213,32,0.0001,0.001,0.75,none,62.0192337036,0,62.0192337036,62.0192337036,60.5769271851,0,60.5769271851,60.5769271851,1
11,209,32,0.0001,0.0001,0.5,none,61.8990402222,0,61.8990402222,61.8990402222,59.9759635925,0,59.9759635925,59.9759635925,1
12,210,32,0.0001,0.0001,0.75,none,61.8990402222,0,61.8990402222,61.8990402222,59.6153869629,0,59.6153869629,59.6153869629,1
13,242,64,0.0001,0,0.5,none,61.8990402222,0,61.8990402222,61.8990402222,60.8173065186,0,60.8173065186,60.8173065186,1
14,252,64,0.0001,0.01,0.75,none,61.8990402222,0,61.8990402222,61.8990402222,60.9375,0,60.9375,60.9375,1
15,243,64,0.0001,0,0.75,none,61.7788505554,0,61.7788505554,61.7788505554,60.096157074,0,60.096157074,60.096157074,1
16,246,64,0.0001,0.0001,0.75,none,61.7788505554,0,61.7788505554,61.7788505554,60.4567337036,0,60.4567337036,60.4567337036,1
17,248,64,0.0001,0.001,0.5,none,61.7788505554,0,61.7788505554,61.7788505554,59.6153869629,0,59.6153869629,59.6153869629,1
18,206,32,0.0001,0,0.5,none,61.658657074,0,61.658657074,61.658657074,60.9375,0,60.9375,60.9375,1
19,207,32,0.0001,0,0.75,none,61.658657074,0,61.658657074,61.658657074,60.5769271851,0,60.5769271851,60.5769271851,1
20,245,64,0.0001,0.0001,0.5,none,61.658657074,0,61.658657074,61.658657074,59.6153869629,0,59.6153869629,59.6153869629,1
21,249,64,0.0001,0.001,0.75,none,61.658657074,0,61.658657074,61.658657074,60.6971206665,0,60.6971206665,60.6971206665,1
22,251,64,0.0001,0.01,0.5,none,61.658657074,0,61.658657074,61.658657074,59.8557701111,0,59.8557701111,59.8557701111,1
23,212,32,0.0001,0.001,0.5,none,61.5384635925,0,61.5384635925,61.5384635925,59.9759635925,0,59.9759635925,59.9759635925,1
24,215,32,0.0001,0.01,0.5,none,61.5384635925,0,61.5384635925,61.5384635925,59.9759635925,0,59.9759635925,59.9759635925,1
25,118,8,0.01,0.01,0.25,none,61.2980766296,0,61.2980766296,61.2980766296,61.7788505554,0,61.7788505554,61.7788505554,1
26,173,16,0.0001,0.0001,0.5,none,61.0576934814,0,61.0576934814,61.0576934814,58.6538505554,0,58.6538505554,58.6538505554,1
27,176,16,0.0001,0.001,0.5,none,60.9375,0,60.9375,60.9375,58.533657074,0,58.533657074,58.533657074,1
28,179,16,0.0001,0.01,0.5,none,60.9375,0,60.9375,60.9375,58.6538505554,0,58.6538505554,58.6538505554,1
29,139,8,0.0001,0.001,0.25,none,60.8173065186,0,60.8173065186,60.8173065186,57.2115402222,0,57.2115402222,57.2115402222,1
30,170,16,0.0001,0,0.5,none,60.8173065186,0,60.8173065186,60.8173065186,59.0144271851,0,59.0144271851,59.0144271851,1
31,136,8,0.0001,0.0001,0.25,none,60.6971206665,0,60.6971206665,60.6971206665,56.971157074,0,56.971157074,56.971157074,1
32,140,8,0.0001,0.001,0.5,none,60.6971206665,0,60.6971206665,60.6971206665,56.971157074,0,56.971157074,56.971157074,1
33,142,8,0.0001,0.01,0.25,none,60.6971206665,0,60.6971206665,60.6971206665,57.2115402222,0,57.2115402222,57.2115402222,1
34,133,8,0.0001,0,0.25,none,60.5769271851,0,60.5769271851,60.5769271851,57.2115402222,0,57.2115402222,57.2115402222,1
35,134,8,0.0001,0,0.5,none,60.5769271851,0,60.5769271851,60.5769271851,57.8125,0,57.8125,57.8125,1
36,137,8,0.0001,0.0001,0.5,none,60.5769271851,0,60.5769271851,60.5769271851,57.9326934814,0,57.9326934814,57.9326934814,1
37,83,4,0.01,0.01,0.5,none,60.4567337036,0,60.4567337036,60.4567337036,61.4182701111,0,61.4182701111,61.4182701111,1
38,169,16,0.0001,0,0.25,none,60.4567337036,0,60.4567337036,60.4567337036,59.0144271851,0,59.0144271851,59.0144271851,1
39,178,16,0.0001,0.01,0.25,none,60.4567337036,0,60.4567337036,60.4567337036,59.2548065186,0,59.2548065186,59.2548065186,1
40,240,64,0.001,0.01,0.75,none,60.4567337036,0,60.4567337036,60.4567337036,61.1778869629,0,61.1778869629,61.1778869629,1
41,143,8,0.0001,0.01,0.5,none,60.3365402222,0,60.3365402222,60.3365402222,56.4903869629,0,56.4903869629,56.4903869629,1
42,204,32,0.001,0.01,0.75,none,60.3365402222,0,60.3365402222,60.3365402222,59.8557701111,0,59.8557701111,59.8557701111,1
43,172,16,0.0001,0.0001,0.25,none,60.2163505554,0,60.2163505554,60.2163505554,58.8942337036,0,58.8942337036,58.8942337036,1
44,175,16,0.0001,0.001,0.25,none,60.2163505554,0,60.2163505554,60.2163505554,58.4134635925,0,58.4134635925,58.4134635925,1
45,177,16,0.0001,0.001,0.75,none,60.096157074,0,60.096157074,60.096157074,59.0144271851,0,59.0144271851,59.0144271851,1
46,38,2,0.01,0,0.5,none,59.8557701111,0,59.8557701111,59.8557701111,58.8942337036,0,58.8942337036,58.8942337036,1
47,174,16,0.0001,0.0001,0.75,none,59.8557701111,0,59.8557701111,59.8557701111,58.7740402222,0,58.7740402222,58.7740402222,1
48,194,32,0.001,0,0.5,none,59.7355766296,0,59.7355766296,59.7355766296,60.096157074,0,60.096157074,60.096157074,1
49,198,32,0.001,0.0001,0.75,none,59.7355766296,0,59.7355766296,59.7355766296,60.096157074,0,60.096157074,60.096157074,1
50,234,64,0.001,0.0001,0.75,none,59.6153869629,0,59.6153869629,59.6153869629,60.2163505554,0,60.2163505554,60.2163505554,1
51,230,64,0.001,0,0.5,none,59.4951934814,0,59.4951934814,59.4951934814,59.9759635925,0,59.9759635925,59.9759635925,1
52,47,2,0.01,0.01,0.5,none,59.375,0,59.375,59.375,58.533657074,0,58.533657074,58.533657074,1
53,48,2,0.01,0.01,0.75,none,59.2548065186,0,59.2548065186,59.2548065186,59.375,0,59.375,59.375,1
54,119,8,0.01,0.01,0.5,none,59.2548065186,0,59.2548065186,59.2548065186,59.8557701111,0,59.8557701111,59.8557701111,1
55,123,8,0.001,0,0.75,none,59.1346206665,0,59.1346206665,59.1346206665,59.2548065186,0,59.2548065186,59.2548065186,1
56,132,8,0.001,0.01,0.75,none,59.1346206665,0,59.1346206665,59.1346206665,59.6153869629,0,59.6153869629,59.6153869629,1
57,180,16,0.0001,0.01,0.75,none,59.1346206665,0,59.1346206665,59.1346206665,58.533657074,0,58.533657074,58.533657074,1
