rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,232,64,0.001,0.0001,0.25,none,81.8316116333,0,81.8316116333,81.8316116333,80.7976379395,0,80.7976379395,80.7976379395,1
2,198,32,0.001,0.0001,0.75,none,81.6838989258,0,81.6838989258,81.6838989258,82.422454834,0,82.422454834,82.422454834,1
3,201,32,0.001,0.001,0.75,none,81.6838989258,0,81.6838989258,81.6838989258,82.1270294189,0,82.1270294189,82.1270294189,1
4,236,64,0.001,0.001,0.5,none,81.6838989258,0,81.6838989258,81.6838989258,81.2407684326,0,81.2407684326,81.2407684326,1
5,193,32,0.001,0,0.25,none,81.5361862183,0,81.5361862183,81.5361862183,80.6499252319,0,80.6499252319,80.6499252319,1
6,197,32,0.001,0.0001,0.5,none,81.5361862183,0,81.5361862183,81.5361862183,82.1270294189,0,82.1270294189,82.1270294189,1
7,200,32,0.001,0.001,0.5,none,81.5361862183,0,81.5361862183,81.5361862183,82.1270294189,0,82.1270294189,82.1270294189,1
8,203,32,0.001,0.01,0.5,none,81.5361862183,0,81.5361862183,81.5361862183,81.8316116333,0,81.8316116333,81.8316116333,1
9,233,64,0.001,0.0001,0.5,none,81.5361862183,0,81.5361862183,81.5361862183,81.3884811401,0,81.3884811401,81.3884811401,1
10,195,32,0.001,0,0.75,none,81.3884811401,0,81.3884811401,81.3884811401,82.2747421265,0,82.2747421265,82.2747421265,1
11,199,32,0.001,0.001,0.25,none,81.3884811401,0,81.3884811401,81.3884811401,80.7976379395,0,80.7976379395,80.7976379395,1
12,204,32,0.001,0.01,0.75,none,81.3884811401,0,81.3884811401,81.3884811401,82.2747421265,0,82.2747421265,82.2747421265,1
13,230,64,0.001,0,0.5,none,81.3884811401,0,81.3884811401,81.3884811401,80.6499252319,0,80.6499252319,80.6499252319,1
14,191,32,0.01,0.01,0.5,none,81.2407684326,0,81.2407684326,81.2407684326,82.422454834,0,82.422454834,82.422454834,1
15,202,32,0.001,0.01,0.25,none,81.2407684326,0,81.2407684326,81.2407684326,80.7976379395,0,80.7976379395,80.7976379395,1
16,155,16,0.01,0.01,0.5,none,81.0930557251,0,81.0930557251,81.0930557251,83.3087158203,0,83.3087158203,83.3087158203,1
17,196,32,0.001,0.0001,0.25,none,81.0930557251,0,81.0930557251,81.0930557251,80.6499252319,0,80.6499252319,80.6499252319,1
18,208,32,0.0001,0.0001,0.25,none,80.7976379395,0,80.7976379395,80.7976379395,80.9453430176,0,80.9453430176,80.9453430176,1
19,211,32,0.0001,0.001,0.25,none,80.7976379395,0,80.7976379395,80.7976379395,81.0930557251,0,81.0930557251,81.0930557251,1
20,214,32,0.0001,0.01,0.25,none,80.7976379395,0,80.7976379395,80.7976379395,80.9453430176,0,80.9453430176,80.9453430176,1
21,239,64,0.001,0.01,0.5,none,80.7976379395,0,80.7976379395,80.7976379395,80.3545074463,0,80.3545074463,80.3545074463,1
22,165,16,0.001,0.001,0.75,none,80.6499252319,0,80.6499252319,80.6499252319,82.7178726196,0,82.7178726196,82.7178726196,1
23,235,64,0.001,0.001,0.25,none,80.6499252319,0,80.6499252319,80.6499252319,80.6499252319,0,80.6499252319,80.6499252319,1
24,159,16,0.001,0,0.75,none,80.5022125244,0,80.5022125244,80.5022125244,82.422454834,0,82.422454834,82.422454834,1
25,162,16,0.001,0.0001,0.75,none,80.5022125244,0,80.5022125244,80.5022125244,82.5701599121,0,82.5701599121,82.5701599121,1
26,190,32,0.01,0.01,0.25,none,80.5022125244,0,80.5022125244,80.5022125244,81.5361862183,0,81.5361862183,81.5361862183,1
27,238,64,0.001,0.01,0.25,none,80.5022125244,0,80.5022125244,80.5022125244,79.6159515381,0,79.6159515381,79.6159515381,1
28,154,16,0.01,0.01,0.25,none,80.3545074463,0,80.3545074463,80.3545074463,84.1949768066,0,84.1949768066,84.1949768066,1
29,168,16,0.001,0.01,0.75,none,80.3545074463,0,80.3545074463,80.3545074463,81.3884811401,0,81.3884811401,81.3884811401,1
30,206,32,0.0001,0,0.5,none,80.2067947388,0,80.2067947388,80.2067947388,81.2407684326,0,81.2407684326,81.2407684326,1
31,205,32,0.0001,0,0.25,none,80.0590820312,0,80.0590820312,80.0590820312,80.6499252319,0,80.6499252319,80.6499252319,1
32,209,32,0.0001,0.0001,0.5,none,79.9113769531,0,79.9113769531,79.9113769531,81.2407684326,0,81.2407684326,81.2407684326,1
33,212,32,0.0001,0.001,0.5,none,79.9113769531,0,79.9113769531,79.9113769531,81.2407684326,0,81.2407684326,81.2407684326,1
34,215,32,0.0001,0.01,0.5,none,79.9113769531,0,79.9113769531,79.9113769531,80.9453430176,0,80.9453430176,80.9453430176,1
