rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,76,4,0.01,0.0001,0.25,none,84.6979064941,0,84.6979064941,84.6979064941,84.2461853027,0,84.2461853027,84.2461853027,1
2,79,4,0.01,0.001,0.25,none,84.6979064941,0,84.6979064941,84.6979064941,84.2461853027,0,84.2461853027,84.2461853027,1
3,82,4,0.01,0.01,0.25,none,84.6979064941,0,84.6979064941,84.6979064941,84.2461853027,0,84.2461853027,84.2461853027,1
4,73,4,0.01,0,0.25,none,84.6414413452,0,84.6414413452,84.6414413452,84.2461853027,0,84.2461853027,84.2461853027,1
5,77,4,0.01,0.0001,0.5,none,84.3026504517,0,84.3026504517,84.3026504517,82.9474868774,0,82.9474868774,82.9474868774,1
6,80,4,0.01,0.001,0.5,none,84.3026504517,0,84.3026504517,84.3026504517,82.9474868774,0,82.9474868774,82.9474868774,1
7,83,4,0.01,0.01,0.5,none,84.3026504517,0,84.3026504517,84.3026504517,82.9474868774,0,82.9474868774,82.9474868774,1
8,74,4,0.01,0,0.5,none,84.2461853027,0,84.2461853027,84.2461853027,82.9474868774,0,82.9474868774,82.9474868774,1
9,91,4,0.001,0.001,0.25,none,84.2461853027,0,84.2461853027,84.2461853027,82.3263702393,0,82.3263702393,82.3263702393,1
10,94,4,0.001,0.01,0.25,none,84.2461853027,0,84.2461853027,84.2461853027,82.3263702393,0,82.3263702393,82.3263702393,1
11,85,4,0.001,0,0.25,none,84.1897201538,0,84.1897201538,84.1897201538,82.3828353882,0,82.3828353882,82.3828353882,1
12,88,4,0.001,0.0001,0.25,none,84.1897201538,0,84.1897201538,84.1897201538,82.3263702393,0,82.3263702393,82.3263702393,1
13,109,8,0.01,0,0.25,none,82.4393005371,0,82.4393005371,82.4393005371,80.5194778442,0,80.5194778442,80.5194778442,1
14,112,8,0.01,0.0001,0.25,none,82.4393005371,0,82.4393005371,82.4393005371,80.5194778442,0,80.5194778442,80.5194778442,1
15,115,8,0.01,0.001,0.25,none,82.4393005371,0,82.4393005371,82.4393005371,80.5194778442,0,80.5194778442,80.5194778442,1
16,118,8,0.01,0.01,0.25,none,82.4393005371,0,82.4393005371,82.4393005371,80.5194778442,0,80.5194778442,80.5194778442,1
17,46,2,0.01,0.01,0.25,none,81.9875793457,0,81.9875793457,81.9875793457,80.1806869507,0,80.1806869507,80.1806869507,1
18,44,2,0.01,0.001,0.5,none,81.8746414185,0,81.8746414185,81.8746414185,80.2936172485,0,80.2936172485,80.2936172485,1
19,47,2,0.01,0.01,0.5,none,81.8746414185,0,81.8746414185,81.8746414185,80.2371520996,0,80.2371520996,80.2371520996,1
20,121,8,0.001,0,0.25,none,81.8746414185,0,81.8746414185,81.8746414185,80.1806869507,0,80.1806869507,80.1806869507,1
21,124,8,0.001,0.0001,0.25,none,81.8746414185,0,81.8746414185,81.8746414185,80.1806869507,0,80.1806869507,80.1806869507,1
22,127,8,0.001,0.001,0.25,none,81.8746414185,0,81.8746414185,81.8746414185,80.1806869507,0,80.1806869507,80.1806869507,1
23,130,8,0.001,0.01,0.25,none,81.8746414185,0,81.8746414185,81.8746414185,80.1242218018,0,80.1242218018,80.1242218018,1
24,41,2,0.01,0.0001,0.5,none,81.8181838989,0,81.8181838989,81.8181838989,80.2371520996,0,80.2371520996,80.2371520996,1
25,40,2,0.01,0.0001,0.25,none,81.5923233032,0,81.5923233032,81.5923233032,79.2772445679,0,79.2772445679,79.2772445679,1
26,43,2,0.01,0.001,0.25,none,81.5923233032,0,81.5923233032,81.5923233032,79.16431427,0,79.16431427,79.16431427,1
27,38,2,0.01,0,0.5,none,81.479385376,0,81.479385376,81.479385376,79.7854309082,0,79.7854309082,79.7854309082,1
28,86,4,0.001,0,0.5,none,81.4229278564,0,81.4229278564,81.4229278564,80.1242218018,0,80.1242218018,80.1242218018,1
29,89,4,0.001,0.0001,0.5,none,81.4229278564,0,81.4229278564,81.4229278564,80.1806869507,0,80.1806869507,80.1806869507,1
30,92,4,0.001,0.001,0.5,none,81.4229278564,0,81.4229278564,81.4229278564,80.1806869507,0,80.1806869507,80.1806869507,1
31,95,4,0.001,0.01,0.5,none,81.4229278564,0,81.4229278564,81.4229278564,80.1806869507,0,80.1806869507,80.1806869507,1
32,205,32,0.0001,0,0.25,none,81.2535247803,0,81.2535247803,81.2535247803,79.7289657593,0,79.7289657593,79.7289657593,1
33,37,2,0.01,0,0.25,none,81.1970672607,0,81.1970672607,81.1970672607,78.3737945557,0,78.3737945557,78.3737945557,1
34,214,32,0.0001,0.01,0.25,none,81.1970672607,0,81.1970672607,81.1970672607,79.2207794189,0,79.2207794189,79.2207794189,1
35,55,2,0.001,0.001,0.25,none,81.1405944824,0,81.1405944824,81.1405944824,79.6160354614,0,79.6160354614,79.6160354614,1
36,49,2,0.001,0,0.25,none,81.0841293335,0,81.0841293335,81.0841293335,79.2772445679,0,79.2772445679,79.2772445679,1
37,52,2,0.001,0.0001,0.25,none,81.0841293335,0,81.0841293335,81.0841293335,79.8983612061,0,79.8983612061,79.8983612061,1
38,58,2,0.001,0.01,0.25,none,81.027671814,0,81.027671814,81.027671814,79.5595703125,0,79.5595703125,79.5595703125,1
39,148,16,0.01,0.0001,0.25,none,81.027671814,0,81.027671814,81.027671814,79.8418960571,0,79.8418960571,79.8418960571,1
40,151,16,0.01,0.001,0.25,none,81.027671814,0,81.027671814,81.027671814,79.8418960571,0,79.8418960571,79.8418960571,1
41,145,16,0.01,0,0.25,none,80.9711990356,0,80.9711990356,80.9711990356,79.7854309082,0,79.7854309082,79.7854309082,1
42,154,16,0.01,0.01,0.25,none,80.9711990356,0,80.9711990356,80.9711990356,79.8418960571,0,79.8418960571,79.8418960571,1
43,211,32,0.0001,0.001,0.25,none,80.4630126953,0,80.4630126953,80.4630126953,78.8255233765,0,78.8255233765,78.8255233765,1
44,208,32,0.0001,0.0001,0.25,none,80.3500823975,0,80.3500823975,80.3500823975,78.8819885254,0,78.8819885254,78.8819885254,1
45,53,2,0.001,0.0001,0.5,none,80.0677566528,0,80.0677566528,80.0677566528,78.9384460449,0,78.9384460449,78.9384460449,1
46,56,2,0.001,0.001,0.5,none,80.0677566528,0,80.0677566528,80.0677566528,78.9384460449,0,78.9384460449,78.9384460449,1
47,59,2,0.001,0.01,0.5,none,80.0677566528,0,80.0677566528,80.0677566528,78.9949188232,0,78.9949188232,78.9949188232,1
48,50,2,0.001,0,0.5,none,79.8983612061,0,79.8983612061,79.8983612061,78.3737945557,0,78.3737945557,78.3737945557,1
49,97,4,0.0001,0,0.25,none,78.8255233765,0,78.8255233765,78.8255233765,76.2281188965,0,76.2281188965,76.2281188965,1
50,100,4,0.0001,0.0001,0.25,none,78.8255233765,0,78.8255233765,78.8255233765,76.2281188965,0,76.2281188965,76.2281188965,1
51,103,4,0.0001,0.001,0.25,none,78.8255233765,0,78.8255233765,78.8255233765,76.2281188965,0,76.2281188965,76.2281188965,1
52,106,4,0.0001,0.01,0.25,none,78.8255233765,0,78.8255233765,78.8255233765,76.2281188965,0,76.2281188965,76.2281188965,1
53,6,0,0.01,0.0001,0.75,none,77.9220733643,0,77.9220733643,77.9220733643,76.7363052368,0,76.7363052368,76.7363052368,1
54,39,2,0.01,0,0.75,none,77.8656158447,0,77.8656158447,77.8656158447,76.2845840454,0,76.2845840454,76.2845840454,1
55,42,2,0.01,0.0001,0.75,none,77.7526779175,0,77.7526779175,77.7526779175,76.4539794922,0,76.4539794922,76.4539794922,1
56,45,2,0.01,0.001,0.75,none,77.7526779175,0,77.7526779175,77.7526779175,76.4539794922,0,76.4539794922,76.4539794922,1
57,48,2,0.01,0.01,0.75,none,77.7526779175,0,77.7526779175,77.7526779175,76.3975143433,0,76.3975143433,76.3975143433,1
58,3,0,0.01,0,0.75,none,77.5832824707,0,77.5832824707,77.5832824707,75.4376068115,0,75.4376068115,75.4376068115,1
59,110,8,0.01,0,0.5,none,77.4703598022,0,77.4703598022,77.4703598022,76.3975143433,0,76.3975143433,76.3975143433,1
60,119,8,0.01,0.01,0.5,none,77.4703598022,0,77.4703598022,77.4703598022,76.3410491943,0,76.3410491943,76.3410491943,1
61,113,8,0.01,0.0001,0.5,none,77.4138870239,0,77.4138870239,77.4138870239,76.3975143433,0,76.3975143433,76.3975143433,1
62,116,8,0.01,0.001,0.5,none,77.4138870239,0,77.4138870239,77.4138870239,76.3975143433,0,76.3975143433,76.3975143433,1
63,133,8,0.0001,0,0.25,none,77.3009567261,0,77.3009567261,77.3009567261,73.9695053101,0,73.9695053101,73.9695053101,1
64,136,8,0.0001,0.0001,0.25,none,77.3009567261,0,77.3009567261,77.3009567261,73.9695053101,0,73.9695053101,73.9695053101,1
65,139,8,0.0001,0.001,0.25,none,77.3009567261,0,77.3009567261,77.3009567261,73.9695053101,0,73.9695053101,73.9695053101,1
66,142,8,0.0001,0.01,0.25,none,77.3009567261,0,77.3009567261,77.3009567261,73.9130401611,0,73.9130401611,73.9130401611,1
67,146,16,0.01,0,0.5,none,77.1880264282,0,77.1880264282,77.1880264282,75.7199249268,0,75.7199249268,75.7199249268,1
68,149,16,0.01,0.0001,0.5,none,77.1880264282,0,77.1880264282,77.1880264282,75.7199249268,0,75.7199249268,75.7199249268,1
69,152,16,0.01,0.001,0.5,none,77.1880264282,0,77.1880264282,77.1880264282,75.7199249268,0,75.7199249268,75.7199249268,1
70,155,16,0.01,0.01,0.5,none,77.1880264282,0,77.1880264282,77.1880264282,75.7199249268,0,75.7199249268,75.7199249268,1
71,9,0,0.01,0.001,0.75,none,77.1315612793,0,77.1315612793,77.1315612793,75.3246688843,0,75.3246688843,75.3246688843,1
72,98,4,0.0001,0,0.5,none,76.9621658325,0,76.9621658325,76.9621658325,73.2919235229,0,73.2919235229,73.2919235229,1
73,101,4,0.0001,0.0001,0.5,none,76.9621658325,0,76.9621658325,76.9621658325,73.2919235229,0,73.2919235229,73.2919235229,1
74,104,4,0.0001,0.001,0.5,none,76.9621658325,0,76.9621658325,76.9621658325,73.2919235229,0,73.2919235229,73.2919235229,1
75,107,4,0.0001,0.01,0.5,none,76.9621658325,0,76.9621658325,76.9621658325,73.2919235229,0,73.2919235229,73.2919235229,1
76,166,16,0.001,0.01,0.25,none,76.623374939,0,76.623374939,76.623374939,74.8729553223,0,74.8729553223,74.8729553223,1
77,157,16,0.001,0,0.25,none,76.56690979,0,76.56690979,76.56690979,74.8164901733,0,74.8164901733,74.8164901733,1
78,160,16,0.001,0.0001,0.25,none,76.56690979,0,76.56690979,76.56690979,74.8729553223,0,74.8729553223,74.8729553223,1
79,163,16,0.001,0.001,0.25,none,76.56690979,0,76.56690979,76.56690979,74.8729553223,0,74.8729553223,74.8729553223,1
