rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,215,32,0.0001,0.01,0.5,none,88.0293579102,0,88.0293579102,88.0293579102,86.5047988892,0,86.5047988892,86.5047988892,1
2,180,16,0.0001,0.01,0.75,none,87.9729003906,0,87.9729003906,87.9729003906,85.9401473999,0,85.9401473999,85.9401473999,1
3,205,32,0.0001,0,0.25,none,87.9729003906,0,87.9729003906,87.9729003906,86.4483261108,0,86.4483261108,86.4483261108,1
4,206,32,0.0001,0,0.5,none,87.9729003906,0,87.9729003906,87.9729003906,86.5612640381,0,86.5612640381,86.5612640381,1
5,209,32,0.0001,0.0001,0.5,none,87.9729003906,0,87.9729003906,87.9729003906,86.7306594849,0,86.7306594849,86.7306594849,1
6,174,16,0.0001,0.0001,0.75,none,87.9164276123,0,87.9164276123,87.9164276123,86.1095428467,0,86.1095428467,86.1095428467,1
7,177,16,0.0001,0.001,0.75,none,87.9164276123,0,87.9164276123,87.9164276123,85.7142868042,0,85.7142868042,85.7142868042,1
8,211,32,0.0001,0.001,0.25,none,87.9164276123,0,87.9164276123,87.9164276123,86.4483261108,0,86.4483261108,86.4483261108,1
9,212,32,0.0001,0.001,0.5,none,87.9164276123,0,87.9164276123,87.9164276123,86.5047988892,0,86.5047988892,86.5047988892,1
10,171,16,0.0001,0,0.75,none,87.8599624634,0,87.8599624634,87.8599624634,85.7707519531,0,85.7707519531,85.7707519531,1
11,176,16,0.0001,0.001,0.5,none,87.8599624634,0,87.8599624634,87.8599624634,85.9966125488,0,85.9966125488,85.9966125488,1
12,207,32,0.0001,0,0.75,none,87.8599624634,0,87.8599624634,87.8599624634,86.1660079956,0,86.1660079956,86.1660079956,1
13,210,32,0.0001,0.0001,0.75,none,87.8599624634,0,87.8599624634,87.8599624634,86.5612640381,0,86.5612640381,86.5612640381,1
