rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,109,8,0.01,0,0.25,none,49.0268363953,0,49.0268363953,49.0268363953,48.7740936279,0,48.7740936279,48.7740936279,1
2,112,8,0.01,0.0001,0.25,none,48.9748687744,0,48.9748687744,48.9748687744,48.7079544067,0,48.7079544067,48.7079544067,1
3,115,8,0.01,0.001,0.25,none,48.6441802979,0,48.6441802979,48.6441802979,48.5709571838,0,48.5709571838,48.5709571838,1
4,118,8,0.01,0.01,0.25,none,48.2331848145,0,48.2331848145,48.2331848145,47.9520988464,0,47.9520988464,47.9520988464,1
5,155,16,0.01,0.01,0.5,none,48.2190093994,0,48.2190093994,48.2190093994,48.1764945984,0,48.1764945984,48.1764945984,1
6,152,16,0.01,0.001,0.5,none,47.88123703,0,47.88123703,47.88123703,47.5529098511,0,47.5529098511,47.5529098511,1
7,113,8,0.01,0.0001,0.5,none,47.2694625854,0,47.2694625854,47.2694625854,47.0852241516,0,47.0852241516,47.0852241516,1
8,146,16,0.01,0,0.5,none,47.1466369629,0,47.1466369629,47.1466369629,47.0946731567,0,47.0946731567,47.0946731567,1
9,110,8,0.01,0,0.5,none,46.7876052856,0,46.7876052856,46.7876052856,46.3506240845,0,46.3506240845,46.3506240845,1
10,116,8,0.01,0.001,0.5,none,46.5490379333,0,46.5490379333,46.5490379333,46.1876411438,0,46.1876411438,46.1876411438,1
11,150,16,0.01,0.0001,0.75,none,46.4899864197,0,46.4899864197,46.4899864197,46.4049530029,0,46.4049530029,46.4049530029,1
12,119,8,0.01,0.01,0.5,none,46.4805374146,0,46.4805374146,46.4805374146,46.1640205383,0,46.1640205383,46.1640205383,1
13,153,16,0.01,0.001,0.75,none,45.7671966553,0,45.7671966553,45.7671966553,45.5262680054,0,45.5262680054,45.5262680054,1
14,147,16,0.01,0,0.75,none,45.5546112061,0,45.5546112061,45.5546112061,45.4435958862,0,45.4435958862,45.4435958862,1
15,156,16,0.01,0.01,0.75,none,45.3892669678,0,45.3892669678,45.3892669678,45.5616989136,0,45.5616989136,45.5616989136,1
16,149,16,0.01,0.0001,0.5,none,45.3798217773,0,45.3798217773,45.3798217773,45.3420257568,0,45.3420257568,45.3420257568,1
17,114,8,0.01,0.0001,0.75,none,45.2782516479,0,45.2782516479,45.2782516479,45.1318016052,0,45.1318016052,45.1318016052,1
18,117,8,0.01,0.001,0.75,none,45.0373191833,0,45.0373191833,45.0373191833,44.8318214417,0,44.8318214417,44.8318214417,1
19,111,8,0.01,0,0.75,none,44.7704086304,0,44.7704086304,44.7704086304,44.5979766846,0,44.5979766846,44.5979766846,1
20,120,8,0.01,0.01,0.75,none,43.8728256226,0,43.8728256226,43.8728256226,43.6484298706,0,43.6484298706,43.6484298706,1
21,79,4,0.01,0.001,0.25,none,41.3194465637,0,41.3194465637,41.3194465637,41.0785140991,0,41.0785140991,41.0785140991,1
22,82,4,0.01,0.01,0.25,none,40.8092422485,0,40.8092422485,40.8092422485,40.8942756653,0,40.8942756653,40.8942756653,1
23,76,4,0.01,0.0001,0.25,none,40.6297225952,0,40.6297225952,40.6297225952,40.7076721191,0,40.7076721191,40.7076721191,1
24,73,4,0.01,0,0.25,none,40.5683097839,0,40.5683097839,40.5683097839,40.3132095337,0,40.3132095337,40.3132095337,1
25,74,4,0.01,0,0.5,none,40.046295166,0,40.046295166,40.046295166,39.9659881592,0,39.9659881592,39.9659881592,1
