rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,184,32,0.01,0.0001,0.25,none,59.0844688416,0,59.0844688416,59.0844688416,59.0419540405,0,59.0419540405,59.0419540405,1
2,181,32,0.01,0,0.25,none,58.9545555115,0,58.9545555115,58.9545555115,58.8860588074,0,58.8860588074,58.8860588074,1
3,187,32,0.01,0.001,0.25,none,58.6120529175,0,58.6120529175,58.6120529175,58.4750595093,0,58.4750595093,58.4750595093,1
4,182,32,0.01,0,0.5,none,58.4845046997,0,58.4845046997,58.4845046997,58.2671928406,0,58.2671928406,58.2671928406,1
5,185,32,0.01,0.0001,0.5,none,58.0735092163,0,58.0735092163,58.0735092163,57.8373031616,0,57.8373031616,57.8373031616,1
6,145,16,0.01,0,0.25,none,57.4900817871,0,57.4900817871,57.4900817871,57.4003219604,0,57.4003219604,57.4003219604,1
7,148,16,0.01,0.0001,0.25,none,57.4664611816,0,57.4664611816,57.4664611816,57.3011169434,0,57.3011169434,57.3011169434,1
8,188,32,0.01,0.001,0.5,none,57.2231636047,0,57.2231636047,57.2231636047,56.9727897644,0,56.9727897644,56.9727897644,1
9,146,16,0.01,0,0.5,none,57.064907074,0,57.064907074,57.064907074,56.8003578186,0,56.8003578186,56.8003578186,1
10,151,16,0.01,0.001,0.25,none,57.0105857849,0,57.0105857849,57.0105857849,56.8287086487,0,56.8287086487,56.8287086487,1
11,149,16,0.01,0.0001,0.5,none,57.0011329651,0,57.0011329651,57.0011329651,56.7696495056,0,56.7696495056,56.7696495056,1
12,152,16,0.01,0.001,0.5,none,56.4531402588,0,56.4531402588,56.4531402588,56.1815032959,0,56.1815032959,56.1815032959,1
13,186,32,0.01,0.0001,0.75,none,54.8091468811,0,54.8091468811,54.8091468811,54.5516853333,0,54.5516853333,54.5516853333,1
14,183,32,0.01,0,0.75,none,54.7288360596,0,54.7288360596,54.7288360596,54.7878875732,0,54.7878875732,54.7878875732,1
15,147,16,0.01,0,0.75,none,54.5705795288,0,54.5705795288,54.5705795288,54.1902885437,0,54.1902885437,54.1902885437,1
16,150,16,0.01,0.0001,0.75,none,54.5445976257,0,54.5445976257,54.5445976257,54.1572227478,0,54.1572227478,54.1572227478,1
17,153,16,0.01,0.001,0.75,none,54.2564277649,0,54.2564277649,54.2564277649,53.8784980774,0,53.8784980774,53.8784980774,1
18,154,16,0.01,0.01,0.25,none,54.0958061218,0,54.0958061218,54.0958061218,53.7438583374,0,53.7438583374,53.7438583374,1
