rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,226,64,0.01,0.01,0.25,none,31.85389328,0,31.85389328,31.85389328,31.729019165,0,31.729019165,31.729019165,1
2,217,64,0.01,0,0.25,none,31.8434867859,0,31.8434867859,31.8434867859,31.7134075165,0,31.7134075165,31.7134075165,1
3,220,64,0.01,0.0001,0.25,none,31.8434867859,0,31.8434867859,31.8434867859,31.7134075165,0,31.7134075165,31.7134075165,1
4,223,64,0.01,0.001,0.25,none,31.8434867859,0,31.8434867859,31.8434867859,31.7134075165,0,31.7134075165,31.7134075165,1
5,10,0,0.01,0.01,0.25,none,27.9463024139,0,27.9463024139,27.9463024139,27.9410991669,0,27.9410991669,27.9410991669,1
6,1,0,0.01,0,0.25,none,27.1658248901,0,27.1658248901,27.1658248901,27.301109314,0,27.301109314,27.301109314,1
7,4,0,0.01,0.0001,0.25,none,27.0669631958,0,27.0669631958,27.0669631958,26.978509903,0,26.978509903,26.978509903,1
8,7,0,0.01,0.001,0.25,none,26.905664444,0,26.905664444,26.905664444,27.2438735962,0,27.2438735962,27.2438735962,1
9,241,64,0.0001,0,0.25,none,26.5154266357,0,26.5154266357,26.5154266357,26.286485672,0,26.286485672,26.286485672,1
10,244,64,0.0001,0.0001,0.25,none,26.5154266357,0,26.5154266357,26.5154266357,26.286485672,0,26.286485672,26.286485672,1
11,247,64,0.0001,0.001,0.25,none,26.5154266357,0,26.5154266357,26.5154266357,26.286485672,0,26.286485672,26.286485672,1
12,250,64,0.0001,0.01,0.25,none,26.5154266357,0,26.5154266357,26.5154266357,26.286485672,0,26.286485672,26.286485672,1
13,242,64,0.0001,0,0.5,none,26.4113636017,0,26.4113636017,26.4113636017,26.187625885,0,26.187625885,26.187625885,1
14,245,64,0.0001,0.0001,0.5,none,26.4113636017,0,26.4113636017,26.4113636017,26.187625885,0,26.187625885,26.187625885,1
15,248,64,0.0001,0.001,0.5,none,26.4113636017,0,26.4113636017,26.4113636017,26.187625885,0,26.187625885,26.187625885,1
16,251,64,0.0001,0.01,0.5,none,26.4113636017,0,26.4113636017,26.4113636017,26.187625885,0,26.187625885,26.187625885,1
17,6,0,0.01,0.0001,0.75,none,25.5528392792,0,25.5528392792,25.5528392792,25.4487762451,0,25.4487762451,25.4487762451,1
18,24,0,0.001,0.01,0.75,none,25.4227581024,0,25.4227581024,25.4227581024,25.4956035614,0,25.4956035614,25.4956035614,1
19,21,0,0.001,0.001,0.75,none,25.4019470215,0,25.4019470215,25.4019470215,25.4643821716,0,25.4643821716,25.4643821716,1
20,15,0,0.001,0,0.75,none,25.3863372803,0,25.3863372803,25.3863372803,25.4591789246,0,25.4591789246,25.4591789246,1
21,18,0,0.001,0.0001,0.75,none,25.3811321259,0,25.3811321259,25.3811321259,25.4539794922,0,25.4539794922,25.4539794922,1
22,11,0,0.01,0.01,0.5,none,25.2978839874,0,25.2978839874,25.2978839874,25.5944633484,0,25.5944633484,25.5944633484,1
23,8,0,0.01,0.001,0.5,none,25.2614593506,0,25.2614593506,25.2614593506,25.9482803345,0,25.9482803345,25.9482803345,1
24,20,0,0.001,0.001,0.5,none,25.2042236328,0,25.2042236328,25.2042236328,25.0325202942,0,25.0325202942,25.0325202942,1
25,23,0,0.001,0.01,0.5,none,25.2042236328,0,25.2042236328,25.2042236328,25.2718658447,0,25.2718658447,25.2718658447,1
26,14,0,0.001,0,0.5,none,25.193819046,0,25.193819046,25.193819046,25.0481281281,0,25.0481281281,25.0481281281,1
27,17,0,0.001,0.0001,0.5,none,25.1834125519,0,25.1834125519,25.1834125519,24.9856910706,0,24.9856910706,24.9856910706,1
28,5,0,0.01,0.0001,0.5,none,25.1625976562,0,25.1625976562,25.1625976562,24.8608150482,0,24.8608150482,24.8608150482,1
29,3,0,0.01,0,0.75,none,25.1573944092,0,25.1573944092,25.1573944092,25.1521911621,0,25.1521911621,25.1521911621,1
30,12,0,0.01,0.01,0.75,none,25.1469917297,0,25.1469917297,25.1469917297,25.1469917297,0,25.1469917297,25.1469917297,1
31,9,0,0.01,0.001,0.75,none,25.1313800812,0,25.1313800812,25.1313800812,25.1469917297,0,25.1469917297,25.1469917297,1
32,2,0,0.01,0,0.5,none,24.9388618469,0,24.9388618469,24.9388618469,24.7411422729,0,24.7411422729,24.7411422729,1
33,206,32,0.0001,0,0.5,none,24.767156601,0,24.767156601,24.767156601,24.3613090515,0,24.3613090515,24.3613090515,1
34,209,32,0.0001,0.0001,0.5,none,24.767156601,0,24.767156601,24.767156601,24.3613090515,0,24.3613090515,24.3613090515,1
35,212,32,0.0001,0.001,0.5,none,24.767156601,0,24.767156601,24.767156601,24.3613090515,0,24.3613090515,24.3613090515,1
36,215,32,0.0001,0.01,0.5,none,24.767156601,0,24.767156601,24.767156601,24.3613090515,0,24.3613090515,24.3613090515,1
37,205,32,0.0001,0,0.25,none,24.5278110504,0,24.5278110504,24.5278110504,24.220823288,0,24.220823288,24.220823288,1
38,208,32,0.0001,0.0001,0.25,none,24.5278110504,0,24.5278110504,24.5278110504,24.220823288,0,24.220823288,24.220823288,1
39,211,32,0.0001,0.001,0.25,none,24.5278110504,0,24.5278110504,24.5278110504,24.220823288,0,24.220823288,24.220823288,1
40,214,32,0.0001,0.01,0.25,none,24.5278110504,0,24.5278110504,24.5278110504,24.220823288,0,24.220823288,24.220823288,1
41,243,64,0.0001,0,0.75,none,24.4861850739,0,24.4861850739,24.4861850739,24.1167583466,0,24.1167583466,24.1167583466,1
42,246,64,0.0001,0.0001,0.75,none,24.4861850739,0,24.4861850739,24.4861850739,24.1167583466,0,24.1167583466,24.1167583466,1
43,249,64,0.0001,0.001,0.75,none,24.4861850739,0,24.4861850739,24.4861850739,24.1167583466,0,24.1167583466,24.1167583466,1
44,252,64,0.0001,0.01,0.75,none,24.4861850739,0,24.4861850739,24.4861850739,24.1167583466,0,24.1167583466,24.1167583466,1
45,13,0,0.001,0,0.25,none,24.3456993103,0,24.3456993103,24.3456993103,23.9086322784,0,23.9086322784,23.9086322784,1
46,19,0,0.001,0.001,0.25,none,24.319683075,0,24.319683075,24.319683075,23.872209549,0,23.872209549,23.872209549,1
47,22,0,0.001,0.01,0.25,none,24.2884635925,0,24.2884635925,24.2884635925,23.8461933136,0,23.8461933136,23.8461933136,1
48,37,2,0.01,0,0.25,none,24.2884635925,0,24.2884635925,24.2884635925,24.3613090515,0,24.3613090515,24.3613090515,1
49,40,2,0.01,0.0001,0.25,none,24.2884635925,0,24.2884635925,24.2884635925,24.3613090515,0,24.3613090515,24.3613090515,1
50,43,2,0.01,0.001,0.25,none,24.2884635925,0,24.2884635925,24.2884635925,24.3613090515,0,24.3613090515,24.3613090515,1
51,46,2,0.01,0.01,0.25,none,24.2884635925,0,24.2884635925,24.2884635925,24.3613090515,0,24.3613090515,24.3613090515,1
52,16,0,0.001,0.0001,0.25,none,24.2676506042,0,24.2676506042,24.2676506042,23.9658660889,0,23.9658660889,23.9658660889,1
53,38,2,0.01,0,0.5,none,24.2624473572,0,24.2624473572,24.2624473572,24.6110610962,0,24.6110610962,24.6110610962,1
