rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,94,4,0.001,0.01,0.25,none,47.7912483215,0,47.7912483215,47.7912483215,47.6975898743,0,47.6975898743,47.6975898743,1
2,82,4,0.01,0.01,0.25,none,47.7131996155,0,47.7131996155,47.7131996155,47.7184028625,0,47.7184028625,47.7184028625,1
3,58,2,0.001,0.01,0.25,none,47.5518989563,0,47.5518989563,47.5518989563,47.3125534058,0,47.3125534058,47.3125534058,1
4,46,2,0.01,0.01,0.25,none,47.2917404175,0,47.2917404175,47.2917404175,46.9379234314,0,46.9379234314,46.9379234314,1
5,79,4,0.01,0.001,0.25,none,47.2449111938,0,47.2449111938,47.2449111938,47.3958053589,0,47.3958053589,47.3958053589,1
6,76,4,0.01,0.0001,0.25,none,47.0888175964,0,47.0888175964,47.0888175964,47.1876754761,0,47.1876754761,47.1876754761,1
7,73,4,0.01,0,0.25,none,47.0784111023,0,47.0784111023,47.0784111023,47.2084922791,0,47.2084922791,47.2084922791,1
8,92,4,0.001,0.001,0.5,none,46.9327201843,0,46.9327201843,46.9327201843,46.7350006104,0,46.7350006104,46.7350006104,1
9,95,4,0.001,0.01,0.5,none,46.9275169373,0,46.9275169373,46.9275169373,46.9275169373,0,46.9275169373,46.9275169373,1
10,59,2,0.001,0.01,0.5,none,46.8182525635,0,46.8182525635,46.8182525635,46.5372810364,0,46.5372810364,46.5372810364,1
11,53,2,0.001,0.0001,0.5,none,46.7193908691,0,46.7193908691,46.7193908691,46.5112609863,0,46.5112609863,46.5112609863,1
12,56,2,0.001,0.001,0.5,none,46.5684967041,0,46.5684967041,46.5684967041,46.4644355774,0,46.4644355774,46.4644355774,1
13,50,2,0.001,0,0.5,none,46.5528907776,0,46.5528907776,46.5528907776,46.4956550598,0,46.4956550598,46.4956550598,1
14,43,2,0.01,0.001,0.25,none,46.506061554,0,46.506061554,46.506061554,45.9753379822,0,45.9753379822,45.9753379822,1
15,40,2,0.01,0.0001,0.25,none,46.4644355774,0,46.4644355774,46.4644355774,45.9076957703,0,45.9076957703,45.9076957703,1
16,37,2,0.01,0,0.25,none,46.4019966125,0,46.4019966125,46.4019966125,45.7828178406,0,45.7828178406,45.7828178406,1
17,55,2,0.001,0.001,0.25,none,46.3915901184,0,46.3915901184,46.3915901184,46.1730575562,0,46.1730575562,46.1730575562,1
18,83,4,0.01,0.01,0.5,none,46.3707771301,0,46.3707771301,46.3707771301,46.3447647095,0,46.3447647095,46.3447647095,1
19,89,4,0.001,0.0001,0.5,none,46.2615089417,0,46.2615089417,46.2615089417,46.1054153442,0,46.1054153442,46.1054153442,1
20,86,4,0.001,0,0.5,none,46.2563056946,0,46.2563056946,46.2563056946,46.1262283325,0,46.1262283325,46.1262283325,1
21,80,4,0.01,0.001,0.5,none,46.1990737915,0,46.1990737915,46.1990737915,46.0481796265,0,46.0481796265,46.0481796265,1
22,130,8,0.001,0.01,0.25,none,46.1262283325,0,46.1262283325,46.1262283325,45.7463951111,0,45.7463951111,45.7463951111,1
23,49,2,0.001,0,0.25,none,45.9961509705,0,45.9961509705,45.9961509705,45.8608665466,0,45.8608665466,45.8608665466,1
24,52,2,0.001,0.0001,0.25,none,45.9805412292,0,45.9805412292,45.9805412292,45.7932243347,0,45.7932243347,45.7932243347,1
25,74,4,0.01,0,0.5,none,45.9128990173,0,45.9128990173,45.9128990173,45.7463951111,0,45.7463951111,45.7463951111,1
26,77,4,0.01,0.0001,0.5,none,45.8972854614,0,45.8972854614,45.8972854614,45.7828178406,0,45.7828178406,45.7828178406,1
27,118,8,0.01,0.01,0.25,none,45.8920860291,0,45.8920860291,45.8920860291,45.6579399109,0,45.6579399109,45.6579399109,1
28,47,2,0.01,0.01,0.5,none,45.8608665466,0,45.8608665466,45.8608665466,45.4133911133,0,45.4133911133,45.4133911133,1
29,90,4,0.001,0.0001,0.75,none,45.7515983582,0,45.7515983582,45.7515983582,45.590297699,0,45.590297699,45.590297699,1
30,87,4,0.001,0,0.75,none,45.6475334167,0,45.6475334167,45.6475334167,45.4966430664,0,45.4966430664,45.4966430664,1
31,91,4,0.001,0.001,0.25,none,45.6007080078,0,45.6007080078,45.6007080078,45.6423301697,0,45.6423301697,45.6423301697,1
32,93,4,0.001,0.001,0.75,none,45.5798950195,0,45.5798950195,45.5798950195,45.3873748779,0,45.3873748779,45.3873748779,1
33,85,4,0.001,0,0.25,none,45.5122528076,0,45.5122528076,45.5122528076,45.6683502197,0,45.6683502197,45.6683502197,1
34,88,4,0.001,0.0001,0.25,none,45.4966430664,0,45.4966430664,45.4966430664,45.6683502197,0,45.6683502197,45.6683502197,1
35,51,2,0.001,0,0.75,none,45.392578125,0,45.392578125,45.392578125,45.0231513977,0,45.0231513977,45.0231513977,1
36,115,8,0.01,0.001,0.25,none,45.2989234924,0,45.2989234924,45.2989234924,45.194858551,0,45.194858551,45.194858551,1
37,41,2,0.01,0.0001,0.5,none,45.2468910217,0,45.2468910217,45.2468910217,44.8254318237,0,44.8254318237,44.8254318237,1
38,38,2,0.01,0,0.5,none,45.2416877747,0,45.2416877747,45.2416877747,44.8982772827,0,44.8982772827,44.8982772827,1
39,131,8,0.001,0.01,0.5,none,45.2416877747,0,45.2416877747,45.2416877747,44.7629928589,0,44.7629928589,44.7629928589,1
40,84,4,0.01,0.01,0.75,none,45.2156715393,0,45.2156715393,45.2156715393,45.26770401,0,45.26770401,45.26770401,1
41,44,2,0.01,0.001,0.5,none,45.2052650452,0,45.2052650452,45.2052650452,44.8774642944,0,44.8774642944,44.8774642944,1
42,57,2,0.001,0.001,0.75,none,45.1636390686,0,45.1636390686,45.1636390686,44.8878707886,0,44.8878707886,44.8878707886,1
43,54,2,0.001,0.0001,0.75,none,45.1532325745,0,45.1532325745,45.1532325745,44.8826675415,0,44.8826675415,44.8826675415,1
44,96,4,0.001,0.01,0.75,none,44.9971389771,0,44.9971389771,44.9971389771,44.8670578003,0,44.8670578003,44.8670578003,1
45,119,8,0.01,0.01,0.5,none,44.9503097534,0,44.9503097534,44.9503097534,44.4716148376,0,44.4716148376,44.4716148376,1
46,60,2,0.001,0.01,0.75,none,44.7265701294,0,44.7265701294,44.7265701294,44.5236473083,0,44.5236473083,44.5236473083,1
47,112,8,0.01,0.0001,0.25,none,44.6849479675,0,44.6849479675,44.6849479675,44.6641311646,0,44.6641311646,44.6641311646,1
48,109,8,0.01,0,0.25,none,44.6589279175,0,44.6589279175,44.6589279175,44.6745376587,0,44.6745376587,44.6745376587,1
49,110,8,0.01,0,0.5,none,44.6589279175,0,44.6589279175,44.6589279175,44.4664115906,0,44.4664115906,44.4664115906,1
50,113,8,0.01,0.0001,0.5,none,44.6016960144,0,44.6016960144,44.6016960144,44.4924278259,0,44.4924278259,44.4924278259,1
