rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,188,32,0.01,0.001,0.5,none,69.4647674561,0,69.4647674561,69.4647674561,70.3407745361,0,70.3407745361,70.3407745361,1
2,182,32,0.01,0,0.5,none,67.3661880493,0,67.3661880493,67.3661880493,68.3288421631,0,68.3288421631,68.3288421631,1
3,185,32,0.01,0.0001,0.5,none,66.5671920776,0,66.5671920776,66.5671920776,67.587600708,0,67.587600708,67.587600708,1
4,40,2,0.01,0.0001,0.25,none,66.3746643066,0,66.3746643066,66.3746643066,67.14478302,0,67.14478302,67.14478302,1
5,191,32,0.01,0.01,0.5,none,66.201385498,0,66.201385498,66.201385498,67.1062774658,0,67.1062774658,67.1062774658,1
6,46,2,0.01,0.01,0.25,none,66.1628799438,0,66.1628799438,66.1628799438,66.6249542236,0,66.6249542236,66.6249542236,1
7,43,2,0.01,0.001,0.25,none,66.0281143188,0,66.0281143188,66.0281143188,66.7404708862,0,66.7404708862,66.7404708862,1
8,41,2,0.01,0.0001,0.5,none,61.7924499512,0,61.7924499512,61.7924499512,61.7924499512,0,61.7924499512,61.7924499512,1
9,37,2,0.01,0,0.25,none,61.6287994385,0,61.6287994385,61.6287994385,61.8020782471,0,61.8020782471,61.8020782471,1
10,109,8,0.01,0,0.25,none,61.2244911194,0,61.2244911194,61.2244911194,62.0234909058,0,62.0234909058,62.0234909058,1
11,112,8,0.01,0.0001,0.25,none,61.2244911194,0,61.2244911194,61.2244911194,62.0234909058,0,62.0234909058,62.0234909058,1
12,115,8,0.01,0.001,0.25,none,61.2244911194,0,61.2244911194,61.2244911194,62.0234909058,0,62.0234909058,62.0234909058,1
13,118,8,0.01,0.01,0.25,none,61.2244911194,0,61.2244911194,61.2244911194,62.033115387,0,62.033115387,62.033115387,1
14,239,64,0.001,0.01,0.5,none,61.0800933838,0,61.0800933838,61.0800933838,61.311126709,0,61.311126709,61.311126709,1
15,10,0,0.01,0.01,0.25,none,60.7624168396,0,60.7624168396,60.7624168396,61.6095466614,0,61.6095466614,61.6095466614,1
16,94,4,0.001,0.01,0.25,none,60.5698890686,0,60.5698890686,60.5698890686,60.8009223938,0,60.8009223938,60.8009223938,1
17,85,4,0.001,0,0.25,none,60.5602607727,0,60.5602607727,60.5602607727,60.8009223938,0,60.8009223938,60.8009223938,1
18,88,4,0.001,0.0001,0.25,none,60.5602607727,0,60.5602607727,60.5602607727,60.8009223938,0,60.8009223938,60.8009223938,1
19,91,4,0.001,0.001,0.25,none,60.5602607727,0,60.5602607727,60.5602607727,60.8201751709,0,60.8201751709,60.8201751709,1
20,7,0,0.01,0.001,0.25,none,60.4158630371,0,60.4158630371,60.4158630371,61.8213310242,0,61.8213310242,61.8213310242,1
21,230,64,0.001,0,0.5,none,59.953792572,0,59.953792572,59.953792572,60.4543685913,0,60.4543685913,60.4543685913,1
22,73,4,0.01,0,0.25,none,59.7131309509,0,59.7131309509,59.7131309509,60.0981903076,0,60.0981903076,60.0981903076,1
23,76,4,0.01,0.0001,0.25,none,59.7131309509,0,59.7131309509,59.7131309509,60.0981903076,0,60.0981903076,60.0981903076,1
24,79,4,0.01,0.001,0.25,none,59.7131309509,0,59.7131309509,59.7131309509,60.0981903076,0,60.0981903076,60.0981903076,1
25,82,4,0.01,0.01,0.25,none,59.7131309509,0,59.7131309509,59.7131309509,60.0981903076,0,60.0981903076,60.0981903076,1
26,233,64,0.001,0.0001,0.5,none,59.5206031799,0,59.5206031799,59.5206031799,60.2810935974,0,60.2810935974,60.2810935974,1
27,1,0,0.01,0,0.25,none,59.2029266357,0,59.2029266357,59.2029266357,59.9923019409,0,59.9923019409,59.9923019409,1
28,4,0,0.01,0.0001,0.25,none,59.1259117126,0,59.1259117126,59.1259117126,60.4351158142,0,60.4351158142,60.4351158142,1
29,236,64,0.001,0.001,0.5,none,59.0681533813,0,59.0681533813,59.0681533813,59.3376998901,0,59.3376998901,59.3376998901,1
30,106,4,0.0001,0.01,0.25,none,59.0585289001,0,59.0585289001,59.0585289001,59.8767814636,0,59.8767814636,59.8767814636,1
31,100,4,0.0001,0.0001,0.25,none,59.0489044189,0,59.0489044189,59.0489044189,59.8864059448,0,59.8864059448,59.8864059448,1
32,97,4,0.0001,0,0.25,none,59.0296516418,0,59.0296516418,59.0296516418,59.8671569824,0,59.8671569824,59.8671569824,1
33,103,4,0.0001,0.001,0.25,none,59.0296516418,0,59.0296516418,59.0296516418,59.9056587219,0,59.9056587219,59.9056587219,1
34,52,2,0.001,0.0001,0.25,none,58.2402763367,0,58.2402763367,58.2402763367,58.8371200562,0,58.8371200562,58.8371200562,1
35,55,2,0.001,0.001,0.25,none,58.2306518555,0,58.2306518555,58.2306518555,58.8371200562,0,58.8371200562,58.8371200562,1
36,86,4,0.001,0,0.5,none,58.2113990784,0,58.2113990784,58.2113990784,59.6361160278,0,59.6361160278,59.6361160278,1
37,89,4,0.001,0.0001,0.5,none,58.2113990784,0,58.2113990784,58.2113990784,59.6361160278,0,59.6361160278,59.6361160278,1
38,92,4,0.001,0.001,0.5,none,58.2113990784,0,58.2113990784,58.2113990784,59.6361160278,0,59.6361160278,59.6361160278,1
39,95,4,0.001,0.01,0.5,none,58.2113990784,0,58.2113990784,58.2113990784,59.645740509,0,59.645740509,59.645740509,1
40,58,2,0.001,0.01,0.25,none,58.2017707825,0,58.2017707825,58.2017707825,58.740852356,0,58.740852356,58.740852356,1
41,49,2,0.001,0,0.25,none,58.1825180054,0,58.1825180054,58.1825180054,58.7986106873,0,58.7986106873,58.7986106873,1
42,38,2,0.01,0,0.5,none,58.0092430115,0,58.0092430115,58.0092430115,58.2499008179,0,58.2499008179,58.2499008179,1
43,44,2,0.01,0.001,0.5,none,58.0092430115,0,58.0092430115,58.0092430115,58.2499008179,0,58.2499008179,58.2499008179,1
44,47,2,0.01,0.01,0.5,none,58.0092430115,0,58.0092430115,58.0092430115,58.2499008179,0,58.2499008179,58.2499008179,1
45,139,8,0.0001,0.001,0.25,none,57.6723175049,0,57.6723175049,57.6723175049,58.6349601746,0,58.6349601746,58.6349601746,1
46,142,8,0.0001,0.01,0.25,none,57.662689209,0,57.662689209,57.662689209,58.6542205811,0,58.6542205811,58.6542205811,1
47,133,8,0.0001,0,0.25,none,57.6530647278,0,57.6530647278,57.6530647278,58.5868301392,0,58.5868301392,58.5868301392,1
48,136,8,0.0001,0.0001,0.25,none,57.6434364319,0,57.6434364319,57.6434364319,58.6157073975,0,58.6157073975,58.6157073975,1
49,59,2,0.001,0.01,0.5,none,57.5664215088,0,57.5664215088,57.5664215088,58.1825180054,0,58.1825180054,58.1825180054,1
50,50,2,0.001,0,0.5,none,57.5471687317,0,57.5471687317,57.5471687317,58.163269043,0,58.163269043,58.163269043,1
51,53,2,0.001,0.0001,0.5,none,57.5471687317,0,57.5471687317,57.5471687317,58.163269043,0,58.163269043,58.163269043,1
52,56,2,0.001,0.001,0.5,none,57.5375442505,0,57.5375442505,57.5375442505,58.163269043,0,58.163269043,58.163269043,1
53,154,16,0.01,0.01,0.25,none,57.4316482544,0,57.4316482544,57.4316482544,58.1825180054,0,58.1825180054,58.1825180054,1
54,151,16,0.01,0.001,0.25,none,57.412399292,0,57.412399292,57.412399292,58.1921463013,0,58.1921463013,58.1921463013,1
55,145,16,0.01,0,0.25,none,57.4027709961,0,57.4027709961,57.4027709961,58.2113990784,0,58.2113990784,58.2113990784,1
56,148,16,0.01,0.0001,0.25,none,57.4027709961,0,57.4027709961,57.4027709961,58.2113990784,0,58.2113990784,58.2113990784,1
57,74,4,0.01,0,0.5,none,57.1236000061,0,57.1236000061,57.1236000061,57.7878303528,0,57.7878303528,57.7878303528,1
58,77,4,0.01,0.0001,0.5,none,57.1236000061,0,57.1236000061,57.1236000061,57.7878303528,0,57.7878303528,57.7878303528,1
59,80,4,0.01,0.001,0.5,none,57.1236000061,0,57.1236000061,57.1236000061,57.7878303528,0,57.7878303528,57.7878303528,1
60,83,4,0.01,0.01,0.5,none,57.1236000061,0,57.1236000061,57.1236000061,57.7878303528,0,57.7878303528,57.7878303528,1
61,121,8,0.001,0,0.25,none,56.998462677,0,56.998462677,56.998462677,58.3076667786,0,58.3076667786,58.3076667786,1
62,124,8,0.001,0.0001,0.25,none,56.998462677,0,56.998462677,56.998462677,58.3076667786,0,58.3076667786,58.3076667786,1
63,127,8,0.001,0.001,0.25,none,56.998462677,0,56.998462677,56.998462677,58.3076667786,0,58.3076667786,58.3076667786,1
64,130,8,0.001,0.01,0.25,none,56.998462677,0,56.998462677,56.998462677,58.3076667786,0,58.3076667786,58.3076667786,1
