rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,118,8,0.01,0.01,0.25,none,77.8494415283,0,77.8494415283,77.8494415283,78.8505935669,0,78.8505935669,78.8505935669,1
2,119,8,0.01,0.01,0.5,none,77.6954193115,0,77.6954193115,77.6954193115,78.7735824585,0,78.7735824585,78.7735824585,1
3,117,8,0.01,0.001,0.75,none,77.6857910156,0,77.6857910156,77.6857910156,78.8794784546,0,78.8794784546,78.8794784546,1
4,130,8,0.001,0.01,0.25,none,77.2718582153,0,77.2718582153,77.2718582153,77.8879470825,0,77.8879470825,77.8879470825,1
5,120,8,0.01,0.01,0.75,none,77.26222229,0,77.26222229,77.26222229,78.1382369995,0,78.1382369995,78.1382369995,1
6,82,4,0.01,0.01,0.25,none,77.2140884399,0,77.2140884399,77.2140884399,78.5714263916,0,78.5714263916,78.5714263916,1
7,131,8,0.001,0.01,0.5,none,77.1370849609,0,77.1370849609,77.1370849609,77.8109359741,0,77.8109359741,77.8109359741,1
8,95,4,0.001,0.01,0.5,none,77.0889434814,0,77.0889434814,77.0889434814,78.5714263916,0,78.5714263916,78.5714263916,1
9,128,8,0.001,0.001,0.5,none,77.0889434814,0,77.0889434814,77.0889434814,78.2248764038,0,78.2248764038,78.2248764038,1
10,155,16,0.01,0.01,0.5,none,77.0889434814,0,77.0889434814,77.0889434814,78.1286087036,0,78.1286087036,78.1286087036,1
11,83,4,0.01,0.01,0.5,none,77.069694519,0,77.069694519,77.069694519,78.706199646,0,78.706199646,78.706199646,1
12,116,8,0.01,0.001,0.5,none,77.0311889648,0,77.0311889648,77.0311889648,78.1093597412,0,78.1093597412,78.1093597412,1
13,110,8,0.01,0,0.5,none,77.0215606689,0,77.0215606689,77.0215606689,78.0708465576,0,78.0708465576,78.0708465576,1
14,113,8,0.01,0.0001,0.5,none,76.934928894,0,76.934928894,76.934928894,78.0804748535,0,78.0804748535,78.0804748535,1
15,115,8,0.01,0.001,0.25,none,76.9252929688,0,76.9252929688,76.9252929688,78.4462890625,0,78.4462890625,78.4462890625,1
16,94,4,0.001,0.01,0.25,none,76.9060440063,0,76.9060440063,76.9060440063,78.4462890625,0,78.4462890625,78.4462890625,1
17,112,8,0.01,0.0001,0.25,none,76.9060440063,0,76.9060440063,76.9060440063,78.4077758789,0,78.4077758789,78.4077758789,1
18,123,8,0.001,0,0.75,none,76.8867874146,0,76.8867874146,76.8867874146,77.5798950195,0,77.5798950195,77.5798950195,1
19,109,8,0.01,0,0.25,none,76.877166748,0,76.877166748,76.877166748,78.4366531372,0,78.4366531372,78.4366531372,1
20,126,8,0.001,0.0001,0.75,none,76.8579101562,0,76.8579101562,76.8579101562,77.5991516113,0,77.5991516113,77.5991516113,1
21,154,16,0.01,0.01,0.25,none,76.8482894897,0,76.8482894897,76.8482894897,77.762802124,0,77.762802124,77.762802124,1
22,129,8,0.001,0.001,0.75,none,76.8097839355,0,76.8097839355,76.8097839355,77.5028915405,0,77.5028915405,77.5028915405,1
23,125,8,0.001,0.0001,0.5,none,76.7809066772,0,76.7809066772,76.7809066772,77.705039978,0,77.705039978,77.705039978,1
24,92,4,0.001,0.001,0.5,none,76.6942596436,0,76.6942596436,76.6942596436,78.321144104,0,78.321144104,78.321144104,1
25,86,4,0.001,0,0.5,none,76.6750106812,0,76.6750106812,76.6750106812,78.3885269165,0,78.3885269165,78.3885269165,1
26,89,4,0.001,0.0001,0.5,none,76.6653823853,0,76.6653823853,76.6653823853,78.3403930664,0,78.3403930664,78.3403930664,1
27,152,16,0.01,0.001,0.5,none,76.636505127,0,76.636505127,76.636505127,77.8109359741,0,77.8109359741,77.8109359741,1
28,81,4,0.01,0.001,0.75,none,76.6172561646,0,76.6172561646,76.6172561646,78.1863708496,0,78.1863708496,78.1863708496,1
29,114,8,0.01,0.0001,0.75,none,76.578742981,0,76.578742981,76.578742981,77.570274353,0,77.570274353,77.570274353,1
30,111,8,0.01,0,0.75,none,76.5691146851,0,76.5691146851,76.5691146851,77.5991516113,0,77.5991516113,77.5991516113,1
31,84,4,0.01,0.01,0.75,none,76.5594863892,0,76.5594863892,76.5594863892,77.8109359741,0,77.8109359741,77.8109359741,1
32,156,16,0.01,0.01,0.75,none,76.5594863892,0,76.5594863892,76.5594863892,77.6087799072,0,77.6087799072,77.6087799072,1
33,122,8,0.001,0,0.5,none,76.4824829102,0,76.4824829102,76.4824829102,77.3103561401,0,77.3103561401,77.3103561401,1
34,167,16,0.001,0.01,0.5,none,76.4536056519,0,76.4536056519,76.4536056519,77.2140884399,0,77.2140884399,77.2140884399,1
35,166,16,0.001,0.01,0.25,none,76.4247207642,0,76.4247207642,76.4247207642,77.1178283691,0,77.1178283691,77.1178283691,1
36,132,8,0.001,0.01,0.75,none,76.4150924683,0,76.4150924683,76.4150924683,77.4258728027,0,77.4258728027,77.4258728027,1
37,74,4,0.01,0,0.5,none,76.3958358765,0,76.3958358765,76.3958358765,77.9071960449,0,77.9071960449,77.9071960449,1
38,77,4,0.01,0.0001,0.5,none,76.38621521,0,76.38621521,76.38621521,77.9264526367,0,77.9264526367,77.9264526367,1
39,80,4,0.01,0.001,0.5,none,76.3092041016,0,76.3092041016,76.3092041016,77.705039978,0,77.705039978,77.705039978,1
40,79,4,0.01,0.001,0.25,none,76.2899551392,0,76.2899551392,76.2899551392,78.0997314453,0,78.0997314453,78.0997314453,1
41,76,4,0.01,0.0001,0.25,none,76.2225646973,0,76.2225646973,76.2225646973,78.0708465576,0,78.0708465576,78.0708465576,1
42,146,16,0.01,0,0.5,none,76.1744308472,0,76.1744308472,76.1744308472,77.4836349487,0,77.4836349487,77.4836349487,1
43,73,4,0.01,0,0.25,none,76.1551818848,0,76.1551818848,76.1551818848,77.9457092285,0,77.9457092285,77.9457092285,1
44,149,16,0.01,0.0001,0.5,none,76.135925293,0,76.135925293,76.135925293,77.4836349487,0,77.4836349487,77.4836349487,1
45,168,16,0.001,0.01,0.75,none,76.0107803345,0,76.0107803345,76.0107803345,77.0119400024,0,77.0119400024,77.0119400024,1
46,75,4,0.01,0,0.75,none,75.9722747803,0,75.9722747803,75.9722747803,76.9638061523,0,76.9638061523,76.9638061523,1
47,87,4,0.001,0,0.75,none,75.9530258179,0,75.9530258179,75.9530258179,77.5510177612,0,77.5510177612,77.5510177612,1
48,78,4,0.01,0.0001,0.75,none,75.9145126343,0,75.9145126343,75.9145126343,77.0504379272,0,77.0504379272,77.0504379272,1
49,90,4,0.001,0.0001,0.75,none,75.8952636719,0,75.8952636719,75.8952636719,77.5413894653,0,77.5413894653,77.5413894653,1
50,93,4,0.001,0.001,0.75,none,75.8567581177,0,75.8567581177,75.8567581177,77.5028915405,0,77.5028915405,77.5028915405,1
51,96,4,0.001,0.01,0.75,none,75.8278808594,0,75.8278808594,75.8278808594,77.3007354736,0,77.3007354736,77.3007354736,1
52,46,2,0.01,0.01,0.25,none,75.8086242676,0,75.8086242676,75.8086242676,77.2333450317,0,77.2333450317,77.2333450317,1
53,127,8,0.001,0.001,0.25,none,75.5198287964,0,75.5198287964,75.5198287964,76.3477096558,0,76.3477096558,76.3477096558,1
54,56,2,0.001,0.001,0.5,none,75.385055542,0,75.385055542,75.385055542,76.8097839355,0,76.8097839355,76.8097839355,1
55,162,16,0.001,0.0001,0.75,none,75.3273010254,0,75.3273010254,75.3273010254,76.0107803345,0,76.0107803345,76.0107803345,1
