rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,44,2,0.01,0.001,0.5,none,57.6923065186,0,57.6923065186,57.6923065186,54.4471130371,0,54.4471130371,54.4471130371,1
2,47,2,0.01,0.01,0.5,none,56.0096206665,0,56.0096206665,56.0096206665,52.4038505554,0,52.4038505554,52.4038505554,1
3,41,2,0.01,0.0001,0.5,none,55.8894271851,0,55.8894271851,55.8894271851,53.7259635925,0,53.7259635925,53.7259635925,1
4,80,4,0.01,0.001,0.5,none,55.8894271851,0,55.8894271851,55.8894271851,51.5625,0,51.5625,51.5625,1
5,83,4,0.01,0.01,0.5,none,55.8894271851,0,55.8894271851,55.8894271851,51.3221130371,0,51.3221130371,51.3221130371,1
6,100,4,0.0001,0.0001,0.25,none,55.7692337036,0,55.7692337036,55.7692337036,53.4855766296,0,53.4855766296,53.4855766296,1
7,142,8,0.0001,0.01,0.25,none,55.7692337036,0,55.7692337036,55.7692337036,55.2884635925,0,55.2884635925,55.2884635925,1
8,166,16,0.001,0.01,0.25,none,55.7692337036,0,55.7692337036,55.7692337036,55.1682701111,0,55.1682701111,55.1682701111,1
9,97,4,0.0001,0,0.25,none,55.6490402222,0,55.6490402222,55.6490402222,53.4855766296,0,53.4855766296,53.4855766296,1
10,106,4,0.0001,0.01,0.25,none,55.6490402222,0,55.6490402222,55.6490402222,53.0048065186,0,53.0048065186,53.0048065186,1
11,157,16,0.001,0,0.25,none,55.6490402222,0,55.6490402222,55.6490402222,55.1682701111,0,55.1682701111,55.1682701111,1
12,160,16,0.001,0.0001,0.25,none,55.6490402222,0,55.6490402222,55.6490402222,55.2884635925,0,55.2884635925,55.2884635925,1
13,163,16,0.001,0.001,0.25,none,55.6490402222,0,55.6490402222,55.6490402222,55.2884635925,0,55.2884635925,55.2884635925,1
14,103,4,0.0001,0.001,0.25,none,55.5288505554,0,55.5288505554,55.5288505554,53.846157074,0,53.846157074,53.846157074,1
15,133,8,0.0001,0,0.25,none,55.5288505554,0,55.5288505554,55.5288505554,55.5288505554,0,55.5288505554,55.5288505554,1
16,139,8,0.0001,0.001,0.25,none,55.2884635925,0,55.2884635925,55.2884635925,55.7692337036,0,55.7692337036,55.7692337036,1
17,136,8,0.0001,0.0001,0.25,none,55.1682701111,0,55.1682701111,55.1682701111,56.0096206665,0,56.0096206665,56.0096206665,1
18,124,8,0.001,0.0001,0.25,none,54.9278869629,0,54.9278869629,54.9278869629,54.9278869629,0,54.9278869629,54.9278869629,1
19,77,4,0.01,0.0001,0.5,none,54.8076934814,0,54.8076934814,54.8076934814,51.0817337036,0,51.0817337036,51.0817337036,1
20,92,4,0.001,0.001,0.5,none,54.8076934814,0,54.8076934814,54.8076934814,52.1634635925,0,52.1634635925,52.1634635925,1
21,104,4,0.0001,0.001,0.5,none,54.8076934814,0,54.8076934814,54.8076934814,53.6057701111,0,53.6057701111,53.6057701111,1
22,130,8,0.001,0.01,0.25,none,54.8076934814,0,54.8076934814,54.8076934814,55.0480766296,0,55.0480766296,55.0480766296,1
23,86,4,0.001,0,0.5,none,54.6875,0,54.6875,54.6875,52.6442337036,0,52.6442337036,52.6442337036,1
24,89,4,0.001,0.0001,0.5,none,54.6875,0,54.6875,54.6875,52.4038505554,0,52.4038505554,52.4038505554,1
25,95,4,0.001,0.01,0.5,none,54.6875,0,54.6875,54.6875,52.283657074,0,52.283657074,52.283657074,1
26,98,4,0.0001,0,0.5,none,54.6875,0,54.6875,54.6875,53.3653869629,0,53.3653869629,53.3653869629,1
27,101,4,0.0001,0.0001,0.5,none,54.6875,0,54.6875,54.6875,53.6057701111,0,53.6057701111,53.6057701111,1
28,107,4,0.0001,0.01,0.5,none,54.6875,0,54.6875,54.6875,53.4855766296,0,53.4855766296,53.4855766296,1
29,127,8,0.001,0.001,0.25,none,54.6875,0,54.6875,54.6875,54.9278869629,0,54.9278869629,54.9278869629,1
30,121,8,0.001,0,0.25,none,54.3269271851,0,54.3269271851,54.3269271851,55.1682701111,0,55.1682701111,55.1682701111,1
31,74,4,0.01,0,0.5,none,53.9663505554,0,53.9663505554,53.9663505554,50.6009635925,0,50.6009635925,50.6009635925,1
32,88,4,0.001,0.0001,0.25,none,53.7259635925,0,53.7259635925,53.7259635925,53.3653869629,0,53.3653869629,53.3653869629,1
33,125,8,0.001,0.0001,0.5,none,53.6057701111,0,53.6057701111,53.6057701111,52.283657074,0,52.283657074,52.283657074,1
34,128,8,0.001,0.001,0.5,none,53.6057701111,0,53.6057701111,53.6057701111,52.4038505554,0,52.4038505554,52.4038505554,1
35,131,8,0.001,0.01,0.5,none,53.6057701111,0,53.6057701111,53.6057701111,52.4038505554,0,52.4038505554,52.4038505554,1
36,134,8,0.0001,0,0.5,none,53.6057701111,0,53.6057701111,53.6057701111,52.6442337036,0,52.6442337036,52.6442337036,1
37,68,2,0.0001,0.001,0.5,none,53.3653869629,0,53.3653869629,53.3653869629,49.8798103333,0,49.8798103333,49.8798103333,1
38,122,8,0.001,0,0.5,none,53.3653869629,0,53.3653869629,53.3653869629,52.7644271851,0,52.7644271851,52.7644271851,1
39,62,2,0.0001,0,0.5,none,53.2451934814,0,53.2451934814,53.2451934814,49.3990402222,0,49.3990402222,49.3990402222,1
40,71,2,0.0001,0.01,0.5,none,53.2451934814,0,53.2451934814,53.2451934814,50.3605766296,0,50.3605766296,50.3605766296,1
41,137,8,0.0001,0.0001,0.5,none,53.2451934814,0,53.2451934814,53.2451934814,52.6442337036,0,52.6442337036,52.6442337036,1
42,140,8,0.0001,0.001,0.5,none,53.2451934814,0,53.2451934814,53.2451934814,52.6442337036,0,52.6442337036,52.6442337036,1
43,143,8,0.0001,0.01,0.5,none,53.2451934814,0,53.2451934814,53.2451934814,52.6442337036,0,52.6442337036,52.6442337036,1
44,172,16,0.0001,0.0001,0.25,none,53.2451934814,0,53.2451934814,53.2451934814,52.6442337036,0,52.6442337036,52.6442337036,1
45,42,2,0.01,0.0001,0.75,none,53.125,0,53.125,53.125,51.9230766296,0,51.9230766296,51.9230766296,1
46,65,2,0.0001,0.0001,0.5,none,53.125,0,53.125,53.125,49.3990402222,0,49.3990402222,49.3990402222,1
47,169,16,0.0001,0,0.25,none,53.125,0,53.125,53.125,52.8846130371,0,52.8846130371,52.8846130371,1
48,175,16,0.0001,0.001,0.25,none,53.125,0,53.125,53.125,52.5240402222,0,52.5240402222,52.5240402222,1
49,64,2,0.0001,0.0001,0.25,none,52.8846130371,0,52.8846130371,52.8846130371,50.6009635925,0,50.6009635925,50.6009635925,1
50,178,16,0.0001,0.01,0.25,none,52.8846130371,0,52.8846130371,52.8846130371,53.6057701111,0,53.6057701111,53.6057701111,1
51,50,2,0.001,0,0.5,none,52.7644271851,0,52.7644271851,52.7644271851,52.283657074,0,52.283657074,52.283657074,1
52,54,2,0.001,0.0001,0.75,none,52.7644271851,0,52.7644271851,52.7644271851,49.8798103333,0,49.8798103333,49.8798103333,1
53,57,2,0.001,0.001,0.75,none,52.7644271851,0,52.7644271851,52.7644271851,49.6394233704,0,49.6394233704,49.6394233704,1
54,53,2,0.001,0.0001,0.5,none,52.6442337036,0,52.6442337036,52.6442337036,52.5240402222,0,52.5240402222,52.5240402222,1
55,60,2,0.001,0.01,0.75,none,52.6442337036,0,52.6442337036,52.6442337036,49.6394233704,0,49.6394233704,49.6394233704,1
56,67,2,0.0001,0.001,0.25,none,52.6442337036,0,52.6442337036,52.6442337036,51.9230766296,0,51.9230766296,51.9230766296,1
57,70,2,0.0001,0.01,0.25,none,52.5240402222,0,52.5240402222,52.5240402222,50.8413505554,0,50.8413505554,50.8413505554,1
58,49,2,0.001,0,0.25,none,52.4038505554,0,52.4038505554,52.4038505554,50.2403869629,0,50.2403869629,50.2403869629,1
59,56,2,0.001,0.001,0.5,none,52.4038505554,0,52.4038505554,52.4038505554,52.7644271851,0,52.7644271851,52.7644271851,1
60,59,2,0.001,0.01,0.5,none,52.4038505554,0,52.4038505554,52.4038505554,52.7644271851,0,52.7644271851,52.7644271851,1
61,61,2,0.0001,0,0.25,none,52.283657074,0,52.283657074,52.283657074,50.9615402222,0,50.9615402222,50.9615402222,1
62,85,4,0.001,0,0.25,none,52.1634635925,0,52.1634635925,52.1634635925,52.5240402222,0,52.5240402222,52.5240402222,1
63,87,4,0.001,0,0.75,none,52.1634635925,0,52.1634635925,52.1634635925,48.9182701111,0,48.9182701111,48.9182701111,1
64,91,4,0.001,0.001,0.25,none,52.1634635925,0,52.1634635925,52.1634635925,52.0432701111,0,52.0432701111,52.0432701111,1
65,94,4,0.001,0.01,0.25,none,52.1634635925,0,52.1634635925,52.1634635925,51.9230766296,0,51.9230766296,51.9230766296,1
66,52,2,0.001,0.0001,0.25,none,52.0432701111,0,52.0432701111,52.0432701111,50.6009635925,0,50.6009635925,50.6009635925,1
67,116,8,0.01,0.001,0.5,none,52.0432701111,0,52.0432701111,52.0432701111,50.721157074,0,50.721157074,50.721157074,1
68,119,8,0.01,0.01,0.5,none,52.0432701111,0,52.0432701111,52.0432701111,50.721157074,0,50.721157074,50.721157074,1
69,55,2,0.001,0.001,0.25,none,51.8028869629,0,51.8028869629,51.8028869629,50.6009635925,0,50.6009635925,50.6009635925,1
70,58,2,0.001,0.01,0.25,none,51.8028869629,0,51.8028869629,51.8028869629,50.6009635925,0,50.6009635925,50.6009635925,1
71,113,8,0.01,0.0001,0.5,none,51.8028869629,0,51.8028869629,51.8028869629,50.6009635925,0,50.6009635925,50.6009635925,1
72,45,2,0.01,0.001,0.75,none,51.4423065186,0,51.4423065186,51.4423065186,51.3221130371,0,51.3221130371,51.3221130371,1
73,51,2,0.001,0,0.75,none,51.4423065186,0,51.4423065186,51.4423065186,48.9182701111,0,48.9182701111,48.9182701111,1
74,244,64,0.0001,0.0001,0.25,none,51.4423065186,0,51.4423065186,51.4423065186,51.5625,0,51.5625,51.5625,1
75,12,0,0.01,0.01,0.75,none,51.3221130371,0,51.3221130371,51.3221130371,52.0432701111,0,52.0432701111,52.0432701111,1
76,48,2,0.01,0.01,0.75,none,51.0817337036,0,51.0817337036,51.0817337036,50.6009635925,0,50.6009635925,50.6009635925,1
77,9,0,0.01,0.001,0.75,none,50.8413505554,0,50.8413505554,50.8413505554,50.2403869629,0,50.2403869629,50.2403869629,1
78,214,32,0.0001,0.01,0.25,none,50.8413505554,0,50.8413505554,50.8413505554,49.7596168518,0,49.7596168518,49.7596168518,1
79,241,64,0.0001,0,0.25,none,50.8413505554,0,50.8413505554,50.8413505554,51.0817337036,0,51.0817337036,51.0817337036,1
