rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,215,32,0.0001,0.01,0.5,none,63.5817337036,0,63.5817337036,63.5817337036,63.5817337036,0,63.5817337036,63.5817337036,1
2,212,32,0.0001,0.001,0.5,none,63.221157074,0,63.221157074,63.221157074,63.1009635925,0,63.1009635925,63.1009635925,1
3,209,32,0.0001,0.0001,0.5,none,63.1009635925,0,63.1009635925,63.1009635925,62.8605766296,0,62.8605766296,62.8605766296,1
4,251,64,0.0001,0.01,0.5,none,62.9807701111,0,62.9807701111,62.9807701111,63.1009635925,0,63.1009635925,63.1009635925,1
5,177,16,0.0001,0.001,0.75,none,62.8605766296,0,62.8605766296,62.8605766296,60.4567337036,0,60.4567337036,60.4567337036,1
6,174,16,0.0001,0.0001,0.75,none,62.7403869629,0,62.7403869629,62.7403869629,60.6971206665,0,60.6971206665,60.6971206665,1
7,214,32,0.0001,0.01,0.25,none,62.7403869629,0,62.7403869629,62.7403869629,62.3798065186,0,62.3798065186,62.3798065186,1
8,216,32,0.0001,0.01,0.75,none,62.7403869629,0,62.7403869629,62.7403869629,62.2596206665,0,62.2596206665,62.2596206665,1
9,248,64,0.0001,0.001,0.5,none,62.7403869629,0,62.7403869629,62.7403869629,63.221157074,0,63.221157074,63.221157074,1
10,118,8,0.01,0.01,0.25,none,62.6201934814,0,62.6201934814,62.6201934814,60.096157074,0,60.096157074,60.096157074,1
11,180,16,0.0001,0.01,0.75,none,62.6201934814,0,62.6201934814,62.6201934814,60.8173065186,0,60.8173065186,60.8173065186,1
12,206,32,0.0001,0,0.5,none,62.6201934814,0,62.6201934814,62.6201934814,62.3798065186,0,62.3798065186,62.3798065186,1
13,208,32,0.0001,0.0001,0.25,none,62.6201934814,0,62.6201934814,62.6201934814,62.0192337036,0,62.0192337036,62.0192337036,1
14,210,32,0.0001,0.0001,0.75,none,62.6201934814,0,62.6201934814,62.6201934814,63.1009635925,0,63.1009635925,63.1009635925,1
15,211,32,0.0001,0.001,0.25,none,62.6201934814,0,62.6201934814,62.6201934814,62.6201934814,0,62.6201934814,62.6201934814,1
16,245,64,0.0001,0.0001,0.5,none,62.6201934814,0,62.6201934814,62.6201934814,62.8605766296,0,62.8605766296,62.8605766296,1
17,171,16,0.0001,0,0.75,none,62.5,0,62.5,62.5,61.0576934814,0,61.0576934814,61.0576934814,1
18,246,64,0.0001,0.0001,0.75,none,62.5,0,62.5,62.5,61.7788505554,0,61.7788505554,61.7788505554,1
19,213,32,0.0001,0.001,0.75,none,62.3798065186,0,62.3798065186,62.3798065186,62.1394271851,0,62.1394271851,62.1394271851,1
20,249,64,0.0001,0.001,0.75,none,62.3798065186,0,62.3798065186,62.3798065186,62.0192337036,0,62.0192337036,62.0192337036,1
21,252,64,0.0001,0.01,0.75,none,62.3798065186,0,62.3798065186,62.3798065186,61.658657074,0,61.658657074,61.658657074,1
22,179,16,0.0001,0.01,0.5,none,62.2596206665,0,62.2596206665,62.2596206665,60.8173065186,0,60.8173065186,60.8173065186,1
23,176,16,0.0001,0.001,0.5,none,62.1394271851,0,62.1394271851,62.1394271851,60.5769271851,0,60.5769271851,60.5769271851,1
24,195,32,0.001,0,0.75,none,62.1394271851,0,62.1394271851,62.1394271851,62.6201934814,0,62.6201934814,62.6201934814,1
25,243,64,0.0001,0,0.75,none,62.1394271851,0,62.1394271851,62.1394271851,61.1778869629,0,61.1778869629,61.1778869629,1
26,170,16,0.0001,0,0.5,none,62.0192337036,0,62.0192337036,62.0192337036,61.1778869629,0,61.1778869629,61.1778869629,1
27,242,64,0.0001,0,0.5,none,62.0192337036,0,62.0192337036,62.0192337036,63.3413505554,0,63.3413505554,63.3413505554,1
28,247,64,0.0001,0.001,0.25,none,62.0192337036,0,62.0192337036,62.0192337036,62.2596206665,0,62.2596206665,62.2596206665,1
29,173,16,0.0001,0.0001,0.5,none,61.8990402222,0,61.8990402222,61.8990402222,60.5769271851,0,60.5769271851,60.5769271851,1
30,201,32,0.001,0.001,0.75,none,61.8990402222,0,61.8990402222,61.8990402222,61.0576934814,0,61.0576934814,61.0576934814,1
31,205,32,0.0001,0,0.25,none,61.8990402222,0,61.8990402222,61.8990402222,62.0192337036,0,62.0192337036,62.0192337036,1
32,207,32,0.0001,0,0.75,none,61.8990402222,0,61.8990402222,61.8990402222,61.7788505554,0,61.7788505554,61.7788505554,1
33,244,64,0.0001,0.0001,0.25,none,61.8990402222,0,61.8990402222,61.8990402222,62.5,0,62.5,62.5,1
34,250,64,0.0001,0.01,0.25,none,61.8990402222,0,61.8990402222,61.8990402222,62.5,0,62.5,62.5,1
35,178,16,0.0001,0.01,0.25,none,61.7788505554,0,61.7788505554,61.7788505554,60.2163505554,0,60.2163505554,60.2163505554,1
36,240,64,0.001,0.01,0.75,none,61.7788505554,0,61.7788505554,61.7788505554,61.0576934814,0,61.0576934814,61.0576934814,1
37,230,64,0.001,0,0.5,none,61.658657074,0,61.658657074,61.658657074,61.4182701111,0,61.4182701111,61.4182701111,1
38,172,16,0.0001,0.0001,0.25,none,61.5384635925,0,61.5384635925,61.5384635925,59.8557701111,0,59.8557701111,59.8557701111,1
39,175,16,0.0001,0.001,0.25,none,61.5384635925,0,61.5384635925,61.5384635925,60.2163505554,0,60.2163505554,60.2163505554,1
