rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,37,2,0.01,0,0.25,none,75.0369262695,0,75.0369262695,75.0369262695,77.4002914429,0,77.4002914429,77.4002914429,1
2,46,2,0.01,0.01,0.25,none,75.0369262695,0,75.0369262695,75.0369262695,78.1388473511,0,78.1388473511,78.1388473511,1
3,166,16,0.001,0.01,0.25,none,74.889213562,0,74.889213562,74.889213562,77.1048736572,0,77.1048736572,77.1048736572,1
4,194,32,0.001,0,0.5,none,74.889213562,0,74.889213562,74.889213562,75.9231872559,0,75.9231872559,75.9231872559,1
5,203,32,0.001,0.01,0.5,none,74.5937957764,0,74.5937957764,74.5937957764,76.2186126709,0,76.2186126709,76.2186126709,1
6,43,2,0.01,0.001,0.25,none,74.1506652832,0,74.1506652832,74.1506652832,76.9571609497,0,76.9571609497,76.9571609497,1
7,197,32,0.001,0.0001,0.5,none,74.1506652832,0,74.1506652832,74.1506652832,74.889213562,0,74.889213562,74.889213562,1
8,196,32,0.001,0.0001,0.25,none,74.0029525757,0,74.0029525757,74.0029525757,73.70753479,0,73.70753479,73.70753479,1
9,40,2,0.01,0.0001,0.25,none,73.8552474976,0,73.8552474976,73.8552474976,77.4002914429,0,77.4002914429,77.4002914429,1
10,193,32,0.001,0,0.25,none,73.8552474976,0,73.8552474976,73.8552474976,73.412109375,0,73.412109375,73.412109375,1
11,199,32,0.001,0.001,0.25,none,73.8552474976,0,73.8552474976,73.8552474976,74.5937957764,0,74.5937957764,74.5937957764,1
12,200,32,0.001,0.001,0.5,none,73.8552474976,0,73.8552474976,73.8552474976,76.2186126709,0,76.2186126709,76.2186126709,1
13,92,4,0.001,0.001,0.5,none,73.70753479,0,73.70753479,73.70753479,75.6277694702,0,75.6277694702,75.6277694702,1
14,95,4,0.001,0.01,0.5,none,73.70753479,0,73.70753479,73.70753479,75.3323516846,0,75.3323516846,75.3323516846,1
15,202,32,0.001,0.01,0.25,none,73.70753479,0,73.70753479,73.70753479,73.1166915894,0,73.1166915894,73.1166915894,1
16,86,4,0.001,0,0.5,none,72.8212738037,0,72.8212738037,72.8212738037,72.6735610962,0,72.6735610962,72.6735610962,1
17,79,4,0.01,0.001,0.25,none,72.6735610962,0,72.6735610962,72.6735610962,76.8094558716,0,76.8094558716,76.8094558716,1
18,89,4,0.001,0.0001,0.5,none,72.6735610962,0,72.6735610962,72.6735610962,74.0029525757,0,74.0029525757,74.0029525757,1
19,41,2,0.01,0.0001,0.5,none,72.5258483887,0,72.5258483887,72.5258483887,75.6277694702,0,75.6277694702,75.6277694702,1
20,121,8,0.001,0,0.25,none,72.5258483887,0,72.5258483887,72.5258483887,74.1506652832,0,74.1506652832,74.1506652832,1
21,44,2,0.01,0.001,0.5,none,72.0827178955,0,72.0827178955,72.0827178955,75.6277694702,0,75.6277694702,75.6277694702,1
22,38,2,0.01,0,0.5,none,71.935005188,0,71.935005188,71.935005188,76.0708999634,0,76.0708999634,76.0708999634,1
23,47,2,0.01,0.01,0.5,none,71.935005188,0,71.935005188,71.935005188,76.5140304565,0,76.5140304565,76.5140304565,1
24,130,8,0.001,0.01,0.25,none,71.935005188,0,71.935005188,71.935005188,74.1506652832,0,74.1506652832,74.1506652832,1
25,205,32,0.0001,0,0.25,none,71.935005188,0,71.935005188,71.935005188,72.6735610962,0,72.6735610962,72.6735610962,1
26,73,4,0.01,0,0.25,none,71.7873001099,0,71.7873001099,71.7873001099,75.9231872559,0,75.9231872559,75.9231872559,1
27,211,32,0.0001,0.001,0.25,none,71.7873001099,0,71.7873001099,71.7873001099,72.5258483887,0,72.5258483887,72.5258483887,1
28,208,32,0.0001,0.0001,0.25,none,71.6395874023,0,71.6395874023,71.6395874023,72.6735610962,0,72.6735610962,72.6735610962,1
29,131,8,0.001,0.01,0.5,none,71.4918746948,0,71.4918746948,71.4918746948,74.2983779907,0,74.2983779907,74.2983779907,1
30,161,16,0.001,0.0001,0.5,none,71.4918746948,0,71.4918746948,71.4918746948,74.7415084839,0,74.7415084839,74.7415084839,1
31,167,16,0.001,0.01,0.5,none,71.4918746948,0,71.4918746948,71.4918746948,74.5937957764,0,74.5937957764,74.5937957764,1
32,214,32,0.0001,0.01,0.25,none,71.4918746948,0,71.4918746948,71.4918746948,72.6735610962,0,72.6735610962,72.6735610962,1
33,164,16,0.001,0.001,0.5,none,71.3441619873,0,71.3441619873,71.3441619873,75.1846389771,0,75.1846389771,75.1846389771,1
34,127,8,0.001,0.001,0.25,none,71.1964569092,0,71.1964569092,71.1964569092,74.889213562,0,74.889213562,74.889213562,1
35,247,64,0.0001,0.001,0.25,none,71.0487442017,0,71.0487442017,71.0487442017,72.0827178955,0,72.0827178955,72.0827178955,1
36,76,4,0.01,0.0001,0.25,none,70.9010314941,0,70.9010314941,70.9010314941,74.5937957764,0,74.5937957764,74.5937957764,1
37,85,4,0.001,0,0.25,none,70.9010314941,0,70.9010314941,70.9010314941,74.0029525757,0,74.0029525757,74.0029525757,1
38,91,4,0.001,0.001,0.25,none,70.9010314941,0,70.9010314941,70.9010314941,74.7415084839,0,74.7415084839,74.7415084839,1
39,244,64,0.0001,0.0001,0.25,none,70.9010314941,0,70.9010314941,70.9010314941,71.3441619873,0,71.3441619873,71.3441619873,1
40,250,64,0.0001,0.01,0.25,none,70.9010314941,0,70.9010314941,70.9010314941,71.7873001099,0,71.7873001099,71.7873001099,1
41,241,64,0.0001,0,0.25,none,70.753326416,0,70.753326416,70.753326416,71.7873001099,0,71.7873001099,71.7873001099,1
42,88,4,0.001,0.0001,0.25,none,70.6056137085,0,70.6056137085,70.6056137085,74.0029525757,0,74.0029525757,74.0029525757,1
43,94,4,0.001,0.01,0.25,none,70.6056137085,0,70.6056137085,70.6056137085,73.5598220825,0,73.5598220825,73.5598220825,1
44,125,8,0.001,0.0001,0.5,none,70.457901001,0,70.457901001,70.457901001,72.9689788818,0,72.9689788818,72.9689788818,1
45,82,4,0.01,0.01,0.25,none,70.1624832153,0,70.1624832153,70.1624832153,73.8552474976,0,73.8552474976,73.8552474976,1
46,158,16,0.001,0,0.5,none,70.0147705078,0,70.0147705078,70.0147705078,74.2983779907,0,74.2983779907,74.2983779907,1
47,206,32,0.0001,0,0.5,none,69.8670578003,0,69.8670578003,69.8670578003,71.4918746948,0,71.4918746948,71.4918746948,1
48,50,2,0.001,0,0.5,none,69.7193527222,0,69.7193527222,69.7193527222,71.935005188,0,71.935005188,71.935005188,1
49,55,2,0.001,0.001,0.25,none,69.7193527222,0,69.7193527222,69.7193527222,73.412109375,0,73.412109375,73.412109375,1
50,58,2,0.001,0.01,0.25,none,69.7193527222,0,69.7193527222,69.7193527222,73.2644042969,0,73.2644042969,73.2644042969,1
51,109,8,0.01,0,0.25,none,69.7193527222,0,69.7193527222,69.7193527222,71.3441619873,0,71.3441619873,71.3441619873,1
52,128,8,0.001,0.001,0.5,none,69.7193527222,0,69.7193527222,69.7193527222,72.8212738037,0,72.8212738037,72.8212738037,1
53,209,32,0.0001,0.0001,0.5,none,69.7193527222,0,69.7193527222,69.7193527222,71.0487442017,0,71.0487442017,71.0487442017,1
54,212,32,0.0001,0.001,0.5,none,69.7193527222,0,69.7193527222,69.7193527222,71.0487442017,0,71.0487442017,71.0487442017,1
55,215,32,0.0001,0.01,0.5,none,69.7193527222,0,69.7193527222,69.7193527222,71.0487442017,0,71.0487442017,71.0487442017,1
56,52,2,0.001,0.0001,0.25,none,69.5716400146,0,69.5716400146,69.5716400146,72.5258483887,0,72.5258483887,72.5258483887,1
57,53,2,0.001,0.0001,0.5,none,69.5716400146,0,69.5716400146,69.5716400146,71.935005188,0,71.935005188,71.935005188,1
58,56,2,0.001,0.001,0.5,none,69.5716400146,0,69.5716400146,69.5716400146,72.0827178955,0,72.0827178955,72.0827178955,1
59,242,64,0.0001,0,0.5,none,69.5716400146,0,69.5716400146,69.5716400146,71.7873001099,0,71.7873001099,71.7873001099,1
60,49,2,0.001,0,0.25,none,69.4239273071,0,69.4239273071,69.4239273071,72.8212738037,0,72.8212738037,72.8212738037,1
61,59,2,0.001,0.01,0.5,none,69.4239273071,0,69.4239273071,69.4239273071,72.230430603,0,72.230430603,72.230430603,1
62,245,64,0.0001,0.0001,0.5,none,69.4239273071,0,69.4239273071,69.4239273071,71.4918746948,0,71.4918746948,71.4918746948,1
63,248,64,0.0001,0.001,0.5,none,69.4239273071,0,69.4239273071,69.4239273071,71.6395874023,0,71.6395874023,71.6395874023,1
64,251,64,0.0001,0.01,0.5,none,69.4239273071,0,69.4239273071,69.4239273071,71.3441619873,0,71.3441619873,71.3441619873,1
65,122,8,0.001,0,0.5,none,69.276222229,0,69.276222229,69.276222229,72.0827178955,0,72.0827178955,72.0827178955,1
66,60,2,0.001,0.01,0.75,none,69.1285095215,0,69.1285095215,69.1285095215,69.4239273071,0,69.4239273071,69.4239273071,1
67,74,4,0.01,0,0.5,none,69.1285095215,0,69.1285095215,69.1285095215,69.4239273071,0,69.4239273071,69.4239273071,1
68,83,4,0.01,0.01,0.5,none,69.1285095215,0,69.1285095215,69.1285095215,68.0945358276,0,68.0945358276,68.0945358276,1
69,115,8,0.01,0.001,0.25,none,68.6853790283,0,68.6853790283,68.6853790283,70.3101959229,0,70.3101959229,70.3101959229,1
70,51,2,0.001,0,0.75,none,68.5376663208,0,68.5376663208,68.5376663208,68.5376663208,0,68.5376663208,68.5376663208,1
71,80,4,0.01,0.001,0.5,none,68.5376663208,0,68.5376663208,68.5376663208,70.3101959229,0,70.3101959229,70.3101959229,1
72,112,8,0.01,0.0001,0.25,none,68.3899536133,0,68.3899536133,68.3899536133,70.3101959229,0,70.3101959229,70.3101959229,1
73,77,4,0.01,0.0001,0.5,none,68.2422485352,0,68.2422485352,68.2422485352,71.7873001099,0,71.7873001099,71.7873001099,1
