rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,204,32,0.001,0.01,0.75,none,81.6838989258,0,81.6838989258,81.6838989258,83.0132904053,0,83.0132904053,83.0132904053,1
2,201,32,0.001,0.001,0.75,none,81.5361862183,0,81.5361862183,81.5361862183,82.7178726196,0,82.7178726196,82.7178726196,1
3,154,16,0.01,0.01,0.25,none,81.0930557251,0,81.0930557251,81.0930557251,85.5243682861,0,85.5243682861,85.5243682861,1
4,156,16,0.01,0.01,0.75,none,80.6499252319,0,80.6499252319,80.6499252319,83.7518463135,0,83.7518463135,83.7518463135,1
5,197,32,0.001,0.0001,0.5,none,80.5022125244,0,80.5022125244,80.5022125244,81.0930557251,0,81.0930557251,81.0930557251,1
6,198,32,0.001,0.0001,0.75,none,80.5022125244,0,80.5022125244,80.5022125244,81.6838989258,0,81.6838989258,81.6838989258,1
7,200,32,0.001,0.001,0.5,none,80.5022125244,0,80.5022125244,80.5022125244,81.0930557251,0,81.0930557251,81.0930557251,1
8,203,32,0.001,0.01,0.5,none,80.5022125244,0,80.5022125244,80.5022125244,80.3545074463,0,80.3545074463,80.3545074463,1
9,120,8,0.01,0.01,0.75,none,80.3545074463,0,80.3545074463,80.3545074463,82.422454834,0,82.422454834,82.422454834,1
10,199,32,0.001,0.001,0.25,none,80.3545074463,0,80.3545074463,80.3545074463,80.9453430176,0,80.9453430176,80.9453430176,1
11,202,32,0.001,0.01,0.25,none,80.3545074463,0,80.3545074463,80.3545074463,80.3545074463,0,80.3545074463,80.3545074463,1
12,223,64,0.01,0.001,0.25,none,80.3545074463,0,80.3545074463,80.3545074463,80.7976379395,0,80.7976379395,80.7976379395,1
13,238,64,0.001,0.01,0.25,none,80.3545074463,0,80.3545074463,80.3545074463,80.6499252319,0,80.6499252319,80.6499252319,1
14,195,32,0.001,0,0.75,none,80.2067947388,0,80.2067947388,80.2067947388,81.5361862183,0,81.5361862183,81.5361862183,1
15,196,32,0.001,0.0001,0.25,none,80.2067947388,0,80.2067947388,80.2067947388,80.9453430176,0,80.9453430176,80.9453430176,1
16,162,16,0.001,0.0001,0.75,none,80.0590820312,0,80.0590820312,80.0590820312,83.1610031128,0,83.1610031128,83.1610031128,1
17,165,16,0.001,0.001,0.75,none,80.0590820312,0,80.0590820312,80.0590820312,82.422454834,0,82.422454834,82.422454834,1
18,168,16,0.001,0.01,0.75,none,80.0590820312,0,80.0590820312,80.0590820312,82.8655853271,0,82.8655853271,82.8655853271,1
19,220,64,0.01,0.0001,0.25,none,80.0590820312,0,80.0590820312,80.0590820312,80.7976379395,0,80.7976379395,80.7976379395,1
20,230,64,0.001,0,0.5,none,80.0590820312,0,80.0590820312,80.0590820312,81.3884811401,0,81.3884811401,81.3884811401,1
21,233,64,0.001,0.0001,0.5,none,80.0590820312,0,80.0590820312,80.0590820312,80.9453430176,0,80.9453430176,80.9453430176,1
22,236,64,0.001,0.001,0.5,none,80.0590820312,0,80.0590820312,80.0590820312,80.5022125244,0,80.5022125244,80.5022125244,1
23,191,32,0.01,0.01,0.5,none,79.9113769531,0,79.9113769531,79.9113769531,81.9793167114,0,81.9793167114,81.9793167114,1
24,239,64,0.001,0.01,0.5,none,79.9113769531,0,79.9113769531,79.9113769531,80.5022125244,0,80.5022125244,80.5022125244,1
25,155,16,0.01,0.01,0.5,none,79.7636642456,0,79.7636642456,79.7636642456,83.1610031128,0,83.1610031128,83.1610031128,1
26,209,32,0.0001,0.0001,0.5,none,79.7636642456,0,79.7636642456,79.7636642456,80.9453430176,0,80.9453430176,80.9453430176,1
27,212,32,0.0001,0.001,0.5,none,79.7636642456,0,79.7636642456,79.7636642456,80.9453430176,0,80.9453430176,80.9453430176,1
28,214,32,0.0001,0.01,0.25,none,79.7636642456,0,79.7636642456,79.7636642456,81.3884811401,0,81.3884811401,81.3884811401,1
29,215,32,0.0001,0.01,0.5,none,79.7636642456,0,79.7636642456,79.7636642456,81.0930557251,0,81.0930557251,81.0930557251,1
30,229,64,0.001,0,0.25,none,79.7636642456,0,79.7636642456,79.7636642456,79.9113769531,0,79.9113769531,79.9113769531,1
31,235,64,0.001,0.001,0.25,none,79.7636642456,0,79.7636642456,79.7636642456,79.6159515381,0,79.6159515381,79.6159515381,1
32,84,4,0.01,0.01,0.75,none,79.6159515381,0,79.6159515381,79.6159515381,82.7178726196,0,82.7178726196,82.7178726196,1
33,159,16,0.001,0,0.75,none,79.6159515381,0,79.6159515381,79.6159515381,80.9453430176,0,80.9453430176,80.9453430176,1
34,211,32,0.0001,0.001,0.25,none,79.6159515381,0,79.6159515381,79.6159515381,80.9453430176,0,80.9453430176,80.9453430176,1
35,217,64,0.01,0,0.25,none,79.6159515381,0,79.6159515381,79.6159515381,80.9453430176,0,80.9453430176,80.9453430176,1
36,185,32,0.01,0.0001,0.5,none,79.4682388306,0,79.4682388306,79.4682388306,81.0930557251,0,81.0930557251,81.0930557251,1
37,190,32,0.01,0.01,0.25,none,79.4682388306,0,79.4682388306,79.4682388306,82.5701599121,0,82.5701599121,82.5701599121,1
38,232,64,0.001,0.0001,0.25,none,79.4682388306,0,79.4682388306,79.4682388306,80.3545074463,0,80.3545074463,80.3545074463,1
39,181,32,0.01,0,0.25,none,79.3205337524,0,79.3205337524,79.3205337524,81.2407684326,0,81.2407684326,81.2407684326,1
40,182,32,0.01,0,0.5,none,79.1728210449,0,79.1728210449,79.1728210449,80.5022125244,0,80.5022125244,80.5022125244,1
41,187,32,0.01,0.001,0.25,none,79.1728210449,0,79.1728210449,79.1728210449,81.2407684326,0,81.2407684326,81.2407684326,1
42,188,32,0.01,0.001,0.5,none,79.1728210449,0,79.1728210449,79.1728210449,80.7976379395,0,80.7976379395,80.7976379395,1
43,83,4,0.01,0.01,0.5,none,79.0251083374,0,79.0251083374,79.0251083374,82.7178726196,0,82.7178726196,82.7178726196,1
44,129,8,0.001,0.001,0.75,none,79.0251083374,0,79.0251083374,79.0251083374,83.4564208984,0,83.4564208984,83.4564208984,1
45,150,16,0.01,0.0001,0.75,none,79.0251083374,0,79.0251083374,79.0251083374,80.7976379395,0,80.7976379395,80.7976379395,1
46,184,32,0.01,0.0001,0.25,none,79.0251083374,0,79.0251083374,79.0251083374,81.5361862183,0,81.5361862183,81.5361862183,1
47,123,8,0.001,0,0.75,none,78.8774032593,0,78.8774032593,78.8774032593,83.1610031128,0,83.1610031128,83.1610031128,1
48,126,8,0.001,0.0001,0.75,none,78.8774032593,0,78.8774032593,78.8774032593,82.7178726196,0,82.7178726196,82.7178726196,1
49,132,8,0.001,0.01,0.75,none,78.8774032593,0,78.8774032593,78.8774032593,82.7178726196,0,82.7178726196,82.7178726196,1
50,173,16,0.0001,0.0001,0.5,none,78.8774032593,0,78.8774032593,78.8774032593,80.9453430176,0,80.9453430176,80.9453430176,1
51,176,16,0.0001,0.001,0.5,none,78.8774032593,0,78.8774032593,78.8774032593,80.9453430176,0,80.9453430176,80.9453430176,1
52,210,32,0.0001,0.0001,0.75,none,78.8774032593,0,78.8774032593,78.8774032593,80.3545074463,0,80.3545074463,80.3545074463,1
53,213,32,0.0001,0.001,0.75,none,78.8774032593,0,78.8774032593,78.8774032593,80.5022125244,0,80.5022125244,80.5022125244,1
54,216,32,0.0001,0.01,0.75,none,78.8774032593,0,78.8774032593,78.8774032593,80.6499252319,0,80.6499252319,80.6499252319,1
55,240,64,0.001,0.01,0.75,none,78.8774032593,0,78.8774032593,78.8774032593,79.4682388306,0,79.4682388306,79.4682388306,1
56,118,8,0.01,0.01,0.25,none,78.7296905518,0,78.7296905518,78.7296905518,81.9793167114,0,81.9793167114,81.9793167114,1
57,153,16,0.01,0.001,0.75,none,78.7296905518,0,78.7296905518,78.7296905518,80.7976379395,0,80.7976379395,80.7976379395,1
58,174,16,0.0001,0.0001,0.75,none,78.7296905518,0,78.7296905518,78.7296905518,80.3545074463,0,80.3545074463,80.3545074463,1
59,177,16,0.0001,0.001,0.75,none,78.7296905518,0,78.7296905518,78.7296905518,80.3545074463,0,80.3545074463,80.3545074463,1
60,179,16,0.0001,0.01,0.5,none,78.7296905518,0,78.7296905518,78.7296905518,80.9453430176,0,80.9453430176,80.9453430176,1
61,180,16,0.0001,0.01,0.75,none,78.7296905518,0,78.7296905518,78.7296905518,80.6499252319,0,80.6499252319,80.6499252319,1
62,178,16,0.0001,0.01,0.25,none,78.5819778442,0,78.5819778442,78.5819778442,80.7976379395,0,80.7976379395,80.7976379395,1
63,207,32,0.0001,0,0.75,none,78.5819778442,0,78.5819778442,78.5819778442,80.6499252319,0,80.6499252319,80.6499252319,1
64,208,32,0.0001,0.0001,0.25,none,78.5819778442,0,78.5819778442,78.5819778442,79.9113769531,0,79.9113769531,79.9113769531,1
65,171,16,0.0001,0,0.75,none,78.4342651367,0,78.4342651367,78.4342651367,80.3545074463,0,80.3545074463,80.3545074463,1
