rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,215,32,0.0001,0.01,0.5,none,87.8034973145,0,87.8034973145,87.8034973145,86.4483261108,0,86.4483261108,86.4483261108,1
2,206,32,0.0001,0,0.5,none,87.7470321655,0,87.7470321655,87.7470321655,86.1660079956,0,86.1660079956,86.1660079956,1
3,209,32,0.0001,0.0001,0.5,none,87.7470321655,0,87.7470321655,87.7470321655,86.3354034424,0,86.3354034424,86.3354034424,1
4,212,32,0.0001,0.001,0.5,none,87.7470321655,0,87.7470321655,87.7470321655,86.3354034424,0,86.3354034424,86.3354034424,1
5,205,32,0.0001,0,0.25,none,87.6341018677,0,87.6341018677,87.6341018677,86.3918685913,0,86.3918685913,86.3918685913,1
6,214,32,0.0001,0.01,0.25,none,87.6341018677,0,87.6341018677,87.6341018677,86.1095428467,0,86.1095428467,86.1095428467,1
7,208,32,0.0001,0.0001,0.25,none,87.5776443481,0,87.5776443481,87.5776443481,86.1095428467,0,86.1095428467,86.1095428467,1
8,211,32,0.0001,0.001,0.25,none,87.5776443481,0,87.5776443481,87.5776443481,86.1095428467,0,86.1095428467,86.1095428467,1
9,207,32,0.0001,0,0.75,none,87.408241272,0,87.408241272,87.408241272,85.9401473999,0,85.9401473999,85.9401473999,1
10,210,32,0.0001,0.0001,0.75,none,87.408241272,0,87.408241272,87.408241272,85.9966125488,0,85.9966125488,85.9966125488,1
11,216,32,0.0001,0.01,0.75,none,87.408241272,0,87.408241272,87.408241272,85.5448913574,0,85.5448913574,85.5448913574,1
12,177,16,0.0001,0.001,0.75,none,87.2953109741,0,87.2953109741,87.2953109741,85.9401473999,0,85.9401473999,85.9401473999,1
13,213,32,0.0001,0.001,0.75,none,87.2953109741,0,87.2953109741,87.2953109741,86.0530700684,0,86.0530700684,86.0530700684,1
14,171,16,0.0001,0,0.75,none,87.2388458252,0,87.2388458252,87.2388458252,85.6013565063,0,85.6013565063,85.6013565063,1
15,180,16,0.0001,0.01,0.75,none,87.2388458252,0,87.2388458252,87.2388458252,85.6578140259,0,85.6578140259,85.6578140259,1
16,174,16,0.0001,0.0001,0.75,none,87.1823806763,0,87.1823806763,87.1823806763,85.8836746216,0,85.8836746216,85.8836746216,1
17,179,16,0.0001,0.01,0.5,none,87.1259155273,0,87.1259155273,87.1259155273,85.6578140259,0,85.6578140259,85.6578140259,1
18,170,16,0.0001,0,0.5,none,87.0129852295,0,87.0129852295,87.0129852295,85.7142868042,0,85.7142868042,85.7142868042,1
19,173,16,0.0001,0.0001,0.5,none,87.0129852295,0,87.0129852295,87.0129852295,85.6013565063,0,85.6013565063,85.6013565063,1
20,176,16,0.0001,0.001,0.5,none,87.0129852295,0,87.0129852295,87.0129852295,85.6013565063,0,85.6013565063,85.6013565063,1
21,178,16,0.0001,0.01,0.25,none,87.0129852295,0,87.0129852295,87.0129852295,85.2625579834,0,85.2625579834,85.2625579834,1
22,169,16,0.0001,0,0.25,none,86.9565200806,0,86.9565200806,86.9565200806,85.7707519531,0,85.7707519531,85.7707519531,1
23,172,16,0.0001,0.0001,0.25,none,86.9565200806,0,86.9565200806,86.9565200806,85.8836746216,0,85.8836746216,85.8836746216,1
24,175,16,0.0001,0.001,0.25,none,86.9565200806,0,86.9565200806,86.9565200806,85.8272171021,0,85.8272171021,85.8272171021,1
25,166,16,0.001,0.01,0.25,none,86.617729187,0,86.617729187,86.617729187,85.0366973877,0,85.0366973877,85.0366973877,1
26,163,16,0.001,0.001,0.25,none,86.5047988892,0,86.5047988892,86.5047988892,85.0366973877,0,85.0366973877,85.0366973877,1
27,160,16,0.001,0.0001,0.25,none,86.3918685913,0,86.3918685913,86.3918685913,84.4720458984,0,84.4720458984,84.4720458984,1
28,164,16,0.001,0.001,0.5,none,86.2789382935,0,86.2789382935,86.2789382935,84.5285110474,0,84.5285110474,84.5285110474,1
29,167,16,0.001,0.01,0.5,none,86.2224731445,0,86.2224731445,86.2224731445,84.6414413452,0,84.6414413452,84.6414413452,1
30,157,16,0.001,0,0.25,none,85.8836746216,0,85.8836746216,85.8836746216,84.6979064941,0,84.6979064941,84.6979064941,1
31,158,16,0.001,0,0.5,none,85.7707519531,0,85.7707519531,85.7707519531,84.8673019409,0,84.8673019409,84.8673019409,1
32,123,8,0.001,0,0.75,none,85.6578140259,0,85.6578140259,85.6578140259,84.3591156006,0,84.3591156006,84.3591156006,1
33,129,8,0.001,0.001,0.75,none,85.6578140259,0,85.6578140259,85.6578140259,84.2461853027,0,84.2461853027,84.2461853027,1
34,132,8,0.001,0.01,0.75,none,85.6013565063,0,85.6013565063,85.6013565063,83.8509292603,0,83.8509292603,83.8509292603,1
35,161,16,0.001,0.0001,0.5,none,85.5448913574,0,85.5448913574,85.5448913574,84.3591156006,0,84.3591156006,84.3591156006,1
36,126,8,0.001,0.0001,0.75,none,85.4319610596,0,85.4319610596,85.4319610596,83.9073944092,0,83.9073944092,83.9073944092,1
37,130,8,0.001,0.01,0.25,none,85.4319610596,0,85.4319610596,85.4319610596,83.9073944092,0,83.9073944092,83.9073944092,1
38,137,8,0.0001,0.0001,0.5,none,85.3754959106,0,85.3754959106,85.3754959106,83.3992080688,0,83.3992080688,83.3992080688,1
39,134,8,0.0001,0,0.5,none,85.3190231323,0,85.3190231323,85.3190231323,83.5686035156,0,83.5686035156,83.5686035156,1
40,140,8,0.0001,0.001,0.5,none,85.3190231323,0,85.3190231323,85.3190231323,83.4556732178,0,83.4556732178,83.4556732178,1
41,143,8,0.0001,0.01,0.5,none,85.3190231323,0,85.3190231323,85.3190231323,83.5121383667,0,83.5121383667,83.5121383667,1
42,141,8,0.0001,0.001,0.75,none,85.2625579834,0,85.2625579834,85.2625579834,83.286277771,0,83.286277771,83.286277771,1
43,138,8,0.0001,0.0001,0.75,none,85.1496353149,0,85.1496353149,85.1496353149,83.0604171753,0,83.0604171753,83.0604171753,1
44,144,8,0.0001,0.01,0.75,none,85.1496353149,0,85.1496353149,85.1496353149,82.7216262817,0,82.7216262817,82.7216262817,1
45,135,8,0.0001,0,0.75,none,85.0931625366,0,85.0931625366,85.0931625366,83.6250686646,0,83.6250686646,83.6250686646,1
46,159,16,0.001,0,0.75,none,85.0366973877,0,85.0366973877,85.0366973877,83.2298126221,0,83.2298126221,83.2298126221,1
47,47,2,0.01,0.01,0.5,none,84.9237670898,0,84.9237670898,84.9237670898,82.2698974609,0,82.2698974609,82.2698974609,1
48,87,4,0.001,0,0.75,none,84.8673019409,0,84.8673019409,84.8673019409,83.7379989624,0,83.7379989624,83.7379989624,1
49,199,32,0.001,0.001,0.25,none,84.8673019409,0,84.8673019409,84.8673019409,82.6651611328,0,82.6651611328,82.6651611328,1
50,250,64,0.0001,0.01,0.25,none,84.8108444214,0,84.8108444214,84.8108444214,82.552230835,0,82.552230835,82.552230835,1
51,122,8,0.001,0,0.5,none,84.7543716431,0,84.7543716431,84.7543716431,83.9073944092,0,83.9073944092,83.9073944092,1
52,168,16,0.001,0.01,0.75,none,84.7543716431,0,84.7543716431,84.7543716431,82.6086959839,0,82.6086959839,82.6086959839,1
53,139,8,0.0001,0.001,0.25,none,84.6979064941,0,84.6979064941,84.6979064941,83.1733474731,0,83.1733474731,83.1733474731,1
54,165,16,0.001,0.001,0.75,none,84.6979064941,0,84.6979064941,84.6979064941,82.2698974609,0,82.2698974609,82.2698974609,1
55,142,8,0.0001,0.01,0.25,none,84.6414413452,0,84.6414413452,84.6414413452,83.1168823242,0,83.1168823242,83.1168823242,1
56,162,16,0.001,0.0001,0.75,none,84.5849838257,0,84.5849838257,84.5849838257,82.4957580566,0,82.4957580566,82.4957580566,1
57,133,8,0.0001,0,0.25,none,84.5285110474,0,84.5285110474,84.5285110474,82.9474868774,0,82.9474868774,82.9474868774,1
58,136,8,0.0001,0.0001,0.25,none,84.5285110474,0,84.5285110474,84.5285110474,82.9474868774,0,82.9474868774,82.9474868774,1
59,128,8,0.001,0.001,0.5,none,84.4155883789,0,84.4155883789,84.4155883789,83.3427429199,0,83.3427429199,83.3427429199,1
60,131,8,0.001,0.01,0.5,none,84.4155883789,0,84.4155883789,84.4155883789,83.3427429199,0,83.3427429199,83.3427429199,1
61,92,4,0.001,0.001,0.5,none,84.2461853027,0,84.2461853027,84.2461853027,83.1168823242,0,83.1168823242,83.1168823242,1
62,241,64,0.0001,0,0.25,none,84.2461853027,0,84.2461853027,84.2461853027,81.9875793457,0,81.9875793457,81.9875793457,1
