rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,187,32,0.01,0.001,0.25,none,59.9749641418,0,59.9749641418,59.9749641418,59.7529296875,0,59.7529296875,59.7529296875,1
2,184,32,0.01,0.0001,0.25,none,59.906463623,0,59.906463623,59.906463623,59.9418945312,0,59.9418945312,59.9418945312,1
3,181,32,0.01,0,0.25,none,59.88048172,0,59.88048172,59.88048172,59.8403282166,0,59.8403282166,59.8403282166,1
4,190,32,0.01,0.01,0.25,none,59.1671409607,0,59.1671409607,59.1671409607,59.0088844299,0,59.0088844299,59.0088844299,1
5,182,32,0.01,0,0.5,none,58.9781761169,0,58.9781761169,58.9781761169,59.1033630371,0,59.1033630371,59.1033630371,1
6,188,32,0.01,0.001,0.5,none,58.6876449585,0,58.6876449585,58.6876449585,58.621509552,0,58.621509552,58.621509552,1
7,185,32,0.01,0.0001,0.5,none,58.5553665161,0,58.5553665161,58.5553665161,58.4041938782,0,58.4041938782,58.4041938782,1
8,191,32,0.01,0.01,0.5,none,58.5482826233,0,58.5482826233,58.5482826233,58.3971099854,0,58.3971099854,58.3971099854,1
9,224,64,0.01,0.001,0.5,none,58.1727142334,0,58.1727142334,58.1727142334,58.1420059204,0,58.1420059204,58.1420059204,1
10,220,64,0.01,0.0001,0.25,none,58.0711479187,0,58.0711479187,58.0711479187,58.0404396057,0,58.0404396057,58.0404396057,1
11,218,64,0.01,0,0.5,none,57.9199714661,0,57.9199714661,57.9199714661,57.8373031616,0,57.8373031616,57.8373031616,1
12,223,64,0.01,0.001,0.25,none,57.9034385681,0,57.9034385681,57.9034385681,57.7380943298,0,57.7380943298,57.7380943298,1
13,217,64,0.01,0,0.25,none,57.8065948486,0,57.8065948486,57.8065948486,57.6318016052,0,57.6318016052,57.6318016052,1
14,221,64,0.01,0.0001,0.5,none,57.5467720032,0,57.5467720032,57.5467720032,57.5585784912,0,57.5585784912,57.5585784912,1
15,145,16,0.01,0,0.25,none,57.438117981,0,57.438117981,57.438117981,57.2302513123,0,57.2302513123,57.2302513123,1
16,148,16,0.01,0.0001,0.25,none,57.4357528687,0,57.4357528687,57.4357528687,57.1404953003,0,57.1404953003,57.1404953003,1
