rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,184,32,0.01,0.0001,0.25,none,58.9427490234,0,58.9427490234,58.9427490234,58.8033866882,0,58.8033866882,58.8033866882,1
2,181,32,0.01,0,0.25,none,58.4750595093,0,58.4750595093,58.4750595093,58.4372634888,0,58.4372634888,58.4372634888,1
3,182,32,0.01,0,0.5,none,58.2388534546,0,58.2388534546,58.2388534546,58.1514549255,0,58.1514549255,58.1514549255,1
4,187,32,0.01,0.001,0.25,none,57.9459533691,0,57.9459533691,57.9459533691,57.7829780579,0,57.7829780579,57.7829780579,1
5,145,16,0.01,0,0.25,none,57.6247138977,0,57.6247138977,57.6247138977,57.2751350403,0,57.2751350403,57.2751350403,1
6,185,32,0.01,0.0001,0.5,none,57.5845603943,0,57.5845603943,57.5845603943,57.480632782,0,57.480632782,57.480632782,1
7,148,16,0.01,0.0001,0.25,none,57.5018882751,0,57.5018882751,57.5018882751,57.1853752136,0,57.1853752136,57.1853752136,1
8,151,16,0.01,0.001,0.25,none,57.1310462952,0,57.1310462952,57.1310462952,56.8121681213,0,56.8121681213,56.8121681213,1
9,188,32,0.01,0.001,0.5,none,57.0531005859,0,57.0531005859,57.0531005859,56.8995666504,0,56.8995666504,56.8995666504,1
10,146,16,0.01,0,0.5,none,56.9491691589,0,56.9491691589,56.9491691589,56.682258606,0,56.682258606,56.682258606,1
11,149,16,0.01,0.0001,0.5,none,56.8310661316,0,56.8310661316,56.8310661316,56.5594329834,0,56.5594329834,56.5594329834,1
12,152,16,0.01,0.001,0.5,none,56.3373985291,0,56.3373985291,56.3373985291,55.8815193176,0,55.8815193176,55.8815193176,1
13,186,32,0.01,0.0001,0.75,none,56.0397796631,0,56.0397796631,56.0397796631,56.0208816528,0,56.0208816528,56.0208816528,1
14,183,32,0.01,0,0.75,none,54.9485092163,0,54.9485092163,54.9485092163,54.9508705139,0,54.9508705139,54.9508705139,1
15,147,16,0.01,0,0.75,none,54.6296310425,0,54.6296310425,54.6296310425,54.2493400574,0,54.2493400574,54.2493400574,1
16,150,16,0.01,0.0001,0.75,none,54.5823860168,0,54.5823860168,54.5823860168,54.3887023926,0,54.3887023926,54.3887023926,1
17,154,16,0.01,0.01,0.25,none,53.8761329651,0,53.8761329651,53.8761329651,53.5714263916,0,53.5714263916,53.5714263916,1
18,109,8,0.01,0,0.25,none,53.7792930603,0,53.7792930603,53.7792930603,53.3399467468,0,53.3399467468,53.3399467468,1
19,112,8,0.01,0.0001,0.25,none,53.6422920227,0,53.6422920227,53.6422920227,53.2336540222,0,53.2336540222,53.2336540222,1
20,153,16,0.01,0.001,0.75,none,53.5454444885,0,53.5454444885,53.5454444885,53.3942756653,0,53.3942756653,53.3942756653,1
21,189,32,0.01,0.001,0.75,none,53.3328590393,0,53.3328590393,53.3328590393,53.2407417297,0,53.2407417297,53.2407417297,1
22,115,8,0.01,0.001,0.25,none,53.198223114,0,53.198223114,53.198223114,52.7021942139,0,52.7021942139,52.7021942139,1
23,155,16,0.01,0.01,0.5,none,52.742351532,0,52.742351532,52.742351532,52.5510177612,0,52.5510177612,52.5510177612,1
24,110,8,0.01,0,0.5,none,52.6738471985,0,52.6738471985,52.6738471985,52.3053665161,0,52.3053665161,52.3053665161,1
