rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,395,4,0.01,0.001,0.25,0.9,36.9738273621,0,36.9738273621,36.9738273621,36.9374046326,0,36.9374046326,36.9374046326,1
2,365,4,0.01,0,0.25,0.9,36.7552947998,0,36.7552947998,36.7552947998,36.1361160278,0,36.1361160278,36.1361160278,1
3,380,4,0.01,0.0001,0.25,0.9,36.7032623291,0,36.7032623291,36.7032623291,36.4587135315,0,36.4587135315,36.4587135315,1
4,415,4,0.01,0.01,0.5,0.9,36.6408233643,0,36.6408233643,36.6408233643,36.271396637,0,36.271396637,36.271396637,1
5,230,2,0.01,0.01,0.25,0.9,36.4222869873,0,36.4222869873,36.4222869873,36.3078193665,0,36.3078193665,36.3078193665,1
6,200,2,0.01,0.0001,0.25,0.9,36.2557907104,0,36.2557907104,36.2557907104,36.3078193665,0,36.3078193665,36.3078193665,1
7,400,4,0.01,0.001,0.5,0.9,36.1881446838,0,36.1881446838,36.1881446838,35.927986145,0,35.927986145,35.927986145,1
8,185,2,0.01,0,0.25,0.9,35.9592056274,0,35.9592056274,35.9592056274,36.1413192749,0,36.1413192749,36.1413192749,1
9,385,4,0.01,0.0001,0.5,0.9,35.9592056274,0,35.9592056274,35.9592056274,36.2089614868,0,36.2089614868,36.2089614868,1
10,235,2,0.01,0.01,0.5,0.9,35.9435958862,0,35.9435958862,35.9435958862,35.5741691589,0,35.5741691589,35.5741691589,1
11,370,4,0.01,0,0.5,0.9,35.8967704773,0,35.8967704773,35.8967704773,35.6418151855,0,35.6418151855,35.6418151855,1
12,205,2,0.01,0.0001,0.5,0.9,35.8707504272,0,35.8707504272,35.8707504272,35.4284820557,0,35.4284820557,35.4284820557,1
13,410,4,0.01,0.01,0.25,0.9,35.855140686,0,35.855140686,35.855140686,35.3244171143,0,35.3244171143,35.3244171143,1
14,190,2,0.01,0,0.5,0.9,35.8291282654,0,35.8291282654,35.8291282654,35.6626243591,0,35.6626243591,35.6626243591,1
15,215,2,0.01,0.001,0.25,0.9,35.7042503357,0,35.7042503357,35.7042503357,35.6626243591,0,35.6626243591,35.6626243591,1
16,565,8,0.01,0.0001,0.5,0.9,35.6366081238,0,35.6366081238,35.6366081238,35.3452301025,0,35.3452301025,35.3452301025,1
17,220,2,0.01,0.001,0.5,0.9,35.4857177734,0,35.4857177734,35.4857177734,35.0694618225,0,35.0694618225,35.0694618225,1
