rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,406,4,0.01,0.01,0.25,0.1,48.1762809753,0,48.1762809753,48.1762809753,47.4322280884,0,47.4322280884,47.4322280884,1
2,587,8,0.01,0.01,0.25,0.3,48.1398620605,0,48.1398620605,48.1398620605,47.4114151001,0,47.4114151001,47.4114151001,1
3,646,8,0.001,0.01,0.25,0.1,48.025390625,0,48.025390625,48.025390625,47.7184028625,0,47.7184028625,47.7184028625,1
4,408,4,0.01,0.01,0.25,0.5,47.8953132629,0,47.8953132629,47.8953132629,47.2709312439,0,47.2709312439,47.2709312439,1
5,647,8,0.001,0.01,0.25,0.3,47.8380775452,0,47.8380775452,47.8380775452,47.5466957092,0,47.5466957092,47.5466957092,1
6,467,4,0.001,0.01,0.25,0.3,47.7652320862,0,47.7652320862,47.7652320862,47.6455574036,0,47.6455574036,47.6455574036,1
7,453,4,0.001,0.001,0.25,0.5,47.6143379211,0,47.6143379211,47.6143379211,47.5571022034,0,47.5571022034,47.5571022034,1
8,466,4,0.001,0.01,0.25,0.1,47.603931427,0,47.603931427,47.603931427,47.6819801331,0,47.6819801331,47.6819801331,1
9,648,8,0.001,0.01,0.25,0.5,47.5623054504,0,47.5623054504,47.5623054504,47.2657279968,0,47.2657279968,47.2657279968,1
10,468,4,0.001,0.01,0.25,0.5,47.5310897827,0,47.5310897827,47.5310897827,47.3645858765,0,47.3645858765,47.3645858765,1
11,589,8,0.01,0.01,0.25,0.7,47.5154800415,0,47.5154800415,47.5154800415,47.1044273376,0,47.1044273376,47.1044273376,1
12,586,8,0.01,0.01,0.25,0.1,47.4998664856,0,47.4998664856,47.4998664856,47.0888175964,0,47.0888175964,47.0888175964,1
13,395,4,0.01,0.001,0.25,0.9,47.4478378296,0,47.4478378296,47.4478378296,47.0471916199,0,47.0471916199,47.0471916199,1
14,407,4,0.01,0.01,0.25,0.3,47.4218215942,0,47.4218215942,47.4218215942,46.6465454102,0,46.6465454102,46.6465454102,1
15,454,4,0.001,0.001,0.25,0.7,47.4166183472,0,47.4166183472,47.4166183472,47.1096305847,0,47.1096305847,47.1096305847,1
