rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,770,16,0.01,0.01,0.25,0.9,77.127456665,0,77.127456665,77.127456665,78.4847946167,0,78.4847946167,78.4847946167,1
2,950,32,0.01,0.01,0.25,0.9,77.127456665,0,77.127456665,77.127456665,78.6388168335,0,78.6388168335,78.6388168335,1
3,775,16,0.01,0.01,0.5,0.9,76.9830551147,0,76.9830551147,76.9830551147,77.9745864868,0,77.9745864868,77.9745864868,1
4,955,32,0.01,0.01,0.5,0.9,76.9541778564,0,76.9541778564,76.9541778564,77.9649581909,0,77.9649581909,77.9649581909,1
5,590,8,0.01,0.01,0.25,0.9,76.8194046021,0,76.8194046021,76.8194046021,78.0708465576,0,78.0708465576,78.0708465576,1
6,1130,64,0.01,0.01,0.25,0.9,76.6557540894,0,76.6557540894,76.6557540894,77.7339248657,0,77.7339248657,77.7339248657,1
7,1135,64,0.01,0.01,0.5,0.9,76.2803268433,0,76.2803268433,76.2803268433,77.4258728027,0,77.4258728027,77.4258728027,1
8,1195,64,0.001,0.01,0.5,0.9,76.2129364014,0,76.2129364014,76.2129364014,76.6846389771,0,76.6846389771,76.6846389771,1
9,1165,64,0.001,0.0001,0.5,0.9,76.1551818848,0,76.1551818848,76.1551818848,76.8194046021,0,76.8194046021,76.8194046021,1
10,1150,64,0.001,0,0.5,0.9,76.135925293,0,76.135925293,76.135925293,76.5691146851,0,76.5691146851,76.5691146851,1
11,1190,64,0.001,0.01,0.25,0.9,76.0204086304,0,76.0204086304,76.0204086304,76.6268768311,0,76.6268768311,76.6268768311,1
12,1180,64,0.001,0.001,0.5,0.9,75.8952636719,0,75.8952636719,75.8952636719,76.7712783813,0,76.7712783813,76.7712783813,1
13,1010,32,0.001,0.01,0.25,0.9,75.8567581177,0,75.8567581177,75.8567581177,76.578742981,0,76.578742981,76.578742981,1
14,940,32,0.01,0.001,0.5,0.9,75.6546020508,0,75.6546020508,75.6546020508,76.8579101562,0,76.8579101562,76.8579101562,1
15,410,4,0.01,0.01,0.25,0.9,75.6449737549,0,75.6449737549,75.6449737549,76.7135162354,0,76.7135162354,76.7135162354,1
16,1085,64,0.01,0,0.25,0.9,75.500579834,0,75.500579834,75.500579834,76.4054641724,0,76.4054641724,76.4054641724,1
17,1100,64,0.01,0.0001,0.25,0.9,75.4620742798,0,75.4620742798,75.4620742798,76.4054641724,0,76.4054641724,76.4054641724,1
18,920,32,0.01,0.0001,0.25,0.9,75.4043121338,0,75.4043121338,75.4043121338,76.193687439,0,76.193687439,76.193687439,1
19,935,32,0.01,0.001,0.25,0.9,75.4043121338,0,75.4043121338,75.4043121338,76.3765869141,0,76.3765869141,76.3765869141,1
20,1145,64,0.001,0,0.25,0.9,75.3658065796,0,75.3658065796,75.3658065796,75.8278808594,0,75.8278808594,75.8278808594,1
21,1160,64,0.001,0.0001,0.25,0.9,75.3561782837,0,75.3561782837,75.3561782837,75.8375015259,0,75.8375015259,75.8375015259,1
22,740,16,0.01,0.0001,0.25,0.9,75.3176727295,0,75.3176727295,75.3176727295,76.4632263184,0,76.4632263184,76.4632263184,1
23,1115,64,0.01,0.001,0.25,0.9,75.2021560669,0,75.2021560669,75.2021560669,76.2803268433,0,76.2803268433,76.2803268433,1
24,755,16,0.01,0.001,0.25,0.9,75.1828994751,0,75.1828994751,75.1828994751,76.2514419556,0,76.2514419556,76.2514419556,1
