rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,766,16,0.01,0.01,0.25,0.1,78.8794784546,0,78.8794784546,78.8794784546,79.7939987183,0,79.7939987183,79.7939987183,1
2,767,16,0.01,0.01,0.25,0.3,78.7639541626,0,78.7639541626,78.7639541626,79.5244522095,0,79.5244522095,79.5244522095,1
3,587,8,0.01,0.01,0.25,0.3,78.6291885376,0,78.6291885376,78.6291885376,79.20677948,0,79.20677948,79.20677948,1
4,947,32,0.01,0.01,0.25,0.3,78.5425491333,0,78.5425491333,78.5425491333,79.2934188843,0,79.2934188843,79.2934188843,1
5,771,16,0.01,0.01,0.5,0.1,78.4462890625,0,78.4462890625,78.4462890625,79.1105117798,0,79.1105117798,79.1105117798,1
6,946,32,0.01,0.01,0.25,0.1,78.398147583,0,78.398147583,78.398147583,79.2934188843,0,79.2934188843,79.2934188843,1
7,589,8,0.01,0.01,0.25,0.7,78.1959915161,0,78.1959915161,78.1959915161,78.9757461548,0,78.9757461548,78.9757461548,1
8,833,16,0.001,0.01,0.5,0.5,78.1767425537,0,78.1767425537,78.1767425537,78.6388168335,0,78.6388168335,78.6388168335,1
9,769,16,0.01,0.01,0.25,0.7,78.1574935913,0,78.1574935913,78.1574935913,78.8602218628,0,78.8602218628,78.8602218628,1
10,768,16,0.01,0.01,0.25,0.5,78.1093597412,0,78.1093597412,78.1093597412,78.8794784546,0,78.8794784546,78.8794784546,1
11,588,8,0.01,0.01,0.25,0.5,78.0997314453,0,78.0997314453,78.0997314453,79.0142440796,0,79.0142440796,79.0142440796,1
12,653,8,0.001,0.01,0.5,0.5,78.0901031494,0,78.0901031494,78.0901031494,78.9179840088,0,78.9179840088,78.9179840088,1
13,593,8,0.01,0.01,0.5,0.5,77.8975753784,0,77.8975753784,77.8975753784,79.1393966675,0,79.1393966675,79.1393966675,1
14,948,32,0.01,0.01,0.25,0.5,77.8975753784,0,77.8975753784,77.8975753784,78.7254486084,0,78.7254486084,78.7254486084,1
15,951,32,0.01,0.01,0.5,0.1,77.8590698242,0,77.8590698242,77.8590698242,78.5906829834,0,78.5906829834,78.5906829834,1
16,592,8,0.01,0.01,0.5,0.3,77.8494415283,0,77.8494415283,77.8494415283,78.8217163086,0,78.8217163086,78.8217163086,1
17,952,32,0.01,0.01,0.5,0.3,77.8013076782,0,77.8013076782,77.8013076782,78.7158279419,0,78.7158279419,78.7158279419,1
18,953,32,0.01,0.01,0.5,0.5,77.8013076782,0,77.8013076782,77.8013076782,78.4751663208,0,78.4751663208,78.4751663208,1
19,406,4,0.01,0.01,0.25,0.1,77.7820587158,0,77.7820587158,77.7820587158,78.5329208374,0,78.5329208374,78.5329208374,1
20,412,4,0.01,0.01,0.5,0.3,77.7531738281,0,77.7531738281,77.7531738281,78.5329208374,0,78.5329208374,78.5329208374,1
21,949,32,0.01,0.01,0.25,0.7,77.7339248657,0,77.7339248657,77.7339248657,78.2730102539,0,78.2730102539,78.2730102539,1
22,776,16,0.01,0.01,0.75,0.1,77.6954193115,0,77.6954193115,77.6954193115,78.6099395752,0,78.6099395752,78.6099395752,1
23,594,8,0.01,0.01,0.5,0.7,77.6665420532,0,77.6665420532,77.6665420532,78.1959915161,0,78.1959915161,78.1959915161,1
24,473,4,0.001,0.01,0.5,0.5,77.6472854614,0,77.6472854614,77.6472854614,78.5425491333,0,78.5425491333,78.5425491333,1
25,773,16,0.01,0.01,0.5,0.5,77.6376571655,0,77.6376571655,77.6376571655,78.4366531372,0,78.4366531372,78.4366531372,1
26,586,8,0.01,0.01,0.25,0.1,77.5991516113,0,77.5991516113,77.5991516113,78.706199646,0,78.706199646,78.706199646,1
27,774,16,0.01,0.01,0.5,0.7,77.5991516113,0,77.5991516113,77.5991516113,78.3018875122,0,78.3018875122,78.3018875122,1
28,408,4,0.01,0.01,0.25,0.5,77.5895233154,0,77.5895233154,77.5895233154,78.3500213623,0,78.3500213623,78.3500213623,1
29,772,16,0.01,0.01,0.5,0.3,77.5895233154,0,77.5895233154,77.5895233154,78.4462890625,0,78.4462890625,78.4462890625,1
30,591,8,0.01,0.01,0.5,0.1,77.5221405029,0,77.5221405029,77.5221405029,78.9468612671,0,78.9468612671,78.9468612671,1
31,407,4,0.01,0.01,0.25,0.3,77.4740066528,0,77.4740066528,77.4740066528,78.1959915161,0,78.1959915161,78.1959915161,1
32,590,8,0.01,0.01,0.25,0.9,77.4451293945,0,77.4451293945,77.4451293945,77.8013076782,0,77.8013076782,77.8013076782,1
33,597,8,0.01,0.01,0.75,0.3,77.4162445068,0,77.4162445068,77.4162445068,78.4655380249,0,78.4655380249,78.4655380249,1
34,770,16,0.01,0.01,0.25,0.9,77.4162445068,0,77.4162445068,77.4162445068,78.1767425537,0,78.1767425537,78.1767425537,1
35,728,16,0.01,0,0.5,0.5,77.4066238403,0,77.4066238403,77.4066238403,78.4462890625,0,78.4462890625,78.4462890625,1
36,834,16,0.001,0.01,0.5,0.7,77.3969955444,0,77.3969955444,77.3969955444,78.0804748535,0,78.0804748535,78.0804748535,1
37,580,8,0.01,0.001,0.5,0.9,77.3777389526,0,77.3777389526,77.3777389526,77.7724304199,0,77.7724304199,77.7724304199,1
38,654,8,0.001,0.01,0.5,0.7,77.3392410278,0,77.3392410278,77.3392410278,78.2730102539,0,78.2730102539,78.2730102539,1
39,743,16,0.01,0.0001,0.5,0.5,77.3296127319,0,77.3296127319,77.3296127319,78.4751663208,0,78.4751663208,78.4751663208,1
40,1127,64,0.01,0.01,0.25,0.3,77.3103561401,0,77.3103561401,77.3103561401,78.3307647705,0,78.3307647705,78.3307647705,1
41,471,4,0.001,0.01,0.5,0.1,77.3007354736,0,77.3007354736,77.3007354736,78.1286087036,0,78.1286087036,78.1286087036,1
42,474,4,0.001,0.01,0.5,0.7,77.3007354736,0,77.3007354736,77.3007354736,77.9649581909,0,77.9649581909,77.9649581909,1
43,596,8,0.01,0.01,0.75,0.1,77.3007354736,0,77.3007354736,77.3007354736,78.5906829834,0,78.5906829834,78.5906829834,1
44,1126,64,0.01,0.01,0.25,0.1,77.3007354736,0,77.3007354736,77.3007354736,78.263381958,0,78.263381958,78.263381958,1
45,543,8,0.01,0,0.25,0.5,77.2814788818,0,77.2814788818,77.2814788818,78.3115158081,0,78.3115158081,78.3115158081,1
46,558,8,0.01,0.0001,0.25,0.5,77.2814788818,0,77.2814788818,77.2814788818,78.2344970703,0,78.2344970703,78.2344970703,1
47,598,8,0.01,0.01,0.75,0.5,77.2814788818,0,77.2814788818,77.2814788818,78.2344970703,0,78.2344970703,78.2344970703,1
48,1128,64,0.01,0.01,0.25,0.5,77.2814788818,0,77.2814788818,77.2814788818,78.1959915161,0,78.1959915161,78.1959915161,1
49,758,16,0.01,0.001,0.5,0.5,77.2718582153,0,77.2718582153,77.2718582153,78.4077758789,0,78.4077758789,78.4077758789,1
50,791,16,0.001,0,0.75,0.1,77.2718582153,0,77.2718582153,77.2718582153,78.0227203369,0,78.0227203369,78.0227203369,1
51,573,8,0.01,0.001,0.25,0.5,77.26222229,0,77.26222229,77.26222229,78.5425491333,0,78.5425491333,78.5425491333,1
52,807,16,0.001,0.0001,0.75,0.3,77.26222229,0,77.26222229,77.26222229,77.9457092285,0,77.9457092285,77.9457092285,1
53,836,16,0.001,0.01,0.75,0.1,77.26222229,0,77.26222229,77.26222229,77.8783187866,0,77.8783187866,77.8783187866,1
