rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,680,8,0.0001,0.0001,0.25,0.9,60.8173065186,0,60.8173065186,60.8173065186,61.2980766296,0,61.2980766296,61.2980766296,1
2,440,4,0.001,0.0001,0.25,0.9,60.5769271851,0,60.5769271851,60.5769271851,61.7788505554,0,61.7788505554,61.7788505554,1
3,483,4,0.0001,0,0.25,0.5,60.5769271851,0,60.5769271851,60.5769271851,57.8125,0,57.8125,57.8125,1
4,692,8,0.0001,0.001,0.25,0.3,60.5769271851,0,60.5769271851,60.5769271851,59.8557701111,0,59.8557701111,59.8557701111,1
5,709,8,0.0001,0.01,0.25,0.7,60.5769271851,0,60.5769271851,60.5769271851,60.5769271851,0,60.5769271851,60.5769271851,1
6,439,4,0.001,0.0001,0.25,0.7,60.4567337036,0,60.4567337036,60.4567337036,62.5,0,62.5,62.5,1
7,455,4,0.001,0.001,0.25,0.9,60.4567337036,0,60.4567337036,60.4567337036,62.0192337036,0,62.0192337036,62.0192337036,1
8,470,4,0.001,0.01,0.25,0.9,60.4567337036,0,60.4567337036,60.4567337036,62.0192337036,0,62.0192337036,62.0192337036,1
9,498,4,0.0001,0.0001,0.25,0.5,60.4567337036,0,60.4567337036,60.4567337036,58.7740402222,0,58.7740402222,58.7740402222,1
10,530,4,0.0001,0.01,0.25,0.9,60.4567337036,0,60.4567337036,60.4567337036,58.6538505554,0,58.6538505554,58.6538505554,1
11,694,8,0.0001,0.001,0.25,0.7,60.4567337036,0,60.4567337036,60.4567337036,61.0576934814,0,61.0576934814,61.0576934814,1
12,695,8,0.0001,0.001,0.25,0.9,60.4567337036,0,60.4567337036,60.4567337036,61.0576934814,0,61.0576934814,61.0576934814,1
13,707,8,0.0001,0.01,0.25,0.3,60.4567337036,0,60.4567337036,60.4567337036,59.9759635925,0,59.9759635925,59.9759635925,1
14,710,8,0.0001,0.01,0.25,0.9,60.4567337036,0,60.4567337036,60.4567337036,61.4182701111,0,61.4182701111,61.4182701111,1
15,860,16,0.0001,0.0001,0.25,0.9,60.4567337036,0,60.4567337036,60.4567337036,61.0576934814,0,61.0576934814,61.0576934814,1
16,454,4,0.001,0.001,0.25,0.7,60.3365402222,0,60.3365402222,60.3365402222,62.3798065186,0,62.3798065186,62.3798065186,1
17,469,4,0.001,0.01,0.25,0.7,60.3365402222,0,60.3365402222,60.3365402222,62.3798065186,0,62.3798065186,62.3798065186,1
18,663,8,0.0001,0,0.25,0.5,60.3365402222,0,60.3365402222,60.3365402222,60.4567337036,0,60.4567337036,60.4567337036,1
19,665,8,0.0001,0,0.25,0.9,60.3365402222,0,60.3365402222,60.3365402222,60.4567337036,0,60.4567337036,60.4567337036,1
20,485,4,0.0001,0,0.25,0.9,60.2163505554,0,60.2163505554,60.2163505554,58.1730766296,0,58.1730766296,58.1730766296,1
21,497,4,0.0001,0.0001,0.25,0.3,60.2163505554,0,60.2163505554,60.2163505554,58.533657074,0,58.533657074,58.533657074,1
22,515,4,0.0001,0.001,0.25,0.9,60.2163505554,0,60.2163505554,60.2163505554,58.4134635925,0,58.4134635925,58.4134635925,1
23,500,4,0.0001,0.0001,0.25,0.9,60.096157074,0,60.096157074,60.096157074,58.4134635925,0,58.4134635925,58.4134635925,1
24,513,4,0.0001,0.001,0.25,0.5,60.096157074,0,60.096157074,60.096157074,59.0144271851,0,59.0144271851,59.0144271851,1
25,526,4,0.0001,0.01,0.25,0.1,60.096157074,0,60.096157074,60.096157074,58.2932701111,0,58.2932701111,58.2932701111,1
26,527,4,0.0001,0.01,0.25,0.3,60.096157074,0,60.096157074,60.096157074,58.4134635925,0,58.4134635925,58.4134635925,1
27,528,4,0.0001,0.01,0.25,0.5,60.096157074,0,60.096157074,60.096157074,59.4951934814,0,59.4951934814,59.4951934814,1
28,676,8,0.0001,0.0001,0.25,0.1,60.096157074,0,60.096157074,60.096157074,59.9759635925,0,59.9759635925,59.9759635925,1
29,677,8,0.0001,0.0001,0.25,0.3,60.096157074,0,60.096157074,60.096157074,60.2163505554,0,60.2163505554,60.2163505554,1
30,679,8,0.0001,0.0001,0.25,0.7,60.096157074,0,60.096157074,60.096157074,59.8557701111,0,59.8557701111,59.8557701111,1
31,693,8,0.0001,0.001,0.25,0.5,60.096157074,0,60.096157074,60.096157074,59.9759635925,0,59.9759635925,59.9759635925,1
32,875,16,0.0001,0.001,0.25,0.9,60.096157074,0,60.096157074,60.096157074,60.4567337036,0,60.4567337036,60.4567337036,1
33,496,4,0.0001,0.0001,0.25,0.1,59.9759635925,0,59.9759635925,59.9759635925,58.1730766296,0,58.1730766296,58.1730766296,1
34,499,4,0.0001,0.0001,0.25,0.7,59.9759635925,0,59.9759635925,59.9759635925,58.1730766296,0,58.1730766296,58.1730766296,1
35,511,4,0.0001,0.001,0.25,0.1,59.9759635925,0,59.9759635925,59.9759635925,59.0144271851,0,59.0144271851,59.0144271851,1
36,529,4,0.0001,0.01,0.25,0.7,59.9759635925,0,59.9759635925,59.9759635925,59.0144271851,0,59.0144271851,59.0144271851,1
37,678,8,0.0001,0.0001,0.25,0.5,59.9759635925,0,59.9759635925,59.9759635925,59.8557701111,0,59.8557701111,59.8557701111,1
38,691,8,0.0001,0.001,0.25,0.1,59.9759635925,0,59.9759635925,59.9759635925,60.3365402222,0,60.3365402222,60.3365402222,1
39,708,8,0.0001,0.01,0.25,0.5,59.9759635925,0,59.9759635925,59.9759635925,59.7355766296,0,59.7355766296,59.7355766296,1
40,249,2,0.001,0,0.5,0.7,59.8557701111,0,59.8557701111,59.8557701111,61.4182701111,0,61.4182701111,61.4182701111,1
41,482,4,0.0001,0,0.25,0.3,59.8557701111,0,59.8557701111,59.8557701111,58.4134635925,0,58.4134635925,58.4134635925,1
42,514,4,0.0001,0.001,0.25,0.7,59.8557701111,0,59.8557701111,59.8557701111,58.533657074,0,58.533657074,58.533657074,1
43,661,8,0.0001,0,0.25,0.1,59.8557701111,0,59.8557701111,59.8557701111,59.9759635925,0,59.9759635925,59.9759635925,1
44,845,16,0.0001,0,0.25,0.9,59.8557701111,0,59.8557701111,59.8557701111,60.6971206665,0,60.6971206665,60.6971206665,1
45,481,4,0.0001,0,0.25,0.1,59.7355766296,0,59.7355766296,59.7355766296,58.1730766296,0,58.1730766296,58.1730766296,1
46,512,4,0.0001,0.001,0.25,0.3,59.7355766296,0,59.7355766296,59.7355766296,58.6538505554,0,58.6538505554,58.6538505554,1
47,664,8,0.0001,0,0.25,0.7,59.7355766296,0,59.7355766296,59.7355766296,60.3365402222,0,60.3365402222,60.3365402222,1
48,706,8,0.0001,0.01,0.25,0.1,59.7355766296,0,59.7355766296,59.7355766296,59.8557701111,0,59.8557701111,59.8557701111,1
49,890,16,0.0001,0.01,0.25,0.9,59.7355766296,0,59.7355766296,59.7355766296,60.8173065186,0,60.8173065186,60.8173065186,1
50,280,2,0.001,0.001,0.5,0.9,59.6153869629,0,59.6153869629,59.6153869629,61.658657074,0,61.658657074,61.658657074,1
51,436,4,0.001,0.0001,0.25,0.1,59.6153869629,0,59.6153869629,59.6153869629,61.4182701111,0,61.4182701111,61.4182701111,1
52,265,2,0.001,0.0001,0.5,0.9,59.4951934814,0,59.4951934814,59.4951934814,61.7788505554,0,61.7788505554,61.7788505554,1
53,451,4,0.001,0.001,0.25,0.1,59.4951934814,0,59.4951934814,59.4951934814,61.4182701111,0,61.4182701111,61.4182701111,1
54,459,4,0.001,0.001,0.5,0.7,59.4951934814,0,59.4951934814,59.4951934814,60.096157074,0,60.096157074,60.096157074,1
55,484,4,0.0001,0,0.25,0.7,59.4951934814,0,59.4951934814,59.4951934814,58.7740402222,0,58.7740402222,58.7740402222,1
56,889,16,0.0001,0.01,0.25,0.7,59.4951934814,0,59.4951934814,59.4951934814,59.8557701111,0,59.8557701111,59.8557701111,1
57,295,2,0.001,0.01,0.5,0.9,59.375,0,59.375,59.375,62.0192337036,0,62.0192337036,62.0192337036,1
58,444,4,0.001,0.0001,0.5,0.7,59.375,0,59.375,59.375,59.7355766296,0,59.7355766296,59.7355766296,1
59,798,16,0.001,0.0001,0.25,0.5,59.375,0,59.375,59.375,59.9759635925,0,59.9759635925,59.9759635925,1
60,813,16,0.001,0.001,0.25,0.5,59.375,0,59.375,59.375,59.8557701111,0,59.8557701111,59.8557701111,1
61,828,16,0.001,0.01,0.25,0.5,59.375,0,59.375,59.375,59.8557701111,0,59.8557701111,59.8557701111,1
62,248,2,0.001,0,0.5,0.5,59.2548065186,0,59.2548065186,59.2548065186,61.0576934814,0,61.0576934814,61.0576934814,1
63,279,2,0.001,0.001,0.5,0.7,59.2548065186,0,59.2548065186,59.2548065186,62.2596206665,0,62.2596206665,62.2596206665,1
64,293,2,0.001,0.01,0.5,0.5,59.2548065186,0,59.2548065186,59.2548065186,62.3798065186,0,62.3798065186,62.3798065186,1
65,305,2,0.0001,0,0.25,0.9,59.2548065186,0,59.2548065186,59.2548065186,57.8125,0,57.8125,57.8125,1
66,320,2,0.0001,0.0001,0.25,0.9,59.2548065186,0,59.2548065186,59.2548065186,57.9326934814,0,57.9326934814,57.9326934814,1
67,445,4,0.001,0.0001,0.5,0.9,59.2548065186,0,59.2548065186,59.2548065186,60.2163505554,0,60.2163505554,60.2163505554,1
68,458,4,0.001,0.001,0.5,0.5,59.2548065186,0,59.2548065186,59.2548065186,59.9759635925,0,59.9759635925,59.9759635925,1
69,474,4,0.001,0.01,0.5,0.7,59.2548065186,0,59.2548065186,59.2548065186,59.6153869629,0,59.6153869629,59.6153869629,1
70,800,16,0.001,0.0001,0.25,0.9,59.2548065186,0,59.2548065186,59.2548065186,60.6971206665,0,60.6971206665,60.6971206665,1
71,815,16,0.001,0.001,0.25,0.9,59.2548065186,0,59.2548065186,59.2548065186,60.4567337036,0,60.4567337036,60.4567337036,1
72,830,16,0.001,0.01,0.25,0.9,59.2548065186,0,59.2548065186,59.2548065186,60.5769271851,0,60.5769271851,60.5769271851,1
73,247,2,0.001,0,0.5,0.3,59.1346206665,0,59.1346206665,59.1346206665,60.8173065186,0,60.8173065186,60.8173065186,1
74,331,2,0.0001,0.001,0.25,0.1,59.1346206665,0,59.1346206665,59.1346206665,57.0913505554,0,57.0913505554,57.0913505554,1
75,333,2,0.0001,0.001,0.25,0.5,59.1346206665,0,59.1346206665,59.1346206665,57.4519271851,0,57.4519271851,57.4519271851,1
76,605,8,0.001,0,0.25,0.9,59.1346206665,0,59.1346206665,59.1346206665,61.5384635925,0,61.5384635925,61.5384635925,1
77,617,8,0.001,0.0001,0.25,0.3,59.1346206665,0,59.1346206665,59.1346206665,59.9759635925,0,59.9759635925,59.9759635925,1
78,632,8,0.001,0.001,0.25,0.3,59.1346206665,0,59.1346206665,59.1346206665,59.7355766296,0,59.7355766296,59.7355766296,1
79,635,8,0.001,0.001,0.25,0.9,59.1346206665,0,59.1346206665,59.1346206665,61.2980766296,0,61.2980766296,61.2980766296,1
80,647,8,0.001,0.01,0.25,0.3,59.1346206665,0,59.1346206665,59.1346206665,59.6153869629,0,59.6153869629,59.6153869629,1
