rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,950,32,0.01,0.01,0.25,0.9,70.7932739258,0,70.7932739258,70.7932739258,69.9519271851,0,69.9519271851,69.9519271851,1
2,775,16,0.01,0.01,0.5,0.9,70.5528869629,0,70.5528869629,70.5528869629,69.8317337036,0,69.8317337036,69.8317337036,1
3,595,8,0.01,0.01,0.5,0.9,70.3125,0,70.3125,70.3125,70.5528869629,0,70.5528869629,70.5528869629,1
4,955,32,0.01,0.01,0.5,0.9,70.1923141479,0,70.1923141479,70.1923141479,71.5144271851,0,71.5144271851,71.5144271851,1
5,1135,64,0.01,0.01,0.5,0.9,70.0721206665,0,70.0721206665,70.0721206665,70.4326934814,0,70.4326934814,70.4326934814,1
6,770,16,0.01,0.01,0.25,0.9,69.8317337036,0,69.8317337036,69.8317337036,70.0721206665,0,70.0721206665,70.0721206665,1
7,1130,64,0.01,0.01,0.25,0.9,69.8317337036,0,69.8317337036,69.8317337036,71.5144271851,0,71.5144271851,71.5144271851,1
8,600,8,0.01,0.01,0.75,0.9,69.7115402222,0,69.7115402222,69.7115402222,70.9134674072,0,70.9134674072,70.9134674072,1
9,420,4,0.01,0.01,0.75,0.9,69.2307739258,0,69.2307739258,69.2307739258,70.0721206665,0,70.0721206665,70.0721206665,1
10,415,4,0.01,0.01,0.5,0.9,69.1105804443,0,69.1105804443,69.1105804443,70.3125,0,70.3125,70.3125,1
11,240,2,0.01,0.01,0.75,0.9,68.9903869629,0,68.9903869629,68.9903869629,70.4326934814,0,70.4326934814,70.4326934814,1
12,1044,32,0.0001,0.0001,0.5,0.7,68.9903869629,0,68.9903869629,68.9903869629,69.3509674072,0,69.3509674072,69.3509674072,1
13,1059,32,0.0001,0.001,0.5,0.7,68.9903869629,0,68.9903869629,68.9903869629,69.4711532593,0,69.4711532593,69.4711532593,1
14,1079,32,0.0001,0.01,0.75,0.7,68.9903869629,0,68.9903869629,68.9903869629,69.4711532593,0,69.4711532593,69.4711532593,1
15,1229,64,0.0001,0.0001,0.75,0.7,68.9903869629,0,68.9903869629,68.9903869629,70.3125,0,70.3125,70.3125,1
16,780,16,0.01,0.01,0.75,0.9,68.8701934814,0,68.8701934814,68.8701934814,70.7932739258,0,70.7932739258,70.7932739258,1
17,960,32,0.01,0.01,0.75,0.9,68.8701934814,0,68.8701934814,68.8701934814,72.2355804443,0,72.2355804443,72.2355804443,1
18,1074,32,0.0001,0.01,0.5,0.7,68.8701934814,0,68.8701934814,68.8701934814,69.5913467407,0,69.5913467407,69.5913467407,1
19,1213,64,0.0001,0,0.75,0.5,68.8701934814,0,68.8701934814,68.8701934814,69.3509674072,0,69.3509674072,69.3509674072,1
20,1224,64,0.0001,0.0001,0.5,0.7,68.8701934814,0,68.8701934814,68.8701934814,69.2307739258,0,69.2307739258,69.2307739258,1
21,1239,64,0.0001,0.001,0.5,0.7,68.8701934814,0,68.8701934814,68.8701934814,69.5913467407,0,69.5913467407,69.5913467407,1
22,1049,32,0.0001,0.0001,0.75,0.7,68.75,0,68.75,68.75,70.1923141479,0,70.1923141479,70.1923141479,1
23,1140,64,0.01,0.01,0.75,0.9,68.75,0,68.75,68.75,70.7932739258,0,70.7932739258,70.7932739258,1
24,1205,64,0.0001,0,0.25,0.9,68.75,0,68.75,68.75,70.3125,0,70.3125,70.3125,1
25,1254,64,0.0001,0.01,0.5,0.7,68.75,0,68.75,68.75,69.2307739258,0,69.2307739258,69.2307739258,1
26,869,16,0.0001,0.0001,0.75,0.7,68.6298141479,0,68.6298141479,68.6298141479,68.3894271851,0,68.3894271851,68.3894271851,1
27,1259,64,0.0001,0.01,0.75,0.7,68.6298141479,0,68.6298141479,68.6298141479,69.5913467407,0,69.5913467407,69.5913467407,1
28,1078,32,0.0001,0.01,0.75,0.5,68.5096206665,0,68.5096206665,68.5096206665,68.5096206665,0,68.5096206665,68.5096206665,1
29,1250,64,0.0001,0.01,0.25,0.9,68.5096206665,0,68.5096206665,68.5096206665,69.5913467407,0,69.5913467407,69.5913467407,1
30,854,16,0.0001,0,0.75,0.7,68.3894271851,0,68.3894271851,68.3894271851,68.3894271851,0,68.3894271851,68.3894271851,1
31,884,16,0.0001,0.001,0.75,0.7,68.3894271851,0,68.3894271851,68.3894271851,68.3894271851,0,68.3894271851,68.3894271851,1
32,1068,32,0.0001,0.01,0.25,0.5,68.3894271851,0,68.3894271851,68.3894271851,67.9086532593,0,67.9086532593,67.9086532593,1
33,1220,64,0.0001,0.0001,0.25,0.9,68.3894271851,0,68.3894271851,68.3894271851,70.0721206665,0,70.0721206665,70.0721206665,1
34,1235,64,0.0001,0.001,0.25,0.9,68.3894271851,0,68.3894271851,68.3894271851,70.0721206665,0,70.0721206665,70.0721206665,1
35,1243,64,0.0001,0.001,0.75,0.5,68.3894271851,0,68.3894271851,68.3894271851,69.8317337036,0,69.8317337036,69.8317337036,1
36,594,8,0.01,0.01,0.5,0.7,68.2692337036,0,68.2692337036,68.2692337036,68.9903869629,0,68.9903869629,68.9903869629,1
37,899,16,0.0001,0.01,0.75,0.7,68.2692337036,0,68.2692337036,68.2692337036,67.7884674072,0,67.7884674072,67.7884674072,1
38,1033,32,0.0001,0,0.75,0.5,68.2692337036,0,68.2692337036,68.2692337036,68.5096206665,0,68.5096206665,68.5096206665,1
39,1034,32,0.0001,0,0.75,0.7,68.2692337036,0,68.2692337036,68.2692337036,69.5913467407,0,69.5913467407,69.5913467407,1
40,1045,32,0.0001,0.0001,0.5,0.9,68.2692337036,0,68.2692337036,68.2692337036,69.3509674072,0,69.3509674072,69.3509674072,1
41,1060,32,0.0001,0.001,0.5,0.9,68.2692337036,0,68.2692337036,68.2692337036,69.3509674072,0,69.3509674072,69.3509674072,1
42,1075,32,0.0001,0.01,0.5,0.9,68.2692337036,0,68.2692337036,68.2692337036,69.1105804443,0,69.1105804443,69.1105804443,1
43,1228,64,0.0001,0.0001,0.75,0.5,68.2692337036,0,68.2692337036,68.2692337036,69.8317337036,0,69.8317337036,69.8317337036,1
44,1258,64,0.0001,0.01,0.75,0.5,68.2692337036,0,68.2692337036,68.2692337036,69.2307739258,0,69.2307739258,69.2307739258,1
45,414,4,0.01,0.01,0.5,0.7,68.1490402222,0,68.1490402222,68.1490402222,67.9086532593,0,67.9086532593,67.9086532593,1
46,1043,32,0.0001,0.0001,0.5,0.5,68.1490402222,0,68.1490402222,68.1490402222,67.6682739258,0,67.6682739258,67.6682739258,1
47,1048,32,0.0001,0.0001,0.75,0.5,68.1490402222,0,68.1490402222,68.1490402222,68.0288467407,0,68.0288467407,68.0288467407,1
