rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,1135,64,0.01,0.01,0.5,0.9,82.7178726196,0,82.7178726196,82.7178726196,83.7518463135,0,83.7518463135,83.7518463135,1
2,980,32,0.001,0.0001,0.25,0.9,82.2747421265,0,82.2747421265,82.2747421265,84.7858200073,0,84.7858200073,84.7858200073,1
3,995,32,0.001,0.001,0.25,0.9,82.2747421265,0,82.2747421265,82.2747421265,84.7858200073,0,84.7858200073,84.7858200073,1
4,1010,32,0.001,0.01,0.25,0.9,82.2747421265,0,82.2747421265,82.2747421265,84.6381072998,0,84.6381072998,84.6381072998,1
5,1185,64,0.001,0.001,0.75,0.9,82.1270294189,0,82.1270294189,82.1270294189,84.6381072998,0,84.6381072998,84.6381072998,1
6,1220,64,0.0001,0.0001,0.25,0.9,82.1270294189,0,82.1270294189,82.1270294189,84.1949768066,0,84.1949768066,84.1949768066,1
7,1235,64,0.0001,0.001,0.25,0.9,82.1270294189,0,82.1270294189,82.1270294189,84.1949768066,0,84.1949768066,84.1949768066,1
8,1240,64,0.0001,0.001,0.5,0.9,82.1270294189,0,82.1270294189,82.1270294189,85.081237793,0,85.081237793,85.081237793,1
9,1250,64,0.0001,0.01,0.25,0.9,82.1270294189,0,82.1270294189,82.1270294189,84.1949768066,0,84.1949768066,84.1949768066,1
10,965,32,0.001,0,0.25,0.9,81.9793167114,0,81.9793167114,81.9793167114,84.7858200073,0,84.7858200073,84.7858200073,1
11,1155,64,0.001,0,0.75,0.9,81.9793167114,0,81.9793167114,81.9793167114,84.6381072998,0,84.6381072998,84.6381072998,1
12,1170,64,0.001,0.0001,0.75,0.9,81.9793167114,0,81.9793167114,81.9793167114,83.899559021,0,83.899559021,83.899559021,1
13,1200,64,0.001,0.01,0.75,0.9,81.9793167114,0,81.9793167114,81.9793167114,85.081237793,0,85.081237793,85.081237793,1
14,1225,64,0.0001,0.0001,0.5,0.9,81.9793167114,0,81.9793167114,81.9793167114,85.081237793,0,85.081237793,85.081237793,1
15,1245,64,0.0001,0.001,0.75,0.9,81.9793167114,0,81.9793167114,81.9793167114,83.1610031128,0,83.1610031128,83.1610031128,1
16,1260,64,0.0001,0.01,0.75,0.9,81.9793167114,0,81.9793167114,81.9793167114,82.8655853271,0,82.8655853271,82.8655853271,1
17,865,16,0.0001,0.0001,0.5,0.9,81.8316116333,0,81.8316116333,81.8316116333,82.5701599121,0,82.5701599121,82.5701599121,1
18,880,16,0.0001,0.001,0.5,0.9,81.8316116333,0,81.8316116333,81.8316116333,82.5701599121,0,82.5701599121,82.5701599121,1
19,895,16,0.0001,0.01,0.5,0.9,81.8316116333,0,81.8316116333,81.8316116333,82.5701599121,0,82.5701599121,82.5701599121,1
20,1130,64,0.01,0.01,0.25,0.9,81.8316116333,0,81.8316116333,81.8316116333,83.0132904053,0,83.0132904053,83.0132904053,1
21,1163,64,0.001,0.0001,0.5,0.5,81.8316116333,0,81.8316116333,81.8316116333,82.5701599121,0,82.5701599121,82.5701599121,1
22,1205,64,0.0001,0,0.25,0.9,81.8316116333,0,81.8316116333,81.8316116333,84.4903945923,0,84.4903945923,84.4903945923,1
23,1210,64,0.0001,0,0.5,0.9,81.8316116333,0,81.8316116333,81.8316116333,84.0472640991,0,84.0472640991,84.0472640991,1
24,1255,64,0.0001,0.01,0.5,0.9,81.8316116333,0,81.8316116333,81.8316116333,84.9335327148,0,84.9335327148,84.9335327148,1
25,850,16,0.0001,0,0.5,0.9,81.6838989258,0,81.6838989258,81.6838989258,82.8655853271,0,82.8655853271,82.8655853271,1
26,955,32,0.01,0.01,0.5,0.9,81.6838989258,0,81.6838989258,81.6838989258,83.899559021,0,83.899559021,83.899559021,1
27,1045,32,0.0001,0.0001,0.5,0.9,81.6838989258,0,81.6838989258,81.6838989258,84.0472640991,0,84.0472640991,84.0472640991,1
28,1075,32,0.0001,0.01,0.5,0.9,81.6838989258,0,81.6838989258,81.6838989258,84.0472640991,0,84.0472640991,84.0472640991,1
29,1160,64,0.001,0.0001,0.25,0.9,81.6838989258,0,81.6838989258,81.6838989258,83.4564208984,0,83.4564208984,83.4564208984,1
30,1190,64,0.001,0.01,0.25,0.9,81.6838989258,0,81.6838989258,81.6838989258,84.6381072998,0,84.6381072998,84.6381072998,1
31,1230,64,0.0001,0.0001,0.75,0.9,81.6838989258,0,81.6838989258,81.6838989258,83.1610031128,0,83.1610031128,83.1610031128,1
32,800,16,0.001,0.0001,0.25,0.9,81.5361862183,0,81.5361862183,81.5361862183,84.3426895142,0,84.3426895142,84.3426895142,1
33,815,16,0.001,0.001,0.25,0.9,81.5361862183,0,81.5361862183,81.5361862183,84.3426895142,0,84.3426895142,84.3426895142,1
34,830,16,0.001,0.01,0.25,0.9,81.5361862183,0,81.5361862183,81.5361862183,84.3426895142,0,84.3426895142,84.3426895142,1
35,1060,32,0.0001,0.001,0.5,0.9,81.5361862183,0,81.5361862183,81.5361862183,84.0472640991,0,84.0472640991,84.0472640991,1
36,1175,64,0.001,0.001,0.25,0.9,81.5361862183,0,81.5361862183,81.5361862183,83.4564208984,0,83.4564208984,83.4564208984,1
37,885,16,0.0001,0.001,0.75,0.9,81.3884811401,0,81.3884811401,81.3884811401,81.9793167114,0,81.9793167114,81.9793167114,1
38,1030,32,0.0001,0,0.5,0.9,81.2407684326,0,81.2407684326,81.2407684326,84.0472640991,0,84.0472640991,84.0472640991,1
39,1040,32,0.0001,0.0001,0.25,0.9,81.2407684326,0,81.2407684326,81.2407684326,83.899559021,0,83.899559021,83.899559021,1
40,1055,32,0.0001,0.001,0.25,0.9,81.2407684326,0,81.2407684326,81.2407684326,84.0472640991,0,84.0472640991,84.0472640991,1
41,1070,32,0.0001,0.01,0.25,0.9,81.2407684326,0,81.2407684326,81.2407684326,83.899559021,0,83.899559021,83.899559021,1
42,1145,64,0.001,0,0.25,0.9,81.2407684326,0,81.2407684326,81.2407684326,83.604133606,0,83.604133606,83.604133606,1
43,1164,64,0.001,0.0001,0.5,0.7,81.2407684326,0,81.2407684326,81.2407684326,83.0132904053,0,83.0132904053,83.0132904053,1
44,1215,64,0.0001,0,0.75,0.9,81.2407684326,0,81.2407684326,81.2407684326,82.7178726196,0,82.7178726196,82.7178726196,1
45,670,8,0.0001,0,0.5,0.9,81.0930557251,0,81.0930557251,81.0930557251,81.0930557251,0,81.0930557251,81.0930557251,1
46,685,8,0.0001,0.0001,0.5,0.9,81.0930557251,0,81.0930557251,81.0930557251,81.0930557251,0,81.0930557251,81.0930557251,1
47,870,16,0.0001,0.0001,0.75,0.9,81.0930557251,0,81.0930557251,81.0930557251,82.1270294189,0,82.1270294189,82.1270294189,1
48,1025,32,0.0001,0,0.25,0.9,81.0930557251,0,81.0930557251,81.0930557251,83.899559021,0,83.899559021,83.899559021,1
49,1050,32,0.0001,0.0001,0.75,0.9,81.0930557251,0,81.0930557251,81.0930557251,83.1610031128,0,83.1610031128,83.1610031128,1
50,1065,32,0.0001,0.001,0.75,0.9,81.0930557251,0,81.0930557251,81.0930557251,83.1610031128,0,83.1610031128,83.1610031128,1
51,700,8,0.0001,0.001,0.5,0.9,80.9453430176,0,80.9453430176,80.9453430176,81.0930557251,0,81.0930557251,81.0930557251,1
52,715,8,0.0001,0.01,0.5,0.9,80.9453430176,0,80.9453430176,80.9453430176,81.3884811401,0,81.3884811401,81.3884811401,1
53,785,16,0.001,0,0.25,0.9,80.9453430176,0,80.9453430176,80.9453430176,83.899559021,0,83.899559021,83.899559021,1
54,855,16,0.0001,0,0.75,0.9,80.9453430176,0,80.9453430176,80.9453430176,81.8316116333,0,81.8316116333,81.8316116333,1
55,900,16,0.0001,0.01,0.75,0.9,80.9453430176,0,80.9453430176,80.9453430176,81.9793167114,0,81.9793167114,81.9793167114,1
56,1180,64,0.001,0.001,0.5,0.9,80.9453430176,0,80.9453430176,80.9453430176,83.7518463135,0,83.7518463135,83.7518463135,1
57,1195,64,0.001,0.01,0.5,0.9,80.9453430176,0,80.9453430176,80.9453430176,83.604133606,0,83.604133606,83.604133606,1
58,860,16,0.0001,0.0001,0.25,0.9,80.7976379395,0,80.7976379395,80.7976379395,83.604133606,0,83.604133606,83.604133606,1
59,890,16,0.0001,0.01,0.25,0.9,80.7976379395,0,80.7976379395,80.7976379395,83.604133606,0,83.604133606,83.604133606,1
60,985,32,0.001,0.0001,0.5,0.9,80.7976379395,0,80.7976379395,80.7976379395,83.4564208984,0,83.4564208984,83.4564208984,1
61,990,32,0.001,0.0001,0.75,0.9,80.7976379395,0,80.7976379395,80.7976379395,83.7518463135,0,83.7518463135,83.7518463135,1
62,1015,32,0.001,0.01,0.5,0.9,80.7976379395,0,80.7976379395,80.7976379395,83.1610031128,0,83.1610031128,83.1610031128,1
63,1080,32,0.0001,0.01,0.75,0.9,80.7976379395,0,80.7976379395,80.7976379395,82.7178726196,0,82.7178726196,82.7178726196,1
64,1165,64,0.001,0.0001,0.5,0.9,80.7976379395,0,80.7976379395,80.7976379395,83.604133606,0,83.604133606,83.604133606,1
65,1179,64,0.001,0.001,0.5,0.7,80.7976379395,0,80.7976379395,80.7976379395,83.4564208984,0,83.4564208984,83.4564208984,1
66,1194,64,0.001,0.01,0.5,0.7,80.7976379395,0,80.7976379395,80.7976379395,83.3087158203,0,83.3087158203,83.3087158203,1
67,810,16,0.001,0.0001,0.75,0.9,80.6499252319,0,80.6499252319,80.6499252319,81.8316116333,0,81.8316116333,81.8316116333,1
68,825,16,0.001,0.001,0.75,0.9,80.6499252319,0,80.6499252319,80.6499252319,82.1270294189,0,82.1270294189,82.1270294189,1
69,840,16,0.001,0.01,0.75,0.9,80.6499252319,0,80.6499252319,80.6499252319,81.6838989258,0,81.6838989258,81.6838989258,1
70,1000,32,0.001,0.001,0.5,0.9,80.6499252319,0,80.6499252319,80.6499252319,83.0132904053,0,83.0132904053,83.0132904053,1
71,1148,64,0.001,0,0.5,0.5,80.6499252319,0,80.6499252319,80.6499252319,81.8316116333,0,81.8316116333,81.8316116333,1
72,820,16,0.001,0.001,0.5,0.9,80.5022125244,0,80.5022125244,80.5022125244,83.7518463135,0,83.7518463135,83.7518463135,1
73,875,16,0.0001,0.001,0.25,0.9,80.5022125244,0,80.5022125244,80.5022125244,83.3087158203,0,83.3087158203,83.3087158203,1
74,970,32,0.001,0,0.5,0.9,80.5022125244,0,80.5022125244,80.5022125244,83.0132904053,0,83.0132904053,83.0132904053,1
75,975,32,0.001,0,0.75,0.9,80.5022125244,0,80.5022125244,80.5022125244,83.7518463135,0,83.7518463135,83.7518463135,1
76,1150,64,0.001,0,0.5,0.9,80.5022125244,0,80.5022125244,80.5022125244,83.7518463135,0,83.7518463135,83.7518463135,1
77,1249,64,0.0001,0.01,0.25,0.7,80.5022125244,0,80.5022125244,80.5022125244,83.4564208984,0,83.4564208984,83.4564208984,1
78,795,16,0.001,0,0.75,0.9,80.3545074463,0,80.3545074463,80.3545074463,81.6838989258,0,81.6838989258,81.6838989258,1
