rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,1135,64,0.01,0.01,0.5,0.9,82.5701599121,0,82.5701599121,82.5701599121,85.9674987793,0,85.9674987793,85.9674987793,1
2,1140,64,0.01,0.01,0.75,0.9,82.5701599121,0,82.5701599121,82.5701599121,85.9674987793,0,85.9674987793,85.9674987793,1
3,1224,64,0.0001,0.0001,0.5,0.7,82.5701599121,0,82.5701599121,82.5701599121,84.3426895142,0,84.3426895142,84.3426895142,1
4,1239,64,0.0001,0.001,0.5,0.7,82.5701599121,0,82.5701599121,82.5701599121,84.3426895142,0,84.3426895142,84.3426895142,1
5,960,32,0.01,0.01,0.75,0.9,82.422454834,0,82.422454834,82.422454834,85.6720809937,0,85.6720809937,85.6720809937,1
6,1144,64,0.001,0,0.25,0.7,82.422454834,0,82.422454834,82.422454834,84.4903945923,0,84.4903945923,84.4903945923,1
7,1159,64,0.001,0.0001,0.25,0.7,82.422454834,0,82.422454834,82.422454834,84.6381072998,0,84.6381072998,84.6381072998,1
8,1174,64,0.001,0.001,0.25,0.7,82.422454834,0,82.422454834,82.422454834,84.7858200073,0,84.7858200073,84.7858200073,1
9,1249,64,0.0001,0.01,0.25,0.7,82.422454834,0,82.422454834,82.422454834,84.1949768066,0,84.1949768066,84.1949768066,1
10,1253,64,0.0001,0.01,0.5,0.5,82.422454834,0,82.422454834,82.422454834,84.4903945923,0,84.4903945923,84.4903945923,1
11,959,32,0.01,0.01,0.75,0.7,82.2747421265,0,82.2747421265,82.2747421265,85.5243682861,0,85.5243682861,85.5243682861,1
12,1208,64,0.0001,0,0.5,0.5,82.2747421265,0,82.2747421265,82.2747421265,84.3426895142,0,84.3426895142,84.3426895142,1
13,1219,64,0.0001,0.0001,0.25,0.7,82.2747421265,0,82.2747421265,82.2747421265,84.4903945923,0,84.4903945923,84.4903945923,1
14,1223,64,0.0001,0.0001,0.5,0.5,82.2747421265,0,82.2747421265,82.2747421265,84.6381072998,0,84.6381072998,84.6381072998,1
15,1234,64,0.0001,0.001,0.25,0.7,82.2747421265,0,82.2747421265,82.2747421265,84.3426895142,0,84.3426895142,84.3426895142,1
16,1238,64,0.0001,0.001,0.5,0.5,82.2747421265,0,82.2747421265,82.2747421265,84.6381072998,0,84.6381072998,84.6381072998,1
17,615,8,0.001,0,0.75,0.9,82.1270294189,0,82.1270294189,82.1270294189,84.1949768066,0,84.1949768066,84.1949768066,1
