task_id,pool,label,status,attempts,return_code,seconds,last_log_path,error_message
grid_candidate_0001,grid,grid_candidate_0001,completed,1,0,10.233171,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure3/figure3_pipeline3.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=2/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=true/logs/grid_candidate_0001_attempt_1.log,
grid_candidate_0002,grid,grid_candidate_0002,completed,1,0,9.817127,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure3/figure3_pipeline3.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=2/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=true/logs/grid_candidate_0002_attempt_1.log,
grid_candidate_0003,grid,grid_candidate_0003,completed,1,0,10.658755,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure3/figure3_pipeline3.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=2/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=true/logs/grid_candidate_0003_attempt_1.log,
grid_candidate_0004,grid,grid_candidate_0004,completed,1,0,10.944324,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure3/figure3_pipeline3.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=2/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=true/logs/grid_candidate_0004_attempt_1.log,
grid_candidate_0005,grid,grid_candidate_0005,completed,1,0,10.657357,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure3/figure3_pipeline3.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=2/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=true/logs/grid_candidate_0005_attempt_1.log,
grid_candidate_0006,grid,grid_candidate_0006,completed,1,0,11.573160,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure3/figure3_pipeline3.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=2/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=true/logs/grid_candidate_0006_attempt_1.log,
grid_candidate_0011,grid,grid_candidate_0011,completed,1,0,10.017347,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure3/figure3_pipeline3.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=2/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=true/logs/grid_candidate_0011_attempt_1.log,
grid_candidate_0010,grid,grid_candidate_0010,completed,1,0,10.276291,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure3/figure3_pipeline3.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=2/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=true/logs/grid_candidate_0010_attempt_1.log,
grid_candidate_0008,grid,grid_candidate_0008,completed,1,0,10.773405,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure3/figure3_pipeline3.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=2/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=true/logs/grid_candidate_0008_attempt_1.log,
grid_candidate_0009,grid,grid_candidate_0009,completed,1,0,10.776744,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure3/figure3_pipeline3.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=2/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=true/logs/grid_candidate_0009_attempt_1.log,
