rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,364,4,0.01,0,0.25,0.7,86.0530700684,0,86.0530700684,86.0530700684,85.2061004639,0,85.2061004639,85.2061004639,1
2,361,4,0.01,0,0.25,0.1,85.9966125488,0,85.9966125488,85.9966125488,85.2061004639,0,85.2061004639,85.2061004639,1
3,362,4,0.01,0,0.25,0.3,85.9966125488,0,85.9966125488,85.9966125488,85.2061004639,0,85.2061004639,85.2061004639,1
4,363,4,0.01,0,0.25,0.5,85.9966125488,0,85.9966125488,85.9966125488,85.1496353149,0,85.1496353149,85.1496353149,1
5,376,4,0.01,0.0001,0.25,0.1,85.9966125488,0,85.9966125488,85.9966125488,85.2061004639,0,85.2061004639,85.2061004639,1
6,377,4,0.01,0.0001,0.25,0.3,85.9966125488,0,85.9966125488,85.9966125488,85.2061004639,0,85.2061004639,85.2061004639,1
7,378,4,0.01,0.0001,0.25,0.5,85.9966125488,0,85.9966125488,85.9966125488,85.1496353149,0,85.1496353149,85.1496353149,1
8,391,4,0.01,0.001,0.25,0.1,85.9966125488,0,85.9966125488,85.9966125488,85.2061004639,0,85.2061004639,85.2061004639,1
9,392,4,0.01,0.001,0.25,0.3,85.9966125488,0,85.9966125488,85.9966125488,85.2061004639,0,85.2061004639,85.2061004639,1
10,393,4,0.01,0.001,0.25,0.5,85.9966125488,0,85.9966125488,85.9966125488,85.1496353149,0,85.1496353149,85.1496353149,1
11,406,4,0.01,0.01,0.25,0.1,85.9966125488,0,85.9966125488,85.9966125488,85.2061004639,0,85.2061004639,85.2061004639,1
12,407,4,0.01,0.01,0.25,0.3,85.9966125488,0,85.9966125488,85.9966125488,85.2061004639,0,85.2061004639,85.2061004639,1
13,408,4,0.01,0.01,0.25,0.5,85.9966125488,0,85.9966125488,85.9966125488,85.1496353149,0,85.1496353149,85.1496353149,1
14,379,4,0.01,0.0001,0.25,0.7,85.9401473999,0,85.9401473999,85.9401473999,85.2061004639,0,85.2061004639,85.2061004639,1
15,394,4,0.01,0.001,0.25,0.7,85.9401473999,0,85.9401473999,85.9401473999,85.2061004639,0,85.2061004639,85.2061004639,1
16,409,4,0.01,0.01,0.25,0.7,85.9401473999,0,85.9401473999,85.9401473999,85.2061004639,0,85.2061004639,85.2061004639,1
17,365,4,0.01,0,0.25,0.9,85.5448913574,0,85.5448913574,85.5448913574,84.4155883789,0,84.4155883789,84.4155883789,1
