rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,1025,32,0.0001,0,0.25,0.9,89.1022033691,0,89.1022033691,89.1022033691,87.9164276123,0,87.9164276123,87.9164276123,1
2,1040,32,0.0001,0.0001,0.25,0.9,89.1022033691,0,89.1022033691,89.1022033691,87.9164276123,0,87.9164276123,87.9164276123,1
3,1055,32,0.0001,0.001,0.25,0.9,89.1022033691,0,89.1022033691,89.1022033691,87.9164276123,0,87.9164276123,87.9164276123,1
4,1070,32,0.0001,0.01,0.25,0.9,89.1022033691,0,89.1022033691,89.1022033691,87.8599624634,0,87.8599624634,87.8599624634,1
5,1180,64,0.001,0.001,0.5,0.9,89.0457305908,0,89.0457305908,89.0457305908,87.5211715698,0,87.5211715698,87.5211715698,1
6,1195,64,0.001,0.01,0.5,0.9,89.0457305908,0,89.0457305908,89.0457305908,87.4647064209,0,87.4647064209,87.4647064209,1
7,845,16,0.0001,0,0.25,0.9,88.9892730713,0,88.9892730713,88.9892730713,87.5776443481,0,87.5776443481,87.5776443481,1
8,860,16,0.0001,0.0001,0.25,0.9,88.9892730713,0,88.9892730713,88.9892730713,87.5776443481,0,87.5776443481,87.5776443481,1
9,1130,64,0.01,0.01,0.25,0.9,88.9892730713,0,88.9892730713,88.9892730713,87.5211715698,0,87.5211715698,87.5211715698,1
10,850,16,0.0001,0,0.5,0.9,88.9328079224,0,88.9328079224,88.9328079224,87.5211715698,0,87.5211715698,87.5211715698,1
11,865,16,0.0001,0.0001,0.5,0.9,88.9328079224,0,88.9328079224,88.9328079224,87.5211715698,0,87.5211715698,87.5211715698,1
12,875,16,0.0001,0.001,0.25,0.9,88.9328079224,0,88.9328079224,88.9328079224,87.351776123,0,87.351776123,87.351776123,1
13,880,16,0.0001,0.001,0.5,0.9,88.9328079224,0,88.9328079224,88.9328079224,87.5211715698,0,87.5211715698,87.5211715698,1
14,890,16,0.0001,0.01,0.25,0.9,88.9328079224,0,88.9328079224,88.9328079224,87.351776123,0,87.351776123,87.351776123,1
15,895,16,0.0001,0.01,0.5,0.9,88.9328079224,0,88.9328079224,88.9328079224,87.5211715698,0,87.5211715698,87.5211715698,1
16,955,32,0.01,0.01,0.5,0.9,88.9328079224,0,88.9328079224,88.9328079224,87.4647064209,0,87.4647064209,87.4647064209,1
17,1075,32,0.0001,0.01,0.5,0.9,88.9328079224,0,88.9328079224,88.9328079224,87.9729003906,0,87.9729003906,87.9729003906,1
18,1079,32,0.0001,0.01,0.75,0.7,88.9328079224,0,88.9328079224,88.9328079224,86.9565200806,0,86.9565200806,86.9565200806,1
19,1190,64,0.001,0.01,0.25,0.9,88.9328079224,0,88.9328079224,88.9328079224,87.6905670166,0,87.6905670166,87.6905670166,1
20,1204,64,0.0001,0,0.25,0.7,88.9328079224,0,88.9328079224,88.9328079224,87.8034973145,0,87.8034973145,87.8034973145,1
21,1205,64,0.0001,0,0.25,0.9,88.9328079224,0,88.9328079224,88.9328079224,87.2953109741,0,87.2953109741,87.2953109741,1
22,1219,64,0.0001,0.0001,0.25,0.7,88.9328079224,0,88.9328079224,88.9328079224,87.8034973145,0,87.8034973145,87.8034973145,1
23,1220,64,0.0001,0.0001,0.25,0.9,88.9328079224,0,88.9328079224,88.9328079224,87.2953109741,0,87.2953109741,87.2953109741,1
24,1234,64,0.0001,0.001,0.25,0.7,88.9328079224,0,88.9328079224,88.9328079224,87.8034973145,0,87.8034973145,87.8034973145,1
25,1235,64,0.0001,0.001,0.25,0.9,88.9328079224,0,88.9328079224,88.9328079224,87.2953109741,0,87.2953109741,87.2953109741,1
26,1240,64,0.0001,0.001,0.5,0.9,88.9328079224,0,88.9328079224,88.9328079224,87.5211715698,0,87.5211715698,87.5211715698,1
27,1249,64,0.0001,0.01,0.25,0.7,88.9328079224,0,88.9328079224,88.9328079224,87.7470321655,0,87.7470321655,87.7470321655,1
28,1015,32,0.001,0.01,0.5,0.9,88.876335144,0,88.876335144,88.876335144,87.2953109741,0,87.2953109741,87.2953109741,1
29,1020,32,0.001,0.01,0.75,0.9,88.876335144,0,88.876335144,88.876335144,87.8034973145,0,87.8034973145,87.8034973145,1
30,1030,32,0.0001,0,0.5,0.9,88.876335144,0,88.876335144,88.876335144,87.8034973145,0,87.8034973145,87.8034973145,1
31,1034,32,0.0001,0,0.75,0.7,88.876335144,0,88.876335144,88.876335144,86.9000549316,0,86.9000549316,86.9000549316,1
32,1045,32,0.0001,0.0001,0.5,0.9,88.876335144,0,88.876335144,88.876335144,87.8034973145,0,87.8034973145,87.8034973145,1
33,1049,32,0.0001,0.0001,0.75,0.7,88.876335144,0,88.876335144,88.876335144,86.9000549316,0,86.9000549316,86.9000549316,1
34,1060,32,0.0001,0.001,0.5,0.9,88.876335144,0,88.876335144,88.876335144,87.8034973145,0,87.8034973145,87.8034973145,1
35,1064,32,0.0001,0.001,0.75,0.7,88.876335144,0,88.876335144,88.876335144,86.9000549316,0,86.9000549316,86.9000549316,1
36,1165,64,0.001,0.0001,0.5,0.9,88.876335144,0,88.876335144,88.876335144,87.5776443481,0,87.5776443481,87.5776443481,1
37,1209,64,0.0001,0,0.5,0.7,88.876335144,0,88.876335144,88.876335144,87.6341018677,0,87.6341018677,87.6341018677,1
38,1210,64,0.0001,0,0.5,0.9,88.876335144,0,88.876335144,88.876335144,87.4647064209,0,87.4647064209,87.4647064209,1
39,1213,64,0.0001,0,0.75,0.5,88.876335144,0,88.876335144,88.876335144,87.0129852295,0,87.0129852295,87.0129852295,1
40,1224,64,0.0001,0.0001,0.5,0.7,88.876335144,0,88.876335144,88.876335144,87.6341018677,0,87.6341018677,87.6341018677,1
41,1225,64,0.0001,0.0001,0.5,0.9,88.876335144,0,88.876335144,88.876335144,87.4647064209,0,87.4647064209,87.4647064209,1
42,1228,64,0.0001,0.0001,0.75,0.5,88.876335144,0,88.876335144,88.876335144,87.0694503784,0,87.0694503784,87.0694503784,1
43,1243,64,0.0001,0.001,0.75,0.5,88.876335144,0,88.876335144,88.876335144,87.0694503784,0,87.0694503784,87.0694503784,1
44,1250,64,0.0001,0.01,0.25,0.9,88.876335144,0,88.876335144,88.876335144,87.351776123,0,87.351776123,87.351776123,1
45,1255,64,0.0001,0.01,0.5,0.9,88.876335144,0,88.876335144,88.876335144,87.4647064209,0,87.4647064209,87.4647064209,1
46,1258,64,0.0001,0.01,0.75,0.5,88.876335144,0,88.876335144,88.876335144,87.0694503784,0,87.0694503784,87.0694503784,1
47,975,32,0.001,0,0.75,0.9,88.8198699951,0,88.8198699951,88.8198699951,87.6341018677,0,87.6341018677,87.6341018677,1
48,990,32,0.001,0.0001,0.75,0.9,88.8198699951,0,88.8198699951,88.8198699951,87.6905670166,0,87.6905670166,87.6905670166,1
49,1005,32,0.001,0.001,0.75,0.9,88.8198699951,0,88.8198699951,88.8198699951,87.5776443481,0,87.5776443481,87.5776443481,1
50,1010,32,0.001,0.01,0.25,0.9,88.8198699951,0,88.8198699951,88.8198699951,87.4647064209,0,87.4647064209,87.4647064209,1
51,1024,32,0.0001,0,0.25,0.7,88.8198699951,0,88.8198699951,88.8198699951,87.2953109741,0,87.2953109741,87.2953109741,1
52,1039,32,0.0001,0.0001,0.25,0.7,88.8198699951,0,88.8198699951,88.8198699951,87.2953109741,0,87.2953109741,87.2953109741,1
53,1135,64,0.01,0.01,0.5,0.9,88.8198699951,0,88.8198699951,88.8198699951,87.1823806763,0,87.1823806763,87.1823806763,1
54,1155,64,0.001,0,0.75,0.9,88.8198699951,0,88.8198699951,88.8198699951,87.7470321655,0,87.7470321655,87.7470321655,1
55,1170,64,0.001,0.0001,0.75,0.9,88.8198699951,0,88.8198699951,88.8198699951,87.7470321655,0,87.7470321655,87.7470321655,1
56,1185,64,0.001,0.001,0.75,0.9,88.8198699951,0,88.8198699951,88.8198699951,87.5776443481,0,87.5776443481,87.5776443481,1
57,1200,64,0.001,0.01,0.75,0.9,88.8198699951,0,88.8198699951,88.8198699951,87.6341018677,0,87.6341018677,87.6341018677,1
58,1215,64,0.0001,0,0.75,0.9,88.8198699951,0,88.8198699951,88.8198699951,87.408241272,0,87.408241272,87.408241272,1
59,1230,64,0.0001,0.0001,0.75,0.9,88.8198699951,0,88.8198699951,88.8198699951,87.408241272,0,87.408241272,87.408241272,1
60,1239,64,0.0001,0.001,0.5,0.7,88.8198699951,0,88.8198699951,88.8198699951,87.6341018677,0,87.6341018677,87.6341018677,1
61,1245,64,0.0001,0.001,0.75,0.9,88.8198699951,0,88.8198699951,88.8198699951,87.408241272,0,87.408241272,87.408241272,1
62,1260,64,0.0001,0.01,0.75,0.9,88.8198699951,0,88.8198699951,88.8198699951,87.408241272,0,87.408241272,87.408241272,1
63,775,16,0.01,0.01,0.5,0.9,88.7634124756,0,88.7634124756,88.7634124756,86.5612640381,0,86.5612640381,86.5612640381,1
64,780,16,0.01,0.01,0.75,0.9,88.7634124756,0,88.7634124756,88.7634124756,86.8435897827,0,86.8435897827,86.8435897827,1
65,965,32,0.001,0,0.25,0.9,88.7634124756,0,88.7634124756,88.7634124756,87.2953109741,0,87.2953109741,87.2953109741,1
66,970,32,0.001,0,0.5,0.9,88.7634124756,0,88.7634124756,88.7634124756,87.0129852295,0,87.0129852295,87.0129852295,1
67,985,32,0.001,0.0001,0.5,0.9,88.7634124756,0,88.7634124756,88.7634124756,87.0129852295,0,87.0129852295,87.0129852295,1
68,1000,32,0.001,0.001,0.5,0.9,88.7634124756,0,88.7634124756,88.7634124756,86.9565200806,0,86.9565200806,86.9565200806,1
69,1054,32,0.0001,0.001,0.25,0.7,88.7634124756,0,88.7634124756,88.7634124756,87.2953109741,0,87.2953109741,87.2953109741,1
70,1069,32,0.0001,0.01,0.25,0.7,88.7634124756,0,88.7634124756,88.7634124756,87.2953109741,0,87.2953109741,87.2953109741,1
71,1145,64,0.001,0,0.25,0.9,88.7634124756,0,88.7634124756,88.7634124756,87.5211715698,0,87.5211715698,87.5211715698,1
72,1150,64,0.001,0,0.5,0.9,88.7634124756,0,88.7634124756,88.7634124756,87.4647064209,0,87.4647064209,87.4647064209,1
73,1175,64,0.001,0.001,0.25,0.9,88.7634124756,0,88.7634124756,88.7634124756,87.5211715698,0,87.5211715698,87.5211715698,1
74,1253,64,0.0001,0.01,0.5,0.5,88.7634124756,0,88.7634124756,88.7634124756,87.2953109741,0,87.2953109741,87.2953109741,1
75,1254,64,0.0001,0.01,0.5,0.7,88.7634124756,0,88.7634124756,88.7634124756,87.6905670166,0,87.6905670166,87.6905670166,1
76,595,8,0.01,0.01,0.5,0.9,88.7069473267,0,88.7069473267,88.7069473267,86.617729187,0,86.617729187,86.617729187,1
77,790,16,0.001,0,0.5,0.9,88.7069473267,0,88.7069473267,88.7069473267,87.1823806763,0,87.1823806763,87.1823806763,1
78,805,16,0.001,0.0001,0.5,0.9,88.7069473267,0,88.7069473267,88.7069473267,87.1823806763,0,87.1823806763,87.1823806763,1
79,855,16,0.0001,0,0.75,0.9,88.7069473267,0,88.7069473267,88.7069473267,87.0129852295,0,87.0129852295,87.0129852295,1
80,870,16,0.0001,0.0001,0.75,0.9,88.7069473267,0,88.7069473267,88.7069473267,87.0129852295,0,87.0129852295,87.0129852295,1
81,885,16,0.0001,0.001,0.75,0.9,88.7069473267,0,88.7069473267,88.7069473267,87.0129852295,0,87.0129852295,87.0129852295,1
82,900,16,0.0001,0.01,0.75,0.9,88.7069473267,0,88.7069473267,88.7069473267,87.0129852295,0,87.0129852295,87.0129852295,1
83,980,32,0.001,0.0001,0.25,0.9,88.7069473267,0,88.7069473267,88.7069473267,87.408241272,0,87.408241272,87.408241272,1
84,995,32,0.001,0.001,0.25,0.9,88.7069473267,0,88.7069473267,88.7069473267,87.408241272,0,87.408241272,87.408241272,1
85,1160,64,0.001,0.0001,0.25,0.9,88.7069473267,0,88.7069473267,88.7069473267,87.408241272,0,87.408241272,87.408241272,1
86,1208,64,0.0001,0,0.5,0.5,88.7069473267,0,88.7069473267,88.7069473267,87.2953109741,0,87.2953109741,87.2953109741,1
87,1223,64,0.0001,0.0001,0.5,0.5,88.7069473267,0,88.7069473267,88.7069473267,87.2953109741,0,87.2953109741,87.2953109741,1
88,1227,64,0.0001,0.0001,0.75,0.3,88.7069473267,0,88.7069473267,88.7069473267,86.7871246338,0,86.7871246338,86.7871246338,1
