rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,905,32,0.01,0,0.25,0.9,51.7479248047,0,51.7479248047,51.7479248047,51.6770591736,0,51.6770591736,51.6770591736,1
2,1100,64,0.01,0.0001,0.25,0.9,51.6180114746,0,51.6180114746,51.6180114746,51.230632782,0,51.230632782,51.230632782,1
3,920,32,0.01,0.0001,0.25,0.9,51.5754928589,0,51.5754928589,51.5754928589,51.5636787415,0,51.5636787415,51.5636787415,1
4,950,32,0.01,0.01,0.25,0.9,51.4880943298,0,51.4880943298,51.4880943298,51.214099884,0,51.214099884,51.214099884,1
5,935,32,0.01,0.001,0.25,0.9,51.3463745117,0,51.3463745117,51.3463745117,51.2235450745,0,51.2235450745,51.2235450745,1
6,1120,64,0.01,0.001,0.5,0.9,51.3203926086,0,51.3203926086,51.3203926086,51.0204086304,0,51.0204086304,51.0204086304,1
7,1085,64,0.01,0,0.25,0.9,51.1503219604,0,51.1503219604,51.1503219604,50.7794799805,0,50.7794799805,50.7794799805,1
8,1090,64,0.01,0,0.5,0.9,50.9566307068,0,50.9566307068,50.9566307068,50.7086143494,0,50.7086143494,50.7086143494,1
9,919,32,0.01,0.0001,0.25,0.7,50.9164810181,0,50.9164810181,50.9164810181,50.7912864685,0,50.7912864685,50.7912864685,1
10,949,32,0.01,0.01,0.25,0.7,50.725151062,0,50.725151062,50.725151062,50.3519477844,0,50.3519477844,50.3519477844,1
11,1135,64,0.01,0.01,0.5,0.9,50.6188583374,0,50.6188583374,50.6188583374,50.4298934937,0,50.4298934937,50.4298934937,1
12,904,32,0.01,0,0.25,0.7,50.6164970398,0,50.6164970398,50.6164970398,50.3306884766,0,50.3306884766,50.3306884766,1
13,934,32,0.01,0.001,0.25,0.7,50.6117744446,0,50.6117744446,50.6117744446,50.3779296875,0,50.3779296875,50.3779296875,1
14,910,32,0.01,0,0.5,0.9,50.4700469971,0,50.4700469971,50.4700469971,49.9007949829,0,49.9007949829,49.9007949829,1
15,925,32,0.01,0.0001,0.5,0.9,50.4653282166,0,50.4653282166,50.4653282166,50.042514801,0,50.042514801,50.042514801,1
16,955,32,0.01,0.01,0.5,0.9,50.4251708984,0,50.4251708984,50.4251708984,50.103931427,0,50.103931427,50.103931427,1
