rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,1082,64,0.01,0,0.25,0.3,54.8422164917,0,54.8422164917,54.8422164917,54.5587654114,0,54.5587654114,54.5587654114,1
2,1096,64,0.01,0.0001,0.25,0.1,54.8209533691,0,54.8209533691,54.8209533691,54.6508903503,0,54.6508903503,54.6508903503,1
3,1097,64,0.01,0.0001,0.25,0.3,54.7760772705,0,54.7760772705,54.7760772705,54.4477539062,0,54.4477539062,54.4477539062,1
4,1081,64,0.01,0,0.25,0.1,54.7713508606,0,54.7713508606,54.7713508606,54.4760932922,0,54.4760932922,54.4760932922,1
5,1083,64,0.01,0,0.25,0.5,54.6390762329,0,54.6390762329,54.6390762329,54.2965812683,0,54.2965812683,54.2965812683,1
6,1098,64,0.01,0.0001,0.25,0.5,54.5634918213,0,54.5634918213,54.5634918213,54.2894973755,0,54.2894973755,54.2894973755,1
7,1111,64,0.01,0.001,0.25,0.1,54.4477539062,0,54.4477539062,54.4477539062,54.2375259399,0,54.2375259399,54.2375259399,1
8,1084,64,0.01,0,0.25,0.7,54.1312332153,0,54.1312332153,54.1312332153,53.8241691589,0,53.8241691589,53.8241691589,1
9,1112,64,0.01,0.001,0.25,0.3,54.1288719177,0,54.1288719177,54.1288719177,53.7745666504,0,53.7745666504,53.7745666504,1
10,1099,64,0.01,0.0001,0.25,0.7,53.911567688,0,53.911567688,53.911567688,53.6422920227,0,53.6422920227,53.6422920227,1
11,1087,64,0.01,0,0.5,0.3,53.9021186829,0,53.9021186829,53.9021186829,53.6517372131,0,53.6517372131,53.6517372131,1
12,1102,64,0.01,0.0001,0.5,0.3,53.8950309753,0,53.8950309753,53.8950309753,53.4155311584,0,53.4155311584,53.4155311584,1
13,1101,64,0.01,0.0001,0.5,0.1,53.8690490723,0,53.8690490723,53.8690490723,53.5171051025,0,53.5171051025,53.5171051025,1
14,1086,64,0.01,0,0.5,0.1,53.8643226624,0,53.8643226624,53.8643226624,53.6092224121,0,53.6092224121,53.6092224121,1
15,901,32,0.01,0,0.25,0.1,53.850151062,0,53.850151062,53.850151062,53.6848068237,0,53.6848068237,53.6848068237,1
16,1113,64,0.01,0.001,0.25,0.5,53.7745666504,0,53.7745666504,53.7745666504,53.2761764526,0,53.2761764526,53.2761764526,1
17,916,32,0.01,0.0001,0.25,0.1,53.6800842285,0,53.6800842285,53.6800842285,53.5737915039,0,53.5737915039,53.5737915039,1
18,1088,64,0.01,0,0.5,0.5,53.6257553101,0,53.6257553101,53.6257553101,53.1297264099,0,53.1297264099,53.1297264099,1
19,917,32,0.01,0.0001,0.25,0.3,53.6233978271,0,53.6233978271,53.6233978271,53.5454444885,0,53.5454444885,53.5454444885,1
20,903,32,0.01,0,0.25,0.5,53.583240509,0,53.583240509,53.583240509,53.4509658813,0,53.4509658813,53.4509658813,1
21,902,32,0.01,0,0.25,0.3,53.540725708,0,53.540725708,53.540725708,53.6044960022,0,53.6044960022,53.6044960022,1
22,1103,64,0.01,0.0001,0.5,0.5,53.5289115906,0,53.5289115906,53.5289115906,53.0990180969,0,53.0990180969,53.0990180969,1
23,1116,64,0.01,0.001,0.5,0.1,53.4391517639,0,53.4391517639,53.4391517639,52.9761924744,0,52.9761924744,52.9761924744,1
24,1117,64,0.01,0.001,0.5,0.3,53.4037246704,0,53.4037246704,53.4037246704,53.1013793945,0,53.1013793945,53.1013793945,1
25,918,32,0.01,0.0001,0.25,0.5,53.3989982605,0,53.3989982605,53.3989982605,53.3375854492,0,53.3375854492,53.3375854492,1
26,931,32,0.01,0.001,0.25,0.1,53.2478256226,0,53.2478256226,53.2478256226,53.0541419983,0,53.0541419983,53.0541419983,1
27,904,32,0.01,0,0.25,0.7,53.1533470154,0,53.1533470154,53.1533470154,52.7187271118,0,52.7187271118,52.7187271118,1
28,1089,64,0.01,0,0.5,0.7,53.1462593079,0,53.1462593079,53.1462593079,52.75415802,0,52.75415802,52.75415802,1
29,1104,64,0.01,0.0001,0.5,0.7,53.0588607788,0,53.0588607788,53.0588607788,52.7376251221,0,52.7376251221,52.7376251221,1
30,919,32,0.01,0.0001,0.25,0.7,52.9950866699,0,52.9950866699,52.9950866699,52.7163619995,0,52.7163619995,52.7163619995,1
31,932,32,0.01,0.001,0.25,0.3,52.9124145508,0,52.9124145508,52.9124145508,52.7919540405,0,52.7919540405,52.7919540405,1
32,1114,64,0.01,0.001,0.25,0.7,52.9006080627,0,52.9006080627,52.9006080627,52.4943275452,0,52.4943275452,52.4943275452,1
33,1118,64,0.01,0.001,0.5,0.5,52.8722572327,0,52.8722572327,52.8722572327,52.4801597595,0,52.4801597595,52.4801597595,1
34,1085,64,0.01,0,0.25,0.9,52.8557243347,0,52.8557243347,52.8557243347,52.5911750793,0,52.5911750793,52.5911750793,1
35,1100,64,0.01,0.0001,0.25,0.9,52.6171569824,0,52.6171569824,52.6171569824,52.1494674683,0,52.1494674683,52.1494674683,1
