rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,5,2,0.01,0.0001,0.5,none,71.6395874023,0,71.6395874023,71.6395874023,75.1846389771,0,75.1846389771,75.1846389771,1
2,2,2,0.01,0,0.5,none,71.3441619873,0,71.3441619873,71.3441619873,72.8212738037,0,72.8212738037,72.8212738037,1
3,8,2,0.01,0.001,0.5,none,71.1964569092,0,71.1964569092,71.1964569092,73.1166915894,0,73.1166915894,73.1166915894,1
4,11,2,0.01,0.01,0.5,none,71.1964569092,0,71.1964569092,71.1964569092,72.8212738037,0,72.8212738037,72.8212738037,1
5,16,2,0.001,0.0001,0.25,none,70.457901001,0,70.457901001,70.457901001,73.412109375,0,73.412109375,73.412109375,1
6,19,2,0.001,0.001,0.25,none,70.3101959229,0,70.3101959229,70.3101959229,73.5598220825,0,73.5598220825,73.5598220825,1
7,22,2,0.001,0.01,0.25,none,70.3101959229,0,70.3101959229,70.3101959229,73.5598220825,0,73.5598220825,73.5598220825,1
8,13,2,0.001,0,0.25,none,69.7193527222,0,69.7193527222,69.7193527222,72.3781356812,0,72.3781356812,72.3781356812,1
9,17,2,0.001,0.0001,0.5,none,69.276222229,0,69.276222229,69.276222229,71.3441619873,0,71.3441619873,71.3441619873,1
10,20,2,0.001,0.001,0.5,none,69.276222229,0,69.276222229,69.276222229,69.7193527222,0,69.7193527222,69.7193527222,1
11,23,2,0.001,0.01,0.5,none,69.1285095215,0,69.1285095215,69.1285095215,69.8670578003,0,69.8670578003,69.8670578003,1
12,14,2,0.001,0,0.5,none,68.3899536133,0,68.3899536133,68.3899536133,70.3101959229,0,70.3101959229,70.3101959229,1
13,37,4,0.01,0,0.25,none,68.2422485352,0,68.2422485352,68.2422485352,69.7193527222,0,69.7193527222,69.7193527222,1
14,43,4,0.01,0.001,0.25,none,67.9468231201,0,67.9468231201,67.9468231201,70.1624832153,0,70.1624832153,70.1624832153,1
15,40,4,0.01,0.0001,0.25,none,67.799118042,0,67.799118042,67.799118042,70.1624832153,0,70.1624832153,70.1624832153,1
16,46,4,0.01,0.01,0.25,none,67.799118042,0,67.799118042,67.799118042,70.0147705078,0,70.0147705078,70.0147705078,1
17,52,4,0.001,0.0001,0.25,none,67.6514053345,0,67.6514053345,67.6514053345,69.1285095215,0,69.1285095215,69.1285095215,1
