rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,118,16,0.01,0.01,0.25,none,81.8316116333,0,81.8316116333,81.8316116333,83.0132904053,0,83.0132904053,83.0132904053,1
2,84,8,0.01,0.01,0.75,none,81.0930557251,0,81.0930557251,81.0930557251,84.6381072998,0,84.6381072998,84.6381072998,1
3,120,16,0.01,0.01,0.75,none,81.0930557251,0,81.0930557251,81.0930557251,82.5701599121,0,82.5701599121,82.5701599121,1
4,83,8,0.01,0.01,0.5,none,80.9453430176,0,80.9453430176,80.9453430176,83.899559021,0,83.899559021,83.899559021,1
5,126,16,0.001,0.0001,0.75,none,80.5022125244,0,80.5022125244,80.5022125244,82.5701599121,0,82.5701599121,82.5701599121,1
6,129,16,0.001,0.001,0.75,none,80.5022125244,0,80.5022125244,80.5022125244,82.2747421265,0,82.2747421265,82.2747421265,1
7,132,16,0.001,0.01,0.75,none,80.2067947388,0,80.2067947388,80.2067947388,82.1270294189,0,82.1270294189,82.1270294189,1
8,119,16,0.01,0.01,0.5,none,79.3205337524,0,79.3205337524,79.3205337524,83.4564208984,0,83.4564208984,83.4564208984,1
9,141,16,0.0001,0.001,0.75,none,79.1728210449,0,79.1728210449,79.1728210449,81.0930557251,0,81.0930557251,81.0930557251,1
10,144,16,0.0001,0.01,0.75,none,79.1728210449,0,79.1728210449,79.1728210449,80.7976379395,0,80.7976379395,80.7976379395,1
11,102,8,0.0001,0.0001,0.75,none,79.0251083374,0,79.0251083374,79.0251083374,79.7636642456,0,79.7636642456,79.7636642456,1
12,105,8,0.0001,0.001,0.75,none,79.0251083374,0,79.0251083374,79.0251083374,79.7636642456,0,79.7636642456,79.7636642456,1
13,108,8,0.0001,0.01,0.75,none,79.0251083374,0,79.0251083374,79.0251083374,79.9113769531,0,79.9113769531,79.9113769531,1
14,138,16,0.0001,0.0001,0.75,none,78.8774032593,0,78.8774032593,78.8774032593,81.2407684326,0,81.2407684326,81.2407684326,1
15,11,2,0.01,0.01,0.5,none,78.7296905518,0,78.7296905518,78.7296905518,83.0132904053,0,83.0132904053,83.0132904053,1
16,99,8,0.0001,0,0.75,none,78.7296905518,0,78.7296905518,78.7296905518,80.2067947388,0,80.2067947388,80.2067947388,1
17,116,16,0.01,0.001,0.5,none,78.7296905518,0,78.7296905518,78.7296905518,81.3884811401,0,81.3884811401,81.3884811401,1
18,78,8,0.01,0.0001,0.75,none,78.5819778442,0,78.5819778442,78.5819778442,81.0930557251,0,81.0930557251,81.0930557251,1
19,135,16,0.0001,0,0.75,none,78.5819778442,0,78.5819778442,78.5819778442,80.5022125244,0,80.5022125244,80.5022125244,1
20,140,16,0.0001,0.001,0.5,none,78.4342651367,0,78.4342651367,78.4342651367,81.2407684326,0,81.2407684326,81.2407684326,1
21,143,16,0.0001,0.01,0.5,none,78.4342651367,0,78.4342651367,78.4342651367,81.3884811401,0,81.3884811401,81.3884811401,1
22,81,8,0.01,0.001,0.75,none,78.2865600586,0,78.2865600586,78.2865600586,81.5361862183,0,81.5361862183,81.5361862183,1
23,107,8,0.0001,0.01,0.5,none,78.2865600586,0,78.2865600586,78.2865600586,80.2067947388,0,80.2067947388,80.2067947388,1
24,123,16,0.001,0,0.75,none,78.2865600586,0,78.2865600586,78.2865600586,79.7636642456,0,79.7636642456,79.7636642456,1
25,137,16,0.0001,0.0001,0.5,none,78.2865600586,0,78.2865600586,78.2865600586,81.3884811401,0,81.3884811401,81.3884811401,1
26,142,16,0.0001,0.01,0.25,none,78.2865600586,0,78.2865600586,78.2865600586,79.7636642456,0,79.7636642456,79.7636642456,1
27,48,4,0.01,0.01,0.75,none,78.1388473511,0,78.1388473511,78.1388473511,82.1270294189,0,82.1270294189,82.1270294189,1
28,90,8,0.001,0.0001,0.75,none,78.1388473511,0,78.1388473511,78.1388473511,78.4342651367,0,78.4342651367,78.4342651367,1
29,93,8,0.001,0.001,0.75,none,78.1388473511,0,78.1388473511,78.1388473511,78.4342651367,0,78.4342651367,78.4342651367,1
30,96,8,0.001,0.01,0.75,none,78.1388473511,0,78.1388473511,78.1388473511,78.4342651367,0,78.4342651367,78.4342651367,1
31,104,8,0.0001,0.001,0.5,none,78.1388473511,0,78.1388473511,78.1388473511,80.2067947388,0,80.2067947388,80.2067947388,1
32,136,16,0.0001,0.0001,0.25,none,78.1388473511,0,78.1388473511,78.1388473511,79.6159515381,0,79.6159515381,79.6159515381,1
33,139,16,0.0001,0.001,0.25,none,78.1388473511,0,78.1388473511,78.1388473511,79.7636642456,0,79.7636642456,79.7636642456,1
34,101,8,0.0001,0.0001,0.5,none,77.9911346436,0,77.9911346436,77.9911346436,80.2067947388,0,80.2067947388,80.2067947388,1
35,134,16,0.0001,0,0.5,none,77.9911346436,0,77.9911346436,77.9911346436,79.1728210449,0,79.1728210449,79.1728210449,1
36,12,2,0.01,0.01,0.75,none,77.6957168579,0,77.6957168579,77.6957168579,80.6499252319,0,80.6499252319,80.6499252319,1
37,111,16,0.01,0,0.75,none,77.6957168579,0,77.6957168579,77.6957168579,80.7976379395,0,80.7976379395,80.7976379395,1
38,133,16,0.0001,0,0.25,none,77.6957168579,0,77.6957168579,77.6957168579,79.3205337524,0,79.3205337524,79.3205337524,1
39,75,8,0.01,0,0.75,none,77.5480041504,0,77.5480041504,77.5480041504,81.2407684326,0,81.2407684326,81.2407684326,1
40,92,8,0.001,0.001,0.5,none,77.4002914429,0,77.4002914429,77.4002914429,79.3205337524,0,79.3205337524,79.3205337524,1
41,95,8,0.001,0.01,0.5,none,77.4002914429,0,77.4002914429,77.4002914429,79.3205337524,0,79.3205337524,79.3205337524,1
42,89,8,0.001,0.0001,0.5,none,77.2525863647,0,77.2525863647,77.2525863647,79.3205337524,0,79.3205337524,79.3205337524,1
43,121,16,0.001,0,0.25,none,77.1048736572,0,77.1048736572,77.1048736572,77.8434295654,0,77.8434295654,77.8434295654,1
44,124,16,0.001,0.0001,0.25,none,77.1048736572,0,77.1048736572,77.1048736572,77.8434295654,0,77.8434295654,77.8434295654,1
45,127,16,0.001,0.001,0.25,none,77.1048736572,0,77.1048736572,77.1048736572,77.8434295654,0,77.8434295654,77.8434295654,1
46,91,8,0.001,0.001,0.25,none,76.9571609497,0,76.9571609497,76.9571609497,78.8774032593,0,78.8774032593,78.8774032593,1
47,94,8,0.001,0.01,0.25,none,76.9571609497,0,76.9571609497,76.9571609497,78.8774032593,0,78.8774032593,78.8774032593,1
48,110,16,0.01,0,0.5,none,76.9571609497,0,76.9571609497,76.9571609497,81.3884811401,0,81.3884811401,81.3884811401,1
49,130,16,0.001,0.01,0.25,none,76.9571609497,0,76.9571609497,76.9571609497,77.9911346436,0,77.9911346436,77.9911346436,1
50,47,4,0.01,0.01,0.5,none,76.8094558716,0,76.8094558716,76.8094558716,81.8316116333,0,81.8316116333,81.8316116333,1
51,87,8,0.001,0,0.75,none,76.8094558716,0,76.8094558716,76.8094558716,78.1388473511,0,78.1388473511,78.1388473511,1
52,88,8,0.001,0.0001,0.25,none,76.8094558716,0,76.8094558716,76.8094558716,78.7296905518,0,78.7296905518,78.7296905518,1
53,103,8,0.0001,0.001,0.25,none,76.8094558716,0,76.8094558716,76.8094558716,79.3205337524,0,79.3205337524,79.3205337524,1
54,100,8,0.0001,0.0001,0.25,none,76.6617431641,0,76.6617431641,76.6617431641,79.3205337524,0,79.3205337524,79.3205337524,1
55,106,8,0.0001,0.01,0.25,none,76.6617431641,0,76.6617431641,76.6617431641,79.1728210449,0,79.1728210449,79.1728210449,1
56,114,16,0.01,0.0001,0.75,none,76.6617431641,0,76.6617431641,76.6617431641,78.1388473511,0,78.1388473511,78.1388473511,1
57,125,16,0.001,0.0001,0.5,none,76.6617431641,0,76.6617431641,76.6617431641,78.8774032593,0,78.8774032593,78.8774032593,1
58,128,16,0.001,0.001,0.5,none,76.6617431641,0,76.6617431641,76.6617431641,78.8774032593,0,78.8774032593,78.8774032593,1
59,131,16,0.001,0.01,0.5,none,76.6617431641,0,76.6617431641,76.6617431641,78.8774032593,0,78.8774032593,78.8774032593,1
60,117,16,0.01,0.001,0.75,none,76.5140304565,0,76.5140304565,76.5140304565,78.1388473511,0,78.1388473511,78.1388473511,1
61,97,8,0.0001,0,0.25,none,76.2186126709,0,76.2186126709,76.2186126709,78.2865600586,0,78.2865600586,78.2865600586,1
62,45,4,0.01,0.001,0.75,none,76.0708999634,0,76.0708999634,76.0708999634,80.7976379395,0,80.7976379395,80.7976379395,1
63,39,4,0.01,0,0.75,none,75.9231872559,0,75.9231872559,75.9231872559,79.6159515381,0,79.6159515381,79.6159515381,1
64,85,8,0.001,0,0.25,none,75.9231872559,0,75.9231872559,75.9231872559,78.8774032593,0,78.8774032593,78.8774032593,1
