rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,55,4,0.001,0.001,0.25,none,73.1166915894,0,73.1166915894,73.1166915894,73.5598220825,0,73.5598220825,73.5598220825,1
2,52,4,0.001,0.0001,0.25,none,72.9689788818,0,72.9689788818,72.9689788818,73.8552474976,0,73.8552474976,73.8552474976,1
3,58,4,0.001,0.01,0.25,none,72.9689788818,0,72.9689788818,72.9689788818,73.5598220825,0,73.5598220825,73.5598220825,1
4,49,4,0.001,0,0.25,none,72.6735610962,0,72.6735610962,72.6735610962,73.8552474976,0,73.8552474976,73.8552474976,1
5,13,2,0.001,0,0.25,none,71.7873001099,0,71.7873001099,71.7873001099,72.0827178955,0,72.0827178955,72.0827178955,1
6,16,2,0.001,0.0001,0.25,none,71.7873001099,0,71.7873001099,71.7873001099,71.935005188,0,71.935005188,71.935005188,1
7,2,2,0.01,0,0.5,none,71.3441619873,0,71.3441619873,71.3441619873,74.2983779907,0,74.2983779907,74.2983779907,1
8,22,2,0.001,0.01,0.25,none,71.3441619873,0,71.3441619873,71.3441619873,71.7873001099,0,71.7873001099,71.7873001099,1
9,17,2,0.001,0.0001,0.5,none,71.1964569092,0,71.1964569092,71.1964569092,72.5258483887,0,72.5258483887,72.5258483887,1
10,20,2,0.001,0.001,0.5,none,71.1964569092,0,71.1964569092,71.1964569092,72.6735610962,0,72.6735610962,72.6735610962,1
11,70,4,0.0001,0.01,0.25,none,71.1964569092,0,71.1964569092,71.1964569092,71.935005188,0,71.935005188,71.935005188,1
12,19,2,0.001,0.001,0.25,none,71.0487442017,0,71.0487442017,71.0487442017,71.4918746948,0,71.4918746948,71.4918746948,1
13,23,2,0.001,0.01,0.5,none,70.9010314941,0,70.9010314941,70.9010314941,72.5258483887,0,72.5258483887,72.5258483887,1
14,8,2,0.01,0.001,0.5,none,70.753326416,0,70.753326416,70.753326416,75.1846389771,0,75.1846389771,75.1846389771,1
15,61,4,0.0001,0,0.25,none,70.753326416,0,70.753326416,70.753326416,71.7873001099,0,71.7873001099,71.7873001099,1
16,53,4,0.001,0.0001,0.5,none,70.6056137085,0,70.6056137085,70.6056137085,68.2422485352,0,68.2422485352,68.2422485352,1
17,56,4,0.001,0.001,0.5,none,70.6056137085,0,70.6056137085,70.6056137085,68.2422485352,0,68.2422485352,68.2422485352,1
18,59,4,0.001,0.01,0.5,none,70.6056137085,0,70.6056137085,70.6056137085,68.2422485352,0,68.2422485352,68.2422485352,1
19,64,4,0.0001,0.0001,0.25,none,70.6056137085,0,70.6056137085,70.6056137085,71.6395874023,0,71.6395874023,71.6395874023,1
20,67,4,0.0001,0.001,0.25,none,70.6056137085,0,70.6056137085,70.6056137085,71.4918746948,0,71.4918746948,71.4918746948,1
21,14,2,0.001,0,0.5,none,70.3101959229,0,70.3101959229,70.3101959229,72.6735610962,0,72.6735610962,72.6735610962,1
22,50,4,0.001,0,0.5,none,70.1624832153,0,70.1624832153,70.1624832153,68.6853790283,0,68.6853790283,68.6853790283,1
23,5,2,0.01,0.0001,0.5,none,70.0147705078,0,70.0147705078,70.0147705078,74.0029525757,0,74.0029525757,74.0029525757,1
24,11,2,0.01,0.01,0.5,none,70.0147705078,0,70.0147705078,70.0147705078,75.0369262695,0,75.0369262695,75.0369262695,1
25,88,8,0.001,0.0001,0.25,none,69.8670578003,0,69.8670578003,69.8670578003,70.0147705078,0,70.0147705078,70.0147705078,1
26,91,8,0.001,0.001,0.25,none,69.8670578003,0,69.8670578003,69.8670578003,70.0147705078,0,70.0147705078,70.0147705078,1
27,94,8,0.001,0.01,0.25,none,69.8670578003,0,69.8670578003,69.8670578003,70.0147705078,0,70.0147705078,70.0147705078,1
28,100,8,0.0001,0.0001,0.25,none,69.8670578003,0,69.8670578003,69.8670578003,68.5376663208,0,68.5376663208,68.5376663208,1
29,103,8,0.0001,0.001,0.25,none,69.8670578003,0,69.8670578003,69.8670578003,68.3899536133,0,68.3899536133,68.3899536133,1
