rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,118,16,0.01,0.01,0.25,none,81.6838989258,0,81.6838989258,81.6838989258,84.7858200073,0,84.7858200073,84.7858200073,1
2,83,8,0.01,0.01,0.5,none,80.0590820312,0,80.0590820312,80.0590820312,83.7518463135,0,83.7518463135,83.7518463135,1
3,119,16,0.01,0.01,0.5,none,79.9113769531,0,79.9113769531,79.9113769531,83.1610031128,0,83.1610031128,83.1610031128,1
4,132,16,0.001,0.01,0.75,none,79.9113769531,0,79.9113769531,79.9113769531,83.4564208984,0,83.4564208984,83.4564208984,1
5,47,4,0.01,0.01,0.5,none,79.6159515381,0,79.6159515381,79.6159515381,84.9335327148,0,84.9335327148,84.9335327148,1
6,84,8,0.01,0.01,0.75,none,79.4682388306,0,79.4682388306,79.4682388306,84.0472640991,0,84.0472640991,84.0472640991,1
7,82,8,0.01,0.01,0.25,none,79.3205337524,0,79.3205337524,79.3205337524,82.2747421265,0,82.2747421265,82.2747421265,1
8,121,16,0.001,0,0.25,none,79.0251083374,0,79.0251083374,79.0251083374,79.0251083374,0,79.0251083374,79.0251083374,1
9,124,16,0.001,0.0001,0.25,none,79.0251083374,0,79.0251083374,79.0251083374,79.3205337524,0,79.3205337524,79.3205337524,1
10,127,16,0.001,0.001,0.25,none,79.0251083374,0,79.0251083374,79.0251083374,79.3205337524,0,79.3205337524,79.3205337524,1
11,130,16,0.001,0.01,0.25,none,79.0251083374,0,79.0251083374,79.0251083374,79.3205337524,0,79.3205337524,79.3205337524,1
12,136,16,0.0001,0.0001,0.25,none,79.0251083374,0,79.0251083374,79.0251083374,79.6159515381,0,79.6159515381,79.6159515381,1
13,139,16,0.0001,0.001,0.25,none,79.0251083374,0,79.0251083374,79.0251083374,79.7636642456,0,79.7636642456,79.7636642456,1
14,142,16,0.0001,0.01,0.25,none,79.0251083374,0,79.0251083374,79.0251083374,79.6159515381,0,79.6159515381,79.6159515381,1
15,134,16,0.0001,0,0.5,none,78.5819778442,0,78.5819778442,78.5819778442,79.7636642456,0,79.7636642456,79.7636642456,1
16,137,16,0.0001,0.0001,0.5,none,78.5819778442,0,78.5819778442,78.5819778442,79.7636642456,0,79.7636642456,79.7636642456,1
17,140,16,0.0001,0.001,0.5,none,78.5819778442,0,78.5819778442,78.5819778442,79.7636642456,0,79.7636642456,79.7636642456,1
18,143,16,0.0001,0.01,0.5,none,78.5819778442,0,78.5819778442,78.5819778442,79.7636642456,0,79.7636642456,79.7636642456,1
19,133,16,0.0001,0,0.25,none,78.4342651367,0,78.4342651367,78.4342651367,79.1728210449,0,79.1728210449,79.1728210449,1
20,135,16,0.0001,0,0.75,none,78.4342651367,0,78.4342651367,78.4342651367,79.7636642456,0,79.7636642456,79.7636642456,1
21,12,2,0.01,0.01,0.75,none,78.2865600586,0,78.2865600586,78.2865600586,81.8316116333,0,81.8316116333,81.8316116333,1
22,138,16,0.0001,0.0001,0.75,none,78.2865600586,0,78.2865600586,78.2865600586,79.9113769531,0,79.9113769531,79.9113769531,1
23,141,16,0.0001,0.001,0.75,none,78.2865600586,0,78.2865600586,78.2865600586,79.9113769531,0,79.9113769531,79.9113769531,1
