rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,2,2,0.01,0,0.5,none,71.935005188,0,71.935005188,71.935005188,74.5937957764,0,74.5937957764,74.5937957764,1
2,8,2,0.01,0.001,0.5,none,71.3441619873,0,71.3441619873,71.3441619873,73.412109375,0,73.412109375,73.412109375,1
3,11,2,0.01,0.01,0.5,none,71.1964569092,0,71.1964569092,71.1964569092,74.889213562,0,74.889213562,74.889213562,1
4,5,2,0.01,0.0001,0.5,none,70.9010314941,0,70.9010314941,70.9010314941,73.70753479,0,73.70753479,73.70753479,1
5,22,2,0.001,0.01,0.25,none,70.457901001,0,70.457901001,70.457901001,74.1506652832,0,74.1506652832,74.1506652832,1
6,13,2,0.001,0,0.25,none,70.1624832153,0,70.1624832153,70.1624832153,73.5598220825,0,73.5598220825,73.5598220825,1
7,16,2,0.001,0.0001,0.25,none,70.0147705078,0,70.0147705078,70.0147705078,72.9689788818,0,72.9689788818,72.9689788818,1
8,19,2,0.001,0.001,0.25,none,69.8670578003,0,69.8670578003,69.8670578003,74.0029525757,0,74.0029525757,74.0029525757,1
9,40,4,0.01,0.0001,0.25,none,69.8670578003,0,69.8670578003,69.8670578003,72.6735610962,0,72.6735610962,72.6735610962,1
10,14,2,0.001,0,0.5,none,69.1285095215,0,69.1285095215,69.1285095215,71.3441619873,0,71.3441619873,71.3441619873,1
11,23,2,0.001,0.01,0.5,none,68.980796814,0,68.980796814,68.980796814,71.0487442017,0,71.0487442017,71.0487442017,1
12,37,4,0.01,0,0.25,none,68.980796814,0,68.980796814,68.980796814,72.6735610962,0,72.6735610962,72.6735610962,1
13,17,2,0.001,0.0001,0.5,none,68.8330841064,0,68.8330841064,68.8330841064,70.753326416,0,70.753326416,70.753326416,1
14,20,2,0.001,0.001,0.5,none,68.8330841064,0,68.8330841064,68.8330841064,71.0487442017,0,71.0487442017,71.0487442017,1
15,58,4,0.001,0.01,0.25,none,67.6514053345,0,67.6514053345,67.6514053345,68.980796814,0,68.980796814,68.980796814,1
16,52,4,0.001,0.0001,0.25,none,67.503692627,0,67.503692627,67.503692627,68.980796814,0,68.980796814,68.980796814,1
17,55,4,0.001,0.001,0.25,none,67.503692627,0,67.503692627,67.503692627,68.980796814,0,68.980796814,68.980796814,1
18,43,4,0.01,0.001,0.25,none,67.3559799194,0,67.3559799194,67.3559799194,71.0487442017,0,71.0487442017,71.0487442017,1
19,46,4,0.01,0.01,0.25,none,67.3559799194,0,67.3559799194,67.3559799194,71.0487442017,0,71.0487442017,71.0487442017,1
20,49,4,0.001,0,0.25,none,67.3559799194,0,67.3559799194,67.3559799194,68.3899536133,0,68.3899536133,68.3899536133,1
21,61,4,0.0001,0,0.25,none,65.8788757324,0,65.8788757324,65.8788757324,65.7311706543,0,65.7311706543,65.7311706543,1
22,64,4,0.0001,0.0001,0.25,none,65.8788757324,0,65.8788757324,65.8788757324,66.4697189331,0,66.4697189331,66.4697189331,1
23,67,4,0.0001,0.001,0.25,none,65.8788757324,0,65.8788757324,65.8788757324,65.5834579468,0,65.5834579468,65.5834579468,1
24,70,4,0.0001,0.01,0.25,none,65.8788757324,0,65.8788757324,65.8788757324,65.5834579468,0,65.5834579468,65.5834579468,1
25,38,4,0.01,0,0.5,none,65.7311706543,0,65.7311706543,65.7311706543,67.0605621338,0,67.0605621338,67.0605621338,1
26,53,4,0.001,0.0001,0.5,none,65.5834579468,0,65.5834579468,65.5834579468,68.980796814,0,68.980796814,68.980796814,1
27,56,4,0.001,0.001,0.5,none,65.5834579468,0,65.5834579468,65.5834579468,68.980796814,0,68.980796814,68.980796814,1
28,59,4,0.001,0.01,0.5,none,65.5834579468,0,65.5834579468,65.5834579468,68.980796814,0,68.980796814,68.980796814,1
29,25,2,0.0001,0,0.25,none,65.4357452393,0,65.4357452393,65.4357452393,68.2422485352,0,68.2422485352,68.2422485352,1
30,50,4,0.001,0,0.5,none,65.4357452393,0,65.4357452393,65.4357452393,67.0605621338,0,67.0605621338,67.0605621338,1
31,31,2,0.0001,0.001,0.25,none,65.2880401611,0,65.2880401611,65.2880401611,67.799118042,0,67.799118042,67.799118042,1
32,28,2,0.0001,0.0001,0.25,none,65.1403274536,0,65.1403274536,65.1403274536,68.2422485352,0,68.2422485352,68.2422485352,1
33,34,2,0.0001,0.01,0.25,none,65.1403274536,0,65.1403274536,65.1403274536,67.799118042,0,67.799118042,67.799118042,1
34,41,4,0.01,0.0001,0.5,none,65.1403274536,0,65.1403274536,65.1403274536,66.7651443481,0,66.7651443481,66.7651443481,1
35,73,8,0.01,0,0.25,none,65.1403274536,0,65.1403274536,65.1403274536,65.5834579468,0,65.5834579468,65.5834579468,1
36,44,4,0.01,0.001,0.5,none,64.9926147461,0,64.9926147461,64.9926147461,66.7651443481,0,66.7651443481,66.7651443481,1
37,47,4,0.01,0.01,0.5,none,64.9926147461,0,64.9926147461,64.9926147461,66.7651443481,0,66.7651443481,66.7651443481,1
38,3,2,0.01,0,0.75,none,64.8449020386,0,64.8449020386,64.8449020386,66.4697189331,0,66.4697189331,66.4697189331,1
39,29,2,0.0001,0.0001,0.5,none,64.6971969604,0,64.6971969604,64.6971969604,67.2082748413,0,67.2082748413,67.2082748413,1
40,26,2,0.0001,0,0.5,none,64.5494842529,0,64.5494842529,64.5494842529,67.6514053345,0,67.6514053345,67.6514053345,1
41,35,2,0.0001,0.01,0.5,none,64.5494842529,0,64.5494842529,64.5494842529,67.6514053345,0,67.6514053345,67.6514053345,1
42,32,2,0.0001,0.001,0.5,none,64.4017715454,0,64.4017715454,64.4017715454,67.6514053345,0,67.6514053345,67.6514053345,1
43,9,2,0.01,0.001,0.75,none,64.2540664673,0,64.2540664673,64.2540664673,64.6971969604,0,64.6971969604,64.6971969604,1
44,21,2,0.001,0.001,0.75,none,64.2540664673,0,64.2540664673,64.2540664673,62.9246635437,0,62.9246635437,62.9246635437,1
45,24,2,0.001,0.01,0.75,none,64.1063537598,0,64.1063537598,64.1063537598,62.9246635437,0,62.9246635437,62.9246635437,1
46,76,8,0.01,0.0001,0.25,none,63.9586372375,0,63.9586372375,63.9586372375,66.1743011475,0,66.1743011475,66.1743011475,1
47,79,8,0.01,0.001,0.25,none,63.9586372375,0,63.9586372375,63.9586372375,66.1743011475,0,66.1743011475,66.1743011475,1
48,6,2,0.01,0.0001,0.75,none,63.8109283447,0,63.8109283447,63.8109283447,64.8449020386,0,64.8449020386,64.8449020386,1
49,18,2,0.001,0.0001,0.75,none,63.8109283447,0,63.8109283447,63.8109283447,63.0723762512,0,63.0723762512,63.0723762512,1
50,82,8,0.01,0.01,0.25,none,63.8109283447,0,63.8109283447,63.8109283447,66.0265884399,0,66.0265884399,66.0265884399,1
51,12,2,0.01,0.01,0.75,none,63.5155067444,0,63.5155067444,63.5155067444,65.8788757324,0,65.8788757324,65.8788757324,1
52,15,2,0.001,0,0.75,none,63.5155067444,0,63.5155067444,63.5155067444,62.6292457581,0,62.6292457581,62.6292457581,1
53,94,8,0.001,0.01,0.25,none,63.2200889587,0,63.2200889587,63.2200889587,64.4017715454,0,64.4017715454,64.4017715454,1
54,88,8,0.001,0.0001,0.25,none,63.0723762512,0,63.0723762512,63.0723762512,64.4017715454,0,64.4017715454,64.4017715454,1
55,91,8,0.001,0.001,0.25,none,63.0723762512,0,63.0723762512,63.0723762512,64.4017715454,0,64.4017715454,64.4017715454,1
56,85,8,0.001,0,0.25,none,62.9246635437,0,62.9246635437,62.9246635437,64.2540664673,0,64.2540664673,64.2540664673,1
57,62,4,0.0001,0,0.5,none,62.7769546509,0,62.7769546509,62.7769546509,63.8109283447,0,63.8109283447,63.8109283447,1
58,65,4,0.0001,0.0001,0.5,none,62.6292457581,0,62.6292457581,62.6292457581,64.4017715454,0,64.4017715454,64.4017715454,1
59,68,4,0.0001,0.001,0.5,none,62.6292457581,0,62.6292457581,62.6292457581,63.9586372375,0,63.9586372375,63.9586372375,1
60,71,4,0.0001,0.01,0.5,none,62.6292457581,0,62.6292457581,62.6292457581,63.8109283447,0,63.8109283447,63.8109283447,1
61,74,8,0.01,0,0.5,none,62.6292457581,0,62.6292457581,62.6292457581,65.1403274536,0,65.1403274536,65.1403274536,1
62,77,8,0.01,0.0001,0.5,none,62.6292457581,0,62.6292457581,62.6292457581,65.2880401611,0,65.2880401611,65.2880401611,1
63,80,8,0.01,0.001,0.5,none,62.6292457581,0,62.6292457581,62.6292457581,64.8449020386,0,64.8449020386,64.8449020386,1
64,83,8,0.01,0.01,0.5,none,62.6292457581,0,62.6292457581,62.6292457581,65.1403274536,0,65.1403274536,65.1403274536,1
65,97,8,0.0001,0,0.25,none,61.0044288635,0,61.0044288635,61.0044288635,59.9704551697,0,59.9704551697,59.9704551697,1
66,100,8,0.0001,0.0001,0.25,none,61.0044288635,0,61.0044288635,61.0044288635,60.1181678772,0,60.1181678772,60.1181678772,1
67,103,8,0.0001,0.001,0.25,none,61.0044288635,0,61.0044288635,61.0044288635,60.1181678772,0,60.1181678772,60.1181678772,1
68,106,8,0.0001,0.01,0.25,none,60.856716156,0,60.856716156,60.856716156,59.9704551697,0,59.9704551697,59.9704551697,1
69,51,4,0.001,0,0.75,none,59.5273246765,0,59.5273246765,59.5273246765,59.5273246765,0,59.5273246765,59.5273246765,1
70,57,4,0.001,0.001,0.75,none,59.379611969,0,59.379611969,59.379611969,59.5273246765,0,59.5273246765,59.5273246765,1
71,60,4,0.001,0.01,0.75,none,59.379611969,0,59.379611969,59.379611969,59.5273246765,0,59.5273246765,59.5273246765,1
72,54,4,0.001,0.0001,0.75,none,59.2319068909,0,59.2319068909,59.2319068909,59.5273246765,0,59.5273246765,59.5273246765,1
73,36,2,0.0001,0.01,0.75,none,58.6410636902,0,58.6410636902,58.6410636902,60.1181678772,0,60.1181678772,60.1181678772,1
74,39,4,0.01,0,0.75,none,58.6410636902,0,58.6410636902,58.6410636902,61.4475593567,0,61.4475593567,61.4475593567,1
