rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,84,8,0.01,0.01,0.75,none,81.6838989258,0,81.6838989258,81.6838989258,82.8655853271,0,82.8655853271,82.8655853271,1
2,118,16,0.01,0.01,0.25,none,81.3884811401,0,81.3884811401,81.3884811401,84.3426895142,0,84.3426895142,84.3426895142,1
3,120,16,0.01,0.01,0.75,none,81.0930557251,0,81.0930557251,81.0930557251,83.604133606,0,83.604133606,83.604133606,1
4,83,8,0.01,0.01,0.5,none,80.6499252319,0,80.6499252319,80.6499252319,83.7518463135,0,83.7518463135,83.7518463135,1
5,119,16,0.01,0.01,0.5,none,80.2067947388,0,80.2067947388,80.2067947388,82.7178726196,0,82.7178726196,82.7178726196,1
6,132,16,0.001,0.01,0.75,none,80.2067947388,0,80.2067947388,80.2067947388,83.1610031128,0,83.1610031128,83.1610031128,1
7,138,16,0.0001,0.0001,0.75,none,79.3205337524,0,79.3205337524,79.3205337524,80.3545074463,0,80.3545074463,80.3545074463,1
8,141,16,0.0001,0.001,0.75,none,79.3205337524,0,79.3205337524,79.3205337524,80.7976379395,0,80.7976379395,80.7976379395,1
9,144,16,0.0001,0.01,0.75,none,79.3205337524,0,79.3205337524,79.3205337524,80.5022125244,0,80.5022125244,80.5022125244,1
10,48,4,0.01,0.01,0.75,none,79.0251083374,0,79.0251083374,79.0251083374,82.8655853271,0,82.8655853271,82.8655853271,1
11,107,8,0.0001,0.01,0.5,none,79.0251083374,0,79.0251083374,79.0251083374,79.0251083374,0,79.0251083374,79.0251083374,1
12,135,16,0.0001,0,0.75,none,79.0251083374,0,79.0251083374,79.0251083374,80.6499252319,0,80.6499252319,80.6499252319,1
13,101,8,0.0001,0.0001,0.5,none,78.8774032593,0,78.8774032593,78.8774032593,79.3205337524,0,79.3205337524,79.3205337524,1
14,104,8,0.0001,0.001,0.5,none,78.8774032593,0,78.8774032593,78.8774032593,79.3205337524,0,79.3205337524,79.3205337524,1
15,105,8,0.0001,0.001,0.75,none,78.8774032593,0,78.8774032593,78.8774032593,79.3205337524,0,79.3205337524,79.3205337524,1
16,108,8,0.0001,0.01,0.75,none,78.8774032593,0,78.8774032593,78.8774032593,79.0251083374,0,79.0251083374,79.0251083374,1
17,113,16,0.01,0.0001,0.5,none,78.8774032593,0,78.8774032593,78.8774032593,82.2747421265,0,82.2747421265,82.2747421265,1
18,140,16,0.0001,0.001,0.5,none,78.8774032593,0,78.8774032593,78.8774032593,80.5022125244,0,80.5022125244,80.5022125244,1
19,143,16,0.0001,0.01,0.5,none,78.8774032593,0,78.8774032593,78.8774032593,80.5022125244,0,80.5022125244,80.5022125244,1
20,12,2,0.01,0.01,0.75,none,78.7296905518,0,78.7296905518,78.7296905518,81.5361862183,0,81.5361862183,81.5361862183,1
21,116,16,0.01,0.001,0.5,none,78.7296905518,0,78.7296905518,78.7296905518,82.8655853271,0,82.8655853271,82.8655853271,1
22,117,16,0.01,0.001,0.75,none,78.7296905518,0,78.7296905518,78.7296905518,81.6838989258,0,81.6838989258,81.6838989258,1
23,131,16,0.001,0.01,0.5,none,78.7296905518,0,78.7296905518,78.7296905518,79.1728210449,0,79.1728210449,79.1728210449,1
24,137,16,0.0001,0.0001,0.5,none,78.7296905518,0,78.7296905518,78.7296905518,80.3545074463,0,80.3545074463,80.3545074463,1
25,11,2,0.01,0.01,0.5,none,78.5819778442,0,78.5819778442,78.5819778442,82.1270294189,0,82.1270294189,82.1270294189,1
26,102,8,0.0001,0.0001,0.75,none,78.5819778442,0,78.5819778442,78.5819778442,79.0251083374,0,79.0251083374,79.0251083374,1
27,125,16,0.001,0.0001,0.5,none,78.5819778442,0,78.5819778442,78.5819778442,79.3205337524,0,79.3205337524,79.3205337524,1
28,128,16,0.001,0.001,0.5,none,78.5819778442,0,78.5819778442,78.5819778442,79.3205337524,0,79.3205337524,79.3205337524,1
29,99,8,0.0001,0,0.75,none,78.4342651367,0,78.4342651367,78.4342651367,79.3205337524,0,79.3205337524,79.3205337524,1
30,126,16,0.001,0.0001,0.75,none,78.2865600586,0,78.2865600586,78.2865600586,78.7296905518,0,78.7296905518,78.7296905518,1
31,129,16,0.001,0.001,0.75,none,78.2865600586,0,78.2865600586,78.2865600586,78.7296905518,0,78.7296905518,78.7296905518,1
32,134,16,0.0001,0,0.5,none,78.1388473511,0,78.1388473511,78.1388473511,78.8774032593,0,78.8774032593,78.8774032593,1
33,139,16,0.0001,0.001,0.25,none,78.1388473511,0,78.1388473511,78.1388473511,79.1728210449,0,79.1728210449,79.1728210449,1
34,142,16,0.0001,0.01,0.25,none,78.1388473511,0,78.1388473511,78.1388473511,79.1728210449,0,79.1728210449,79.1728210449,1
35,124,16,0.001,0.0001,0.25,none,77.9911346436,0,77.9911346436,77.9911346436,78.7296905518,0,78.7296905518,78.7296905518,1
36,127,16,0.001,0.001,0.25,none,77.9911346436,0,77.9911346436,77.9911346436,78.7296905518,0,78.7296905518,78.7296905518,1
37,130,16,0.001,0.01,0.25,none,77.9911346436,0,77.9911346436,77.9911346436,78.8774032593,0,78.8774032593,78.8774032593,1
38,136,16,0.0001,0.0001,0.25,none,77.9911346436,0,77.9911346436,77.9911346436,79.1728210449,0,79.1728210449,79.1728210449,1
39,110,16,0.01,0,0.5,none,77.8434295654,0,77.8434295654,77.8434295654,80.9453430176,0,80.9453430176,80.9453430176,1
40,121,16,0.001,0,0.25,none,77.8434295654,0,77.8434295654,77.8434295654,78.7296905518,0,78.7296905518,78.7296905518,1
41,133,16,0.0001,0,0.25,none,77.8434295654,0,77.8434295654,77.8434295654,78.7296905518,0,78.7296905518,78.7296905518,1
42,123,16,0.001,0,0.75,none,77.6957168579,0,77.6957168579,77.6957168579,79.1728210449,0,79.1728210449,79.1728210449,1
