rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,73,8,0.01,0,0.25,none,84.5285110474,0,84.5285110474,84.5285110474,84.3026504517,0,84.3026504517,84.3026504517,1
2,76,8,0.01,0.0001,0.25,none,84.4720458984,0,84.4720458984,84.4720458984,84.3026504517,0,84.3026504517,84.3026504517,1
3,79,8,0.01,0.001,0.25,none,84.4720458984,0,84.4720458984,84.4720458984,84.3026504517,0,84.3026504517,84.3026504517,1
4,82,8,0.01,0.01,0.25,none,84.4720458984,0,84.4720458984,84.4720458984,84.3026504517,0,84.3026504517,84.3026504517,1
5,85,8,0.001,0,0.25,none,83.3992080688,0,83.3992080688,83.3992080688,81.7052459717,0,81.7052459717,81.7052459717,1
6,88,8,0.001,0.0001,0.25,none,83.3992080688,0,83.3992080688,83.3992080688,81.7052459717,0,81.7052459717,81.7052459717,1
7,91,8,0.001,0.001,0.25,none,83.3992080688,0,83.3992080688,83.3992080688,81.7052459717,0,81.7052459717,81.7052459717,1
8,94,8,0.001,0.01,0.25,none,83.3992080688,0,83.3992080688,83.3992080688,81.7052459717,0,81.7052459717,81.7052459717,1
9,37,4,0.01,0,0.25,none,83.1733474731,0,83.1733474731,83.1733474731,82.3263702393,0,82.3263702393,82.3263702393,1
10,40,4,0.01,0.0001,0.25,none,83.1168823242,0,83.1168823242,83.1168823242,82.2698974609,0,82.2698974609,82.2698974609,1
11,43,4,0.01,0.001,0.25,none,83.1168823242,0,83.1168823242,83.1168823242,82.2698974609,0,82.2698974609,82.2698974609,1
12,46,4,0.01,0.01,0.25,none,83.1168823242,0,83.1168823242,83.1168823242,82.2698974609,0,82.2698974609,82.2698974609,1
13,49,4,0.001,0,0.25,none,82.3828353882,0,82.3828353882,82.3828353882,80.5759429932,0,80.5759429932,80.5759429932,1
14,52,4,0.001,0.0001,0.25,none,82.3828353882,0,82.3828353882,82.3828353882,80.5759429932,0,80.5759429932,80.5759429932,1
15,55,4,0.001,0.001,0.25,none,82.3828353882,0,82.3828353882,82.3828353882,80.5759429932,0,80.5759429932,80.5759429932,1
16,58,4,0.001,0.01,0.25,none,82.3828353882,0,82.3828353882,82.3828353882,80.5759429932,0,80.5759429932,80.5759429932,1
17,38,4,0.01,0,0.5,none,82.0440444946,0,82.0440444946,82.0440444946,81.5358505249,0,81.5358505249,81.5358505249,1
18,41,4,0.01,0.0001,0.5,none,81.9875793457,0,81.9875793457,81.9875793457,81.5923233032,0,81.5923233032,81.5923233032,1
19,44,4,0.01,0.001,0.5,none,81.9875793457,0,81.9875793457,81.9875793457,81.5923233032,0,81.5923233032,81.5923233032,1
20,47,4,0.01,0.01,0.5,none,81.9875793457,0,81.9875793457,81.9875793457,81.5923233032,0,81.5923233032,81.5923233032,1
21,8,2,0.01,0.001,0.5,none,81.4229278564,0,81.4229278564,81.4229278564,78.8819885254,0,78.8819885254,78.8819885254,1
22,11,2,0.01,0.01,0.5,none,81.3664550781,0,81.3664550781,81.3664550781,78.6561279297,0,78.6561279297,78.6561279297,1
23,16,2,0.001,0.0001,0.25,none,81.1405944824,0,81.1405944824,81.1405944824,78.430267334,0,78.430267334,78.430267334,1
24,19,2,0.001,0.001,0.25,none,81.1405944824,0,81.1405944824,81.1405944824,78.430267334,0,78.430267334,78.430267334,1
25,22,2,0.001,0.01,0.25,none,81.1405944824,0,81.1405944824,81.1405944824,78.430267334,0,78.430267334,78.430267334,1
26,13,2,0.001,0,0.25,none,80.8582687378,0,80.8582687378,80.8582687378,78.5996627808,0,78.5996627808,78.5996627808,1
27,1,2,0.01,0,0.25,none,80.2936172485,0,80.2936172485,80.2936172485,77.8091430664,0,77.8091430664,77.8091430664,1
28,17,2,0.001,0.0001,0.5,none,80.1806869507,0,80.1806869507,80.1806869507,78.2044067383,0,78.2044067383,78.2044067383,1
