rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,135,16,0.0001,0,0.75,none,87.8034973145,0,87.8034973145,87.8034973145,86.2224731445,0,86.2224731445,86.2224731445,1
2,141,16,0.0001,0.001,0.75,none,87.8034973145,0,87.8034973145,87.8034973145,86.1660079956,0,86.1660079956,86.1660079956,1
3,138,16,0.0001,0.0001,0.75,none,87.7470321655,0,87.7470321655,87.7470321655,86.2224731445,0,86.2224731445,86.2224731445,1
4,128,16,0.001,0.001,0.5,none,87.6905670166,0,87.6905670166,87.6905670166,85.4884185791,0,85.4884185791,85.4884185791,1
5,144,16,0.0001,0.01,0.75,none,87.5776443481,0,87.5776443481,87.5776443481,86.1660079956,0,86.1660079956,86.1660079956,1
6,133,16,0.0001,0,0.25,none,87.5211715698,0,87.5211715698,87.5211715698,86.5612640381,0,86.5612640381,86.5612640381,1
7,134,16,0.0001,0,0.5,none,87.5211715698,0,87.5211715698,87.5211715698,85.9401473999,0,85.9401473999,85.9401473999,1
8,136,16,0.0001,0.0001,0.25,none,87.5211715698,0,87.5211715698,87.5211715698,86.2224731445,0,86.2224731445,86.2224731445,1
9,137,16,0.0001,0.0001,0.5,none,87.5211715698,0,87.5211715698,87.5211715698,85.9966125488,0,85.9966125488,85.9966125488,1
10,139,16,0.0001,0.001,0.25,none,87.5211715698,0,87.5211715698,87.5211715698,86.2224731445,0,86.2224731445,86.2224731445,1
11,142,16,0.0001,0.01,0.25,none,87.5211715698,0,87.5211715698,87.5211715698,86.2224731445,0,86.2224731445,86.2224731445,1
12,143,16,0.0001,0.01,0.5,none,87.5211715698,0,87.5211715698,87.5211715698,86.0530700684,0,86.0530700684,86.0530700684,1
13,96,8,0.001,0.01,0.75,none,87.4647064209,0,87.4647064209,87.4647064209,86.1095428467,0,86.1095428467,86.1095428467,1
14,140,16,0.0001,0.001,0.5,none,87.4647064209,0,87.4647064209,87.4647064209,86.0530700684,0,86.0530700684,86.0530700684,1
15,125,16,0.001,0.0001,0.5,none,87.408241272,0,87.408241272,87.408241272,85.2061004639,0,85.2061004639,85.2061004639,1
16,124,16,0.001,0.0001,0.25,none,87.2388458252,0,87.2388458252,87.2388458252,85.6013565063,0,85.6013565063,85.6013565063,1
17,121,16,0.001,0,0.25,none,87.1823806763,0,87.1823806763,87.1823806763,85.6013565063,0,85.6013565063,85.6013565063,1
18,131,16,0.001,0.01,0.5,none,87.1823806763,0,87.1823806763,87.1823806763,85.4319610596,0,85.4319610596,85.4319610596,1
19,93,8,0.001,0.001,0.75,none,87.1259155273,0,87.1259155273,87.1259155273,86.1095428467,0,86.1095428467,86.1095428467,1
20,122,16,0.001,0,0.5,none,87.1259155273,0,87.1259155273,87.1259155273,85.0931625366,0,85.0931625366,85.0931625366,1
21,130,16,0.001,0.01,0.25,none,87.1259155273,0,87.1259155273,87.1259155273,85.6578140259,0,85.6578140259,85.6578140259,1
22,87,8,0.001,0,0.75,none,87.0694503784,0,87.0694503784,87.0694503784,85.9401473999,0,85.9401473999,85.9401473999,1
23,127,16,0.001,0.001,0.25,none,86.8435897827,0,86.8435897827,86.8435897827,85.4884185791,0,85.4884185791,85.4884185791,1
24,11,2,0.01,0.01,0.5,none,86.7306594849,0,86.7306594849,86.7306594849,85.1496353149,0,85.1496353149,85.1496353149,1
25,108,8,0.0001,0.01,0.75,none,86.617729187,0,86.617729187,86.617729187,84.8108444214,0,84.8108444214,84.8108444214,1
26,95,8,0.001,0.01,0.5,none,86.5612640381,0,86.5612640381,86.5612640381,84.9237670898,0,84.9237670898,84.9237670898,1
27,123,16,0.001,0,0.75,none,86.5612640381,0,86.5612640381,86.5612640381,85.3190231323,0,85.3190231323,85.3190231323,1
28,118,16,0.01,0.01,0.25,none,86.5047988892,0,86.5047988892,86.5047988892,85.1496353149,0,85.1496353149,85.1496353149,1
29,99,8,0.0001,0,0.75,none,86.0530700684,0,86.0530700684,86.0530700684,84.3591156006,0,84.3591156006,84.3591156006,1
30,102,8,0.0001,0.0001,0.75,none,86.0530700684,0,86.0530700684,86.0530700684,84.3591156006,0,84.3591156006,84.3591156006,1
31,105,8,0.0001,0.001,0.75,none,86.0530700684,0,86.0530700684,86.0530700684,84.3026504517,0,84.3026504517,84.3026504517,1
32,10,2,0.01,0.01,0.25,none,85.9401473999,0,85.9401473999,85.9401473999,83.2298126221,0,83.2298126221,83.2298126221,1
33,94,8,0.001,0.01,0.25,none,85.9401473999,0,85.9401473999,85.9401473999,84.2461853027,0,84.2461853027,84.2461853027,1
34,132,16,0.001,0.01,0.75,none,85.9401473999,0,85.9401473999,85.9401473999,84.5285110474,0,84.5285110474,84.5285110474,1
35,98,8,0.0001,0,0.5,none,85.8272171021,0,85.8272171021,85.8272171021,84.3591156006,0,84.3591156006,84.3591156006,1
36,129,16,0.001,0.001,0.75,none,85.8272171021,0,85.8272171021,85.8272171021,84.4155883789,0,84.4155883789,84.4155883789,1
37,90,8,0.001,0.0001,0.75,none,85.7707519531,0,85.7707519531,85.7707519531,84.8108444214,0,84.8108444214,84.8108444214,1
38,104,8,0.0001,0.001,0.5,none,85.7707519531,0,85.7707519531,85.7707519531,84.4720458984,0,84.4720458984,84.4720458984,1
39,107,8,0.0001,0.01,0.5,none,85.7707519531,0,85.7707519531,85.7707519531,84.4720458984,0,84.4720458984,84.4720458984,1
40,101,8,0.0001,0.0001,0.5,none,85.7142868042,0,85.7142868042,85.7142868042,84.4155883789,0,84.4155883789,84.4155883789,1
41,126,16,0.001,0.0001,0.75,none,85.5448913574,0,85.5448913574,85.5448913574,84.3026504517,0,84.3026504517,84.3026504517,1
42,8,2,0.01,0.001,0.5,none,85.3754959106,0,85.3754959106,85.3754959106,83.5121383667,0,83.5121383667,83.5121383667,1
43,85,8,0.001,0,0.25,none,85.3190231323,0,85.3190231323,85.3190231323,83.9638595581,0,83.9638595581,83.9638595581,1
44,88,8,0.001,0.0001,0.25,none,85.3190231323,0,85.3190231323,85.3190231323,83.9638595581,0,83.9638595581,83.9638595581,1
45,91,8,0.001,0.001,0.25,none,85.3190231323,0,85.3190231323,85.3190231323,83.8509292603,0,83.8509292603,83.8509292603,1
46,97,8,0.0001,0,0.25,none,85.2061004639,0,85.2061004639,85.2061004639,82.8910217285,0,82.8910217285,82.8910217285,1
47,100,8,0.0001,0.0001,0.25,none,85.2061004639,0,85.2061004639,85.2061004639,82.8910217285,0,82.8910217285,82.8910217285,1
48,103,8,0.0001,0.001,0.25,none,85.2061004639,0,85.2061004639,85.2061004639,82.8910217285,0,82.8910217285,82.8910217285,1
49,106,8,0.0001,0.01,0.25,none,85.1496353149,0,85.1496353149,85.1496353149,83.286277771,0,83.286277771,83.286277771,1
50,5,2,0.01,0.0001,0.5,none,85.0931625366,0,85.0931625366,85.0931625366,83.5686035156,0,83.5686035156,83.5686035156,1
51,7,2,0.01,0.001,0.25,none,84.8108444214,0,84.8108444214,84.8108444214,82.552230835,0,82.552230835,82.552230835,1
52,2,2,0.01,0,0.5,none,84.6979064941,0,84.6979064941,84.6979064941,83.1168823242,0,83.1168823242,83.1168823242,1
53,58,4,0.001,0.01,0.25,none,84.6414413452,0,84.6414413452,84.6414413452,81.7052459717,0,81.7052459717,81.7052459717,1
54,92,8,0.001,0.001,0.5,none,84.5849838257,0,84.5849838257,84.5849838257,82.7780914307,0,82.7780914307,82.7780914307,1
55,73,8,0.01,0,0.25,none,84.5285110474,0,84.5285110474,84.5285110474,83.3992080688,0,83.3992080688,83.3992080688,1
56,76,8,0.01,0.0001,0.25,none,84.5285110474,0,84.5285110474,84.5285110474,83.3992080688,0,83.3992080688,83.3992080688,1
57,79,8,0.01,0.001,0.25,none,84.5285110474,0,84.5285110474,84.5285110474,83.3992080688,0,83.3992080688,83.3992080688,1
58,82,8,0.01,0.01,0.25,none,84.5285110474,0,84.5285110474,84.5285110474,83.3992080688,0,83.3992080688,83.3992080688,1
59,86,8,0.001,0,0.5,none,84.5285110474,0,84.5285110474,84.5285110474,82.7780914307,0,82.7780914307,82.7780914307,1
60,89,8,0.001,0.0001,0.5,none,84.5285110474,0,84.5285110474,84.5285110474,82.7216262817,0,82.7216262817,82.7216262817,1
61,46,4,0.01,0.01,0.25,none,84.2461853027,0,84.2461853027,84.2461853027,81.4229278564,0,81.4229278564,81.4229278564,1
62,49,4,0.001,0,0.25,none,84.1897201538,0,84.1897201538,84.1897201538,81.2535247803,0,81.2535247803,81.2535247803,1
63,37,4,0.01,0,0.25,none,84.1332550049,0,84.1332550049,84.1332550049,81.5358505249,0,81.5358505249,81.5358505249,1
64,52,4,0.001,0.0001,0.25,none,84.1332550049,0,84.1332550049,84.1332550049,81.4229278564,0,81.4229278564,81.4229278564,1
65,40,4,0.01,0.0001,0.25,none,84.076789856,0,84.076789856,84.076789856,81.479385376,0,81.479385376,81.479385376,1
66,43,4,0.01,0.001,0.25,none,84.076789856,0,84.076789856,84.076789856,81.479385376,0,81.479385376,81.479385376,1
67,55,4,0.001,0.001,0.25,none,84.020324707,0,84.020324707,84.020324707,80.9147338867,0,80.9147338867,80.9147338867,1
68,74,8,0.01,0,0.5,none,84.020324707,0,84.020324707,84.020324707,82.3828353882,0,82.3828353882,82.3828353882,1
69,77,8,0.01,0.0001,0.5,none,84.020324707,0,84.020324707,84.020324707,82.4393005371,0,82.4393005371,82.4393005371,1
70,80,8,0.01,0.001,0.5,none,84.020324707,0,84.020324707,84.020324707,82.4393005371,0,82.4393005371,82.4393005371,1
71,83,8,0.01,0.01,0.5,none,84.020324707,0,84.020324707,84.020324707,82.4957580566,0,82.4957580566,82.4957580566,1
72,38,4,0.01,0,0.5,none,83.9638595581,0,83.9638595581,83.9638595581,83.2298126221,0,83.2298126221,83.2298126221,1
73,41,4,0.01,0.0001,0.5,none,83.9638595581,0,83.9638595581,83.9638595581,83.2298126221,0,83.2298126221,83.2298126221,1
74,44,4,0.01,0.001,0.5,none,83.9638595581,0,83.9638595581,83.9638595581,83.2298126221,0,83.2298126221,83.2298126221,1
75,47,4,0.01,0.01,0.5,none,83.9638595581,0,83.9638595581,83.9638595581,83.2298126221,0,83.2298126221,83.2298126221,1
76,69,4,0.0001,0.001,0.75,none,83.5686035156,0,83.5686035156,83.5686035156,81.9875793457,0,81.9875793457,81.9875793457,1
77,72,4,0.0001,0.01,0.75,none,83.5686035156,0,83.5686035156,83.5686035156,81.9875793457,0,81.9875793457,81.9875793457,1
78,63,4,0.0001,0,0.75,none,83.3992080688,0,83.3992080688,83.3992080688,81.7052459717,0,81.7052459717,81.7052459717,1
79,119,16,0.01,0.01,0.5,none,83.3992080688,0,83.3992080688,83.3992080688,82.4393005371,0,82.4393005371,82.4393005371,1
80,4,2,0.01,0.0001,0.25,none,83.286277771,0,83.286277771,83.286277771,82.3828353882,0,82.3828353882,82.3828353882,1
81,66,4,0.0001,0.0001,0.75,none,83.286277771,0,83.286277771,83.286277771,81.9311065674,0,81.9311065674,81.9311065674,1
82,1,2,0.01,0,0.25,none,83.2298126221,0,83.2298126221,83.2298126221,81.5923233032,0,81.5923233032,81.5923233032,1
83,50,4,0.001,0,0.5,none,83.1168823242,0,83.1168823242,83.1168823242,81.4229278564,0,81.4229278564,81.4229278564,1
84,62,4,0.0001,0,0.5,none,83.0604171753,0,83.0604171753,83.0604171753,80.6324157715,0,80.6324157715,80.6324157715,1
85,68,4,0.0001,0.001,0.5,none,83.0604171753,0,83.0604171753,83.0604171753,80.6324157715,0,80.6324157715,80.6324157715,1
86,53,4,0.001,0.0001,0.5,none,83.0039520264,0,83.0039520264,83.0039520264,80.8582687378,0,80.8582687378,80.8582687378,1
87,59,4,0.001,0.01,0.5,none,83.0039520264,0,83.0039520264,83.0039520264,80.9147338867,0,80.9147338867,80.9147338867,1
88,65,4,0.0001,0.0001,0.5,none,83.0039520264,0,83.0039520264,83.0039520264,80.6324157715,0,80.6324157715,80.6324157715,1
89,71,4,0.0001,0.01,0.5,none,83.0039520264,0,83.0039520264,83.0039520264,80.688873291,0,80.688873291,80.688873291,1
90,56,4,0.001,0.001,0.5,none,82.9474868774,0,82.9474868774,82.9474868774,80.9711990356,0,80.9711990356,80.9711990356,1
91,23,2,0.001,0.01,0.5,none,81.8181838989,0,81.8181838989,81.8181838989,80.0112915039,0,80.0112915039,80.0112915039,1
92,70,4,0.0001,0.01,0.25,none,81.5923233032,0,81.5923233032,81.5923233032,78.8255233765,0,78.8255233765,78.8255233765,1
93,16,2,0.001,0.0001,0.25,none,81.5358505249,0,81.5358505249,81.5358505249,79.5595703125,0,79.5595703125,79.5595703125,1
94,19,2,0.001,0.001,0.25,none,81.5358505249,0,81.5358505249,81.5358505249,79.5595703125,0,79.5595703125,79.5595703125,1
95,22,2,0.001,0.01,0.25,none,81.5358505249,0,81.5358505249,81.5358505249,79.5595703125,0,79.5595703125,79.5595703125,1
96,61,4,0.0001,0,0.25,none,81.5358505249,0,81.5358505249,81.5358505249,78.8255233765,0,78.8255233765,78.8255233765,1
97,64,4,0.0001,0.0001,0.25,none,81.5358505249,0,81.5358505249,81.5358505249,78.8255233765,0,78.8255233765,78.8255233765,1
98,67,4,0.0001,0.001,0.25,none,81.5358505249,0,81.5358505249,81.5358505249,78.8255233765,0,78.8255233765,78.8255233765,1
99,13,2,0.001,0,0.25,none,81.4229278564,0,81.4229278564,81.4229278564,79.5031051636,0,79.5031051636,79.5031051636,1
100,17,2,0.001,0.0001,0.5,none,80.7453384399,0,80.7453384399,80.7453384399,78.5996627808,0,78.5996627808,78.5996627808,1
101,14,2,0.001,0,0.5,none,80.688873291,0,80.688873291,80.688873291,79.1078414917,0,79.1078414917,79.1078414917,1
102,20,2,0.001,0.001,0.5,none,80.6324157715,0,80.6324157715,80.6324157715,78.7690582275,0,78.7690582275,78.7690582275,1
103,57,4,0.001,0.001,0.75,none,79.16431427,0,79.16431427,79.16431427,76.7927703857,0,76.7927703857,76.7927703857,1
104,54,4,0.001,0.0001,0.75,none,79.0513839722,0,79.0513839722,79.0513839722,76.7927703857,0,76.7927703857,76.7927703857,1
105,51,4,0.001,0,0.75,none,78.9949188232,0,78.9949188232,78.9949188232,76.8492355347,0,76.8492355347,76.8492355347,1
106,60,4,0.001,0.01,0.75,none,78.8819885254,0,78.8819885254,78.8819885254,76.7927703857,0,76.7927703857,76.7927703857,1
107,112,16,0.01,0.0001,0.25,none,78.8819885254,0,78.8819885254,78.8819885254,77.1315612793,0,77.1315612793,77.1315612793,1
108,115,16,0.01,0.001,0.25,none,78.8819885254,0,78.8819885254,78.8819885254,77.357421875,0,77.357421875,77.357421875,1
109,109,16,0.01,0,0.25,none,78.7125854492,0,78.7125854492,78.7125854492,77.357421875,0,77.357421875,77.357421875,1
110,35,2,0.0001,0.01,0.5,none,78.091468811,0,78.091468811,78.091468811,76.4539794922,0,76.4539794922,76.4539794922,1
111,29,2,0.0001,0.0001,0.5,none,77.9785385132,0,77.9785385132,77.9785385132,76.7363052368,0,76.7363052368,76.7363052368,1
112,36,2,0.0001,0.01,0.75,none,77.9785385132,0,77.9785385132,77.9785385132,76.2281188965,0,76.2281188965,76.2281188965,1
113,32,2,0.0001,0.001,0.5,none,77.9220733643,0,77.9220733643,77.9220733643,76.623374939,0,76.623374939,76.623374939,1
114,26,2,0.0001,0,0.5,none,77.8656158447,0,77.8656158447,77.8656158447,76.4539794922,0,76.4539794922,76.4539794922,1
115,30,2,0.0001,0.0001,0.75,none,77.8656158447,0,77.8656158447,77.8656158447,76.3975143433,0,76.3975143433,76.3975143433,1
116,33,2,0.0001,0.001,0.75,none,77.8656158447,0,77.8656158447,77.8656158447,76.3410491943,0,76.3410491943,76.3410491943,1
117,48,4,0.01,0.01,0.75,none,77.8656158447,0,77.8656158447,77.8656158447,76.1151885986,0,76.1151885986,76.1151885986,1
118,39,4,0.01,0,0.75,none,77.6962127686,0,77.6962127686,77.6962127686,75.4940719604,0,75.4940719604,75.4940719604,1
119,45,4,0.01,0.001,0.75,none,77.639755249,0,77.639755249,77.639755249,75.6070022583,0,75.6070022583,75.6070022583,1
120,27,2,0.0001,0,0.75,none,77.5832824707,0,77.5832824707,77.5832824707,76.2845840454,0,76.2845840454,76.2845840454,1
121,42,4,0.01,0.0001,0.75,none,77.5832824707,0,77.5832824707,77.5832824707,75.8893280029,0,75.8893280029,75.8893280029,1
122,75,8,0.01,0,0.75,none,76.8492355347,0,76.8492355347,76.8492355347,75.1552734375,0,75.1552734375,75.1552734375,1
123,78,8,0.01,0.0001,0.75,none,76.8492355347,0,76.8492355347,76.8492355347,75.1552734375,0,75.1552734375,75.1552734375,1
124,81,8,0.01,0.001,0.75,none,76.8492355347,0,76.8492355347,76.8492355347,75.1552734375,0,75.1552734375,75.1552734375,1
125,84,8,0.01,0.01,0.75,none,76.8492355347,0,76.8492355347,76.8492355347,75.1552734375,0,75.1552734375,75.1552734375,1
126,25,2,0.0001,0,0.25,none,76.7927703857,0,76.7927703857,76.7927703857,75.2117462158,0,75.2117462158,75.2117462158,1
127,28,2,0.0001,0.0001,0.25,none,76.7927703857,0,76.7927703857,76.7927703857,75.2682113647,0,75.2682113647,75.2682113647,1
128,31,2,0.0001,0.001,0.25,none,76.7927703857,0,76.7927703857,76.7927703857,75.2682113647,0,75.2682113647,75.2682113647,1
129,34,2,0.0001,0.01,0.25,none,76.7927703857,0,76.7927703857,76.7927703857,75.2682113647,0,75.2682113647,75.2682113647,1
130,15,2,0.001,0,0.75,none,76.5104446411,0,76.5104446411,76.5104446411,74.2518386841,0,74.2518386841,74.2518386841,1
131,9,2,0.01,0.001,0.75,none,76.3975143433,0,76.3975143433,76.3975143433,75.098815918,0,75.098815918,75.098815918,1
132,6,2,0.01,0.0001,0.75,none,76.3410491943,0,76.3410491943,76.3410491943,75.1552734375,0,75.1552734375,75.1552734375,1
133,12,2,0.01,0.01,0.75,none,76.3410491943,0,76.3410491943,76.3410491943,75.3246688843,0,75.3246688843,75.3246688843,1
134,18,2,0.001,0.0001,0.75,none,76.2845840454,0,76.2845840454,76.2845840454,73.8565750122,0,73.8565750122,73.8565750122,1
135,3,2,0.01,0,0.75,none,76.1151885986,0,76.1151885986,76.1151885986,75.1552734375,0,75.1552734375,75.1552734375,1
136,21,2,0.001,0.001,0.75,none,76.0587234497,0,76.0587234497,76.0587234497,73.6307144165,0,73.6307144165,73.6307144165,1
137,24,2,0.001,0.01,0.75,none,75.7763977051,0,75.7763977051,75.7763977051,73.5177841187,0,73.5177841187,73.5177841187,1
138,110,16,0.01,0,0.5,none,73.8001098633,0,73.8001098633,73.8001098633,71.0333099365,0,71.0333099365,71.0333099365,1
139,113,16,0.01,0.0001,0.5,none,73.6871871948,0,73.6871871948,73.6871871948,71.3721008301,0,71.3721008301,71.3721008301,1
140,116,16,0.01,0.001,0.5,none,73.6871871948,0,73.6871871948,73.6871871948,71.3721008301,0,71.3721008301,71.3721008301,1
141,111,16,0.01,0,0.75,none,70.2992630005,0,70.2992630005,70.2992630005,68.3229827881,0,68.3229827881,68.3229827881,1
142,114,16,0.01,0.0001,0.75,none,70.2992630005,0,70.2992630005,70.2992630005,68.3229827881,0,68.3229827881,68.3229827881,1
143,117,16,0.01,0.001,0.75,none,70.2992630005,0,70.2992630005,70.2992630005,68.3229827881,0,68.3229827881,68.3229827881,1
