rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,38,4,0.01,0,0.5,none,83.9638595581,0,83.9638595581,83.9638595581,81.9875793457,0,81.9875793457,81.9875793457,1
2,41,4,0.01,0.0001,0.5,none,83.9638595581,0,83.9638595581,83.9638595581,82.0440444946,0,82.0440444946,82.0440444946,1
3,44,4,0.01,0.001,0.5,none,83.9638595581,0,83.9638595581,83.9638595581,82.0440444946,0,82.0440444946,82.0440444946,1
4,47,4,0.01,0.01,0.5,none,83.9638595581,0,83.9638595581,83.9638595581,82.0440444946,0,82.0440444946,82.0440444946,1
5,79,8,0.01,0.001,0.25,none,83.7944641113,0,83.7944641113,83.7944641113,81.3664550781,0,81.3664550781,81.3664550781,1
6,82,8,0.01,0.01,0.25,none,83.7944641113,0,83.7944641113,83.7944641113,81.3664550781,0,81.3664550781,81.3664550781,1
7,76,8,0.01,0.0001,0.25,none,83.7379989624,0,83.7379989624,83.7379989624,81.3664550781,0,81.3664550781,81.3664550781,1
8,73,8,0.01,0,0.25,none,83.6815338135,0,83.6815338135,83.6815338135,82.4957580566,0,82.4957580566,82.4957580566,1
9,37,4,0.01,0,0.25,none,83.5686035156,0,83.5686035156,83.5686035156,81.8746414185,0,81.8746414185,81.8746414185,1
10,40,4,0.01,0.0001,0.25,none,83.4556732178,0,83.4556732178,83.4556732178,81.9875793457,0,81.9875793457,81.9875793457,1
11,43,4,0.01,0.001,0.25,none,83.4556732178,0,83.4556732178,83.4556732178,81.9311065674,0,81.9311065674,81.9311065674,1
12,46,4,0.01,0.01,0.25,none,83.4556732178,0,83.4556732178,83.4556732178,81.9311065674,0,81.9311065674,81.9311065674,1
13,49,4,0.001,0,0.25,none,83.0604171753,0,83.0604171753,83.0604171753,82.1005020142,0,82.1005020142,82.1005020142,1
14,52,4,0.001,0.0001,0.25,none,83.0604171753,0,83.0604171753,83.0604171753,82.1005020142,0,82.1005020142,82.1005020142,1
15,55,4,0.001,0.001,0.25,none,83.0604171753,0,83.0604171753,83.0604171753,82.1005020142,0,82.1005020142,82.1005020142,1
16,58,4,0.001,0.01,0.25,none,83.0604171753,0,83.0604171753,83.0604171753,82.1005020142,0,82.1005020142,82.1005020142,1
17,5,2,0.01,0.0001,0.5,none,82.7216262817,0,82.7216262817,82.7216262817,80.0677566528,0,80.0677566528,80.0677566528,1
18,11,2,0.01,0.01,0.5,none,82.7216262817,0,82.7216262817,82.7216262817,80.1806869507,0,80.1806869507,80.1806869507,1
19,8,2,0.01,0.001,0.5,none,82.6651611328,0,82.6651611328,82.6651611328,80.0677566528,0,80.0677566528,80.0677566528,1
20,2,2,0.01,0,0.5,none,82.6086959839,0,82.6086959839,82.6086959839,80.3500823975,0,80.3500823975,80.3500823975,1
21,85,8,0.001,0,0.25,none,81.8746414185,0,81.8746414185,81.8746414185,80.9147338867,0,80.9147338867,80.9147338867,1
22,88,8,0.001,0.0001,0.25,none,81.8746414185,0,81.8746414185,81.8746414185,80.9711990356,0,80.9711990356,80.9711990356,1
23,91,8,0.001,0.001,0.25,none,81.8746414185,0,81.8746414185,81.8746414185,80.9711990356,0,80.9711990356,80.9711990356,1
24,94,8,0.001,0.01,0.25,none,81.8746414185,0,81.8746414185,81.8746414185,80.9711990356,0,80.9711990356,80.9711990356,1
25,19,2,0.001,0.001,0.25,none,81.7052459717,0,81.7052459717,81.7052459717,80.0677566528,0,80.0677566528,80.0677566528,1
26,22,2,0.001,0.01,0.25,none,81.7052459717,0,81.7052459717,81.7052459717,80.0677566528,0,80.0677566528,80.0677566528,1
