rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,144,16,0.0001,0.01,0.75,none,87.9729003906,0,87.9729003906,87.9729003906,85.9401473999,0,85.9401473999,85.9401473999,1
2,138,16,0.0001,0.0001,0.75,none,87.9164276123,0,87.9164276123,87.9164276123,86.1095428467,0,86.1095428467,86.1095428467,1
3,141,16,0.0001,0.001,0.75,none,87.9164276123,0,87.9164276123,87.9164276123,85.7142868042,0,85.7142868042,85.7142868042,1
4,135,16,0.0001,0,0.75,none,87.8599624634,0,87.8599624634,87.8599624634,85.7707519531,0,85.7707519531,85.7707519531,1
5,140,16,0.0001,0.001,0.5,none,87.8599624634,0,87.8599624634,87.8599624634,85.9966125488,0,85.9966125488,85.9966125488,1
6,134,16,0.0001,0,0.5,none,87.7470321655,0,87.7470321655,87.7470321655,86.1660079956,0,86.1660079956,86.1660079956,1
7,143,16,0.0001,0.01,0.5,none,87.5776443481,0,87.5776443481,87.5776443481,86.2224731445,0,86.2224731445,86.2224731445,1
8,137,16,0.0001,0.0001,0.5,none,87.408241272,0,87.408241272,87.408241272,86.2789382935,0,86.2789382935,86.2789382935,1
9,133,16,0.0001,0,0.25,none,87.2953109741,0,87.2953109741,87.2953109741,85.8272171021,0,85.8272171021,85.8272171021,1
10,136,16,0.0001,0.0001,0.25,none,87.2388458252,0,87.2388458252,87.2388458252,85.8272171021,0,85.8272171021,85.8272171021,1
11,139,16,0.0001,0.001,0.25,none,87.2388458252,0,87.2388458252,87.2388458252,85.8272171021,0,85.8272171021,85.8272171021,1
12,142,16,0.0001,0.01,0.25,none,87.2388458252,0,87.2388458252,87.2388458252,85.8272171021,0,85.8272171021,85.8272171021,1
13,131,16,0.001,0.01,0.5,none,86.3918685913,0,86.3918685913,86.3918685913,85.1496353149,0,85.1496353149,85.1496353149,1
14,130,16,0.001,0.01,0.25,none,86.3354034424,0,86.3354034424,86.3354034424,85.2061004639,0,85.2061004639,85.2061004639,1
15,128,16,0.001,0.001,0.5,none,86.2789382935,0,86.2789382935,86.2789382935,85.1496353149,0,85.1496353149,85.1496353149,1
16,122,16,0.001,0,0.5,none,86.2224731445,0,86.2224731445,86.2224731445,85.7707519531,0,85.7707519531,85.7707519531,1
17,125,16,0.001,0.0001,0.5,none,86.1095428467,0,86.1095428467,86.1095428467,85.4884185791,0,85.4884185791,85.4884185791,1
18,96,8,0.001,0.01,0.75,none,85.8836746216,0,85.8836746216,85.8836746216,84.3591156006,0,84.3591156006,84.3591156006,1
19,132,16,0.001,0.01,0.75,none,85.8272171021,0,85.8272171021,85.8272171021,84.5849838257,0,84.5849838257,84.5849838257,1
20,99,8,0.0001,0,0.75,none,85.7707519531,0,85.7707519531,85.7707519531,83.0039520264,0,83.0039520264,83.0039520264,1
21,108,8,0.0001,0.01,0.75,none,85.7707519531,0,85.7707519531,85.7707519531,83.1733474731,0,83.1733474731,83.1733474731,1
22,127,16,0.001,0.001,0.25,none,85.7707519531,0,85.7707519531,85.7707519531,84.1332550049,0,84.1332550049,84.1332550049,1
23,129,16,0.001,0.001,0.75,none,85.7142868042,0,85.7142868042,85.7142868042,84.9802398682,0,84.9802398682,84.9802398682,1
24,123,16,0.001,0,0.75,none,85.6578140259,0,85.6578140259,85.6578140259,84.4155883789,0,84.4155883789,84.4155883789,1
25,90,8,0.001,0.0001,0.75,none,85.6013565063,0,85.6013565063,85.6013565063,83.8509292603,0,83.8509292603,83.8509292603,1
26,105,8,0.0001,0.001,0.75,none,85.5448913574,0,85.5448913574,85.5448913574,83.0604171753,0,83.0604171753,83.0604171753,1
27,87,8,0.001,0,0.75,none,85.4884185791,0,85.4884185791,85.4884185791,84.076789856,0,84.076789856,84.076789856,1
28,102,8,0.0001,0.0001,0.75,none,85.3754959106,0,85.3754959106,85.3754959106,82.9474868774,0,82.9474868774,82.9474868774,1
