rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,73,8,0.01,0,0.25,none,84.8108444214,0,84.8108444214,84.8108444214,83.7379989624,0,83.7379989624,83.7379989624,1
2,82,8,0.01,0.01,0.25,none,84.8108444214,0,84.8108444214,84.8108444214,83.7379989624,0,83.7379989624,83.7379989624,1
3,76,8,0.01,0.0001,0.25,none,84.7543716431,0,84.7543716431,84.7543716431,83.7379989624,0,83.7379989624,83.7379989624,1
4,79,8,0.01,0.001,0.25,none,84.7543716431,0,84.7543716431,84.7543716431,83.7379989624,0,83.7379989624,83.7379989624,1
5,37,4,0.01,0,0.25,none,82.9474868774,0,82.9474868774,82.9474868774,81.479385376,0,81.479385376,81.479385376,1
6,40,4,0.01,0.0001,0.25,none,82.9474868774,0,82.9474868774,82.9474868774,81.5358505249,0,81.5358505249,81.5358505249,1
7,43,4,0.01,0.001,0.25,none,82.9474868774,0,82.9474868774,82.9474868774,81.5358505249,0,81.5358505249,81.5358505249,1
8,46,4,0.01,0.01,0.25,none,82.9474868774,0,82.9474868774,82.9474868774,81.5358505249,0,81.5358505249,81.5358505249,1
9,85,8,0.001,0,0.25,none,82.7780914307,0,82.7780914307,82.7780914307,81.9875793457,0,81.9875793457,81.9875793457,1
10,88,8,0.001,0.0001,0.25,none,82.7780914307,0,82.7780914307,82.7780914307,81.9875793457,0,81.9875793457,81.9875793457,1
11,91,8,0.001,0.001,0.25,none,82.7780914307,0,82.7780914307,82.7780914307,81.9875793457,0,81.9875793457,81.9875793457,1
12,94,8,0.001,0.01,0.25,none,82.7780914307,0,82.7780914307,82.7780914307,81.9875793457,0,81.9875793457,81.9875793457,1
13,77,8,0.01,0.0001,0.5,none,82.1005020142,0,82.1005020142,82.1005020142,80.9711990356,0,80.9711990356,80.9711990356,1
14,80,8,0.01,0.001,0.5,none,82.1005020142,0,82.1005020142,82.1005020142,80.9711990356,0,80.9711990356,80.9711990356,1
15,83,8,0.01,0.01,0.5,none,82.1005020142,0,82.1005020142,82.1005020142,80.9711990356,0,80.9711990356,80.9711990356,1
16,74,8,0.01,0,0.5,none,82.0440444946,0,82.0440444946,82.0440444946,81.027671814,0,81.027671814,81.027671814,1
17,38,4,0.01,0,0.5,none,81.479385376,0,81.479385376,81.479385376,79.8418960571,0,79.8418960571,79.8418960571,1
18,41,4,0.01,0.0001,0.5,none,81.4229278564,0,81.4229278564,81.4229278564,79.8983612061,0,79.8983612061,79.8983612061,1
19,44,4,0.01,0.001,0.5,none,81.4229278564,0,81.4229278564,81.4229278564,79.954826355,0,79.954826355,79.954826355,1
20,47,4,0.01,0.01,0.5,none,81.3664550781,0,81.3664550781,81.3664550781,79.954826355,0,79.954826355,79.954826355,1
21,49,4,0.001,0,0.25,none,81.3664550781,0,81.3664550781,81.3664550781,79.2207794189,0,79.2207794189,79.2207794189,1
22,52,4,0.001,0.0001,0.25,none,81.3664550781,0,81.3664550781,81.3664550781,79.2772445679,0,79.2772445679,79.2772445679,1
23,55,4,0.001,0.001,0.25,none,81.3664550781,0,81.3664550781,81.3664550781,79.2772445679,0,79.2772445679,79.2772445679,1
24,58,4,0.001,0.01,0.25,none,81.3664550781,0,81.3664550781,81.3664550781,79.2772445679,0,79.2772445679,79.2772445679,1
25,1,2,0.01,0,0.25,none,81.2535247803,0,81.2535247803,81.2535247803,78.2608718872,0,78.2608718872,78.2608718872,1
26,11,2,0.01,0.01,0.5,none,81.1970672607,0,81.1970672607,81.1970672607,79.3901748657,0,79.3901748657,79.3901748657,1
27,2,2,0.01,0,0.5,none,81.0841293335,0,81.0841293335,81.0841293335,79.6160354614,0,79.6160354614,79.6160354614,1
28,8,2,0.01,0.001,0.5,none,80.9711990356,0,80.9711990356,80.9711990356,79.4466400146,0,79.4466400146,79.4466400146,1
29,13,2,0.001,0,0.25,none,80.9711990356,0,80.9711990356,80.9711990356,77.6962127686,0,77.6962127686,77.6962127686,1
