rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,133,16,0.0001,0,0.25,none,87.351776123,0,87.351776123,87.351776123,86.1095428467,0,86.1095428467,86.1095428467,1
2,135,16,0.0001,0,0.75,none,87.351776123,0,87.351776123,87.351776123,85.9401473999,0,85.9401473999,85.9401473999,1
3,136,16,0.0001,0.0001,0.25,none,87.351776123,0,87.351776123,87.351776123,86.1095428467,0,86.1095428467,86.1095428467,1
4,138,16,0.0001,0.0001,0.75,none,87.351776123,0,87.351776123,87.351776123,85.9401473999,0,85.9401473999,85.9401473999,1
5,139,16,0.0001,0.001,0.25,none,87.351776123,0,87.351776123,87.351776123,86.1095428467,0,86.1095428467,86.1095428467,1
6,141,16,0.0001,0.001,0.75,none,87.351776123,0,87.351776123,87.351776123,85.9401473999,0,85.9401473999,85.9401473999,1
7,142,16,0.0001,0.01,0.25,none,87.351776123,0,87.351776123,87.351776123,86.1660079956,0,86.1660079956,86.1660079956,1
8,144,16,0.0001,0.01,0.75,none,87.351776123,0,87.351776123,87.351776123,85.9401473999,0,85.9401473999,85.9401473999,1
9,131,16,0.001,0.01,0.5,none,87.2953109741,0,87.2953109741,87.2953109741,85.8272171021,0,85.8272171021,85.8272171021,1
10,134,16,0.0001,0,0.5,none,87.1823806763,0,87.1823806763,87.1823806763,86.5047988892,0,86.5047988892,86.5047988892,1
11,137,16,0.0001,0.0001,0.5,none,87.1259155273,0,87.1259155273,87.1259155273,86.5047988892,0,86.5047988892,86.5047988892,1
12,140,16,0.0001,0.001,0.5,none,87.0694503784,0,87.0694503784,87.0694503784,85.9966125488,0,85.9966125488,85.9966125488,1
13,143,16,0.0001,0.01,0.5,none,87.0694503784,0,87.0694503784,87.0694503784,86.2224731445,0,86.2224731445,86.2224731445,1
14,125,16,0.001,0.0001,0.5,none,86.9000549316,0,86.9000549316,86.9000549316,85.2625579834,0,85.2625579834,85.2625579834,1
15,122,16,0.001,0,0.5,none,86.3918685913,0,86.3918685913,86.3918685913,85.0366973877,0,85.0366973877,85.0366973877,1
16,108,8,0.0001,0.01,0.75,none,86.3354034424,0,86.3354034424,86.3354034424,84.8108444214,0,84.8108444214,84.8108444214,1
17,128,16,0.001,0.001,0.5,none,86.2789382935,0,86.2789382935,86.2789382935,85.2061004639,0,85.2061004639,85.2061004639,1
18,99,8,0.0001,0,0.75,none,86.2224731445,0,86.2224731445,86.2224731445,84.020324707,0,84.020324707,84.020324707,1
19,102,8,0.0001,0.0001,0.75,none,86.2224731445,0,86.2224731445,86.2224731445,84.6414413452,0,84.6414413452,84.6414413452,1
20,11,2,0.01,0.01,0.5,none,86.1660079956,0,86.1660079956,86.1660079956,84.1897201538,0,84.1897201538,84.1897201538,1
21,104,8,0.0001,0.001,0.5,none,86.1660079956,0,86.1660079956,86.1660079956,83.6250686646,0,83.6250686646,83.6250686646,1
22,105,8,0.0001,0.001,0.75,none,86.1660079956,0,86.1660079956,86.1660079956,84.1897201538,0,84.1897201538,84.1897201538,1
23,107,8,0.0001,0.01,0.5,none,86.1660079956,0,86.1660079956,86.1660079956,83.6250686646,0,83.6250686646,83.6250686646,1
24,98,8,0.0001,0,0.5,none,86.1095428467,0,86.1095428467,86.1095428467,83.5686035156,0,83.5686035156,83.5686035156,1
25,101,8,0.0001,0.0001,0.5,none,86.1095428467,0,86.1095428467,86.1095428467,83.5686035156,0,83.5686035156,83.5686035156,1
26,95,8,0.001,0.01,0.5,none,85.8836746216,0,85.8836746216,85.8836746216,84.5285110474,0,84.5285110474,84.5285110474,1
27,46,4,0.01,0.01,0.25,none,85.7707519531,0,85.7707519531,85.7707519531,84.5849838257,0,84.5849838257,84.5849838257,1
28,106,8,0.0001,0.01,0.25,none,85.5448913574,0,85.5448913574,85.5448913574,83.7944641113,0,83.7944641113,83.7944641113,1
29,10,2,0.01,0.01,0.25,none,85.3190231323,0,85.3190231323,85.3190231323,82.7780914307,0,82.7780914307,82.7780914307,1
30,92,8,0.001,0.001,0.5,none,85.3190231323,0,85.3190231323,85.3190231323,84.4155883789,0,84.4155883789,84.4155883789,1
31,59,4,0.001,0.01,0.5,none,85.1496353149,0,85.1496353149,85.1496353149,83.8509292603,0,83.8509292603,83.8509292603,1
32,8,2,0.01,0.001,0.5,none,85.0931625366,0,85.0931625366,85.0931625366,83.5121383667,0,83.5121383667,83.5121383667,1
33,86,8,0.001,0,0.5,none,84.9237670898,0,84.9237670898,84.9237670898,84.2461853027,0,84.2461853027,84.2461853027,1
34,97,8,0.0001,0,0.25,none,84.8108444214,0,84.8108444214,84.8108444214,83.2298126221,0,83.2298126221,83.2298126221,1
35,100,8,0.0001,0.0001,0.25,none,84.8108444214,0,84.8108444214,84.8108444214,83.2298126221,0,83.2298126221,83.2298126221,1
36,103,8,0.0001,0.001,0.25,none,84.8108444214,0,84.8108444214,84.8108444214,83.2298126221,0,83.2298126221,83.2298126221,1
37,132,16,0.001,0.01,0.75,none,84.7543716431,0,84.7543716431,84.7543716431,84.020324707,0,84.020324707,84.020324707,1
38,129,16,0.001,0.001,0.75,none,84.6414413452,0,84.6414413452,84.6414413452,83.8509292603,0,83.8509292603,83.8509292603,1
39,7,2,0.01,0.001,0.25,none,84.5849838257,0,84.5849838257,84.5849838257,82.3828353882,0,82.3828353882,82.3828353882,1
40,74,8,0.01,0,0.5,none,84.5849838257,0,84.5849838257,84.5849838257,83.2298126221,0,83.2298126221,83.2298126221,1
41,77,8,0.01,0.0001,0.5,none,84.5849838257,0,84.5849838257,84.5849838257,83.2298126221,0,83.2298126221,83.2298126221,1
42,80,8,0.01,0.001,0.5,none,84.5849838257,0,84.5849838257,84.5849838257,83.2298126221,0,83.2298126221,83.2298126221,1
43,83,8,0.01,0.01,0.5,none,84.5849838257,0,84.5849838257,84.5849838257,83.2298126221,0,83.2298126221,83.2298126221,1
44,127,16,0.001,0.001,0.25,none,84.5849838257,0,84.5849838257,84.5849838257,83.6815338135,0,83.6815338135,83.6815338135,1
45,91,8,0.001,0.001,0.25,none,84.5285110474,0,84.5285110474,84.5285110474,82.9474868774,0,82.9474868774,82.9474868774,1
46,123,16,0.001,0,0.75,none,84.5285110474,0,84.5285110474,84.5285110474,84.020324707,0,84.020324707,84.020324707,1
47,126,16,0.001,0.0001,0.75,none,84.5285110474,0,84.5285110474,84.5285110474,84.076789856,0,84.076789856,84.076789856,1
48,85,8,0.001,0,0.25,none,84.4720458984,0,84.4720458984,84.4720458984,82.6086959839,0,82.6086959839,82.6086959839,1
49,88,8,0.001,0.0001,0.25,none,84.4720458984,0,84.4720458984,84.4720458984,82.7780914307,0,82.7780914307,82.7780914307,1
50,79,8,0.01,0.001,0.25,none,84.4155883789,0,84.4155883789,84.4155883789,83.7379989624,0,83.7379989624,83.7379989624,1
51,73,8,0.01,0,0.25,none,84.3591156006,0,84.3591156006,84.3591156006,83.6815338135,0,83.6815338135,83.6815338135,1
52,76,8,0.01,0.0001,0.25,none,84.3591156006,0,84.3591156006,84.3591156006,83.6815338135,0,83.6815338135,83.6815338135,1
53,89,8,0.001,0.0001,0.5,none,84.3591156006,0,84.3591156006,84.3591156006,83.0604171753,0,83.0604171753,83.0604171753,1
54,94,8,0.001,0.01,0.25,none,84.3591156006,0,84.3591156006,84.3591156006,83.0039520264,0,83.0039520264,83.0039520264,1
55,2,2,0.01,0,0.5,none,84.3026504517,0,84.3026504517,84.3026504517,82.2698974609,0,82.2698974609,82.2698974609,1
56,82,8,0.01,0.01,0.25,none,84.3026504517,0,84.3026504517,84.3026504517,83.6815338135,0,83.6815338135,83.6815338135,1
57,5,2,0.01,0.0001,0.5,none,84.2461853027,0,84.2461853027,84.2461853027,81.8746414185,0,81.8746414185,81.8746414185,1
58,87,8,0.001,0,0.75,none,84.2461853027,0,84.2461853027,84.2461853027,83.6250686646,0,83.6250686646,83.6250686646,1
59,93,8,0.001,0.001,0.75,none,84.1897201538,0,84.1897201538,84.1897201538,83.7379989624,0,83.7379989624,83.7379989624,1
60,1,2,0.01,0,0.25,none,84.076789856,0,84.076789856,84.076789856,81.8181838989,0,81.8181838989,81.8181838989,1
61,38,4,0.01,0,0.5,none,84.020324707,0,84.020324707,84.020324707,82.8910217285,0,82.8910217285,82.8910217285,1
62,41,4,0.01,0.0001,0.5,none,84.020324707,0,84.020324707,84.020324707,82.8910217285,0,82.8910217285,82.8910217285,1
63,44,4,0.01,0.001,0.5,none,84.020324707,0,84.020324707,84.020324707,82.8910217285,0,82.8910217285,82.8910217285,1
64,130,16,0.001,0.01,0.25,none,84.020324707,0,84.020324707,84.020324707,82.6651611328,0,82.6651611328,82.6651611328,1
65,47,4,0.01,0.01,0.5,none,83.9638595581,0,83.9638595581,83.9638595581,82.9474868774,0,82.9474868774,82.9474868774,1
66,96,8,0.001,0.01,0.75,none,83.8509292603,0,83.8509292603,83.8509292603,82.552230835,0,82.552230835,82.552230835,1
