job_id,job_dir,dataset,feature,sim_reference_eps,feature_dim,scale,random_normal_mean,random_normal_std,shared_value,degree_bucket_num_buckets,degree_bucket_range_max,deepwalk_walk_length,deepwalk_number_walks,deepwalk_window_size,deepwalk_workers,deepwalk_undirected,mechanism,x_eps,m,norm,norm_scale,smoother,backbone,use_nfr,search_status,grid_total,grid_done,verify_total,verify_done,search_attempts,search_seconds,logs_dir,best_rank,best_candidate_id,best_x_steps,best_learning_rate,best_weight_decay,best_dropout,best_tao2,best_verify_val_acc_mean,best_verify_val_acc_std,best_verify_test_acc_mean,best_verify_test_acc_std,best_config_path,recommended_command_path,error_message
664725f1aef1,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure4/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=pm/x_eps=0.0001/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false,cora,raw,,,,,,,,,,,,,,pm,0.0001,best,false,none,kprop,sage,false,completed,144,144,25,25,171,2298.182230,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure4/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=pm/x_eps=0.0001/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs,1,16,2,0.001,0.0001,0.25,none,72.8508117676,1.42216847375,73.3825698853,1.99107768577,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure4/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=pm/x_eps=0.0001/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/best_config.yaml,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure4/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=pm/x_eps=0.0001/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/recommended_command.txt,
c88c342f0441,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure4/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=pm/x_eps=0.001/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false,cora,raw,,,,,,,,,,,,,,pm,0.001,best,false,none,kprop,sage,false,completed,144,144,25,25,171,2406.894948,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure4/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=pm/x_eps=0.001/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs,1,13,2,0.001,0,0.25,none,73.4121124268,2.07058047994,74.3870010376,1.3602195929,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure4/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=pm/x_eps=0.001/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/best_config.yaml,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure4/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=pm/x_eps=0.001/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/recommended_command.txt,
c2fd7ad4e543,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure4/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=pm/x_eps=0.01/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false,cora,raw,,,,,,,,,,,,,,pm,0.01,best,false,none,kprop,sage,false,completed,144,144,25,25,171,2298.908063,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure4/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=pm/x_eps=0.01/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs,1,8,2,0.01,0.001,0.5,none,72.5849319458,2.6682084262,71.2555389404,2.68247867009,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure4/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=pm/x_eps=0.01/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/best_config.yaml,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure4/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=pm/x_eps=0.01/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/recommended_command.txt,
4ef09b5026b8,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure4/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=pm/x_eps=0.1/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false,cora,raw,,,,,,,,,,,,,,pm,0.1,best,false,none,kprop,sage,false,completed,144,144,25,25,171,2453.028129,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure4/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=pm/x_eps=0.1/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs,1,130,16,0.001,0.01,0.25,none,76.2776947021,1.78662442821,76.7799118042,2.57838316233,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure4/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=pm/x_eps=0.1/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/best_config.yaml,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure4/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=pm/x_eps=0.1/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/recommended_command.txt,
d266e4b27821,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure4/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=pm/x_eps=1/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false,cora,raw,,,,,,,,,,,,,,pm,1,best,false,none,kprop,sage,false,completed,144,144,25,25,171,2477.658644,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure4/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=pm/x_eps=1/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs,1,132,16,0.001,0.01,0.75,none,84.0768081665,1.94114095214,84.1949752808,0.802275525976,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure4/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=pm/x_eps=1/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/best_config.yaml,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure4/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=pm/x_eps=1/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/recommended_command.txt,
144bc3c171a3,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure4/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=pm/x_eps=2/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false,cora,raw,,,,,,,,,,,,,,pm,2,best,false,none,kprop,sage,false,completed,144,144,25,25,171,2316.169296,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure4/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=pm/x_eps=2/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs,1,119,16,0.01,0.01,0.5,none,84.2245193481,1.89852518431,84.1358932495,0.764677347288,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure4/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=pm/x_eps=2/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/best_config.yaml,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure4/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=pm/x_eps=2/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/recommended_command.txt,
754f5d739f60,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure4/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=pm/x_eps=3/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false,cora,raw,,,,,,,,,,,,,,pm,3,best,false,none,kprop,sage,false,completed,144,144,25,25,171,2349.001244,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure4/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=pm/x_eps=3/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs,1,120,16,0.01,0.01,0.75,none,84.2836029053,2.21467137126,83.1019195557,1.09843401902,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure4/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=pm/x_eps=3/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/best_config.yaml,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure4/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=pm/x_eps=3/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/recommended_command.txt,
76c8948455cf,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure4/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=pm/x_eps=4/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false,cora,raw,,,,,,,,,,,,,,pm,4,best,false,none,kprop,sage,false,completed,144,144,25,25,171,2449.564787,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure4/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=pm/x_eps=4/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs,1,120,16,0.01,0.01,0.75,none,84.047265625,2.05736926932,83.1905456543,1.08242521429,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure4/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=pm/x_eps=4/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/best_config.yaml,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure4/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=pm/x_eps=4/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/recommended_command.txt,
4bdb47ee622a,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure4/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=pm/x_eps=5/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false,cora,raw,,,,,,,,,,,,,,pm,5,best,false,none,kprop,sage,false,completed,144,144,25,25,171,2364.724097,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure4/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=pm/x_eps=5/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs,1,119,16,0.01,0.01,0.5,none,84.6085662842,2.09780095895,84.1949768066,1.16775218677,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure4/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=pm/x_eps=5/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/best_config.yaml,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure4/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=pm/x_eps=5/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/recommended_command.txt,
073de220b294,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure4/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=0.0001/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false,cora,raw,,,,,,,,,,,,,,mbm,0.0001,best,false,none,kprop,sage,false,completed,144,144,25,25,171,2408.031222,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure4/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=0.0001/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs,1,49,4,0.001,0,0.25,none,72.880355835,1.69899048971,72.3485961914,3.22164404756,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure4/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=0.0001/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/best_config.yaml,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure4/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=0.0001/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/recommended_command.txt,
