rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,40,4,0.01,0.0001,0.25,none,74.2983779907,0,74.2983779907,74.2983779907,75.9231872559,0,75.9231872559,75.9231872559,1
2,41,4,0.01,0.0001,0.5,none,74.2983779907,0,74.2983779907,74.2983779907,74.889213562,0,74.889213562,74.889213562,1
3,44,4,0.01,0.001,0.5,none,74.2983779907,0,74.2983779907,74.2983779907,74.889213562,0,74.889213562,74.889213562,1
4,47,4,0.01,0.01,0.5,none,74.2983779907,0,74.2983779907,74.2983779907,74.889213562,0,74.889213562,74.889213562,1
5,43,4,0.01,0.001,0.25,none,74.0029525757,0,74.0029525757,74.0029525757,76.6617431641,0,76.6617431641,76.6617431641,1
6,46,4,0.01,0.01,0.25,none,74.0029525757,0,74.0029525757,74.0029525757,76.6617431641,0,76.6617431641,76.6617431641,1
7,38,4,0.01,0,0.5,none,73.1166915894,0,73.1166915894,73.1166915894,74.0029525757,0,74.0029525757,74.0029525757,1
8,53,4,0.001,0.0001,0.5,none,72.6735610962,0,72.6735610962,72.6735610962,72.6735610962,0,72.6735610962,72.6735610962,1
9,56,4,0.001,0.001,0.5,none,72.6735610962,0,72.6735610962,72.6735610962,72.6735610962,0,72.6735610962,72.6735610962,1
10,59,4,0.001,0.01,0.5,none,72.6735610962,0,72.6735610962,72.6735610962,72.5258483887,0,72.5258483887,72.5258483887,1
11,37,4,0.01,0,0.25,none,72.3781356812,0,72.3781356812,72.3781356812,75.3323516846,0,75.3323516846,75.3323516846,1
12,50,4,0.001,0,0.5,none,72.3781356812,0,72.3781356812,72.3781356812,72.3781356812,0,72.3781356812,72.3781356812,1
13,17,2,0.001,0.0001,0.5,none,71.0487442017,0,71.0487442017,71.0487442017,70.6056137085,0,70.6056137085,70.6056137085,1
14,20,2,0.001,0.001,0.5,none,71.0487442017,0,71.0487442017,71.0487442017,71.0487442017,0,71.0487442017,71.0487442017,1
15,23,2,0.001,0.01,0.5,none,71.0487442017,0,71.0487442017,71.0487442017,71.1964569092,0,71.1964569092,71.1964569092,1
16,52,4,0.001,0.0001,0.25,none,71.0487442017,0,71.0487442017,71.0487442017,72.0827178955,0,72.0827178955,72.0827178955,1
17,88,8,0.001,0.0001,0.25,none,71.0487442017,0,71.0487442017,71.0487442017,70.9010314941,0,70.9010314941,70.9010314941,1
18,91,8,0.001,0.001,0.25,none,71.0487442017,0,71.0487442017,71.0487442017,70.9010314941,0,70.9010314941,70.9010314941,1
19,94,8,0.001,0.01,0.25,none,71.0487442017,0,71.0487442017,71.0487442017,70.9010314941,0,70.9010314941,70.9010314941,1
20,55,4,0.001,0.001,0.25,none,70.9010314941,0,70.9010314941,70.9010314941,71.3441619873,0,71.3441619873,71.3441619873,1
21,85,8,0.001,0,0.25,none,70.9010314941,0,70.9010314941,70.9010314941,70.6056137085,0,70.6056137085,70.6056137085,1
22,2,2,0.01,0,0.5,none,70.6056137085,0,70.6056137085,70.6056137085,73.5598220825,0,73.5598220825,73.5598220825,1
23,58,4,0.001,0.01,0.25,none,70.6056137085,0,70.6056137085,70.6056137085,72.6735610962,0,72.6735610962,72.6735610962,1
24,14,2,0.001,0,0.5,none,70.3101959229,0,70.3101959229,70.3101959229,71.1964569092,0,71.1964569092,71.1964569092,1
25,74,8,0.01,0,0.5,none,70.3101959229,0,70.3101959229,70.3101959229,71.4918746948,0,71.4918746948,71.4918746948,1
26,64,4,0.0001,0.0001,0.25,none,70.1624832153,0,70.1624832153,70.1624832153,70.0147705078,0,70.0147705078,70.0147705078,1
27,70,4,0.0001,0.01,0.25,none,70.0147705078,0,70.0147705078,70.0147705078,70.3101959229,0,70.3101959229,70.3101959229,1
28,49,4,0.001,0,0.25,none,69.8670578003,0,69.8670578003,69.8670578003,72.230430603,0,72.230430603,72.230430603,1
29,77,8,0.01,0.0001,0.5,none,69.8670578003,0,69.8670578003,69.8670578003,71.935005188,0,71.935005188,71.935005188,1
