rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,47,4,0.01,0.01,0.5,none,75.4800567627,0,75.4800567627,75.4800567627,77.5480041504,0,77.5480041504,77.5480041504,1
2,130,16,0.001,0.01,0.25,none,74.4460830688,0,74.4460830688,74.4460830688,76.5140304565,0,76.5140304565,76.5140304565,1
3,44,4,0.01,0.001,0.5,none,73.8552474976,0,73.8552474976,73.8552474976,75.3323516846,0,75.3323516846,75.3323516846,1
4,58,4,0.001,0.01,0.25,none,73.70753479,0,73.70753479,73.70753479,74.889213562,0,74.889213562,74.889213562,1
5,2,2,0.01,0,0.5,none,73.5598220825,0,73.5598220825,73.5598220825,75.4800567627,0,75.4800567627,75.4800567627,1
6,8,2,0.01,0.001,0.5,none,73.5598220825,0,73.5598220825,73.5598220825,76.5140304565,0,76.5140304565,76.5140304565,1
7,127,16,0.001,0.001,0.25,none,73.412109375,0,73.412109375,73.412109375,75.7754821777,0,75.7754821777,75.7754821777,1
8,11,2,0.01,0.01,0.5,none,73.2644042969,0,73.2644042969,73.2644042969,76.3663253784,0,76.3663253784,76.3663253784,1
9,91,8,0.001,0.001,0.25,none,73.1166915894,0,73.1166915894,73.1166915894,75.7754821777,0,75.7754821777,75.7754821777,1
10,124,16,0.001,0.0001,0.25,none,73.1166915894,0,73.1166915894,73.1166915894,76.3663253784,0,76.3663253784,76.3663253784,1
11,88,8,0.001,0.0001,0.25,none,72.9689788818,0,72.9689788818,72.9689788818,75.4800567627,0,75.4800567627,75.4800567627,1
12,85,8,0.001,0,0.25,none,72.6735610962,0,72.6735610962,72.6735610962,74.1506652832,0,74.1506652832,74.1506652832,1
13,121,16,0.001,0,0.25,none,72.6735610962,0,72.6735610962,72.6735610962,74.889213562,0,74.889213562,74.889213562,1
14,5,2,0.01,0.0001,0.5,none,72.5258483887,0,72.5258483887,72.5258483887,76.9571609497,0,76.9571609497,76.9571609497,1
15,41,4,0.01,0.0001,0.5,none,72.5258483887,0,72.5258483887,72.5258483887,74.889213562,0,74.889213562,74.889213562,1
16,49,4,0.001,0,0.25,none,72.230430603,0,72.230430603,72.230430603,74.1506652832,0,74.1506652832,74.1506652832,1
17,52,4,0.001,0.0001,0.25,none,71.935005188,0,71.935005188,71.935005188,74.1506652832,0,74.1506652832,74.1506652832,1
18,55,4,0.001,0.001,0.25,none,71.935005188,0,71.935005188,71.935005188,73.5598220825,0,73.5598220825,73.5598220825,1
19,94,8,0.001,0.01,0.25,none,71.6395874023,0,71.6395874023,71.6395874023,75.1846389771,0,75.1846389771,75.1846389771,1
20,131,16,0.001,0.01,0.5,none,71.4918746948,0,71.4918746948,71.4918746948,76.0708999634,0,76.0708999634,76.0708999634,1
21,19,2,0.001,0.001,0.25,none,71.3441619873,0,71.3441619873,71.3441619873,74.5937957764,0,74.5937957764,74.5937957764,1
22,53,4,0.001,0.0001,0.5,none,70.9010314941,0,70.9010314941,70.9010314941,71.4918746948,0,71.4918746948,71.4918746948,1
23,22,2,0.001,0.01,0.25,none,70.6056137085,0,70.6056137085,70.6056137085,74.7415084839,0,74.7415084839,74.7415084839,1
24,16,2,0.001,0.0001,0.25,none,70.457901001,0,70.457901001,70.457901001,74.1506652832,0,74.1506652832,74.1506652832,1
25,13,2,0.001,0,0.25,none,70.3101959229,0,70.3101959229,70.3101959229,71.7873001099,0,71.7873001099,71.7873001099,1
26,56,4,0.001,0.001,0.5,none,70.1624832153,0,70.1624832153,70.1624832153,70.9010314941,0,70.9010314941,70.9010314941,1
27,59,4,0.001,0.01,0.5,none,70.0147705078,0,70.0147705078,70.0147705078,71.3441619873,0,71.3441619873,71.3441619873,1
