rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,44,4,0.01,0.001,0.5,none,74.2983779907,0,74.2983779907,74.2983779907,75.7754821777,0,75.7754821777,75.7754821777,1
2,47,4,0.01,0.01,0.5,none,74.1506652832,0,74.1506652832,74.1506652832,76.8094558716,0,76.8094558716,76.8094558716,1
3,41,4,0.01,0.0001,0.5,none,73.70753479,0,73.70753479,73.70753479,76.5140304565,0,76.5140304565,76.5140304565,1
4,130,16,0.001,0.01,0.25,none,73.70753479,0,73.70753479,73.70753479,75.0369262695,0,75.0369262695,75.0369262695,1
5,5,2,0.01,0.0001,0.5,none,73.5598220825,0,73.5598220825,73.5598220825,76.8094558716,0,76.8094558716,76.8094558716,1
6,124,16,0.001,0.0001,0.25,none,73.1166915894,0,73.1166915894,73.1166915894,75.4800567627,0,75.4800567627,75.4800567627,1
7,127,16,0.001,0.001,0.25,none,73.1166915894,0,73.1166915894,73.1166915894,76.3663253784,0,76.3663253784,76.3663253784,1
8,121,16,0.001,0,0.25,none,72.9689788818,0,72.9689788818,72.9689788818,74.7415084839,0,74.7415084839,74.7415084839,1
9,58,4,0.001,0.01,0.25,none,72.8212738037,0,72.8212738037,72.8212738037,75.0369262695,0,75.0369262695,75.0369262695,1
10,94,8,0.001,0.01,0.25,none,72.8212738037,0,72.8212738037,72.8212738037,74.889213562,0,74.889213562,74.889213562,1
11,8,2,0.01,0.001,0.5,none,72.6735610962,0,72.6735610962,72.6735610962,75.7754821777,0,75.7754821777,75.7754821777,1
12,2,2,0.01,0,0.5,none,72.5258483887,0,72.5258483887,72.5258483887,75.7754821777,0,75.7754821777,75.7754821777,1
13,11,2,0.01,0.01,0.5,none,72.5258483887,0,72.5258483887,72.5258483887,76.9571609497,0,76.9571609497,76.9571609497,1
14,52,4,0.001,0.0001,0.25,none,72.5258483887,0,72.5258483887,72.5258483887,74.5937957764,0,74.5937957764,74.5937957764,1
15,59,4,0.001,0.01,0.5,none,72.5258483887,0,72.5258483887,72.5258483887,74.889213562,0,74.889213562,74.889213562,1
16,88,8,0.001,0.0001,0.25,none,72.5258483887,0,72.5258483887,72.5258483887,75.3323516846,0,75.3323516846,75.3323516846,1
17,91,8,0.001,0.001,0.25,none,72.3781356812,0,72.3781356812,72.3781356812,76.3663253784,0,76.3663253784,76.3663253784,1
18,49,4,0.001,0,0.25,none,72.230430603,0,72.230430603,72.230430603,74.0029525757,0,74.0029525757,74.0029525757,1
19,55,4,0.001,0.001,0.25,none,72.230430603,0,72.230430603,72.230430603,73.8552474976,0,73.8552474976,73.8552474976,1
20,131,16,0.001,0.01,0.5,none,71.6395874023,0,71.6395874023,71.6395874023,75.4800567627,0,75.4800567627,75.4800567627,1
