rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,118,16,0.01,0.01,0.25,none,80.0590820312,0,80.0590820312,80.0590820312,82.2747421265,0,82.2747421265,82.2747421265,1
2,83,8,0.01,0.01,0.5,none,79.4682388306,0,79.4682388306,79.4682388306,81.5361862183,0,81.5361862183,81.5361862183,1
3,126,16,0.001,0.0001,0.75,none,79.4682388306,0,79.4682388306,79.4682388306,82.1270294189,0,82.1270294189,82.1270294189,1
4,131,16,0.001,0.01,0.5,none,79.4682388306,0,79.4682388306,79.4682388306,81.6838989258,0,81.6838989258,81.6838989258,1
5,132,16,0.001,0.01,0.75,none,79.4682388306,0,79.4682388306,79.4682388306,80.7976379395,0,80.7976379395,80.7976379395,1
6,86,8,0.001,0,0.5,none,79.1728210449,0,79.1728210449,79.1728210449,81.6838989258,0,81.6838989258,81.6838989258,1
7,122,16,0.001,0,0.5,none,79.1728210449,0,79.1728210449,79.1728210449,82.422454834,0,82.422454834,82.422454834,1
8,123,16,0.001,0,0.75,none,79.1728210449,0,79.1728210449,79.1728210449,82.8655853271,0,82.8655853271,82.8655853271,1
9,128,16,0.001,0.001,0.5,none,79.1728210449,0,79.1728210449,79.1728210449,81.6838989258,0,81.6838989258,81.6838989258,1
10,129,16,0.001,0.001,0.75,none,79.1728210449,0,79.1728210449,79.1728210449,82.1270294189,0,82.1270294189,82.1270294189,1
11,125,16,0.001,0.0001,0.5,none,79.0251083374,0,79.0251083374,79.0251083374,81.3884811401,0,81.3884811401,81.3884811401,1
12,90,8,0.001,0.0001,0.75,none,78.8774032593,0,78.8774032593,78.8774032593,81.3884811401,0,81.3884811401,81.3884811401,1
13,130,16,0.001,0.01,0.25,none,78.8774032593,0,78.8774032593,78.8774032593,82.8655853271,0,82.8655853271,82.8655853271,1
14,84,8,0.01,0.01,0.75,none,78.7296905518,0,78.7296905518,78.7296905518,81.8316116333,0,81.8316116333,81.8316116333,1
15,95,8,0.001,0.01,0.5,none,78.7296905518,0,78.7296905518,78.7296905518,81.2407684326,0,81.2407684326,81.2407684326,1
16,11,2,0.01,0.01,0.5,none,78.5819778442,0,78.5819778442,78.5819778442,80.2067947388,0,80.2067947388,80.2067947388,1
17,92,8,0.001,0.001,0.5,none,78.5819778442,0,78.5819778442,78.5819778442,81.0930557251,0,81.0930557251,81.0930557251,1
18,12,2,0.01,0.01,0.75,none,78.2865600586,0,78.2865600586,78.2865600586,82.1270294189,0,82.1270294189,82.1270294189,1
19,47,4,0.01,0.01,0.5,none,78.2865600586,0,78.2865600586,78.2865600586,82.1270294189,0,82.1270294189,82.1270294189,1
20,89,8,0.001,0.0001,0.5,none,78.2865600586,0,78.2865600586,78.2865600586,80.2067947388,0,80.2067947388,80.2067947388,1
21,93,8,0.001,0.001,0.75,none,78.2865600586,0,78.2865600586,78.2865600586,80.3545074463,0,80.3545074463,80.3545074463,1
22,96,8,0.001,0.01,0.75,none,78.2865600586,0,78.2865600586,78.2865600586,79.7636642456,0,79.7636642456,79.7636642456,1
23,124,16,0.001,0.0001,0.25,none,78.2865600586,0,78.2865600586,78.2865600586,79.4682388306,0,79.4682388306,79.4682388306,1
24,127,16,0.001,0.001,0.25,none,78.2865600586,0,78.2865600586,78.2865600586,80.5022125244,0,80.5022125244,80.5022125244,1
25,121,16,0.001,0,0.25,none,78.1388473511,0,78.1388473511,78.1388473511,79.4682388306,0,79.4682388306,79.4682388306,1
26,82,8,0.01,0.01,0.25,none,77.9911346436,0,77.9911346436,77.9911346436,81.9793167114,0,81.9793167114,81.9793167114,1
27,46,4,0.01,0.01,0.25,none,77.8434295654,0,77.8434295654,77.8434295654,81.2407684326,0,81.2407684326,81.2407684326,1
28,80,8,0.01,0.001,0.5,none,77.8434295654,0,77.8434295654,77.8434295654,81.5361862183,0,81.5361862183,81.5361862183,1
29,38,4,0.01,0,0.5,none,77.6957168579,0,77.6957168579,77.6957168579,82.2747421265,0,82.2747421265,82.2747421265,1
30,77,8,0.01,0.0001,0.5,none,77.6957168579,0,77.6957168579,77.6957168579,81.3884811401,0,81.3884811401,81.3884811401,1
31,142,16,0.0001,0.01,0.25,none,77.6957168579,0,77.6957168579,77.6957168579,80.3545074463,0,80.3545074463,80.3545074463,1
32,5,2,0.01,0.0001,0.5,none,77.5480041504,0,77.5480041504,77.5480041504,80.5022125244,0,80.5022125244,80.5022125244,1
33,8,2,0.01,0.001,0.5,none,77.5480041504,0,77.5480041504,77.5480041504,80.7976379395,0,80.7976379395,80.7976379395,1
34,136,16,0.0001,0.0001,0.25,none,77.5480041504,0,77.5480041504,77.5480041504,80.3545074463,0,80.3545074463,80.3545074463,1
35,44,4,0.01,0.001,0.5,none,77.4002914429,0,77.4002914429,77.4002914429,82.1270294189,0,82.1270294189,82.1270294189,1
36,139,16,0.0001,0.001,0.25,none,77.4002914429,0,77.4002914429,77.4002914429,80.2067947388,0,80.2067947388,80.2067947388,1
37,9,2,0.01,0.001,0.75,none,77.2525863647,0,77.2525863647,77.2525863647,80.9453430176,0,80.9453430176,80.9453430176,1
38,41,4,0.01,0.0001,0.5,none,77.2525863647,0,77.2525863647,77.2525863647,82.422454834,0,82.422454834,82.422454834,1
39,87,8,0.001,0,0.75,none,77.2525863647,0,77.2525863647,77.2525863647,81.0930557251,0,81.0930557251,81.0930557251,1
40,6,2,0.01,0.0001,0.75,none,77.1048736572,0,77.1048736572,77.1048736572,80.2067947388,0,80.2067947388,80.2067947388,1
41,10,2,0.01,0.01,0.25,none,77.1048736572,0,77.1048736572,77.1048736572,81.0930557251,0,81.0930557251,81.0930557251,1
42,134,16,0.0001,0,0.5,none,76.9571609497,0,76.9571609497,76.9571609497,80.5022125244,0,80.5022125244,80.5022125244,1
43,137,16,0.0001,0.0001,0.5,none,76.9571609497,0,76.9571609497,76.9571609497,80.3545074463,0,80.3545074463,80.3545074463,1
44,140,16,0.0001,0.001,0.5,none,76.9571609497,0,76.9571609497,76.9571609497,80.3545074463,0,80.3545074463,80.3545074463,1
45,143,16,0.0001,0.01,0.5,none,76.9571609497,0,76.9571609497,76.9571609497,80.3545074463,0,80.3545074463,80.3545074463,1
46,2,2,0.01,0,0.5,none,76.8094558716,0,76.8094558716,76.8094558716,80.3545074463,0,80.3545074463,80.3545074463,1
47,48,4,0.01,0.01,0.75,none,76.6617431641,0,76.6617431641,76.6617431641,81.9793167114,0,81.9793167114,81.9793167114,1
48,51,4,0.001,0,0.75,none,76.6617431641,0,76.6617431641,76.6617431641,79.7636642456,0,79.7636642456,79.7636642456,1
49,133,16,0.0001,0,0.25,none,76.6617431641,0,76.6617431641,76.6617431641,78.8774032593,0,78.8774032593,78.8774032593,1
50,135,16,0.0001,0,0.75,none,76.6617431641,0,76.6617431641,76.6617431641,78.7296905518,0,78.7296905518,78.7296905518,1
51,138,16,0.0001,0.0001,0.75,none,76.6617431641,0,76.6617431641,76.6617431641,78.5819778442,0,78.5819778442,78.5819778442,1
52,141,16,0.0001,0.001,0.75,none,76.5140304565,0,76.5140304565,76.5140304565,78.5819778442,0,78.5819778442,78.5819778442,1
53,144,16,0.0001,0.01,0.75,none,76.5140304565,0,76.5140304565,76.5140304565,78.4342651367,0,78.4342651367,78.4342651367,1
54,54,4,0.001,0.0001,0.75,none,76.0708999634,0,76.0708999634,76.0708999634,77.6957168579,0,77.6957168579,77.6957168579,1
55,57,4,0.001,0.001,0.75,none,76.0708999634,0,76.0708999634,76.0708999634,80.3545074463,0,80.3545074463,80.3545074463,1
56,60,4,0.001,0.01,0.75,none,76.0708999634,0,76.0708999634,76.0708999634,78.1388473511,0,78.1388473511,78.1388473511,1
57,74,8,0.01,0,0.5,none,76.0708999634,0,76.0708999634,76.0708999634,79.1728210449,0,79.1728210449,79.1728210449,1
58,3,2,0.01,0,0.75,none,75.9231872559,0,75.9231872559,75.9231872559,79.9113769531,0,79.9113769531,79.9113769531,1
59,94,8,0.001,0.01,0.25,none,75.9231872559,0,75.9231872559,75.9231872559,79.6159515381,0,79.6159515381,79.6159515381,1
60,101,8,0.0001,0.0001,0.5,none,75.3323516846,0,75.3323516846,75.3323516846,77.1048736572,0,77.1048736572,77.1048736572,1
61,120,16,0.01,0.01,0.75,none,75.3323516846,0,75.3323516846,75.3323516846,76.2186126709,0,76.2186126709,76.2186126709,1
62,56,4,0.001,0.001,0.5,none,74.889213562,0,74.889213562,74.889213562,75.3323516846,0,75.3323516846,75.3323516846,1
63,115,16,0.01,0.001,0.25,none,74.889213562,0,74.889213562,74.889213562,77.2525863647,0,77.2525863647,77.2525863647,1
64,50,4,0.001,0,0.5,none,74.7415084839,0,74.7415084839,74.7415084839,75.6277694702,0,75.6277694702,75.6277694702,1
65,53,4,0.001,0.0001,0.5,none,74.7415084839,0,74.7415084839,74.7415084839,75.3323516846,0,75.3323516846,75.3323516846,1
66,59,4,0.001,0.01,0.5,none,74.5937957764,0,74.5937957764,74.5937957764,75.4800567627,0,75.4800567627,75.4800567627,1
67,100,8,0.0001,0.0001,0.25,none,74.5937957764,0,74.5937957764,74.5937957764,75.9231872559,0,75.9231872559,75.9231872559,1
68,103,8,0.0001,0.001,0.25,none,74.5937957764,0,74.5937957764,74.5937957764,76.0708999634,0,76.0708999634,76.0708999634,1
69,104,8,0.0001,0.001,0.5,none,74.5937957764,0,74.5937957764,74.5937957764,76.5140304565,0,76.5140304565,76.5140304565,1
70,106,8,0.0001,0.01,0.25,none,74.5937957764,0,74.5937957764,74.5937957764,76.0708999634,0,76.0708999634,76.0708999634,1
71,107,8,0.0001,0.01,0.5,none,74.5937957764,0,74.5937957764,74.5937957764,76.6617431641,0,76.6617431641,76.6617431641,1
