rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,119,16,0.01,0.01,0.5,none,82.2747421265,0,82.2747421265,82.2747421265,84.1949768066,0,84.1949768066,84.1949768066,1
2,120,16,0.01,0.01,0.75,none,81.8316116333,0,81.8316116333,81.8316116333,83.7518463135,0,83.7518463135,83.7518463135,1
3,116,16,0.01,0.001,0.5,none,81.2407684326,0,81.2407684326,81.2407684326,81.2407684326,0,81.2407684326,81.2407684326,1
4,84,8,0.01,0.01,0.75,none,80.9453430176,0,80.9453430176,80.9453430176,84.6381072998,0,84.6381072998,84.6381072998,1
5,110,16,0.01,0,0.5,none,80.9453430176,0,80.9453430176,80.9453430176,82.7178726196,0,82.7178726196,82.7178726196,1
6,118,16,0.01,0.01,0.25,none,80.9453430176,0,80.9453430176,80.9453430176,82.5701599121,0,82.5701599121,82.5701599121,1
7,83,8,0.01,0.01,0.5,none,80.7976379395,0,80.7976379395,80.7976379395,84.0472640991,0,84.0472640991,84.0472640991,1
8,123,16,0.001,0,0.75,none,80.6499252319,0,80.6499252319,80.6499252319,80.7976379395,0,80.7976379395,80.7976379395,1
9,126,16,0.001,0.0001,0.75,none,80.6499252319,0,80.6499252319,80.6499252319,80.9453430176,0,80.9453430176,80.9453430176,1
10,129,16,0.001,0.001,0.75,none,80.6499252319,0,80.6499252319,80.6499252319,80.7976379395,0,80.7976379395,80.7976379395,1
11,132,16,0.001,0.01,0.75,none,80.6499252319,0,80.6499252319,80.6499252319,80.6499252319,0,80.6499252319,80.6499252319,1
12,137,16,0.0001,0.0001,0.5,none,80.6499252319,0,80.6499252319,80.6499252319,80.9453430176,0,80.9453430176,80.9453430176,1
13,143,16,0.0001,0.01,0.5,none,80.6499252319,0,80.6499252319,80.6499252319,80.9453430176,0,80.9453430176,80.9453430176,1
14,113,16,0.01,0.0001,0.5,none,80.3545074463,0,80.3545074463,80.3545074463,81.2407684326,0,81.2407684326,81.2407684326,1
15,117,16,0.01,0.001,0.75,none,80.0590820312,0,80.0590820312,80.0590820312,81.6838989258,0,81.6838989258,81.6838989258,1
16,140,16,0.0001,0.001,0.5,none,80.0590820312,0,80.0590820312,80.0590820312,80.7976379395,0,80.7976379395,80.7976379395,1
17,48,4,0.01,0.01,0.75,none,79.9113769531,0,79.9113769531,79.9113769531,84.0472640991,0,84.0472640991,84.0472640991,1
18,74,8,0.01,0,0.5,none,79.9113769531,0,79.9113769531,79.9113769531,83.7518463135,0,83.7518463135,83.7518463135,1
19,77,8,0.01,0.0001,0.5,none,79.9113769531,0,79.9113769531,79.9113769531,82.422454834,0,82.422454834,82.422454834,1
20,80,8,0.01,0.001,0.5,none,79.9113769531,0,79.9113769531,79.9113769531,83.0132904053,0,83.0132904053,83.0132904053,1
21,131,16,0.001,0.01,0.5,none,79.9113769531,0,79.9113769531,79.9113769531,80.3545074463,0,80.3545074463,80.3545074463,1
22,134,16,0.0001,0,0.5,none,79.9113769531,0,79.9113769531,79.9113769531,80.5022125244,0,80.5022125244,80.5022125244,1
23,135,16,0.0001,0,0.75,none,79.9113769531,0,79.9113769531,79.9113769531,80.2067947388,0,80.2067947388,80.2067947388,1
24,138,16,0.0001,0.0001,0.75,none,79.9113769531,0,79.9113769531,79.9113769531,80.3545074463,0,80.3545074463,80.3545074463,1
25,141,16,0.0001,0.001,0.75,none,79.9113769531,0,79.9113769531,79.9113769531,80.3545074463,0,80.3545074463,80.3545074463,1
26,144,16,0.0001,0.01,0.75,none,79.9113769531,0,79.9113769531,79.9113769531,80.5022125244,0,80.5022125244,80.5022125244,1
27,81,8,0.01,0.001,0.75,none,79.6159515381,0,79.6159515381,79.6159515381,81.9793167114,0,81.9793167114,81.9793167114,1
28,82,8,0.01,0.01,0.25,none,79.6159515381,0,79.6159515381,79.6159515381,82.1270294189,0,82.1270294189,82.1270294189,1
29,136,16,0.0001,0.0001,0.25,none,79.6159515381,0,79.6159515381,79.6159515381,79.4682388306,0,79.4682388306,79.4682388306,1
30,139,16,0.0001,0.001,0.25,none,79.6159515381,0,79.6159515381,79.6159515381,79.4682388306,0,79.4682388306,79.4682388306,1
31,142,16,0.0001,0.01,0.25,none,79.6159515381,0,79.6159515381,79.6159515381,79.4682388306,0,79.4682388306,79.4682388306,1
32,75,8,0.01,0,0.75,none,79.4682388306,0,79.4682388306,79.4682388306,82.422454834,0,82.422454834,82.422454834,1
33,114,16,0.01,0.0001,0.75,none,79.4682388306,0,79.4682388306,79.4682388306,80.5022125244,0,80.5022125244,80.5022125244,1
34,133,16,0.0001,0,0.25,none,79.4682388306,0,79.4682388306,79.4682388306,79.1728210449,0,79.1728210449,79.1728210449,1
35,105,8,0.0001,0.001,0.75,none,79.3205337524,0,79.3205337524,79.3205337524,79.6159515381,0,79.6159515381,79.6159515381,1
36,121,16,0.001,0,0.25,none,79.3205337524,0,79.3205337524,79.3205337524,80.5022125244,0,80.5022125244,80.5022125244,1
37,124,16,0.001,0.0001,0.25,none,79.3205337524,0,79.3205337524,79.3205337524,80.5022125244,0,80.5022125244,80.5022125244,1
38,127,16,0.001,0.001,0.25,none,79.3205337524,0,79.3205337524,79.3205337524,80.5022125244,0,80.5022125244,80.5022125244,1
39,130,16,0.001,0.01,0.25,none,79.3205337524,0,79.3205337524,79.3205337524,80.5022125244,0,80.5022125244,80.5022125244,1
40,78,8,0.01,0.0001,0.75,none,79.1728210449,0,79.1728210449,79.1728210449,82.7178726196,0,82.7178726196,82.7178726196,1
41,93,8,0.001,0.001,0.75,none,79.1728210449,0,79.1728210449,79.1728210449,78.8774032593,0,78.8774032593,78.8774032593,1
42,96,8,0.001,0.01,0.75,none,79.1728210449,0,79.1728210449,79.1728210449,79.1728210449,0,79.1728210449,79.1728210449,1
43,99,8,0.0001,0,0.75,none,79.1728210449,0,79.1728210449,79.1728210449,79.4682388306,0,79.4682388306,79.4682388306,1
44,47,4,0.01,0.01,0.5,none,79.0251083374,0,79.0251083374,79.0251083374,83.4564208984,0,83.4564208984,83.4564208984,1
45,90,8,0.001,0.0001,0.75,none,79.0251083374,0,79.0251083374,79.0251083374,78.7296905518,0,78.7296905518,78.7296905518,1
46,95,8,0.001,0.01,0.5,none,79.0251083374,0,79.0251083374,79.0251083374,79.7636642456,0,79.7636642456,79.7636642456,1
47,12,2,0.01,0.01,0.75,none,78.8774032593,0,78.8774032593,78.8774032593,82.7178726196,0,82.7178726196,82.7178726196,1
48,111,16,0.01,0,0.75,none,78.8774032593,0,78.8774032593,78.8774032593,81.0930557251,0,81.0930557251,81.0930557251,1
49,125,16,0.001,0.0001,0.5,none,78.8774032593,0,78.8774032593,78.8774032593,79.9113769531,0,79.9113769531,79.9113769531,1
50,128,16,0.001,0.001,0.5,none,78.8774032593,0,78.8774032593,78.8774032593,80.0590820312,0,80.0590820312,80.0590820312,1
51,39,4,0.01,0,0.75,none,78.7296905518,0,78.7296905518,78.7296905518,82.7178726196,0,82.7178726196,82.7178726196,1
52,87,8,0.001,0,0.75,none,78.7296905518,0,78.7296905518,78.7296905518,79.0251083374,0,79.0251083374,79.0251083374,1
53,108,8,0.0001,0.01,0.75,none,78.7296905518,0,78.7296905518,78.7296905518,78.7296905518,0,78.7296905518,78.7296905518,1
54,122,16,0.001,0,0.5,none,78.7296905518,0,78.7296905518,78.7296905518,80.0590820312,0,80.0590820312,80.0590820312,1
55,89,8,0.001,0.0001,0.5,none,78.5819778442,0,78.5819778442,78.5819778442,79.7636642456,0,79.7636642456,79.7636642456,1
56,92,8,0.001,0.001,0.5,none,78.5819778442,0,78.5819778442,78.5819778442,79.7636642456,0,79.7636642456,79.7636642456,1
57,46,4,0.01,0.01,0.25,none,78.4342651367,0,78.4342651367,78.4342651367,81.8316116333,0,81.8316116333,81.8316116333,1
58,73,8,0.01,0,0.25,none,78.4342651367,0,78.4342651367,78.4342651367,81.2407684326,0,81.2407684326,81.2407684326,1
59,86,8,0.001,0,0.5,none,78.4342651367,0,78.4342651367,78.4342651367,79.7636642456,0,79.7636642456,79.7636642456,1
60,102,8,0.0001,0.0001,0.75,none,78.4342651367,0,78.4342651367,78.4342651367,78.5819778442,0,78.5819778442,78.5819778442,1
61,79,8,0.01,0.001,0.25,none,78.2865600586,0,78.2865600586,78.2865600586,80.6499252319,0,80.6499252319,80.6499252319,1
62,42,4,0.01,0.0001,0.75,none,78.1388473511,0,78.1388473511,78.1388473511,81.9793167114,0,81.9793167114,81.9793167114,1
63,3,2,0.01,0,0.75,none,77.9911346436,0,77.9911346436,77.9911346436,82.2747421265,0,82.2747421265,82.2747421265,1
64,9,2,0.01,0.001,0.75,none,77.9911346436,0,77.9911346436,77.9911346436,82.2747421265,0,82.2747421265,82.2747421265,1
65,45,4,0.01,0.001,0.75,none,77.9911346436,0,77.9911346436,77.9911346436,82.422454834,0,82.422454834,82.422454834,1
66,88,8,0.001,0.0001,0.25,none,77.9911346436,0,77.9911346436,77.9911346436,79.4682388306,0,79.4682388306,79.4682388306,1
67,91,8,0.001,0.001,0.25,none,77.9911346436,0,77.9911346436,77.9911346436,79.4682388306,0,79.4682388306,79.4682388306,1
68,94,8,0.001,0.01,0.25,none,77.9911346436,0,77.9911346436,77.9911346436,79.4682388306,0,79.4682388306,79.4682388306,1
69,98,8,0.0001,0,0.5,none,77.9911346436,0,77.9911346436,77.9911346436,78.4342651367,0,78.4342651367,78.4342651367,1
70,11,2,0.01,0.01,0.5,none,77.8434295654,0,77.8434295654,77.8434295654,81.9793167114,0,81.9793167114,81.9793167114,1
71,101,8,0.0001,0.0001,0.5,none,77.8434295654,0,77.8434295654,77.8434295654,78.1388473511,0,78.1388473511,78.1388473511,1
72,104,8,0.0001,0.001,0.5,none,77.8434295654,0,77.8434295654,77.8434295654,78.1388473511,0,78.1388473511,78.1388473511,1
73,107,8,0.0001,0.01,0.5,none,77.8434295654,0,77.8434295654,77.8434295654,77.9911346436,0,77.9911346436,77.9911346436,1
74,6,2,0.01,0.0001,0.75,none,77.5480041504,0,77.5480041504,77.5480041504,81.9793167114,0,81.9793167114,81.9793167114,1
75,97,8,0.0001,0,0.25,none,77.4002914429,0,77.4002914429,77.4002914429,77.9911346436,0,77.9911346436,77.9911346436,1
76,100,8,0.0001,0.0001,0.25,none,77.4002914429,0,77.4002914429,77.4002914429,77.9911346436,0,77.9911346436,77.9911346436,1
77,103,8,0.0001,0.001,0.25,none,77.4002914429,0,77.4002914429,77.4002914429,77.9911346436,0,77.9911346436,77.9911346436,1
78,106,8,0.0001,0.01,0.25,none,77.4002914429,0,77.4002914429,77.4002914429,77.9911346436,0,77.9911346436,77.9911346436,1
79,38,4,0.01,0,0.5,none,77.1048736572,0,77.1048736572,77.1048736572,78.2865600586,0,78.2865600586,78.2865600586,1
80,85,8,0.001,0,0.25,none,76.9571609497,0,76.9571609497,76.9571609497,79.0251083374,0,79.0251083374,79.0251083374,1
81,41,4,0.01,0.0001,0.5,none,76.8094558716,0,76.8094558716,76.8094558716,78.2865600586,0,78.2865600586,78.2865600586,1
82,44,4,0.01,0.001,0.5,none,76.8094558716,0,76.8094558716,76.8094558716,78.4342651367,0,78.4342651367,78.4342651367,1
83,109,16,0.01,0,0.25,none,76.8094558716,0,76.8094558716,76.8094558716,76.9571609497,0,76.9571609497,76.9571609497,1
84,76,8,0.01,0.0001,0.25,none,76.5140304565,0,76.5140304565,76.5140304565,76.9571609497,0,76.9571609497,76.9571609497,1
85,59,4,0.001,0.01,0.5,none,76.3663253784,0,76.3663253784,76.3663253784,77.6957168579,0,77.6957168579,77.6957168579,1
86,50,4,0.001,0,0.5,none,76.2186126709,0,76.2186126709,76.2186126709,77.6957168579,0,77.6957168579,77.6957168579,1
87,53,4,0.001,0.0001,0.5,none,76.2186126709,0,76.2186126709,76.2186126709,77.6957168579,0,77.6957168579,77.6957168579,1
88,56,4,0.001,0.001,0.5,none,76.2186126709,0,76.2186126709,76.2186126709,77.5480041504,0,77.5480041504,77.5480041504,1
89,69,4,0.0001,0.001,0.75,none,76.2186126709,0,76.2186126709,76.2186126709,75.3323516846,0,75.3323516846,75.3323516846,1
90,72,4,0.0001,0.01,0.75,none,76.2186126709,0,76.2186126709,76.2186126709,75.3323516846,0,75.3323516846,75.3323516846,1
91,112,16,0.01,0.0001,0.25,none,76.2186126709,0,76.2186126709,76.2186126709,76.8094558716,0,76.8094558716,76.8094558716,1
92,115,16,0.01,0.001,0.25,none,76.2186126709,0,76.2186126709,76.2186126709,76.9571609497,0,76.9571609497,76.9571609497,1
93,49,4,0.001,0,0.25,none,75.9231872559,0,75.9231872559,75.9231872559,76.3663253784,0,76.3663253784,76.3663253784,1
94,52,4,0.001,0.0001,0.25,none,75.9231872559,0,75.9231872559,75.9231872559,76.3663253784,0,76.3663253784,76.3663253784,1
95,55,4,0.001,0.001,0.25,none,75.9231872559,0,75.9231872559,75.9231872559,76.3663253784,0,76.3663253784,76.3663253784,1
96,58,4,0.001,0.01,0.25,none,75.9231872559,0,75.9231872559,75.9231872559,76.5140304565,0,76.5140304565,76.5140304565,1
97,63,4,0.0001,0,0.75,none,75.9231872559,0,75.9231872559,75.9231872559,75.4800567627,0,75.4800567627,75.4800567627,1
98,66,4,0.0001,0.0001,0.75,none,75.9231872559,0,75.9231872559,75.9231872559,75.3323516846,0,75.3323516846,75.3323516846,1
99,60,4,0.001,0.01,0.75,none,75.4800567627,0,75.4800567627,75.4800567627,77.2525863647,0,77.2525863647,77.2525863647,1
100,54,4,0.001,0.0001,0.75,none,75.3323516846,0,75.3323516846,75.3323516846,77.2525863647,0,77.2525863647,77.2525863647,1
101,57,4,0.001,0.001,0.75,none,75.3323516846,0,75.3323516846,75.3323516846,77.2525863647,0,77.2525863647,77.2525863647,1
102,51,4,0.001,0,0.75,none,75.0369262695,0,75.0369262695,75.0369262695,77.2525863647,0,77.2525863647,77.2525863647,1
103,62,4,0.0001,0,0.5,none,74.4460830688,0,74.4460830688,74.4460830688,75.0369262695,0,75.0369262695,75.0369262695,1
104,65,4,0.0001,0.0001,0.5,none,74.4460830688,0,74.4460830688,74.4460830688,75.0369262695,0,75.0369262695,75.0369262695,1
