rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,119,16,0.01,0.01,0.5,none,82.2747421265,0,82.2747421265,82.2747421265,83.0132904053,0,83.0132904053,83.0132904053,1
2,84,8,0.01,0.01,0.75,none,81.9793167114,0,81.9793167114,81.9793167114,84.7858200073,0,84.7858200073,84.7858200073,1
3,120,16,0.01,0.01,0.75,none,81.9793167114,0,81.9793167114,81.9793167114,83.899559021,0,83.899559021,83.899559021,1
4,118,16,0.01,0.01,0.25,none,81.6838989258,0,81.6838989258,81.6838989258,82.7178726196,0,82.7178726196,82.7178726196,1
5,113,16,0.01,0.0001,0.5,none,81.5361862183,0,81.5361862183,81.5361862183,81.9793167114,0,81.9793167114,81.9793167114,1
6,110,16,0.01,0,0.5,none,81.3884811401,0,81.3884811401,81.3884811401,82.1270294189,0,82.1270294189,82.1270294189,1
7,116,16,0.01,0.001,0.5,none,81.3884811401,0,81.3884811401,81.3884811401,81.3884811401,0,81.3884811401,81.3884811401,1
8,129,16,0.001,0.001,0.75,none,81.0930557251,0,81.0930557251,81.0930557251,82.7178726196,0,82.7178726196,82.7178726196,1
9,75,8,0.01,0,0.75,none,80.9453430176,0,80.9453430176,80.9453430176,83.604133606,0,83.604133606,83.604133606,1
10,117,16,0.01,0.001,0.75,none,80.9453430176,0,80.9453430176,80.9453430176,83.0132904053,0,83.0132904053,83.0132904053,1
11,126,16,0.001,0.0001,0.75,none,80.9453430176,0,80.9453430176,80.9453430176,82.8655853271,0,82.8655853271,82.8655853271,1
12,81,8,0.01,0.001,0.75,none,80.7976379395,0,80.7976379395,80.7976379395,82.8655853271,0,82.8655853271,82.8655853271,1
13,83,8,0.01,0.01,0.5,none,80.7976379395,0,80.7976379395,80.7976379395,84.1949768066,0,84.1949768066,84.1949768066,1
