rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,37,4,0.01,0,0.25,none,83.3992080688,0,83.3992080688,83.3992080688,82.2698974609,0,82.2698974609,82.2698974609,1
2,40,4,0.01,0.0001,0.25,none,83.286277771,0,83.286277771,83.286277771,82.3263702393,0,82.3263702393,82.3263702393,1
3,43,4,0.01,0.001,0.25,none,83.286277771,0,83.286277771,83.286277771,82.3263702393,0,82.3263702393,82.3263702393,1
4,46,4,0.01,0.01,0.25,none,83.286277771,0,83.286277771,83.286277771,82.3263702393,0,82.3263702393,82.3263702393,1
5,4,2,0.01,0.0001,0.25,none,81.9875793457,0,81.9875793457,81.9875793457,81.479385376,0,81.479385376,81.479385376,1
6,7,2,0.01,0.001,0.25,none,81.9875793457,0,81.9875793457,81.9875793457,81.4229278564,0,81.4229278564,81.4229278564,1
7,10,2,0.01,0.01,0.25,none,81.9875793457,0,81.9875793457,81.9875793457,81.4229278564,0,81.4229278564,81.4229278564,1
8,1,2,0.01,0,0.25,none,81.9311065674,0,81.9311065674,81.9311065674,81.3664550781,0,81.3664550781,81.3664550781,1
9,16,2,0.001,0.0001,0.25,none,81.1405944824,0,81.1405944824,81.1405944824,80.4065475464,0,80.4065475464,80.4065475464,1
10,19,2,0.001,0.001,0.25,none,81.1405944824,0,81.1405944824,81.1405944824,80.4065475464,0,80.4065475464,80.4065475464,1
11,22,2,0.001,0.01,0.25,none,81.1405944824,0,81.1405944824,81.1405944824,80.4065475464,0,80.4065475464,80.4065475464,1
12,13,2,0.001,0,0.25,none,80.9711990356,0,80.9711990356,80.9711990356,80.2936172485,0,80.2936172485,80.2936172485,1
13,49,4,0.001,0,0.25,none,80.9711990356,0,80.9711990356,80.9711990356,79.7289657593,0,79.7289657593,79.7289657593,1
14,52,4,0.001,0.0001,0.25,none,80.9711990356,0,80.9711990356,80.9711990356,79.7289657593,0,79.7289657593,79.7289657593,1
15,55,4,0.001,0.001,0.25,none,80.9711990356,0,80.9711990356,80.9711990356,79.7289657593,0,79.7289657593,79.7289657593,1
